,ts,id,T,P
0,-0.331,BARO0,21.31,98044
1,-0.331,BARO1,21.45,98010
2,-0.331,BARO2,22.31,98020
3,-0.321,BARO0,21.31,98047
4,-0.321,BARO1,21.45,98004
5,-0.321,BARO2,22.3,98022
6,-0.311,BARO0,21.31,98053
7,-0.311,BARO1,21.45,98002
8,-0.311,BARO2,22.3,98023
9,-0.301,BARO0,21.32,98050
10,-0.301,BARO1,21.45,98005
11,-0.301,BARO2,22.3,98024
12,-0.291,BARO0,21.31,98048
13,-0.291,BARO1,21.46,98010
14,-0.291,BARO2,22.3,98024
15,-0.281,BARO0,21.31,98056
16,-0.281,BARO1,21.45,98003
17,-0.281,BARO2,22.31,98026
18,-0.271,BARO0,21.31,98044
19,-0.271,BARO1,21.45,98002
20,-0.271,BARO2,22.31,98020
21,-0.261,BARO0,21.31,98036
22,-0.261,BARO1,21.45,98005
23,-0.261,BARO2,22.31,98015
24,-0.251,BARO0,21.31,98051
25,-0.251,BARO1,21.45,98007
26,-0.251,BARO2,22.31,98020
27,-0.241,BARO0,21.31,98045
28,-0.241,BARO1,21.45,98007
29,-0.241,BARO2,22.31,98023
30,-0.231,BARO0,21.31,98051
31,-0.231,BARO1,21.45,98016
32,-0.231,BARO2,22.31,98021
33,-0.221,BARO0,21.31,98047
34,-0.221,BARO1,21.45,98003
35,-0.221,BARO2,22.3,98028
36,-0.211,BARO0,21.31,98047
37,-0.211,BARO1,21.45,98007
38,-0.211,BARO2,22.3,98022
39,-0.201,BARO0,21.32,98050
40,-0.201,BARO1,21.45,98008
41,-0.201,BARO2,22.31,98019
42,-0.191,BARO0,21.31,98050
43,-0.191,BARO1,21.45,98010
44,-0.191,BARO2,22.3,98015
45,-0.181,BARO0,21.31,98041
46,-0.181,BARO1,21.45,98004
47,-0.181,BARO2,22.31,98022
48,-0.171,BARO0,21.31,98045
49,-0.171,BARO1,21.45,98006
50,-0.171,BARO2,22.31,98023
51,-0.161,BARO0,21.31,98046
52,-0.161,BARO1,21.45,98004
53,-0.161,BARO2,22.3,98015
54,-0.151,BARO0,21.31,98054
55,-0.151,BARO1,21.45,98003
56,-0.151,BARO2,22.3,98021
57,-0.141,BARO0,21.31,98049
58,-0.141,BARO1,21.45,98007
59,-0.141,BARO2,22.3,98024
60,-0.131,BARO0,21.31,98052
61,-0.131,BARO1,21.45,98008
62,-0.131,BARO2,22.31,98019
63,-0.121,BARO0,21.31,98054
64,-0.121,BARO1,21.45,98012
65,-0.121,BARO2,22.31,98022
66,-0.111,BARO0,21.31,98129
67,-0.111,BARO1,21.45,98089
68,-0.111,BARO2,22.3,98108
69,-0.101,BARO0,21.31,98056
70,-0.101,BARO1,21.45,98019
71,-0.101,BARO2,22.31,98039
72,-0.091,BARO0,21.31,98048
73,-0.091,BARO1,21.45,98013
74,-0.091,BARO2,22.3,98021
75,-0.081,BARO0,21.31,98042
76,-0.081,BARO1,21.45,97997
77,-0.081,BARO2,22.3,98015
78,-0.071,BARO0,21.31,98043
79,-0.071,BARO1,21.45,98008
80,-0.071,BARO2,22.3,98017
81,-0.061,BARO0,21.31,98039
82,-0.061,BARO1,21.45,97994
83,-0.061,BARO2,22.3,98008
84,-0.051,BARO0,21.31,98036
85,-0.051,BARO1,21.45,98000
86,-0.051,BARO2,22.31,98023
87,-0.041,BARO0,21.31,98041
88,-0.041,BARO1,21.45,97997
89,-0.041,BARO2,22.31,98013
90,-0.031,BARO0,21.31,98036
91,-0.031,BARO1,21.45,98000
92,-0.031,BARO2,22.3,98013
93,-0.021,BARO0,21.31,98037
94,-0.021,BARO1,21.45,97996
95,-0.021,BARO2,22.31,98007
96,-0.011,BARO0,21.31,98030
97,-0.011,BARO1,21.45,97991
98,-0.011,BARO2,22.31,98013
99,-0.001,BARO0,21.31,98041
100,-0.001,BARO1,21.45,97988
101,-0.001,BARO2,22.3,98008
102,0.009,BARO0,21.31,98031
103,0.009,BARO1,21.45,97999
104,0.009,BARO2,22.31,98005
105,0.019,BARO0,21.31,98044
106,0.019,BARO1,21.45,98009
107,0.019,BARO2,22.3,98013
108,0.029,BARO0,21.31,98031
109,0.029,BARO1,21.45,97997
110,0.029,BARO2,22.3,98008
111,0.039,BARO0,21.32,98028
112,0.039,BARO1,21.45,97984
113,0.039,BARO2,22.3,98010
114,0.049,BARO0,21.31,98031
115,0.049,BARO1,21.45,97996
116,0.049,BARO2,22.31,98005
117,0.059,BARO0,21.31,98034
118,0.059,BARO1,21.46,97992
119,0.059,BARO2,22.3,98002
120,0.069,BARO0,21.31,98025
121,0.069,BARO1,21.45,97982
122,0.069,BARO2,22.3,97997
123,0.079,BARO0,21.31,98025
124,0.079,BARO1,21.45,97988
125,0.079,BARO2,22.31,98007
126,0.089,BARO0,21.32,98028
127,0.089,BARO1,21.46,97984
128,0.089,BARO2,22.31,97997
129,0.099,BARO0,21.31,98022
130,0.099,BARO1,21.45,97981
131,0.099,BARO2,22.31,98000
132,0.109,BARO0,21.31,98023
133,0.109,BARO1,21.45,97987
134,0.109,BARO2,22.3,97995
135,0.119,BARO0,21.31,98028
136,0.119,BARO1,21.45,97988
137,0.119,BARO2,22.31,97997
138,0.129,BARO0,21.32,98022
139,0.129,BARO1,21.45,97976
140,0.129,BARO2,22.3,97992
141,0.139,BARO0,21.32,98026
142,0.139,BARO1,21.45,97980
143,0.139,BARO2,22.31,97998
144,0.149,BARO0,21.31,98023
145,0.149,BARO1,21.45,97984
146,0.149,BARO2,22.31,97990
147,0.159,BARO0,21.31,98021
148,0.159,BARO1,21.45,97978
149,0.159,BARO2,22.31,97995
150,0.179,BARO0,21.32,98025
151,0.179,BARO1,21.45,97975
152,0.179,BARO2,22.3,97998
153,0.189,BARO0,21.31,98019
154,0.189,BARO1,21.45,97978
155,0.189,BARO2,22.31,98000
156,0.199,BARO0,21.31,98010
157,0.199,BARO1,21.45,97977
158,0.199,BARO2,22.31,97993
159,0.209,BARO0,21.31,98012
160,0.209,BARO1,21.45,97973
161,0.209,BARO2,22.3,97991
162,0.219,BARO0,21.31,98013
163,0.219,BARO1,21.45,97965
164,0.219,BARO2,22.3,97989
165,0.229,BARO0,21.31,98014
166,0.229,BARO1,21.45,97965
167,0.229,BARO2,22.31,97984
168,0.239,BARO0,21.31,98009
169,0.239,BARO1,21.45,97963
170,0.239,BARO2,22.3,97983
171,0.249,BARO0,21.31,98004
172,0.249,BARO1,21.45,97964
173,0.249,BARO2,22.3,97981
174,0.259,BARO0,21.31,98008
175,0.259,BARO1,21.45,97965
176,0.259,BARO2,22.31,97980
177,0.269,BARO0,21.31,98006
178,0.269,BARO1,21.44,97967
179,0.269,BARO2,22.31,97981
180,0.279,BARO0,21.32,97996
181,0.279,BARO1,21.45,97961
182,0.279,BARO2,22.31,97976
183,0.289,BARO0,21.31,97999
184,0.289,BARO1,21.45,97951
185,0.289,BARO2,22.31,97972
186,0.299,BARO0,21.32,97987
187,0.299,BARO1,21.45,97954
188,0.299,BARO2,22.31,97972
189,0.309,BARO0,21.31,97997
190,0.309,BARO1,21.45,97956
191,0.309,BARO2,22.31,97965
192,0.319,BARO0,21.31,97999
193,0.319,BARO1,21.45,97954
194,0.319,BARO2,22.31,97959
195,0.329,BARO0,21.31,97995
196,0.329,BARO1,21.45,97954
197,0.329,BARO2,22.31,97965
198,0.339,BARO0,21.31,97994
199,0.339,BARO1,21.45,97949
200,0.339,BARO2,22.3,97962
201,0.349,BARO0,21.32,97994
202,0.349,BARO1,21.45,97954
203,0.349,BARO2,22.31,97965
204,0.359,BARO0,21.31,97993
205,0.359,BARO1,21.45,97951
206,0.359,BARO2,22.31,97967
207,0.369,BARO0,21.31,98006
208,0.369,BARO1,21.45,97952
209,0.369,BARO2,22.31,97965
210,0.379,BARO0,21.32,97993
211,0.379,BARO1,21.45,97953
212,0.379,BARO2,22.3,97976
213,0.389,BARO0,21.32,97999
214,0.389,BARO1,21.45,97947
215,0.389,BARO2,22.3,97967
216,0.399,BARO0,21.32,97997
217,0.399,BARO1,21.45,97954
218,0.399,BARO2,22.3,97958
219,0.409,BARO0,21.31,97989
220,0.409,BARO1,21.45,97949
221,0.409,BARO2,22.31,97966
222,0.419,BARO0,21.31,97989
223,0.419,BARO1,21.45,97944
224,0.419,BARO2,22.3,97960
225,0.429,BARO0,21.31,97990
226,0.429,BARO1,21.46,97946
227,0.429,BARO2,22.31,97966
228,0.439,BARO0,21.31,97985
229,0.439,BARO1,21.45,97940
230,0.439,BARO2,22.31,97961
231,0.449,BARO0,21.31,97989
232,0.449,BARO1,21.45,97940
233,0.449,BARO2,22.31,97963
234,0.459,BARO0,21.31,97981
235,0.459,BARO1,21.45,97945
236,0.459,BARO2,22.31,97954
237,0.469,BARO0,21.31,97982
238,0.469,BARO1,21.45,97940
239,0.469,BARO2,22.31,97948
