,ts,acc_x,acc_y,acc_z
0,2289131,-2,0,0
1,2289141,-2,0,0
2,2289151,-2,0,0
3,2289161,-2,0,0
4,2289171,-2,0,0
5,2289181,-2,0,0
6,2289191,-2,0,0
7,2289201,-2,0,0
8,2289211,-2,0,0
9,2289221,-2,0,0
10,2289231,-2,0,0
11,2289241,-2,0,0
12,2289251,-2,0,0
13,2289261,-2,0,0
14,2289271,-2,0,0
15,2289281,-2,0,0
16,2289291,-2,0,0
17,2289301,-2,0,0
18,2289311,-2,0,0
19,2289321,-2,0,0
20,2289331,-2,0,0
21,2289341,-2,0,0
22,2289351,-2,0,0
23,2289361,-18,-1,0
24,2289371,-11,0,0
25,2289381,-13,-1,0
26,2289391,-12,0,0
27,2289401,-13,0,0
28,2289411,-11,0,0
29,2289421,-12,0,0
30,2289431,-12,0,0
31,2289441,-12,0,0
32,2289451,-12,0,0
33,2289461,-12,0,0
34,2289471,-12,0,0
35,2289481,-12,0,0
36,2289491,-11,0,0
37,2289501,-12,0,0
38,2289511,-12,0,0
39,2289521,-12,0,0
40,2289531,-12,1,0
41,2289541,-12,0,0
42,2289551,-11,0,0
43,2289561,-12,0,0
44,2289571,-12,0,0
45,2289581,-11,0,0
46,2289591,-12,0,0
47,2289601,-11,0,0
48,2289611,-11,0,0
49,2289621,-11,0,0
50,2289651,-11,0,0
51,2289661,-11,0,0
52,2289671,-11,0,0
53,2289681,-12,0,0
54,2289691,-12,0,0
55,2289701,-12,0,0
56,2289711,-11,0,0
57,2289721,-12,0,0
58,2289731,-12,0,0
59,2289741,-11,0,0
60,2289751,-11,0,0
61,2289761,-11,0,0
62,2289771,-11,0,0
63,2289781,-11,0,0
64,2289791,-11,0,0
65,2289801,-11,0,0
66,2289811,-11,0,0
67,2289821,-11,0,0
68,2289831,-11,0,0
69,2289841,-11,0,0
70,2289851,-11,0,0
71,2289861,-11,0,0
72,2289871,-11,0,0
73,2289881,-10,0,0
74,2289891,-11,0,0
75,2289901,-11,1,0
76,2289911,-10,0,0
77,2289921,-11,0,0
78,2289931,-11,1,0
79,2289941,-11,1,0
80,2289951,-11,0,0
81,2289961,-11,1,0
82,2289971,-11,0,0
83,2289981,-10,1,0
84,2289991,-10,1,0
85,2290001,-10,1,0
86,2290011,-11,1,0
87,2290021,-10,1,0
88,2290031,-10,1,0
89,2290041,-10,1,0
90,2290051,-10,1,0
91,2290061,-10,0,0
92,2290071,-10,1,0
93,2290081,-10,1,0
94,2290091,-10,1,0
95,2290101,-10,1,0
96,2290111,-10,1,0
97,2290121,-11,0,0
98,2290131,-10,0,0
99,2290141,-10,1,0
100,2290151,-10,0,0
101,2290161,-9,0,0
102,2290171,-9,1,0
103,2290181,-10,1,0
104,2290191,-10,0,0
105,2290201,-9,1,0
106,2290211,-9,0,0
107,2290221,-10,1,0
108,2290231,-10,0,0
109,2290241,-10,0,0
110,2290251,-9,0,0
111,2290261,-9,0,0
112,2290271,-9,0,0
113,2290281,-9,0,0
114,2290291,-10,0,0
115,2290301,-9,1,0
116,2290311,-9,0,0
117,2290321,-9,1,0
118,2290331,-9,1,0
119,2290341,-9,0,0
120,2290351,-9,1,0
121,2290361,-9,0,0
122,2290371,-9,1,0
123,2290381,-9,1,0
124,2290391,-9,1,0
125,2290401,-9,1,0
126,2290411,-9,1,0
127,2290421,-9,1,0
128,2290431,-9,1,0
129,2290441,-9,1,0
130,2290451,-9,1,0
131,2290461,-9,1,0
132,2290471,-9,1,0
133,2290481,-9,1,0
134,2290491,-8,1,0
135,2290501,-9,1,0
136,2290511,-8,1,0
137,2290521,-8,1,0
138,2290531,-8,1,0
139,2290541,-8,1,0
140,2290551,-8,1,0
141,2290561,-8,1,0
142,2290571,-8,1,0
143,2290581,-8,1,0
144,2290591,-8,1,0
145,2290601,-8,1,0
146,2290611,-8,1,0
147,2290621,-8,1,0
148,2290631,-8,1,0
149,2290641,-8,1,0
150,2290651,-8,1,0
151,2290661,-8,1,0
152,2290671,-8,1,0
153,2290681,-8,0,0
154,2290691,-7,1,0
155,2290701,-8,1,0
156,2290711,-7,0,0
157,2290721,-7,0,0
158,2290731,-7,1,0
159,2290741,-7,0,0
160,2290751,-7,0,0
161,2290761,-7,0,0
162,2290771,-7,0,0
163,2290781,-7,0,0
164,2290791,-7,0,0
165,2290801,-7,0,0
166,2290811,-7,1,0
167,2290821,-7,0,0
168,2290831,-7,0,0
169,2290841,-7,0,0
170,2290851,-7,0,0
171,2290861,-7,0,0
172,2290871,-7,0,0
173,2290881,-6,0,0
174,2290891,-6,0,0
175,2290901,-6,0,0
176,2290911,-7,0,0
177,2290921,-6,0,0
178,2290931,-6,1,0
179,2290941,-6,0,0
180,2290951,-6,0,0
181,2290961,-6,0,0
182,2290971,-6,0,0
183,2290981,-6,0,0
184,2290991,-6,0,0
185,2291001,-6,1,0
186,2291011,-6,1,0
187,2291021,-6,0,0
188,2291031,-6,1,0
189,2291041,-6,0,0
190,2291051,-6,1,0
191,2291061,-6,0,0
192,2291071,-5,1,0
193,2291081,-5,1,0
194,2291091,-5,0,0
195,2291101,-5,1,0
196,2291111,-5,0,0
197,2291121,-5,1,0
198,2291131,-5,1,0
199,2291141,-5,1,0
200,2291151,-4,0,0
201,2291161,-4,0,0
202,2291171,-4,0,0
203,2291181,-4,0,0
204,2291191,-3,0,0
205,2291201,-3,0,0
206,2291211,-3,1,0
207,2291221,-3,0,0
208,2291231,-3,0,0
209,2291241,-3,0,0
210,2291251,-2,0,0
211,2291261,-2,0,0
212,2291271,-2,0,0
213,2291281,-2,0,0
214,2291291,-2,0,0
215,2291301,-2,0,0
216,2291311,-2,0,0
217,2291321,-2,0,0
218,2291331,-1,0,0
219,2291341,-1,0,0
220,2291351,-1,0,0
221,2291361,-1,0,0
222,2291371,-1,0,0
223,2291381,-1,0,0
224,2291391,-1,0,0
225,2291401,-1,0,0
226,2291411,-1,0,0
227,2291421,0,0,0
228,2291431,0,0,0
229,2291441,0,0,0
230,2291451,0,0,0
231,2291461,0,0,0
232,2291471,0,0,0
233,2291481,-1,0,0
234,2291491,0,0,0
235,2291501,0,1,0
236,2291511,0,0,0
237,2291521,0,0,0
238,2291531,0,1,0
239,2291541,0,0,0
240,2291551,0,0,0
241,2291561,0,0,0
242,2291571,0,0,0
243,2291581,0,0,0
244,2291591,0,0,0
245,2291601,0,0,0
246,2291611,0,0,0
247,2291621,0,0,0
248,2291631,0,0,0
249,2291641,0,0,0
250,2291651,0,0,0
251,2291661,0,0,0
252,2291671,0,1,0
253,2291681,0,0,0
254,2291691,0,0,0
255,2291701,0,0,0
256,2291711,0,0,0
257,2291721,0,0,0
258,2291731,0,0,0
259,2291741,0,0,0
260,2291751,0,0,0
261,2291761,0,0,0
262,2291771,0,0,0
263,2291781,0,0,0
264,2291791,0,0,0
265,2291801,0,0,0
266,2291811,0,0,0
267,2291821,0,1,0
268,2291831,0,0,0
269,2291841,0,0,0
270,2291851,0,0,0
271,2291861,0,0,0
272,2291871,0,0,0
273,2291881,0,0,0
274,2291891,0,0,0
275,2291901,0,0,0
276,2291911,0,0,0
277,2291921,0,0,0
278,2291931,1,0,0
279,2291941,1,0,0
280,2291951,0,1,0
281,2291961,0,0,0
282,2291971,0,0,0
283,2291981,0,0,0
284,2291991,0,0,0
285,2292001,0,0,0
286,2292011,0,0,0
287,2292021,0,0,0
288,2292031,0,0,0
289,2292041,0,0,0
290,2292051,0,0,0
291,2292061,0,0,0
292,2292071,0,0,0
293,2292081,0,0,0
294,2292091,0,0,0
295,2292101,0,0,0
296,2292111,0,0,0
297,2292121,0,0,0
298,2292131,1,0,0
299,2292141,0,0,0
300,2292151,0,0,0
301,2292161,0,0,0
302,2292171,0,0,0
303,2292181,0,0,0
304,2292191,1,0,0
305,2292201,0,0,0
306,2292211,0,0,0
307,2292221,1,0,0
308,2292231,0,0,0
309,2292241,0,0,0
310,2292251,0,0,0
311,2292261,0,0,0
312,2292271,0,0,0
313,2292281,0,0,0
314,2292291,0,0,0
315,2292301,0,0,0
316,2292311,0,0,0
317,2292321,0,0,0
318,2292331,0,0,0
319,2292341,0,0,0
320,2292351,0,0,0
321,2292361,0,0,0
322,2292371,0,0,0
323,2292381,0,0,0
324,2292391,0,0,0
325,2292401,0,0,0
326,2292411,0,0,0
327,2292421,0,0,0
328,2292431,0,0,0
329,2292441,0,0,0
330,2292451,0,0,0
331,2292461,0,0,0
332,2292471,0,0,0
333,2292481,0,0,0
334,2292491,0,0,0
335,2292501,0,0,0
336,2292511,0,0,0
337,2292521,0,0,0
338,2292531,0,0,0
339,2292541,0,0,0
340,2292551,0,0,0
341,2292561,0,0,0
342,2292571,0,0,0
343,2292581,0,0,0
344,2292591,0,0,0
345,2292601,0,0,0
346,2292611,0,0,0
347,2292621,0,0,0
348,2292631,0,0,0
349,2292641,0,0,0
350,2292651,0,0,0
351,2292661,0,0,0
352,2292671,0,0,0
353,2292681,0,0,0
354,2292691,0,0,0
355,2292701,0,0,0
356,2292711,0,1,0
357,2292721,0,0,0
358,2292731,0,0,0
359,2292741,0,0,0
360,2292751,0,0,0
361,2292761,0,0,0
362,2292771,0,0,0
363,2292781,0,0,0
364,2292791,0,0,0
365,2292801,0,0,0
366,2292811,0,0,0
367,2292821,0,0,0
368,2292831,0,0,0
369,2292841,0,0,0
370,2292851,0,0,0
371,2292861,0,0,0
372,2292871,0,0,0
373,2292881,0,0,0
374,2292891,0,0,0
375,2292901,0,0,0
376,2292911,0,0,0
377,2292921,0,0,0
378,2292931,0,0,0
379,2292941,0,0,0
380,2292951,0,0,0
381,2292961,0,0,0
382,2292971,0,0,0
383,2292981,0,0,0
384,2292991,0,0,0
385,2293001,0,0,0
386,2293011,0,0,0
387,2293021,0,0,0
388,2293031,0,0,0
389,2293041,0,0,0
390,2293051,0,0,0
391,2293061,0,0,0
392,2293071,0,0,0
393,2293081,0,0,0
394,2293091,0,0,0
395,2293101,0,0,0
396,2293111,0,0,0
397,2293121,0,0,0
398,2293131,0,0,0
399,2293141,0,0,0
400,2293151,0,0,0
401,2293161,0,0,0
402,2293171,0,0,0
403,2293181,0,0,0
404,2293191,0,0,0
405,2293201,0,0,0
406,2293211,0,0,0
407,2293221,0,0,0
408,2293231,0,0,0
409,2293241,0,0,0
410,2293251,0,0,0
411,2293261,0,0,0
412,2293271,0,0,0
413,2293281,0,0,0
414,2293291,0,0,0
415,2293301,0,0,0
416,2293311,0,0,0
417,2293321,0,0,0
418,2293331,0,0,0
419,2293341,0,0,0
420,2293351,0,0,0
421,2293361,0,0,0
422,2293371,0,0,0
423,2293381,0,0,0
424,2293391,0,0,0
425,2293401,0,0,0
426,2293411,0,0,0
427,2293421,0,0,0
428,2293431,0,0,0
429,2293441,0,0,0
430,2293451,0,0,0
431,2293461,0,0,0
432,2293471,0,0,0
433,2293481,0,0,0
434,2293491,0,0,0
435,2293501,0,0,0
436,2293511,0,0,0
437,2293521,0,0,0
438,2293531,0,0,0
439,2293541,0,0,0
440,2293551,0,0,0
441,2293561,0,0,0
442,2293571,0,0,0
443,2293581,0,0,0
444,2293591,0,0,0
445,2293601,0,0,0
446,2293611,0,0,0
447,2293621,0,0,0
448,2293631,0,0,0
449,2293641,0,0,0
450,2293651,0,0,0
451,2293661,0,0,0
452,2293671,0,0,0
453,2293681,0,0,0
454,2293691,0,0,0
455,2293701,0,0,0
456,2293711,0,0,0
457,2293721,0,0,0
458,2293731,0,0,0
459,2293741,0,0,0
460,2293751,0,0,0
461,2293761,0,0,0
462,2293771,0,0,0
463,2293781,0,0,0
464,2293791,0,0,0
465,2293801,0,0,0
466,2293811,0,0,0
467,2293821,0,0,0
468,2293831,0,0,0
469,2293841,0,0,0
470,2293851,0,0,0
471,2293861,0,0,0
472,2293871,0,0,0
473,2293881,0,0,0
474,2293891,0,0,0
475,2293901,0,0,0
476,2293911,0,0,0
477,2293921,0,0,0
478,2293931,0,0,0
479,2293941,0,0,0
480,2293951,0,0,0
481,2293961,0,0,0
482,2293971,0,0,0
483,2293981,0,0,0
484,2293991,0,0,0
485,2294001,0,0,0
486,2294011,0,0,0
487,2294021,0,0,0
488,2294031,0,0,0
489,2294041,0,0,0
490,2294051,0,0,0
491,2294061,0,0,0
492,2294071,0,0,0
493,2294081,0,0,0
494,2294091,0,0,0
495,2294101,0,0,0
496,2294111,0,0,0
497,2294121,0,0,0
498,2294131,0,0,0
499,2294141,0,0,0
500,2294151,0,0,0
501,2294161,0,0,0
502,2294171,0,0,0
503,2294181,0,0,0
504,2294191,0,0,0
505,2294201,0,0,0
506,2294211,0,0,0
507,2294221,0,0,0
508,2294231,0,0,0
509,2294241,0,0,0
510,2294251,0,0,0
511,2294261,0,0,0
512,2294271,0,0,0
513,2294281,0,0,0
514,2294291,0,0,0
515,2294301,0,0,0
516,2294311,0,0,0
517,2294321,0,0,0
518,2294331,0,0,0
519,2294341,0,0,0
520,2294351,0,0,0
521,2294361,0,0,0
522,2294371,0,0,0
523,2294381,0,0,0
524,2294391,0,0,0
525,2294401,0,0,0
526,2294411,0,0,0
527,2294421,0,0,0
528,2294431,0,0,0
529,2294441,0,0,0
530,2294451,0,0,0
531,2294461,0,0,0
532,2294471,0,0,0
533,2294481,0,0,0
534,2294491,0,0,0
535,2294501,0,0,0
536,2294511,0,0,0
537,2294521,0,0,0
538,2294531,0,0,0
539,2294541,0,0,0
540,2294551,0,0,0
541,2294561,0,0,0
542,2294571,0,0,0
543,2294581,0,0,0
544,2294591,0,0,0
545,2294601,0,0,0
546,2294611,0,0,0
547,2294621,0,0,0
548,2294631,0,0,0
549,2294641,0,0,0
550,2294651,0,0,0
551,2294661,0,0,0
552,2294671,0,0,0
553,2294681,0,0,0
554,2294691,0,0,0
555,2294701,0,0,0
556,2294711,0,0,0
557,2294721,0,0,0
558,2294731,0,0,0
559,2294741,0,0,0
560,2294751,0,0,0
561,2294761,0,0,0
562,2294771,0,0,0
563,2294781,0,0,0
564,2294791,0,0,0
565,2294801,0,0,0
566,2294811,0,0,0
567,2294821,0,0,0
568,2294831,0,0,0
569,2294841,0,0,0
570,2294851,-1,0,0
571,2294861,0,0,0
572,2294871,0,0,0
573,2294881,0,0,0
574,2294891,0,0,0
575,2294901,0,0,0
576,2294911,0,0,0
577,2294921,0,0,0
578,2294931,0,0,0
579,2294941,0,0,0
580,2294951,0,0,0
581,2294961,0,0,0
582,2294971,0,0,0
583,2294981,0,0,0
584,2294991,0,0,0
585,2295001,0,0,0
586,2295011,0,0,0
587,2295021,0,0,0
588,2295031,0,0,0
589,2295041,0,0,0
590,2295051,0,0,0
591,2295061,0,0,0
592,2295071,0,0,0
593,2295081,0,0,0
594,2295091,0,0,0
595,2295101,0,0,0
596,2295111,0,0,0
597,2295121,0,0,0
598,2295131,0,0,0
599,2295141,0,0,0
600,2295151,0,0,0
601,2295161,-1,0,0
602,2295171,0,0,0
603,2295181,0,0,0
604,2295191,0,0,0
605,2295201,0,0,0
606,2295211,0,0,0
607,2295221,0,0,0
608,2295231,0,0,0
609,2295241,0,0,0
610,2295251,0,0,0
611,2295261,0,0,0
612,2295271,0,0,0
613,2295281,0,0,0
614,2295291,0,0,0
615,2295301,0,0,0
616,2295311,0,0,0
617,2295321,0,0,0
618,2295331,0,0,0
619,2295341,0,0,0
620,2295351,0,0,0
621,2295361,0,0,0
622,2295371,0,0,0
623,2295381,0,0,0
624,2295391,0,0,0
625,2295401,0,0,0
626,2295411,0,0,0
627,2295421,0,0,0
628,2295431,0,0,0
629,2295441,0,0,0
630,2295451,0,0,0
631,2295461,0,0,0
632,2295471,0,0,0
633,2295481,0,0,0
634,2295491,0,0,0
635,2295501,0,0,0
636,2295511,0,0,0
637,2295521,0,0,0
638,2295531,0,0,0
639,2295541,0,0,0
640,2295551,0,0,0
641,2295561,0,0,0
642,2295571,0,0,0
643,2295581,0,0,0
644,2295591,0,0,0
645,2295601,0,0,0
646,2295611,-1,0,0
647,2295621,0,0,0
648,2295631,0,0,0
649,2295641,0,0,0
650,2295651,0,0,0
651,2295661,-1,0,0
652,2295671,0,0,0
653,2295681,0,0,0
654,2295691,0,0,0
655,2295701,0,0,0
656,2295711,0,0,0
657,2295721,0,0,0
658,2295731,0,0,0
659,2295741,0,0,0
660,2295751,0,0,0
661,2295761,0,0,0
662,2295771,0,0,0
663,2295781,-1,0,0
664,2295791,0,0,0
665,2295801,0,0,0
666,2295811,0,0,0
667,2295821,0,0,0
668,2295831,0,0,0
669,2295841,0,0,0
670,2295851,0,0,0
671,2295861,0,0,0
672,2295871,0,0,0
673,2295881,0,0,0
674,2295891,0,0,0
675,2295901,0,0,0
676,2295911,0,0,0
677,2295921,0,0,0
678,2295931,0,0,0
679,2295941,0,0,0
680,2295951,0,0,0
681,2295961,0,0,0
682,2295971,0,0,0
683,2295981,0,0,0
684,2295991,0,0,0
685,2296001,-1,0,0
686,2296011,0,0,0
687,2296021,0,0,0
688,2296031,0,0,0
689,2296041,0,0,0
690,2296051,0,0,0
691,2296061,0,0,0
692,2296071,0,0,0
693,2296081,0,0,0
694,2296091,0,0,0
695,2296101,0,0,0
696,2296111,0,0,0
697,2296121,-1,0,0
698,2296131,-1,0,0
699,2296141,0,0,0
700,2296151,0,0,0
701,2296161,0,0,0
702,2296171,0,0,0
703,2296181,0,0,0
704,2296191,0,0,0
705,2296201,0,0,0
706,2296211,0,0,0
707,2296221,0,0,0
708,2296231,0,0,0
709,2296241,0,0,0
710,2296251,0,0,0
711,2296261,-1,0,0
712,2296271,0,0,0
713,2296281,0,0,0
714,2296291,0,0,0
715,2296301,-20,-1,0
716,2296311,-86,0,0
717,2296321,-3,0,0
718,2296331,-3,-1,0
719,2296341,-1,-1,0
720,2296351,-1,0,0
721,2296361,-1,0,0
722,2296371,-1,0,0
723,2296381,0,0,0
724,2296391,0,0,0
725,2296401,0,0,0
726,2296411,0,0,0
727,2296421,0,0,0
728,2296431,1,0,0
729,2296441,1,-1,0
730,2296451,4,0,0
731,2296461,1,0,0
732,2296471,0,0,0
733,2296481,7,0,0
734,2296491,0,-1,0
735,2296501,0,0,0
736,2296511,0,0,0
737,2296521,0,0,0
738,2296531,0,1,0
739,2296541,55,9,0
740,2296551,18,7,0
741,2296561,18,4,0
742,2296571,30,6,0
743,2296581,36,2,0
744,2296591,62,0,0
745,2296601,74,-16,0
746,2296611,36,-2,0
747,2296621,20,-4,0
748,2296631,13,-2,0
749,2296641,8,-4,0
750,2296651,15,-1,0
751,2296661,12,0,0
752,2296671,8,1,0
753,2296681,9,0,0
754,2296691,9,2,0
755,2296701,9,2,0
756,2296711,9,1,0
757,2296721,3,2,0
758,2296731,2,0,0
759,2296741,4,1,0
760,2296751,3,0,0
761,2296761,2,0,0
762,2296771,2,1,0
763,2296781,2,0,0
764,2296791,2,0,0
765,2296801,2,0,0
766,2296811,0,0,0
767,2296821,0,0,0
768,2296831,0,0,0
769,2296841,1,0,0
770,2296851,0,0,0
771,2296861,0,0,0
772,2296871,0,0,0
773,2296881,0,0,0
774,2296891,-1,-1,0
775,2296901,0,0,0
776,2296911,0,-1,0
777,2296921,0,-1,0
778,2296931,-1,0,0
779,2296941,-1,-1,0
780,2296951,0,0,0
781,2296961,-1,0,0
782,2296971,-1,-1,0
783,2296981,1,-1,0
784,2296991,0,-1,0
785,2297001,-1,0,0
786,2297011,-1,-1,0
787,2297021,-1,-1,0
788,2297031,-1,-1,0
789,2297041,-12,-1,0
790,2297051,-8,-2,0
791,2297061,-1,-1,0
792,2297071,-1,0,0
793,2297081,0,0,0
794,2297091,-1,0,0
795,2297101,-1,-1,0
796,2297111,-1,0,0
797,2297121,0,0,0
798,2297131,0,0,0
799,2297141,0,0,0
800,2297151,0,1,0
801,2297161,-1,0,0
802,2297171,-2,0,0
803,2297181,-3,-3,0
804,2297191,-2,-1,0
805,2297201,-2,0,0
806,2297211,-3,0,0
807,2297221,-4,1,0
808,2297231,-3,1,0
809,2297241,-2,1,0
810,2297251,-3,1,0
811,2297261,-2,0,0
812,2297271,-2,0,0
813,2297281,-2,0,0
814,2297291,-2,0,0
815,2297301,-2,0,0
816,2297311,-2,0,0
817,2297321,-2,0,0
818,2297331,-2,0,0
819,2297341,-2,0,0
820,2297351,-2,0,0
821,2297361,-1,-1,0
822,2297371,-2,0,0
823,2297381,-2,0,0
824,2297391,-2,0,0
825,2297401,-2,0,0
826,2297411,-2,0,0
827,2297421,-1,0,0
828,2297431,-1,0,0
829,2297441,-1,0,0
830,2297451,1,1,0
831,2297461,2,2,0
832,2297471,3,3,0
833,2297481,2,3,0
834,2297491,2,3,0
835,2297501,2,2,0
836,2297511,2,2,0
837,2297521,1,2,0
838,2297531,1,1,0
839,2297541,2,2,0
840,2297551,1,2,0
841,2297561,1,1,0
842,2297571,1,1,0
843,2297581,1,1,0
844,2297591,0,1,0
845,2297601,0,1,0
846,2297611,0,1,0
847,2297621,0,1,0
848,2297631,0,1,0
849,2297641,0,0,0
850,2297651,0,0,0
851,2297661,0,0,0
852,2297671,0,0,0
853,2297681,0,0,0
854,2297691,0,0,0
855,2297701,0,0,0
856,2297711,0,0,0
857,2297721,0,0,0
858,2297731,0,0,0
859,2297741,0,0,0
860,2297751,-1,0,0
861,2297761,0,0,0
862,2297771,0,0,0
863,2297781,0,0,0
864,2297791,0,0,0
865,2297801,-1,0,0
866,2297811,-1,0,0
867,2297821,0,0,0
868,2297831,0,0,0
869,2297841,-1,0,0
870,2297851,0,0,0
871,2297861,0,0,0
872,2297871,-1,0,0
873,2297881,0,0,0
874,2297891,0,0,0
875,2297901,0,0,0
876,2297911,0,0,0
877,2297921,0,0,0
878,2297931,-1,0,0
879,2297941,0,0,0
880,2297951,0,0,0
881,2297961,-1,0,0
882,2297971,-1,0,0
883,2297981,0,0,0
884,2297991,0,0,0
885,2298001,0,0,0
886,2298011,0,0,0
887,2298021,0,0,0
888,2298031,0,0,0
889,2298041,0,0,0
890,2298051,0,0,0
891,2298061,0,0,0
892,2298071,0,0,0
893,2298081,0,0,0
894,2298091,0,0,0
895,2298101,0,0,0
896,2298111,0,0,0
897,2298121,1,0,0
898,2298131,1,0,0
899,2298141,1,1,0
900,2298151,1,1,0
901,2298161,1,1,0
902,2298171,1,1,0
903,2298181,1,1,0
904,2298191,1,1,0
905,2298201,0,0,0
906,2298211,1,1,0
