,ts,id,T,P
0,2289131,BARO0,2131,98044
1,2289131,BARO1,2145,98010
2,2289131,BARO2,2231,98020
3,2289141,BARO0,2131,98047
4,2289141,BARO1,2145,98004
5,2289141,BARO2,2230,98022
6,2289151,BARO0,2131,98053
7,2289151,BARO1,2145,98002
8,2289151,BARO2,2230,98023
9,2289161,BARO0,2132,98050
10,2289161,BARO1,2145,98005
11,2289161,BARO2,2230,98024
12,2289171,BARO0,2131,98048
13,2289171,BARO1,2146,98010
14,2289171,BARO2,2230,98024
15,2289181,BARO0,2131,98056
16,2289181,BARO1,2145,98003
17,2289181,BARO2,2231,98026
18,2289191,BARO0,2131,98044
19,2289191,BARO1,2145,98002
20,2289191,BARO2,2231,98020
21,2289201,BARO0,2131,98036
22,2289201,BARO1,2145,98005
23,2289201,BARO2,2231,98015
24,2289211,BARO0,2131,98051
25,2289211,BARO1,2145,98007
26,2289211,BARO2,2231,98020
27,2289221,BARO0,2131,98045
28,2289221,BARO1,2145,98007
29,2289221,BARO2,2231,98023
30,2289231,BARO0,2131,98051
31,2289231,BARO1,2145,98016
32,2289231,BARO2,2231,98021
33,2289241,BARO0,2131,98047
34,2289241,BARO1,2145,98003
35,2289241,BARO2,2230,98028
36,2289251,BARO0,2131,98047
37,2289251,BARO1,2145,98007
38,2289251,BARO2,2230,98022
39,2289261,BARO0,2132,98050
40,2289261,BARO1,2145,98008
41,2289261,BARO2,2231,98019
42,2289271,BARO0,2131,98050
43,2289271,BARO1,2145,98010
44,2289271,BARO2,2230,98015
45,2289281,BARO0,2131,98041
46,2289281,BARO1,2145,98004
47,2289281,BARO2,2231,98022
48,2289291,BARO0,2131,98045
49,2289291,BARO1,2145,98006
50,2289291,BARO2,2231,98023
51,2289301,BARO0,2131,98046
52,2289301,BARO1,2145,98004
53,2289301,BARO2,2230,98015
54,2289311,BARO0,2131,98054
55,2289311,BARO1,2145,98003
56,2289311,BARO2,2230,98021
57,2289321,BARO0,2131,98049
58,2289321,BARO1,2145,98007
59,2289321,BARO2,2230,98024
60,2289331,BARO0,2131,98052
61,2289331,BARO1,2145,98008
62,2289331,BARO2,2231,98019
63,2289341,BARO0,2131,98054
64,2289341,BARO1,2145,98012
65,2289341,BARO2,2231,98022
66,2289351,BARO0,2131,98129
67,2289351,BARO1,2145,98089
68,2289351,BARO2,2230,98108
69,2289361,BARO0,2131,98056
70,2289361,BARO1,2145,98019
71,2289361,BARO2,2231,98039
72,2289371,BARO0,2131,98048
73,2289371,BARO1,2145,98013
74,2289371,BARO2,2230,98021
75,2289381,BARO0,2131,98042
76,2289381,BARO1,2145,97997
77,2289381,BARO2,2230,98015
78,2289391,BARO0,2131,98043
79,2289391,BARO1,2145,98008
80,2289391,BARO2,2230,98017
81,2289401,BARO0,2131,98039
82,2289401,BARO1,2145,97994
83,2289401,BARO2,2230,98008
84,2289411,BARO0,2131,98036
85,2289411,BARO1,2145,98000
86,2289411,BARO2,2231,98023
87,2289421,BARO0,2131,98041
88,2289421,BARO1,2145,97997
89,2289421,BARO2,2231,98013
90,2289431,BARO0,2131,98036
91,2289431,BARO1,2145,98000
92,2289431,BARO2,2230,98013
93,2289441,BARO0,2131,98037
94,2289441,BARO1,2145,97996
95,2289441,BARO2,2231,98007
96,2289451,BARO0,2131,98030
97,2289451,BARO1,2145,97991
98,2289451,BARO2,2231,98013
99,2289461,BARO0,2131,98041
100,2289461,BARO1,2145,97988
101,2289461,BARO2,2230,98008
102,2289471,BARO0,2131,98031
103,2289471,BARO1,2145,97999
104,2289471,BARO2,2231,98005
105,2289481,BARO0,2131,98044
106,2289481,BARO1,2145,98009
107,2289481,BARO2,2230,98013
108,2289491,BARO0,2131,98031
109,2289491,BARO1,2145,97997
