,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,2289122,0,0,0,0,0,0,0,0
1,2289132,0,0,0,0,0,0,0,0
2,2289142,0,0,0,0,0,0,0,0
3,2289152,0,0,0,0,0,0,0,0
4,2289162,0,0,0,0,0,0,0,0
5,2289172,0,0,0,0,0,0,0,0
6,2289182,0,0,0,0,0,0,0,0
7,2289192,0,0,0,0,0,0,0,0
8,2289202,0,0,0,0,0,0,0,0
9,2289212,0,0,0,0,0,0,0,0
10,2289222,0,0,0,0,0,0,0,0
11,2289232,0,0,0,0,0,0,0,0
12,2289242,0,0,0,0,0,0,0,0
13,2289252,0,0,0,0,0,0,0,0
14,2289262,0,0,0,0,0,0,0,0
15,2289272,0,0,0,0,0,0,0,0
16,2289282,0,0,0,0,0,0,0,0
17,2289292,0,0,0,0,0,0,0,0
18,2289302,0,0,0,0,0,0,0,0
19,2289312,0,0,0,0,0,0,0,0
20,2289322,0,0,0,0,0,0,0,0
21,2289332,0,0,0,0,0,0,0,0
22,2289342,0,0,0,0,0,0,0,0
23,2289352,0,0,0,0,0,0,0,0
24,2289362,0,0,0,0,0,0,0,0
25,2289372,0,0,0,0,0,0,0,0
26,2289382,0,0,0,0,0,0,0,0
27,2289392,0,0,0,0,0,0,0,0
28,2289402,0,0,0,0,0,0,0,0
29,2289412,0,0,0,0,0,0,0,0
30,2289422,0,0,0,0,0,0,0,0
31,2289432,0,0,0,0,0,0,0,0
32,2289442,0,0,0,0,0,0,0,0
33,2289452,0,0,0,0,0,0,0,0
34,2289462,0,0,0,0,0,0,0,0
35,2289472,0,0,0,0,0,0,0,0
36,2289482,0,0,0,0,0,0,0,0
37,2289492,0,0,0,0,0,0,0,0
38,2289502,0,0,0,0,0,0,0,0
39,2289512,0,0,0,0,0,0,0,0
40,2289522,0,0,0,0,0,0,0,0
41,2289532,0,0,0,0,0,0,0,0
42,2289542,0,0,0,0,0,0,0,0
43,2289552,0,0,0,0,0,0,0,0
44,2289562,0,0,0,0,0,0,0,0
45,2289572,0,0,0,0,0,0,0,0
46,2289582,0,0,0,0,0,0,0,0
47,2289592,0,0,0,0,0,0,0,0
48,2289602,0,0,0,0,0,0,0,0
49,2289612,0,0,0,0,0,0,0,0
50,2289642,0,0,0,0,0,0,0,0
51,2289652,0,0,0,0,0,0,0,0
52,2289662,0,0,0,0,0,0,0,0
53,2289672,0,0,0,0,0,0,0,0
54,2289682,0,0,0,0,0,0,0,0
55,2289692,0,0,0,0,0,0,0,0
56,2289702,0,0,0,0,0,0,0,0
57,2289712,0,0,0,0,0,0,0,0
58,2289722,0,0,0,0,0,0,0,0
59,2289732,0,0,0,0,0,0,0,0
60,2289742,0,0,0,0,0,0,0,0
61,2289752,0,0,0,0,0,0,0,0
62,2289762,0,0,0,0,0,0,0,0
63,2289772,0,0,0,0,0,0,0,0
64,2289782,0,0,0,0,0,0,0,0
65,2289792,0,0,0,0,0,0,0,0
66,2289802,0,0,0,0,0,0,0,0
67,2289812,0,0,0,0,0,0,0,0
68,2289822,0,0,0,0,0,0,0,0
69,2289832,0,0,0,0,0,0,0,0
70,2289842,0,0,0,0,0,0,0,0
71,2289852,0,0,0,0,0,0,0,0
72,2289862,0,0,0,0,0,0,0,0
73,2289872,0,0,0,0,0,0,0,0
74,2289882,0,0,0,0,0,0,0,0
75,2289892,0,0,0,0,0,0,0,0
76,2289902,0,0,0,0,0,0,0,0
77,2289912,0,0,0,0,0,0,0,0
78,2289922,0,0,0,0,0,0,0,0
79,2289932,0,0,0,0,0,0,0,0
80,2289942,0,0,0,0,0,0,0,0
81,2289952,0,0,0,0,0,0,0,0
82,2289962,0,0,0,0,0,0,0,0
83,2289972,0,0,0,0,0,0,0,0
84,2289982,0,0,0,0,0,0,0,0
85,2289992,0,0,0,0,0,0,0,0
86,2290002,0,0,0,0,0,0,0,0
87,2290012,0,0,0,0,0,0,0,0
88,2290022,0,0,0,0,0,0,0,0
89,2290032,0,0,0,0,0,0,0,0
