,ts,id,T,P
0,-0.331,BARO0,15.08,98000
1,-0.331,BARO1,15.58,97921
2,-0.331,BARO2,16.07,97965
3,-0.321,BARO0,15.08,98000
4,-0.321,BARO1,15.58,97917
5,-0.321,BARO2,16.07,97963
6,-0.311,BARO0,15.07,97997
7,-0.311,BARO1,15.59,97924
8,-0.311,BARO2,16.07,97964
9,-0.301,BARO0,15.08,97995
10,-0.301,BARO1,15.59,97921
11,-0.301,BARO2,16.07,97964
12,-0.291,BARO0,15.08,97995
13,-0.291,BARO1,15.59,97919
14,-0.291,BARO2,16.07,97975
15,-0.281,BARO0,15.08,98000
16,-0.281,BARO1,15.59,97914
17,-0.281,BARO2,16.06,97970
18,-0.271,BARO0,15.08,97997
19,-0.271,BARO1,15.59,97919
20,-0.271,BARO2,16.07,97971
21,-0.261,BARO0,15.07,97993
22,-0.261,BARO1,15.59,97911
23,-0.261,BARO2,16.07,97968
24,-0.251,BARO0,15.08,98001
25,-0.251,BARO1,15.59,97921
26,-0.251,BARO2,16.07,97969
27,-0.241,BARO0,15.08,98004
28,-0.241,BARO1,15.58,97917
29,-0.241,BARO2,16.07,97972
30,-0.231,BARO0,15.08,98003
31,-0.231,BARO1,15.58,97925
32,-0.231,BARO2,16.06,97971
33,-0.221,BARO0,15.08,98000
34,-0.221,BARO1,15.58,97910
35,-0.221,BARO2,16.07,97971
36,-0.211,BARO0,15.08,97998
37,-0.211,BARO1,15.59,97916
38,-0.211,BARO2,16.07,97975
39,-0.201,BARO0,15.08,97996
40,-0.201,BARO1,15.59,97913
41,-0.201,BARO2,16.07,97966
42,-0.191,BARO0,15.08,97995
43,-0.191,BARO1,15.59,97914
44,-0.191,BARO2,16.07,97970
45,-0.181,BARO0,15.08,98007
46,-0.181,BARO1,15.59,97913
47,-0.181,BARO2,16.07,97972
48,-0.171,BARO0,15.08,98001
49,-0.171,BARO1,15.58,97925
50,-0.171,BARO2,16.07,97969
51,-0.161,BARO0,15.08,98002
52,-0.161,BARO1,15.59,97923
53,-0.161,BARO2,16.07,97974
54,-0.151,BARO0,15.08,97998
55,-0.151,BARO1,15.59,97922
56,-0.151,BARO2,16.07,97964
57,-0.141,BARO0,15.08,98001
58,-0.141,BARO1,15.58,97925
59,-0.141,BARO2,16.07,97969
60,-0.131,BARO0,15.08,97995
61,-0.131,BARO1,15.59,97919
62,-0.131,BARO2,16.06,97968
63,-0.121,BARO0,15.08,97991
64,-0.121,BARO1,15.59,97920
65,-0.121,BARO2,16.07,97965
66,-0.111,BARO0,15.08,98002
67,-0.111,BARO1,15.59,97920
68,-0.111,BARO2,16.06,97974
69,-0.101,BARO0,15.08,98053
70,-0.101,BARO1,15.58,97981
71,-0.101,BARO2,16.07,98029
72,-0.091,BARO0,15.08,98270
73,-0.091,BARO1,15.59,98196
74,-0.091,BARO2,16.07,98241
75,-0.081,BARO0,15.08,98856
76,-0.081,BARO1,15.58,98779
77,-0.081,BARO2,16.07,98839
78,-0.071,BARO0,15.07,99604
79,-0.071,BARO1,15.58,99543
80,-0.071,BARO2,16.07,99588
81,-0.061,BARO0,15.08,100203
82,-0.061,BARO1,15.59,100126
83,-0.061,BARO2,16.07,100178
84,-0.051,BARO0,15.07,100728
85,-0.051,BARO1,15.58,100652
86,-0.051,BARO2,16.07,100710
87,-0.041,BARO0,15.08,101240
88,-0.041,BARO1,15.58,101158
89,-0.041,BARO2,16.06,101211
90,-0.031,BARO0,15.07,101278
91,-0.031,BARO1,15.58,101198
92,-0.031,BARO2,16.06,101240
93,-0.021,BARO0,15.08,99854
94,-0.021,BARO1,15.58,99775
95,-0.021,BARO2,16.06,99830
96,-0.011,BARO0,15.08,98663
97,-0.011,BARO1,15.58,98586
98,-0.011,BARO2,16.07,98635
99,-0.001,BARO0,15.08,98144
100,-0.001,BARO1,15.58,98064
101,-0.001,BARO2,16.06,98116
102,0.009,BARO0,15.08,98019
103,0.009,BARO1,15.59,97940
104,0.009,BARO2,16.07,97998
105,0.019,BARO0,15.08,98012
106,0.019,BARO1,15.59,97935
107,0.019,BARO2,16.07,97989
108,0.029,BARO0,15.08,98015
109,0.029,BARO1,15.58,97942
110,0.029,BARO2,16.06,97983
111,0.039,BARO0,15.08,98015
112,0.039,BARO1,15.58,97921
113,0.039,BARO2,16.06,97980
114,0.049,BARO0,15.08,98006
115,0.049,BARO1,15.59,97936
116,0.049,BARO2,16.07,97982
117,0.059,BARO0,15.08,98011
118,0.059,BARO1,15.58,97935
119,0.059,BARO2,16.07,97987
120,0.069,BARO0,15.08,98007
121,0.069,BARO1,15.59,97935
122,0.069,BARO2,16.07,97991
123,0.079,BARO0,15.08,98021
124,0.079,BARO1,15.59,97940
125,0.079,BARO2,16.06,97990
126,0.089,BARO0,15.08,98014
127,0.089,BARO1,15.58,97940
128,0.089,BARO2,16.07,97986
129,0.099,BARO0,15.08,98021
130,0.099,BARO1,15.59,97936
131,0.099,BARO2,16.06,97983
132,0.109,BARO0,15.08,98015
133,0.109,BARO1,15.58,97931
134,0.109,BARO2,16.07,97980
135,0.119,BARO0,15.08,98008
136,0.119,BARO1,15.58,97932
137,0.119,BARO2,16.07,97983
138,0.129,BARO0,15.08,98003
139,0.129,BARO1,15.58,97922
140,0.129,BARO2,16.07,97978
141,0.139,BARO0,15.08,98009
142,0.139,BARO1,15.59,97924
143,0.139,BARO2,16.07,97971
144,0.149,BARO0,15.08,98000
145,0.149,BARO1,15.58,97924
146,0.149,BARO2,16.07,97965
147,0.159,BARO0,15.08,97997
148,0.159,BARO1,15.59,97918
149,0.159,BARO2,16.07,97968
150,0.169,BARO0,15.08,97996
151,0.169,BARO1,15.58,97908
