,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,-0.34,6.381,6.339,3.115,-3.063,6.381,6.339,3.115,-3.063
1,-0.33,6.36,6.351,3.13,-3.065,6.36,6.351,3.13,-3.065
2,-0.32,6.325,6.369,3.14,-3.091,6.325,6.369,3.14,-3.091
3,-0.31,6.305,6.373,3.156,-3.107,6.305,6.373,3.156,-3.107
4,-0.3,6.296,6.369,3.178,-3.11,6.296,6.369,3.178,-3.11
5,-0.29,6.317,6.345,3.189,-3.104,6.317,6.345,3.189,-3.104
6,-0.28,6.336,6.331,3.203,-3.083,6.336,6.331,3.203,-3.083
7,-0.27,6.346,6.327,3.197,-3.076,6.346,6.327,3.197,-3.076
8,-0.26,6.35,6.327,3.192,-3.072,6.35,6.327,3.192,-3.072
9,-0.25,6.359,6.325,3.184,-3.067,6.359,6.325,3.184,-3.067
10,-0.24,6.363,6.325,3.177,-3.065,6.363,6.325,3.177,-3.065
11,-0.23,6.349,6.339,3.17,-3.072,6.349,6.339,3.17,-3.072
12,-0.22,6.348,6.339,3.174,-3.069,6.348,6.339,3.174,-3.069
13,-0.21,6.34,6.347,3.188,-3.056,6.34,6.347,3.188,-3.056
14,-0.2,6.336,6.35,3.195,-3.05,6.336,6.35,3.195,-3.05
15,-0.19,6.334,6.35,3.188,-3.062,6.334,6.35,3.188,-3.062
16,-0.18,6.336,6.348,3.195,-3.053,6.336,6.348,3.195,-3.053
17,-0.17,6.344,6.345,3.204,-3.036,6.344,6.345,3.204,-3.036
18,-0.16,6.349,6.341,3.197,-3.04,6.349,6.341,3.197,-3.04
19,-0.15,6.366,6.331,3.187,-3.037,6.366,6.331,3.187,-3.037
20,-0.14,6.374,6.33,3.193,-3.016,6.374,6.33,3.193,-3.016
21,-0.13,6.379,6.333,3.182,-3.011,6.379,6.333,3.182,-3.011
22,-0.12,6.388,6.329,3.17,-3.01,6.388,6.329,3.17,-3.01
23,-0.11,6.402,6.323,3.162,-3.003,6.402,6.323,3.162,-3.003
24,-0.1,6.415,6.314,3.156,-3.0,6.415,6.314,3.156,-3.0
25,-0.09,6.426,6.307,3.15,-2.997,6.426,6.307,3.15,-2.997
26,-0.08,6.44,6.301,3.141,-2.988,6.44,6.301,3.141,-2.988
27,-0.07,6.455,6.298,3.134,-2.973,6.455,6.298,3.134,-2.973
28,-0.06,6.468,6.294,3.127,-2.96,6.468,6.294,3.127,-2.96
29,-0.05,6.48,6.293,3.117,-2.944,6.48,6.293,3.117,-2.944
30,-0.04,6.498,6.291,3.103,-2.925,6.498,6.291,3.103,-2.925
31,-0.03,6.516,6.29,3.088,-2.904,6.516,6.29,3.088,-2.904
32,-0.02,6.53,6.291,3.075,-2.883,6.53,6.291,3.075,-2.883
33,-0.01,6.548,6.286,3.061,-2.865,6.548,6.286,3.061,-2.865
34,0.0,6.569,6.285,3.042,-2.841,6.569,6.285,3.042,-2.841
35,0.01,6.578,6.277,3.044,-2.836,6.578,6.277,3.044,-2.836
36,0.02,6.604,6.281,3.014,-2.798,6.604,6.281,3.014,-2.798
37,0.03,6.63,6.287,2.983,-2.758,6.63,6.287,2.983,-2.758
38,0.04,6.655,6.293,2.951,-2.717,6.655,6.293,2.951,-2.717
39,0.05,6.68,6.299,2.92,-2.675,6.68,6.299,2.92,-2.675
40,0.06,6.709,6.307,2.88,-2.624,6.709,6.307,2.88,-2.624
41,0.07,6.743,6.317,2.832,-2.566,6.743,6.317,2.832,-2.566
42,0.08,6.774,6.326,2.787,-2.511,6.774,6.326,2.787,-2.511
43,0.09,6.809,6.335,2.737,-2.45,6.809,6.335,2.737,-2.45
44,0.1,6.84,6.337,2.699,-2.4,6.84,6.337,2.699,-2.4
45,0.11,6.872,6.34,2.656,-2.345,6.872,6.34,2.656,-2.345
46,0.12,6.909,6.346,2.604,-2.279,6.909,6.346,2.604,-2.279
47,0.13,6.948,6.354,2.546,-2.205,6.948,6.354,2.546,-2.205
