,ts,acc_x,acc_y,acc_z
0,193469,1,-1,0
1,193479,1,-1,0
2,193489,1,-1,0
3,193499,1,-1,0
4,193509,1,-1,0
5,193519,1,-1,0
6,193529,1,-1,0
7,193539,1,-1,0
8,193549,1,-1,0
9,193559,1,-1,0
10,193569,1,-1,0
11,193579,1,0,0
12,193589,1,-1,0
13,193599,1,-1,0
14,193609,1,-1,0
15,193619,1,-1,0
16,193629,1,-1,0
17,193639,1,-1,0
18,193649,1,-1,0
19,193659,1,-1,0
20,193669,1,-1,0
21,193679,1,-1,0
22,193689,1,-1,0
23,193699,2,-1,0
24,193709,10,0,0
25,193719,17,0,0
26,193729,20,-2,0
27,193739,15,-1,0
28,193749,15,0,0
29,193759,14,-2,0
30,193769,14,-1,0
31,193779,12,-1,0
32,193789,11,-1,0
33,193799,13,-1,0
34,193809,14,0,0
35,193819,14,-1,0
36,193829,14,-1,0
37,193839,14,-1,0
38,193849,14,-1,0
39,193859,14,-1,0
40,193869,14,0,0
41,193879,14,-1,0
42,193889,14,0,0
43,193899,14,-1,0
44,193909,13,-1,0
45,193919,14,0,0
46,193929,14,-1,0
47,193939,13,-1,0
48,193949,13,-1,0
49,193959,13,-1,0
50,193969,13,-1,0
51,193979,13,-1,0
52,193989,13,-1,0
53,193999,13,-1,0
54,194009,13,-1,0
55,194019,13,-1,0
56,194029,13,-1,0
57,194039,13,-1,0
58,194049,13,-1,0
59,194059,13,-1,0
60,194069,13,-1,0
61,194079,13,-1,0
62,194089,12,0,0
63,194099,12,-1,0
64,194109,12,-1,0
65,194119,12,-1,0
66,194129,12,-1,0
67,194139,12,-1,0
68,194149,12,-1,0
69,194159,12,-1,0
70,194169,12,-1,0
71,194179,11,-1,0
72,194189,11,-1,0
73,194199,11,-1,0
74,194209,11,-1,0
75,194219,11,-1,0
76,194229,11,-1,0
77,194239,11,-1,0
78,194249,11,-1,0
79,194259,11,-1,0
80,194269,11,-1,0
81,194279,10,-1,0
82,194289,11,-1,0
83,194299,11,-1,0
84,194309,10,-1,0
85,194319,10,-1,0
86,194329,10,-1,0
87,194339,10,-1,0
88,194349,10,-1,0
89,194359,9,-1,0
90,194369,9,-1,0
91,194379,9,-1,0
92,194389,9,-1,0
93,194399,9,-1,0
94,194409,9,-1,0
95,194419,9,-1,0
96,194429,9,-1,0
