,ts,id,T,P
0,193469,BARO0,1508,98000
1,193469,BARO1,1558,97921
2,193469,BARO2,1607,97965
3,193479,BARO0,1508,98000
4,193479,BARO1,1558,97917
5,193479,BARO2,1607,97963
6,193489,BARO0,1507,97997
7,193489,BARO1,1559,97924
8,193489,BARO2,1607,97964
9,193499,BARO0,1508,97995
10,193499,BARO1,1559,97921
11,193499,BARO2,1607,97964
12,193509,BARO0,1508,97995
13,193509,BARO1,1559,97919
14,193509,BARO2,1607,97975
15,193519,BARO0,1508,98000
16,193519,BARO1,1559,97914
17,193519,BARO2,1606,97970
18,193529,BARO0,1508,97997
19,193529,BARO1,1559,97919
20,193529,BARO2,1607,97971
21,193539,BARO0,1507,97993
22,193539,BARO1,1559,97911
23,193539,BARO2,1607,97968
24,193549,BARO0,1508,98001
25,193549,BARO1,1559,97921
26,193549,BARO2,1607,97969
27,193559,BARO0,1508,98004
28,193559,BARO1,1558,97917
29,193559,BARO2,1607,97972
30,193569,BARO0,1508,98003
31,193569,BARO1,1558,97925
32,193569,BARO2,1606,97971
33,193579,BARO0,1508,98000
34,193579,BARO1,1558,97910
35,193579,BARO2,1607,97971
36,193589,BARO0,1508,97998
37,193589,BARO1,1559,97916
38,193589,BARO2,1607,97975
39,193599,BARO0,1508,97996
40,193599,BARO1,1559,97913
41,193599,BARO2,1607,97966
42,193609,BARO0,1508,97995
43,193609,BARO1,1559,97914
44,193609,BARO2,1607,97970
45,193619,BARO0,1508,98007
46,193619,BARO1,1559,97913
47,193619,BARO2,1607,97972
48,193629,BARO0,1508,98001
49,193629,BARO1,1558,97925
50,193629,BARO2,1607,97969
51,193639,BARO0,1508,98002
52,193639,BARO1,1559,97923
53,193639,BARO2,1607,97974
54,193649,BARO0,1508,97998
55,193649,BARO1,1559,97922
56,193649,BARO2,1607,97964
57,193659,BARO0,1508,98001
58,193659,BARO1,1558,97925
59,193659,BARO2,1607,97969
60,193669,BARO0,1508,97995
61,193669,BARO1,1559,97919
62,193669,BARO2,1606,97968
63,193679,BARO0,1508,97991
64,193679,BARO1,1559,97920
65,193679,BARO2,1607,97965
66,193689,BARO0,1508,98002
67,193689,BARO1,1559,97920
68,193689,BARO2,1606,97974
69,193699,BARO0,1508,98053
70,193699,BARO1,1558,97981
71,193699,BARO2,1607,98029
72,193709,BARO0,1508,98270
73,193709,BARO1,1559,98196
74,193709,BARO2,1607,98241
75,193719,BARO0,1508,98856
76,193719,BARO1,1558,98779
77,193719,BARO2,1607,98839
78,193729,BARO0,1507,99604
79,193729,BARO1,1558,99543
80,193729,BARO2,1607,99588
81,193739,BARO0,1508,100203
82,193739,BARO1,1559,100126
83,193739,BARO2,1607,100178
84,193749,BARO0,1507,100728
85,193749,BARO1,1558,100652
86,193749,BARO2,1607,100710
87,193759,BARO0,1508,101240
88,193759,BARO1,1558,101158
89,193759,BARO2,1606,101211
90,193769,BARO0,1507,101278
91,193769,BARO1,1558,101198
92,193769,BARO2,1606,101240
93,193779,BARO0,1508,99854
94,193779,BARO1,1558,99775
95,193779,BARO2,1606,99830
96,193789,BARO0,1508,98663
97,193789,BARO1,1558,98586
98,193789,BARO2,1607,98635
99,193799,BARO0,1508,98144
100,193799,BARO1,1558,98064
101,193799,BARO2,1606,98116
102,193809,BARO0,1508,98019
103,193809,BARO1,1559,97940
104,193809,BARO2,1607,97998
105,193819,BARO0,1508,98012
106,193819,BARO1,1559,97935
107,193819,BARO2,1607,97989
108,193829,BARO0,1508,98015
109,193829,BARO1,1558,97942
110,193829,BARO2,1606,97983
111,193839,BARO0,1508,98015
112,193839,BARO1,1558,97921
113,193839,BARO2,1606,97980
114,193849,BARO0,1508,98006
115,193849,BARO1,1559,97936
116,193849,BARO2,1607,97982
117,193859,BARO0,1508,98011
118,193859,BARO1,1558,97935
119,193859,BARO2,1607,97987
120,193869,BARO0,1508,98007
121,193869,BARO1,1559,97935
122,193869,BARO2,1607,97991
123,193879,BARO0,1508,98021
124,193879,BARO1,1559,97940
125,193879,BARO2,1606,97990
126,193889,BARO0,1508,98014
127,193889,BARO1,1558,97940
128,193889,BARO2,1607,97986
129,193899,BARO0,1508,98021
130,193899,BARO1,1559,97936
131,193899,BARO2,1606,97983
132,193909,BARO0,1508,98015
133,193909,BARO1,1558,97931
134,193909,BARO2,1607,97980
135,193919,BARO0,1508,98008
136,193919,BARO1,1558,97932
137,193919,BARO2,1607,97983
138,193929,BARO0,1508,98003
139,193929,BARO1,1558,97922
140,193929,BARO2,1607,97978
141,193939,BARO0,1508,98009
142,193939,BARO1,1559,97924
143,193939,BARO2,1607,97971
144,193949,BARO0,1508,98000
145,193949,BARO1,1558,97924
146,193949,BARO2,1607,97965
147,193959,BARO0,1508,97997
148,193959,BARO1,1559,97918
149,193959,BARO2,1607,97968
150,193969,BARO0,1508,97996
151,193969,BARO1,1558,97908
152,193969,BARO2,1607,97963
153,193979,BARO0,1508,97989
154,193979,BARO1,1558,97909
155,193979,BARO2,1607,97956
156,193989,BARO0,1508,97990
157,193989,BARO1,1558,97905
158,193989,BARO2,1607,97956
159,193999,BARO0,1508,97977
160,193999,BARO1,1558,97903
161,193999,BARO2,1607,97959
162,194009,BARO0,1508,97970
163,194009,BARO1,1558,97894
164,194009,BARO2,1607,97947
165,194019,BARO0,1508,97972
166,194019,BARO1,1558,97898
167,194019,BARO2,1607,97944
168,194029,BARO0,1508,97966
169,194029,BARO1,1558,97880
170,194029,BARO2,1607,97939
171,194039,BARO0,1508,97962
172,194039,BARO1,1558,97884
173,194039,BARO2,1607,97934
174,194049,BARO0,1508,97957
175,194049,BARO1,1559,97875
176,194049,BARO2,1607,97927
177,194059,BARO0,1508,97950
