,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,193460,6381,6339,3115,-3063,6381,6339,3115,-3063
1,193470,6360,6351,3130,-3065,6360,6351,3130,-3065
2,193480,6325,6369,3140,-3091,6325,6369,3140,-3091
3,193490,6305,6373,3156,-3107,6305,6373,3156,-3107
4,193500,6296,6369,3178,-3110,6296,6369,3178,-3110
5,193510,6317,6345,3189,-3104,6317,6345,3189,-3104
6,193520,6336,6331,3203,-3083,6336,6331,3203,-3083
7,193530,6346,6327,3197,-3076,6346,6327,3197,-3076
8,193540,6350,6327,3192,-3072,6350,6327,3192,-3072
9,193550,6359,6325,3184,-3067,6359,6325,3184,-3067
10,193560,6363,6325,3177,-3065,6363,6325,3177,-3065
11,193570,6349,6339,3170,-3072,6349,6339,3170,-3072
12,193580,6348,6339,3174,-3069,6348,6339,3174,-3069
13,193590,6340,6347,3188,-3056,6340,6347,3188,-3056
14,193600,6336,6350,3195,-3050,6336,6350,3195,-3050
15,193610,6334,6350,3188,-3062,6334,6350,3188,-3062
16,193620,6336,6348,3195,-3053,6336,6348,3195,-3053
17,193630,6344,6345,3204,-3036,6344,6345,3204,-3036
18,193640,6349,6341,3197,-3040,6349,6341,3197,-3040
19,193650,6366,6331,3187,-3037,6366,6331,3187,-3037
20,193660,6374,6330,3193,-3016,6374,6330,3193,-3016
21,193670,6379,6333,3182,-3011,6379,6333,3182,-3011
22,193680,6388,6329,3170,-3010,6388,6329,3170,-3010
23,193690,6402,6323,3162,-3003,6402,6323,3162,-3003
24,193700,6415,6314,3156,-3000,6415,6314,3156,-3000
25,193710,6426,6307,3150,-2997,6426,6307,3150,-2997
26,193720,6440,6301,3141,-2988,6440,6301,3141,-2988
27,193730,6455,6298,3134,-2973,6455,6298,3134,-2973
28,193740,6468,6294,3127,-2960,6468,6294,3127,-2960
29,193750,6480,6293,3117,-2944,6480,6293,3117,-2944
30,193760,6498,6291,3103,-2925,6498,6291,3103,-2925
31,193770,6516,6290,3088,-2904,6516,6290,3088,-2904
32,193780,6530,6291,3075,-2883,6530,6291,3075,-2883
33,193790,6548,6286,3061,-2865,6548,6286,3061,-2865
34,193800,6569,6285,3042,-2841,6569,6285,3042,-2841
35,193810,6578,6277,3044,-2836,6578,6277,3044,-2836
36,193820,6604,6281,3014,-2798,6604,6281,3014,-2798
37,193830,6630,6287,2983,-2758,6630,6287,2983,-2758
38,193840,6655,6293,2951,-2717,6655,6293,2951,-2717
39,193850,6680,6299,2920,-2675,6680,6299,2920,-2675
40,193860,6709,6307,2880,-2624,6709,6307,2880,-2624
41,193870,6743,6317,2832,-2566,6743,6317,2832,-2566
