,ts,acc_x,acc_y,acc_z
0,-0.331,-2,-1,0
1,-0.321,-2,-1,0
2,-0.311,-2,-1,0
3,-0.301,-2,-1,0
4,-0.291,-2,-1,0
5,-0.281,-2,-1,0
6,-0.271,-2,-1,0
7,-0.261,-2,-1,0
8,-0.251,-2,-1,0
9,-0.241,-2,-1,0
10,-0.231,-2,-1,0
11,-0.221,-2,-1,0
12,-0.211,-2,-1,0
13,-0.201,-2,-1,0
14,-0.191,-2,-1,0
15,-0.181,-2,-1,0
16,-0.171,-2,-1,0
17,-0.161,-2,-1,0
18,-0.151,-2,-1,0
19,-0.141,-2,-1,0
20,-0.131,-2,-1,0
21,-0.121,-2,-1,0
22,-0.111,-2,-1,0
23,-0.101,-2,-1,0
24,-0.091,-10,-1,0
25,-0.081,-16,-1,0
26,-0.071,-16,-1,0
27,-0.061,-15,-1,0
28,-0.051,-14,-1,0
29,-0.041,-14,0,0
30,-0.031,-16,-1,0
31,-0.021,-16,0,0
32,-0.011,-15,-1,0
33,-0.001,-16,-1,0
34,0.009,-16,-1,0
35,0.019,-16,-1,0
36,0.029,-16,-1,0
37,0.039,-16,-1,0
38,0.049,-16,-1,0
39,0.059,-16,-1,0
40,0.069,-16,-1,0
41,0.079,-16,-1,0
42,0.089,-16,-1,0
43,0.099,-16,-1,0
44,0.109,-16,-1,0
45,0.119,-16,-1,0
46,0.129,-16,-1,0
47,0.139,-16,-1,0
48,0.149,-16,-1,0
49,0.159,-16,-1,0
50,0.169,-15,-1,0
51,0.179,-16,-1,0
52,0.189,-16,-1,0
53,0.199,-16,-1,0
54,0.209,-15,-1,0
55,0.219,-16,-1,0
56,0.229,-15,-1,0
57,0.239,-16,-1,0
58,0.249,-16,-1,0
59,0.259,-15,-1,0
60,0.269,-15,0,0
61,0.279,-15,-1,0
62,0.289,-15,-1,0
63,0.299,-15,-1,0
64,0.309,-15,-1,0
65,0.319,-15,-1,0
66,0.329,-14,-1,0
67,0.339,-14,-1,0
68,0.349,-15,-1,0
69,0.359,-14,-1,0
70,0.369,-14,-1,0
71,0.379,-14,-1,0
72,0.389,-14,-1,0
73,0.399,-14,-1,0
74,0.409,-14,-1,0
75,0.419,-14,-1,0
76,0.429,-14,-1,0
77,0.439,-14,-1,0
78,0.449,-14,-1,0
79,0.459,-13,-1,0
80,0.469,-14,-1,0
81,0.479,-14,-1,0
82,0.489,-13,-1,0
83,0.499,-13,-1,0
84,0.509,-13,-1,0
85,0.519,-13,-1,0
86,0.529,-13,-1,0
87,0.539,-13,-1,0
88,0.549,-13,-1,0
89,0.559,-12,-1,0
90,0.569,-12,-1,0
91,0.579,-12,-1,0
92,0.589,-12,-1,0
93,0.599,-12,-1,0
94,0.609,-12,-1,0
95,0.619,-11,-1,0
96,0.629,-11,-1,0
97,0.639,-11,-1,0
98,0.649,-11,0,0
99,0.659,-11,-1,0
100,0.669,-11,-1,0
101,0.679,-11,-1,0
102,0.689,-11,0,0
103,0.699,-11,-1,0
104,0.709,-10,-1,0
105,0.719,-10,-1,0
106,0.729,-10,-1,0
107,0.739,-10,0,0
108,0.749,-10,0,0
109,0.759,-10,-1,0
110,0.769,-9,-1,0
111,0.779,-9,-1,0
112,0.789,-9,-1,0
113,0.799,-9,-1,0
114,0.809,-9,0,0
115,0.819,-9,-1,0
116,0.829,-8,-1,0
117,0.839,-9,-1,0
118,0.849,-8,-1,0
119,0.859,-8,-1,0
120,0.869,-8,0,0
121,0.879,-7,-1,0
122,0.889,-7,0,0
123,0.899,-6,-1,0
124,0.909,-5,0,0
125,0.919,-4,-1,0
126,0.929,-3,0,0
127,0.939,-2,-1,0
128,0.949,-1,-1,0
129,0.959,-1,-1,0
130,0.969,0,0,0
131,0.979,0,-1,0
132,0.989,0,0,0
133,0.999,0,-1,0
134,1.009,1,-1,0
135,1.019,0,-1,0
136,1.029,1,-1,0
137,1.039,0,-1,0
138,1.049,0,-1,0
139,1.059,1,-1,0
140,1.069,1,-1,0
141,1.079,0,-1,0
142,1.089,0,-1,0
143,1.099,1,-1,0
144,1.109,0,-1,0
145,1.119,1,-1,0
146,1.129,0,-1,0
147,1.139,0,-1,0
148,1.149,0,-1,0
149,1.159,1,-1,0
150,1.169,0,-1,0
151,1.179,0,-1,0
152,1.189,0,-1,0
153,1.199,0,-1,0
154,1.209,0,-1,0
155,1.219,0,0,0
156,1.229,0,-1,0
157,1.239,0,-1,0
158,1.249,0,-1,0
159,1.259,0,-1,0
160,1.269,0,-1,0
161,1.279,0,-1,0
162,1.289,1,-1,0
163,1.299,0,0,0
164,1.309,0,0,0
165,1.319,0,-1,0
