,ts,id,T,P
0,263618,BARO0,2074,98007
1,263618,BARO1,2127,97951
2,263618,BARO2,2158,98001
3,263628,BARO0,2074,98018
4,263628,BARO1,2127,97954
5,263628,BARO2,2158,97992
6,263638,BARO0,2074,98011
7,263638,BARO1,2127,97953
8,263638,BARO2,2158,97992
9,263648,BARO0,2074,98012
10,263648,BARO1,2127,97960
11,263648,BARO2,2158,97993
12,263658,BARO0,2075,98015
13,263658,BARO1,2127,97949
14,263658,BARO2,2158,97992
15,263668,BARO0,2074,98009
16,263668,BARO1,2127,97958
17,263668,BARO2,2158,97997
18,263678,BARO0,2074,98010
19,263678,BARO1,2127,97953
20,263678,BARO2,2158,97997
21,263688,BARO0,2074,98010
22,263688,BARO1,2127,97960
23,263688,BARO2,2158,97994
24,263698,BARO0,2074,98010
25,263698,BARO1,2127,97960
26,263698,BARO2,2158,97998
27,263708,BARO0,2074,98017
28,263708,BARO1,2127,97960
29,263708,BARO2,2158,97993
30,263718,BARO0,2074,98020
31,263718,BARO1,2127,97952
32,263718,BARO2,2158,97996
33,263728,BARO0,2074,98011
34,263728,BARO1,2127,97962
35,263728,BARO2,2158,98000
36,263738,BARO0,2074,98012
37,263738,BARO1,2127,97946
38,263738,BARO2,2158,97998
39,263748,BARO0,2074,98019
40,263748,BARO1,2127,97948
41,263748,BARO2,2158,97998
42,263758,BARO0,2075,98012
43,263758,BARO1,2127,97960
44,263758,BARO2,2158,97997
45,263768,BARO0,2074,98016
46,263768,BARO1,2127,97952
47,263768,BARO2,2158,97991
48,263778,BARO0,2075,98010
49,263778,BARO1,2127,97953
50,263778,BARO2,2158,97998
51,263788,BARO0,2074,98004
52,263788,BARO1,2127,97964
53,263788,BARO2,2158,97995
54,263798,BARO0,2074,98014
55,263798,BARO1,2127,97950
56,263798,BARO2,2158,98002
57,263808,BARO0,2074,98008
58,263808,BARO1,2127,97955
59,263808,BARO2,2158,97993
60,263818,BARO0,2074,98015
61,263818,BARO1,2127,97950
62,263818,BARO2,2158,98003
63,263828,BARO0,2074,98014
64,263828,BARO1,2127,97951
65,263828,BARO2,2158,98002
66,263838,BARO0,2075,98014
67,263838,BARO1,2127,97958
68,263838,BARO2,2158,98000
69,263848,BARO0,2075,98012
70,263848,BARO1,2127,97954
71,263848,BARO2,2158,97994
72,263858,BARO0,2074,98055
73,263858,BARO1,2127,98005
74,263858,BARO2,2158,98045
