,ts,id,T,P
0,-0.361,BARO0,20.76,93630
1,-0.361,BARO1,21.01,93644
2,-0.361,BARO2,21.48,93700
3,-0.351,BARO0,20.76,93633
4,-0.351,BARO1,21.01,93640
5,-0.351,BARO2,21.47,93696
6,-0.341,BARO0,20.77,93637
7,-0.341,BARO1,21.01,93637
8,-0.341,BARO2,21.48,93693
9,-0.331,BARO0,20.77,93643
10,-0.331,BARO1,21.02,93633
11,-0.331,BARO2,21.48,93694
12,-0.321,BARO0,20.77,93634
13,-0.321,BARO1,21.01,93632
14,-0.321,BARO2,21.48,93700
15,-0.311,BARO0,20.77,93634
16,-0.311,BARO1,21.01,93640
17,-0.311,BARO2,21.48,93691
18,-0.301,BARO0,20.77,93636
19,-0.301,BARO1,21.01,93634
20,-0.301,BARO2,21.48,93690
21,-0.291,BARO0,20.77,93634
22,-0.291,BARO1,21.01,93636
23,-0.291,BARO2,21.48,93695
24,-0.281,BARO0,20.77,93639
25,-0.281,BARO1,21.01,93639
26,-0.281,BARO2,21.48,93692
27,-0.271,BARO0,20.76,93637
28,-0.271,BARO1,21.01,93640
29,-0.271,BARO2,21.48,93702
30,-0.261,BARO0,20.77,93630
31,-0.261,BARO1,21.01,93632
32,-0.261,BARO2,21.48,93689
33,-0.251,BARO0,20.77,93641
34,-0.251,BARO1,21.01,93633
35,-0.251,BARO2,21.48,93692
36,-0.241,BARO0,20.77,93634
37,-0.241,BARO1,21.01,93638
38,-0.241,BARO2,21.48,93694
39,-0.231,BARO0,20.77,93640
40,-0.231,BARO1,21.01,93639
41,-0.231,BARO2,21.48,93693
42,-0.221,BARO0,20.77,93639
43,-0.221,BARO1,21.01,93637
44,-0.221,BARO2,21.48,93696
45,-0.211,BARO0,20.77,93646
46,-0.211,BARO1,21.01,93637
47,-0.211,BARO2,21.48,93689
48,-0.201,BARO0,20.77,93642
49,-0.201,BARO1,21.01,93640
50,-0.201,BARO2,21.48,93695
51,-0.191,BARO0,20.77,93641
52,-0.191,BARO1,21.01,93637
53,-0.191,BARO2,21.48,93697
54,-0.181,BARO0,20.77,93634
55,-0.181,BARO1,21.01,93637
56,-0.181,BARO2,21.48,93700
57,-0.171,BARO0,20.77,93637
58,-0.171,BARO1,21.01,93641
59,-0.171,BARO2,21.48,93690
60,-0.161,BARO0,20.77,93648
61,-0.161,BARO1,21.01,93639
62,-0.161,BARO2,21.48,93694
63,-0.151,BARO0,20.76,93644
64,-0.151,BARO1,21.01,93637
65,-0.151,BARO2,21.48,93691
66,-0.141,BARO0,20.77,93638
67,-0.141,BARO1,21.01,93636
68,-0.141,BARO2,21.48,93697
69,-0.131,BARO0,20.77,93638
70,-0.131,BARO1,21.02,93640
71,-0.131,BARO2,21.48,93690
72,-0.121,BARO0,20.77,93668
73,-0.121,BARO1,21.02,93668
74,-0.121,BARO2,21.48,93722
75,-0.111,BARO0,20.77,93673
76,-0.111,BARO1,21.01,93674
77,-0.111,BARO2,21.48,93730
78,-0.101,BARO0,20.77,93690
79,-0.101,BARO1,21.01,93691
80,-0.101,BARO2,21.48,93748
81,-0.091,BARO0,20.77,93652
82,-0.091,BARO1,21.01,93660
83,-0.091,BARO2,21.48,93723
84,-0.081,BARO0,20.76,93604
85,-0.081,BARO1,21.01,93606
86,-0.081,BARO2,21.48,93666
87,-0.071,BARO0,20.77,93575
88,-0.071,BARO1,21.02,93574
89,-0.071,BARO2,21.48,93625
90,-0.061,BARO0,20.77,93582
91,-0.061,BARO1,21.01,93597
92,-0.061,BARO2,21.48,93648
93,-0.051,BARO0,20.77,93627
94,-0.051,BARO1,21.01,93628
95,-0.051,BARO2,21.48,93688
96,-0.041,BARO0,20.77,93625
97,-0.041,BARO1,21.01,93639
98,-0.041,BARO2,21.48,93685
99,-0.031,BARO0,20.77,93635
100,-0.031,BARO1,21.01,93620
101,-0.031,BARO2,21.48,93689
102,-0.021,BARO0,20.77,93616
103,-0.021,BARO1,21.01,93624
104,-0.021,BARO2,21.48,93683
105,-0.011,BARO0,20.77,93621
106,-0.011,BARO1,21.01,93617
107,-0.011,BARO2,21.48,93681
108,-0.001,BARO0,20.77,93616
109,-0.001,BARO1,21.02,93614
110,-0.001,BARO2,21.48,93663
111,0.009,BARO0,20.77,93595
112,0.009,BARO1,21.02,93599
113,0.009,BARO2,21.48,93654
114,0.019,BARO0,20.77,93599
115,0.019,BARO1,21.01,93601
116,0.019,BARO2,21.48,93669
117,0.029,BARO0,20.77,93600
118,0.029,BARO1,21.01,93598
119,0.029,BARO2,21.48,93658
120,0.039,BARO0,20.77,93576
121,0.039,BARO1,21.01,93582
122,0.039,BARO2,21.48,93642
123,0.049,BARO0,20.77,93575
124,0.049,BARO1,21.01,93568
125,0.049,BARO2,21.48,93638
126,0.059,BARO0,20.76,93573
127,0.059,BARO1,21.01,93568
128,0.059,BARO2,21.48,93627
129,0.069,BARO0,20.77,93554
130,0.069,BARO1,21.01,93558
131,0.069,BARO2,21.48,93619
132,0.079,BARO0,20.77,93553
133,0.079,BARO1,21.01,93557
134,0.079,BARO2,21.48,93615
135,0.089,BARO0,20.77,93534
136,0.089,BARO1,21.01,93552
137,0.089,BARO2,21.48,93601
138,0.099,BARO0,20.77,93543
139,0.099,BARO1,21.01,93535
140,0.099,BARO2,21.48,93596
141,0.109,BARO0,20.77,93531
142,0.109,BARO1,21.02,93523
143,0.109,BARO2,21.48,93587
144,0.119,BARO0,20.77,93525
145,0.119,BARO1,21.01,93512
146,0.119,BARO2,21.48,93583
147,0.129,BARO0,20.77,93497
148,0.129,BARO1,21.02,93510
149,0.129,BARO2,21.48,93560
150,0.139,BARO0,20.76,93505
151,0.139,BARO1,21.02,93498
152,0.139,BARO2,21.48,93560
