,ts,error
0,-0.351,12288
1,-0.241,4096
2,-0.151,12288
3,-0.111,4096
4,-0.101,12288
5,0.599,4096
6,0.669,12288
7,0.679,4096
8,0.829,12288
9,0.859,4096
10,0.969,12288
11,1.109,4096
12,1.269,12288
13,1.279,4096
14,1.529,12288
15,1.689,4096
16,2.889,12288
17,2.949,4096
18,3.039,12288
19,3.089,4096
20,3.179,12288
21,6.239,4096
22,6.329,12288
23,6.439,4096
24,6.529,12288
25,6.579,4096
26,6.669,12288
27,7.389,4096
28,7.479,12288
29,7.519,4096
30,7.609,12288
31,7.689,4096
32,7.809,12288
33,8.049,4096
34,8.159,12288
35,8.169,4096
36,8.259,12288
37,8.289,4096
38,8.379,12288
39,8.499,4096
40,8.909,12288
41,8.969,4096
42,9.059,12288
43,9.109,4096
44,12.089,12288
45,12.099,4096
46,12.399,12288
47,12.419,4096
48,12.609,12288
49,12.639,4096
50,12.749,12288
51,12.959,4096
52,12.969,4160
53,12.969,4288
54,12.999,4224
55,12.999,4096
56,13.119,12288
57,13.169,4096
58,13.319,12288
59,13.499,4096
60,13.989,12288
61,14.099,4096
62,14.209,12288
63,14.239,4096
64,14.499,12288
65,14.569,4096
66,14.859,12288
67,14.909,4096
68,15.149,12288
69,15.279,4096
70,15.689,12288
71,15.749,4096
72,15.939,12288
73,16.049,4096
74,16.329,12288
75,16.359,4096
76,17.119,12288
77,17.289,4096
78,17.439,12288
79,17.949,4096
80,18.039,12288
81,18.249,4096
82,18.419,12288
83,18.619,4096
84,19.079,12288
85,19.619,4096
86,19.799,12288
87,19.859,4096
88,19.939,12288
89,20.929,4096
90,21.019,12288
91,21.109,4096
92,21.399,12288
93,21.529,4096
94,21.689,12288
95,21.709,4096
96,21.859,12288
97,21.999,4096
98,22.259,12288
99,22.319,4096
100,22.619,12288
101,22.649,4096
102,22.989,12288
103,23.119,4096
104,23.309,12288
105,23.349,4096
106,23.529,12288
107,23.559,4096
108,23.839,12288
109,23.849,4096
110,24.009,12288
111,24.429,4096
112,24.509,12288
113,24.609,4096
114,24.949,12288
115,24.959,4096
116,25.239,12288
117,25.359,4096
118,25.479,12288
119,25.589,4096
120,25.689,12288
121,25.819,4096
122,25.929,12288
123,26.119,4096
124,26.209,12288
125,26.279,4096
126,26.369,12288
127,28.359,4096
128,28.589,12288
129,28.609,4096
130,28.719,12288
131,28.899,4096
132,29.169,12288
133,32.089,4096
134,32.179,12288
135,33.929,4096
136,34.019,12288
137,34.649,4096
138,34.739,12288
139,35.179,4096
140,35.399,12288
141,35.659,4096
142,35.969,12288
143,36.479,4096
144,36.569,12288
145,36.789,4096
146,36.889,12288
147,36.959,4096
148,37.049,12288
149,37.279,4096
150,37.369,12288
151,38.449,4096
152,38.539,12288
153,39.049,4096
154,39.139,12288
155,39.409,4096
156,39.499,12288
157,41.139,4096
158,41.279,12288
159,41.499,4096
160,41.589,12288
161,42.399,4096
162,42.539,12288
163,42.589,4096
164,42.679,12288
165,42.959,4096
166,43.189,12288
167,44.269,4096
168,44.359,12288
169,45.269,4096
170,45.439,12288
171,45.849,4096
172,45.959,12288
173,45.999,4096
174,46.089,12288
175,46.139,4096
176,46.569,12288
177,46.599,4096
178,46.959,12288
179,47.039,4096
180,47.209,12288
181,47.229,4096
182,47.389,12288
183,47.489,4096
184,47.589,12288
185,47.899,4096
186,48.009,12288
187,48.569,4096
188,48.659,12288
189,48.889,4096
190,49.199,12288
191,49.319,4096
192,49.419,12288
193,49.449,4096
194,49.619,12288
195,49.869,4096
196,50.109,12288
197,50.129,4096
198,50.339,12288
199,50.579,4096
200,50.719,12288
201,50.859,4096
202,50.949,12288
203,50.999,4096
204,51.169,12288
205,51.269,4096
206,51.429,12288
207,51.459,4096
208,51.629,12288
209,51.809,4096
210,52.069,12288
211,52.979,4096
212,53.069,12288
213,54.249,4096
214,54.379,12288
215,54.679,4096
216,54.769,12288
217,54.929,4096
218,55.089,12288
219,56.649,4096
220,56.739,12288
221,57.579,4096
222,57.729,12288
223,57.979,4096
224,58.069,12288
225,58.129,4096
226,58.219,12288
227,58.429,4096
228,58.519,12288
229,60.039,4096
230,60.159,12288
231,61.669,4096
232,61.769,12288
233,61.879,4096
234,61.969,12288
235,62.209,4096
236,62.299,12288
237,64.349,4096
238,64.659,12288
239,66.139,4096
240,66.229,12288
241,66.549,4096
242,66.949,12288
243,67.079,4096
244,67.239,12288
245,67.749,4096
246,67.839,12288
247,67.869,4096
248,67.959,12288
249,67.989,4096
250,68.099,12288
251,68.179,4096
252,68.269,12288
253,68.569,4096
254,68.659,12288
255,70.059,4096
256,70.349,12288
257,71.249,4096
258,71.339,12288
259,72.199,4096
260,72.299,12288
261,72.499,12352
262,72.499,12480
263,72.499,28864
264,72.509,28800
265,72.509,28672
266,72.509,12288
267,72.529,4096
268,72.799,12288
