,ts,acc_x,acc_y,acc_z
0,342007,-2,0,0
1,342017,-2,0,0
2,342027,-2,0,0
3,342037,-2,0,0
4,342047,-2,0,0
5,342057,-2,0,0
6,342067,-2,0,0
7,342077,-2,0,0
8,342087,-2,0,0
9,342097,-2,0,0
10,342107,-2,0,0
11,342117,-2,0,0
12,342127,-1,0,0
13,342137,-2,0,0
14,342147,-2,0,0
15,342157,-2,0,0
16,342167,-2,0,0
17,342177,-2,0,0
18,342187,-2,0,0
19,342197,-2,0,0
20,342207,-2,0,0
21,342217,-2,0,0
22,342227,-2,0,0
23,342237,-2,0,0
24,342247,-2,0,0
25,342257,-8,0,0
26,342267,-19,1,0
27,342277,-25,-1,0
28,342287,-26,0,0
29,342297,-23,0,0
30,342307,-24,-1,0
31,342317,-24,0,0
32,342327,-25,0,0
33,342337,-25,-1,0
34,342347,-25,-1,0
35,342357,-25,0,0
36,342367,-25,0,0
37,342377,-25,-1,0
38,342387,-25,0,0
39,342397,-25,0,0
40,342407,-24,0,0
41,342417,-25,-1,0
42,342427,-24,0,0
43,342437,-24,0,0
44,342447,-24,0,0
45,342457,-24,0,0
46,342467,-24,0,0
47,342477,-24,0,0
48,342487,-24,0,0
49,342497,-24,0,0
50,342507,-24,0,0
51,342517,-24,0,0
52,342527,-24,0,0
53,342537,-24,0,0
54,342547,-24,0,0
55,342557,-25,0,0
56,342567,-24,0,0
57,342577,-25,0,0
58,342587,-24,0,0
59,342597,-24,0,0
60,342607,-24,0,0
61,342617,-25,0,0
62,342627,-24,0,0
63,342637,-24,0,0
64,342647,-25,0,0
65,342657,-24,0,0
66,342667,-25,0,0
67,342677,-24,0,0
68,342687,-24,0,0
69,342697,-24,0,0
70,342707,-24,0,0
71,342717,-24,0,0
72,342727,-24,0,0
73,342737,-24,0,0
74,342747,-24,0,0
75,342757,-24,0,0
76,342767,-24,-1,0
77,342777,-23,0,0
78,342787,-23,0,0
79,342797,-23,0,0
80,342807,-23,0,0
81,342817,-23,0,0
82,342827,-23,0,0
83,342837,-23,0,0
84,342847,-23,-1,0
85,342857,-23,-1,0
86,342867,-23,0,0
87,342877,-23,0,0
88,342887,-23,-1,0
89,342897,-21,-1,0
90,342907,-20,0,0
91,342917,-19,-1,0
92,342927,-18,-1,0
93,342937,-17,0,0
94,342947,-16,-1,0
95,342957,-16,-2,0
96,342967,-12,-1,0
97,342977,-11,-1,0
98,342987,-11,-1,0
99,342997,-10,-1,0
100,343007,-10,-1,0
101,343017,-9,-1,0
102,343027,-4,-1,0
103,343037,-63,2,0
104,343047,-11,-2,0
105,343057,-7,1,0
106,343067,-7,-2,0
107,343077,-7,0,0
108,343087,-7,-1,0
109,343097,-6,0,0
110,343107,-7,-1,0
111,343117,-6,0,0
112,343127,-6,-1,0
113,343137,-6,0,0
114,343147,-6,0,0
115,343157,-6,0,0
116,343167,-6,0,0
117,343177,-6,0,0
118,343187,-6,0,0
119,343197,-6,0,0
120,343207,-6,0,0
121,343217,-6,0,0
122,343227,-5,0,0
123,343237,-6,0,0
124,343247,-6,0,0
125,343257,-5,0,0
126,343267,-5,0,0
127,343277,-5,0,0
128,343287,-5,-1,0
129,343297,-5,0,0
130,343307,-5,0,0
131,343317,-5,0,0
132,343327,-5,0,0
133,343337,-5,-1,0
134,343347,-5,0,0
135,343357,-5,-1,0
136,343367,-5,-1,0
137,343377,-5,-1,0
138,343387,-5,-1,0
139,343397,-5,-1,0
140,343407,-5,-1,0
141,343417,-5,-1,0
142,343427,-5,-1,0
143,343437,-5,-1,0
144,343447,-5,-1,0
145,343457,-5,-1,0
146,343467,-5,-1,0
147,343477,-4,-1,0
148,343487,-4,-1,0
149,343497,-3,-1,0
150,343507,-3,-1,0
151,343517,-1,-1,0
152,343527,-1,-1,0
153,343537,-1,-1,0
154,343547,-1,-1,0
155,343557,0,-1,0
156,343567,0,-1,0
157,343577,0,-1,0
158,343587,0,-1,0
159,343597,0,0,0
160,343607,0,-1,0
161,343617,0,-1,0
162,343627,0,0,0
163,343637,0,-1,0
164,343647,1,0,0
165,343657,1,0,0
166,343667,1,-1,0
167,343677,1,-1,0
168,343687,1,-1,0
169,343697,1,0,0
170,343707,1,-1,0
171,343717,0,0,0
172,343727,1,0,0
173,343737,1,0,0
174,343747,1,-1,0
175,343757,1,-1,0
176,343767,1,-1,0
177,343777,1,-1,0
178,343787,1,-1,0
179,343797,1,-1,0
180,343807,0,-1,0
181,343817,1,-1,0
182,343827,1,-1,0
183,343837,1,-1,0
184,343847,1,-1,0
185,343857,1,-1,0
186,343867,1,-1,0
187,343877,1,-1,0
188,343887,1,-1,0
189,343897,1,-1,0
190,343907,1,-1,0
191,343917,1,0,0
192,343927,1,0,0
193,343937,1,0,0
194,343947,1,0,0
195,343957,1,0,0
196,343967,1,0,0
197,343977,1,0,0
198,343987,1,-1,0
199,343997,1,0,0
200,344007,1,-1,0
201,344017,1,0,0
202,344027,1,-1,0
203,344037,1,-1,0
204,344047,1,-1,0
205,344057,0,-1,0
206,344067,1,-1,0
207,344077,1,-1,0
208,344087,1,-1,0
209,344097,1,-1,0
210,344107,1,-1,0
211,344117,0,0,0
212,344127,0,0,0
213,344137,1,-1,0
214,344147,1,-1,0
215,344157,1,-1,0
216,344167,1,-1,0
217,344177,1,0,0
218,344187,0,-1,0
219,344197,0,0,0
220,344207,1,0,0
221,344217,1,0,0
222,344227,1,-1,0
223,344237,1,0,0
224,344247,1,0,0
225,344257,1,-1,0
226,344267,1,0,0
227,344277,0,-1,0
228,344287,1,0,0
229,344297,1,0,0
230,344307,1,-1,0
231,344317,1,0,0
232,344327,0,0,0
233,344337,0,-1,0
234,344347,1,0,0
235,344357,1,0,0
236,344367,1,-1,0
237,344377,1,0,0
238,344387,1,0,0
239,344397,1,0,0
240,344407,0,-1,0
241,344417,1,-1,0
242,344427,1,-1,0
243,344437,1,-1,0
244,344447,1,0,0
245,344457,1,-1,0
246,344467,0,-1,0
247,344477,1,0,0
248,344487,0,-1,0
249,344497,1,-1,0
250,344507,0,-1,0
251,344517,1,-1,0
252,344527,0,0,0
253,344537,0,-1,0
254,344547,0,-1,0
255,344557,0,0,0
256,344567,0,-1,0
257,344577,0,0,0
258,344587,0,-1,0
259,344597,0,-1,0
260,344607,1,-1,0
261,344617,0,-1,0
262,344627,0,-1,0
263,344637,0,-1,0
264,344647,1,0,0
265,344657,0,-1,0
266,344667,1,-1,0
267,344677,0,0,0
268,344687,1,-1,0
269,344697,1,0,0
270,344707,0,0,0
271,344717,0,0,0
272,344727,0,0,0
273,344737,0,0,0
274,344747,0,-1,0
275,344757,1,-1,0
276,344767,0,-1,0
277,344777,1,0,0
278,344787,0,0,0
279,344797,0,0,0
280,344807,1,-1,0
281,344817,0,0,0
282,344827,1,0,0
283,344837,1,0,0
284,344847,0,0,0
285,344857,0,-1,0
286,344867,0,0,0
287,344877,0,0,0
288,344887,0,-1,0
289,344897,0,-1,0
290,344907,1,-1,0
291,344917,0,-1,0
292,344927,0,0,0
293,344937,0,0,0
294,344947,0,-1,0
295,344957,0,0,0
296,344967,0,0,0
297,344977,1,-1,0
298,344987,0,0,0
299,344997,0,0,0
300,345007,0,0,0
301,345017,0,0,0
302,345027,0,0,0
303,345037,1,0,0
304,345047,0,0,0
305,345057,1,0,0
306,345067,0,0,0
307,345077,0,0,0
308,345087,1,0,0
309,345097,0,-1,0
310,345107,0,0,0
311,345117,0,0,0
312,345127,0,-1,0
313,345137,0,0,0
314,345147,1,0,0
315,345157,0,0,0
316,345167,1,0,0
317,345177,0,0,0
318,345187,0,-1,0
319,345197,0,0,0
320,345207,0,-1,0
321,345217,0,-1,0
322,345227,0,-1,0
323,345237,0,-1,0
324,345247,0,-1,0
325,345257,0,-1,0
326,345267,0,0,0
327,345277,0,-1,0
328,345287,0,0,0
329,345297,0,0,0
330,345307,0,-1,0
331,345317,1,-1,0
332,345327,0,-1,0
333,345337,0,-1,0
334,345347,0,0,0
335,345357,0,0,0
336,345367,0,0,0
337,345377,0,0,0
338,345387,0,-1,0
339,345397,0,0,0
340,345407,0,-1,0
341,345417,0,0,0
342,345427,0,0,0
343,345437,0,0,0
344,345447,0,-1,0
345,345457,1,0,0
346,345467,0,-1,0
347,345477,0,0,0
348,345487,0,0,0
349,345497,0,0,0
350,345507,0,0,0
351,345517,0,0,0
352,345527,0,0,0
353,345537,0,0,0
354,345547,0,0,0
355,345557,0,0,0
356,345567,0,0,0
357,345577,0,0,0
358,345587,0,0,0
359,345597,0,-1,0
360,345607,0,0,0
361,345617,0,0,0
362,345627,0,-1,0
363,345637,0,-1,0
364,345647,0,-1,0
365,345657,0,0,0
366,345667,0,-1,0
367,345677,0,-1,0
368,345687,0,0,0
369,345697,0,0,0
370,345707,0,0,0
371,345717,0,-1,0
372,345727,0,0,0
373,345737,0,0,0
374,345747,0,0,0
375,345757,0,0,0
376,345767,0,0,0
377,345777,0,0,0
378,345787,0,0,0
379,345797,0,0,0
380,345807,0,0,0
381,345817,0,0,0
382,345827,0,0,0
383,345837,0,0,0
384,345847,0,0,0
385,345857,0,0,0
386,345867,0,0,0
387,345877,0,0,0
388,345887,0,0,0
389,345897,0,-1,0
390,345907,0,0,0
391,345917,0,0,0
392,345927,0,0,0
393,345937,0,0,0
394,345947,0,-1,0
395,345957,0,0,0
396,345967,0,-1,0
397,345977,0,-1,0
398,345987,0,0,0
399,345997,0,0,0
400,346007,0,0,0
401,346017,0,0,0
402,346027,0,-1,0
403,346037,0,-1,0
404,346047,0,0,0
405,346057,0,-1,0
406,346067,0,0,0
407,346077,0,-1,0
408,346087,0,-1,0
409,346097,0,-1,0
410,346107,0,-1,0
411,346117,0,-1,0
412,346127,0,-1,0
413,346137,0,0,0
414,346147,0,0,0
415,346157,0,-1,0
416,346167,0,0,0
417,346177,0,0,0
418,346187,0,0,0
419,346197,0,0,0
420,346207,0,0,0
421,346217,0,0,0
422,346227,0,0,0
