,ts,id,T,P
0,342017,BARO0,2076,93630
1,342017,BARO1,2101,93644
2,342017,BARO2,2148,93700
3,342027,BARO0,2076,93633
4,342027,BARO1,2101,93640
5,342027,BARO2,2147,93696
6,342037,BARO0,2077,93637
7,342037,BARO1,2101,93637
8,342037,BARO2,2148,93693
9,342047,BARO0,2077,93643
10,342047,BARO1,2102,93633
11,342047,BARO2,2148,93694
12,342057,BARO0,2077,93634
13,342057,BARO1,2101,93632
14,342057,BARO2,2148,93700
15,342067,BARO0,2077,93634
16,342067,BARO1,2101,93640
17,342067,BARO2,2148,93691
18,342077,BARO0,2077,93636
19,342077,BARO1,2101,93634
20,342077,BARO2,2148,93690
21,342087,BARO0,2077,93634
22,342087,BARO1,2101,93636
23,342087,BARO2,2148,93695
24,342097,BARO0,2077,93639
25,342097,BARO1,2101,93639
26,342097,BARO2,2148,93692
27,342107,BARO0,2076,93637
28,342107,BARO1,2101,93640
29,342107,BARO2,2148,93702
30,342117,BARO0,2077,93630
31,342117,BARO1,2101,93632
32,342117,BARO2,2148,93689
33,342127,BARO0,2077,93641
34,342127,BARO1,2101,93633
35,342127,BARO2,2148,93692
36,342137,BARO0,2077,93634
37,342137,BARO1,2101,93638
38,342137,BARO2,2148,93694
39,342147,BARO0,2077,93640
40,342147,BARO1,2101,93639
41,342147,BARO2,2148,93693
42,342157,BARO0,2077,93639
43,342157,BARO1,2101,93637
44,342157,BARO2,2148,93696
45,342167,BARO0,2077,93646
46,342167,BARO1,2101,93637
47,342167,BARO2,2148,93689
48,342177,BARO0,2077,93642
49,342177,BARO1,2101,93640
50,342177,BARO2,2148,93695
51,342187,BARO0,2077,93641
52,342187,BARO1,2101,93637
53,342187,BARO2,2148,93697
54,342197,BARO0,2077,93634
55,342197,BARO1,2101,93637
56,342197,BARO2,2148,93700
57,342207,BARO0,2077,93637
58,342207,BARO1,2101,93641
59,342207,BARO2,2148,93690
60,342217,BARO0,2077,93648
61,342217,BARO1,2101,93639
62,342217,BARO2,2148,93694
63,342227,BARO0,2076,93644
64,342227,BARO1,2101,93637
65,342227,BARO2,2148,93691
66,342237,BARO0,2077,93638
67,342237,BARO1,2101,93636
68,342237,BARO2,2148,93697
69,342247,BARO0,2077,93638
70,342247,BARO1,2102,93640
71,342247,BARO2,2148,93690
72,342257,BARO0,2077,93668
73,342257,BARO1,2102,93668
74,342257,BARO2,2148,93722
75,342267,BARO0,2077,93673
76,342267,BARO1,2101,93674
77,342267,BARO2,2148,93730
78,342277,BARO0,2077,93690
79,342277,BARO1,2101,93691
80,342277,BARO2,2148,93748
81,342287,BARO0,2077,93652
82,342287,BARO1,2101,93660
83,342287,BARO2,2148,93723
84,342297,BARO0,2076,93604
85,342297,BARO1,2101,93606
86,342297,BARO2,2148,93666
87,342307,BARO0,2077,93575
88,342307,BARO1,2102,93574
89,342307,BARO2,2148,93625
90,342317,BARO0,2077,93582
91,342317,BARO1,2101,93597
92,342317,BARO2,2148,93648
93,342327,BARO0,2077,93627
94,342327,BARO1,2101,93628
95,342327,BARO2,2148,93688
96,342337,BARO0,2077,93625
97,342337,BARO1,2101,93639
98,342337,BARO2,2148,93685
99,342347,BARO0,2077,93635
100,342347,BARO1,2101,93620
101,342347,BARO2,2148,93689
102,342357,BARO0,2077,93616
103,342357,BARO1,2101,93624
104,342357,BARO2,2148,93683
105,342367,BARO0,2077,93621
106,342367,BARO1,2101,93617
107,342367,BARO2,2148,93681
108,342377,BARO0,2077,93616
109,342377,BARO1,2102,93614
110,342377,BARO2,2148,93663
111,342387,BARO0,2077,93595
112,342387,BARO1,2102,93599
113,342387,BARO2,2148,93654
114,342397,BARO0,2077,93599
115,342397,BARO1,2101,93601
116,342397,BARO2,2148,93669
117,342407,BARO0,2077,93600
118,342407,BARO1,2101,93598
119,342407,BARO2,2148,93658
120,342417,BARO0,2077,93576
121,342417,BARO1,2101,93582
122,342417,BARO2,2148,93642
123,342427,BARO0,2077,93575
124,342427,BARO1,2101,93568
125,342427,BARO2,2148,93638
126,342437,BARO0,2076,93573
127,342437,BARO1,2101,93568
128,342437,BARO2,2148,93627
129,342447,BARO0,2077,93554
130,342447,BARO1,2101,93558
131,342447,BARO2,2148,93619
132,342457,BARO0,2077,93553
133,342457,BARO1,2101,93557
134,342457,BARO2,2148,93615
135,342467,BARO0,2077,93534
136,342467,BARO1,2101,93552
137,342467,BARO2,2148,93601
138,342477,BARO0,2077,93543
139,342477,BARO1,2101,93535
140,342477,BARO2,2148,93596
141,342487,BARO0,2077,93531
142,342487,BARO1,2102,93523
143,342487,BARO2,2148,93587
144,342497,BARO0,2077,93525
145,342497,BARO1,2101,93512
146,342497,BARO2,2148,93583
147,342507,BARO0,2077,93497
148,342507,BARO1,2102,93510
149,342507,BARO2,2148,93560
150,342517,BARO0,2076,93505
151,342517,BARO1,2102,93498
152,342517,BARO2,2148,93560
153,342527,BARO0,2077,93488
154,342527,BARO1,2101,93489
155,342527,BARO2,2148,93548
156,342537,BARO0,2077,93482
157,342537,BARO1,2101,93476
158,342537,BARO2,2148,93538
159,342547,BARO0,2078,93474
160,342547,BARO1,2101,93468
161,342547,BARO2,2148,93526
162,342557,BARO0,2077,93455
163,342557,BARO1,2101,93463
164,342557,BARO2,2148,93523
165,342567,BARO0,2077,93452
166,342567,BARO1,2101,93448
167,342567,BARO2,2148,93508
168,342577,BARO0,2077,93446
169,342577,BARO1,2101,93443
170,342577,BARO2,2148,93491
171,342587,BARO0,2077,93424
172,342587,BARO1,2102,93428
173,342587,BARO2,2148,93483
174,342597,BARO0,2077,93405
175,342597,BARO1,2101,93411
176,342597,BARO2,2148,93466
177,342607,BARO0,2077,93399
178,342607,BARO1,2101,93400
179,342607,BARO2,2148,93453
180,342617,BARO0,2077,93388
181,342617,BARO1,2101,93376
182,342617,BARO2,2148,93446
183,342627,BARO0,2077,93365
184,342627,BARO1,2101,93368
185,342627,BARO2,2148,93422
186,342637,BARO0,2077,93356
187,342637,BARO1,2101,93355
188,342637,BARO2,2148,93412
189,342647,BARO0,2077,93328
190,342647,BARO1,2101,93331
191,342647,BARO2,2148,93395
192,342657,BARO0,2077,93317
193,342657,BARO1,2101,93320
194,342657,BARO2,2148,93378
195,342667,BARO0,2077,93303
196,342667,BARO1,2101,93303
197,342667,BARO2,2148,93361
198,342677,BARO0,2077,93287
199,342677,BARO1,2101,93290
200,342677,BARO2,2148,93345
201,342687,BARO0,2076,93279
202,342687,BARO1,2101,93275
203,342687,BARO2,2148,93337
204,342697,BARO0,2077,93252
205,342697,BARO1,2101,93255
206,342697,BARO2,2148,93315
207,342707,BARO0,2077,93237
208,342707,BARO1,2101,93246
209,342707,BARO2,2148,93293
210,342717,BARO0,2077,93225
211,342717,BARO1,2101,93226
212,342717,BARO2,2148,93282
