,ts,error
0,342027,12288
1,342137,4096
2,342227,12288
3,342267,4096
4,342277,12288
5,342977,4096
6,343047,12288
7,343057,4096
8,343207,12288
9,343237,4096
10,343347,12288
11,343487,4096
12,343647,12288
13,343657,4096
14,343907,12288
15,344067,4096
16,345267,12288
17,345327,4096
18,345417,12288
19,345467,4096
20,345557,12288
21,348617,4096
22,348707,12288
23,348817,4096
24,348907,12288
25,348957,4096
26,349047,12288
27,349767,4096
28,349857,12288
29,349897,4096
30,349987,12288
31,350067,4096
32,350187,12288
33,350427,4096
34,350537,12288
35,350547,4096
36,350637,12288
37,350667,4096
38,350757,12288
39,350877,4096
40,351287,12288
41,351347,4096
42,351437,12288
43,351487,4096
44,354467,12288
45,354477,4096
46,354777,12288
47,354797,4096
48,354987,12288
49,355017,4096
50,355127,12288
51,355337,4096
52,355347,4160
53,355347,4288
54,355377,4224
55,355377,4096
56,355497,12288
57,355547,4096
58,355697,12288
59,355877,4096
60,356367,12288
61,356477,4096
62,356587,12288
63,356617,4096
64,356877,12288
65,356947,4096
66,357237,12288
67,357287,4096
68,357527,12288
69,357657,4096
70,358067,12288
71,358127,4096
72,358317,12288
73,358427,4096
74,358707,12288
75,358737,4096
76,359497,12288
77,359667,4096
78,359817,12288
79,360327,4096
80,360417,12288
81,360627,4096
82,360797,12288
83,360997,4096
84,361457,12288
85,361997,4096
86,362177,12288
87,362237,4096
88,362317,12288
89,363307,4096
90,363397,12288
91,363487,4096
92,363777,12288
93,363907,4096
94,364067,12288
95,364087,4096
96,364237,12288
97,364377,4096
98,364637,12288
99,364697,4096
100,364997,12288
101,365027,4096
102,365367,12288
103,365497,4096
104,365687,12288
105,365727,4096
106,365907,12288
107,365937,4096
108,366217,12288
109,366227,4096
110,366387,12288
111,366807,4096
112,366887,12288
113,366987,4096
114,367327,12288
115,367337,4096
116,367617,12288
117,367737,4096
118,367857,12288
119,367967,4096
120,368067,12288
121,368197,4096
122,368307,12288
123,368497,4096
124,368587,12288
125,368657,4096
126,368747,12288
127,370737,4096
128,370967,12288
129,370987,4096
130,371097,12288
131,371277,4096
132,371547,12288
133,374467,4096
134,374557,12288
135,376307,4096
136,376397,12288
137,377027,4096
138,377117,12288
139,377557,4096
140,377777,12288
141,378037,4096
142,378347,12288
143,378857,4096
144,378947,12288
145,379167,4096
146,379267,12288
147,379337,4096
148,379427,12288
149,379657,4096
150,379747,12288
151,380827,4096
152,380917,12288
153,381427,4096
154,381517,12288
155,381787,4096
156,381877,12288
157,383517,4096
158,383657,12288
159,383877,4096
160,383967,12288
161,384777,4096
162,384917,12288
163,384967,4096
164,385057,12288
165,385337,4096
166,385567,12288
167,386647,4096
168,386737,12288
169,387647,4096
170,387817,12288
171,388227,4096
172,388337,12288
173,388377,4096
174,388467,12288
175,388517,4096
176,388947,12288
177,388977,4096
178,389337,12288
179,389417,4096
180,389587,12288
181,389607,4096
182,389767,12288
183,389867,4096
184,389967,12288
185,390277,4096
186,390387,12288
187,390947,4096
188,391037,12288
189,391267,4096
190,391577,12288
191,391697,4096
192,391797,12288
193,391827,4096
194,391997,12288
195,392247,4096
196,392487,12288
197,392507,4096
198,392717,12288
199,392957,4096
200,393097,12288
201,393237,4096
202,393327,12288
203,393377,4096
204,393547,12288
205,393647,4096
206,393807,12288
207,393837,4096
208,394007,12288
209,394187,4096
210,394447,12288
211,395357,4096
212,395447,12288
213,396627,4096
214,396757,12288
215,397057,4096
216,397147,12288
217,397307,4096
218,397467,12288
219,399027,4096
220,399117,12288
221,399957,4096
222,400107,12288
223,400357,4096
224,400447,12288
225,400507,4096
226,400597,12288
227,400807,4096
228,400897,12288
229,402417,4096
230,402537,12288
231,404047,4096
232,404147,12288
233,404257,4096
234,404347,12288
235,404587,4096
236,404677,12288
237,406727,4096
238,407037,12288
239,408517,4096
240,408607,12288
241,408927,4096
242,409327,12288
243,409457,4096
244,409617,12288
245,410127,4096
246,410217,12288
247,410247,4096
248,410337,12288
249,410367,4096
250,410477,12288
251,410557,4096
252,410647,12288
253,410947,4096
254,411037,12288
255,412437,4096
256,412727,12288
257,413627,4096
258,413717,12288
259,414577,4096
260,414677,12288
261,414877,12352
262,414877,12480
263,414877,28864
264,414887,28800
265,414887,28672
266,414887,12288
267,414907,4096
268,415177,12288
