,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,342008,-882,9016,3969,1469
1,342018,-881,9016,3969,1470
2,342028,-880,9017,3968,1470
3,342038,-879,9017,3968,1471
4,342048,-878,9017,3967,1472
5,342058,-877,9017,3966,1473
6,342068,-876,9018,3966,1473
7,342078,-875,9018,3965,1474
8,342088,-874,9018,3965,1474
9,342098,-873,9019,3964,1475
10,342108,-871,9019,3963,1475
11,342118,-870,9019,3963,1476
12,342128,-868,9019,3962,1477
13,342138,-866,9020,3962,1477
14,342148,-865,9020,3961,1478
15,342158,-864,9021,3960,1477
16,342168,-863,9021,3960,1477
17,342178,-863,9021,3960,1476
18,342188,-862,9022,3959,1475
19,342198,-861,9022,3959,1474
20,342208,-860,9022,3959,1474
21,342218,-859,9023,3958,1474
22,342228,-858,9023,3958,1473
23,342238,-857,9023,3958,1473
24,342248,-856,9023,3958,1473
25,342258,-852,9024,3958,1471
26,342268,-856,9022,3959,1474
27,342278,-853,9024,3958,1470
28,342288,-856,9025,3958,1465
29,342298,-856,9026,3956,1459
30,342308,-854,9027,3956,1459
31,342318,-853,9027,3955,1457
32,342328,-855,9029,3953,1450
33,342338,-858,9031,3953,1436
34,342348,-860,9033,3954,1420
35,342358,-860,9033,3957,1409
36,342368,-860,9034,3958,1403
37,342378,-860,9035,3959,1392
38,342388,-857,9036,3961,1384
39,342398,-855,9037,3962,1375
40,342408,-855,9038,3962,1368
41,342418,-851,9040,3962,1357
42,342428,-847,9042,3963,1345
43,342438,-843,9043,3965,1333
44,342448,-840,9045,3966,1320
45,342458,-836,9047,3967,1307
46,342468,-832,9049,3968,1292
47,342478,-827,9050,3970,1277
48,342488,-823,9052,3972,1261
49,342498,-818,9054,3974,1246
50,342508,-812,9056,3976,1231
51,342518,-806,9057,3978,1216
52,342528,-800,9059,3980,1201
53,342538,-793,9061,3982,1187
54,342548,-785,9062,3984,1173
55,342558,-778,9064,3985,1159
56,342568,-770,9065,3987,1147
57,342578,-762,9067,3989,1134
58,342588,-754,9068,3991,1122
59,342598,-746,9069,3992,1112
60,342608,-739,9070,3994,1102
61,342618,-731,9071,3996,1093
62,342628,-723,9073,3997,1084
63,342638,-717,9074,3998,1077
64,342648,-710,9075,3998,1071
65,342658,-705,9075,3999,1066
66,342668,-700,9076,3999,1062
67,342678,-696,9077,3998,1059
68,342688,-693,9078,3996,1058
69,342698,-691,9079,3994,1059
70,342708,-691,9080,3991,1062
71,342718,-692,9081,3988,1067
72,342728,-694,9081,3985,1074
73,342738,-697,9082,3981,1083
74,342748,-702,9081,3978,1092
75,342758,-708,9081,3975,1103
76,342768,-716,9080,3972,1114
77,342778,-725,9079,3969,1126
78,342788,-737,9078,3967,1137
79,342798,-750,9077,3964,1147
80,342808,-766,9075,3962,1156
81,342818,-783,9073,3961,1162
82,342828,-802,9071,3962,1165
83,342838,-824,9069,3963,1164
84,342848,-848,9066,3965,1161
85,342858,-874,9063,3969,1154
86,342868,-901,9059,3974,1143
87,342878,-930,9055,3981,1129
88,342888,-962,9050,3989,1113
89,342898,-1642,8917,4190,290
90,342908,-3231,7978,4626,-1961
91,342918,-4312,6163,5108,-4134
92,342928,-4203,5002,5953,-4694
93,342938,-4310,3997,6482,-4857
94,342948,-4666,3526,6704,-4564
95,342958,-4955,3132,6855,-4317
96,342968,-5192,2803,6950,-4107
97,342978,-5391,2527,7004,-3934
98,342988,-5563,2293,7028,-3792
99,342998,-5717,2095,7028,-3676
100,343008,-5857,1925,7011,-3582
101,343018,-5987,1776,6978,-3506
102,343028,-6109,1645,6935,-3444
103,343038,-6226,1529,6883,-3391
104,343048,-6336,1431,6823,-3352
105,343058,-6447,1345,6748,-3328
106,343068,-6555,1251,6675,-3299
107,343078,-6665,1170,6591,-3279
108,343088,-6771,1086,6506,-3260
109,343098,-6878,1011,6413,-3245
110,343108,-6982,935,6318,-3232
111,343118,-7084,863,6219,-3222
112,343128,-7186,793,6115,-3214
113,343138,-7286,725,6007,-3207
114,343148,-7386,658,5896,-3200
115,343158,-7484,593,5781,-3195
116,343168,-7581,530,5662,-3190
117,343178,-7676,468,5540,-3186
118,343188,-7769,406,5415,-3183
119,343198,-7861,346,5287,-3181
120,343208,-7951,287,5156,-3179
121,343218,-8039,229,5021,-3178
122,343228,-8124,172,4884,-3178
123,343238,-8207,115,4744,-3178
124,343248,-8288,60,4602,-3180
125,343258,-8365,5,4458,-3184
126,343268,-8439,-49,4311,-3189
127,343278,-8510,-103,4163,-3196
128,343288,-8578,-157,4013,-3205
129,343298,-8642,-211,3860,-3216
130,343308,-8703,-264,3706,-3229
131,343318,-8760,-317,3551,-3245
132,343328,-8814,-369,3394,-3262
133,343338,-8863,-422,3237,-3282
134,343348,-8909,-475,3077,-3305
135,343358,-8951,-528,2916,-3329
136,343368,-8988,-581,2754,-3357
137,343378,-9022,-635,2589,-3389
138,343388,-9051,-689,2423,-3423
139,343398,-9075,-743,2258,-3461
140,343408,-9094,-796,2094,-3502
141,343418,-9107,-851,1934,-3547
142,343428,-9115,-905,1775,-3595
143,343438,-9119,-959,1620,-3646
144,343448,-9117,-1014,1468,-3700
145,343458,-9110,-1069,1320,-3756
146,343468,-9099,-1126,1174,-3813
147,343478,-9085,-1183,1030,-3872
148,343488,-9066,-1243,888,-3932
149,343498,-9043,-1305,746,-3994
150,343508,-9016,-1371,605,-4056
151,343518,-8985,-1439,463,-4119
152,343528,-8950,-1511,322,-4183
153,343538,-8910,-1587,180,-4249
154,343548,-8865,-1668,39,-4315
155,343558,-8814,-1753,-99,-4383
156,343568,-8758,-1843,-237,-4452
157,343578,-8696,-1938,-374,-4523
158,343588,-8630,-2035,-508,-4595
159,343598,-8558,-2135,-642,-4667
160,343608,-8480,-2240,-773,-4739
161,343618,-8396,-2348,-902,-4812
162,343628,-8306,-2461,-1027,-4887
163,343638,-8210,-2577,-1147,-4962
164,343648,-8107,-2698,-1264,-5038
165,343658,-7999,-2822,-1377,-5112
166,343668,-7885,-2952,-1484,-5185
167,343678,-7766,-3086,-1586,-5257
168,343688,-7640,-3225,-1683,-5327
