,ts,id,T,P
0,0.009,BARO0,21.51,97967
1,0.009,BARO1,21.72,98098
2,0.009,BARO2,23.36,98063
3,0.019,BARO0,21.52,97962
4,0.019,BARO1,21.72,98105
5,0.019,BARO2,23.36,98068
6,0.029,BARO0,21.52,97963
7,0.029,BARO1,21.73,98104
8,0.029,BARO2,23.36,98056
9,0.039,BARO0,21.51,97961
10,0.039,BARO1,21.72,98099
11,0.039,BARO2,23.36,98059
12,0.049,BARO0,21.52,97976
13,0.049,BARO1,21.72,98099
14,0.049,BARO2,23.36,98063
15,0.059,BARO0,21.51,97963
16,0.059,BARO1,21.72,98102
17,0.059,BARO2,23.36,98061
18,0.069,BARO0,21.51,97964
19,0.069,BARO1,21.72,98096
20,0.069,BARO2,23.36,98065
21,0.079,BARO0,21.52,97971
22,0.079,BARO1,21.72,98100
23,0.079,BARO2,23.36,98070
24,0.089,BARO0,21.52,97968
25,0.089,BARO1,21.72,98098
26,0.089,BARO2,23.36,98071
27,0.099,BARO0,21.51,97961
28,0.099,BARO1,21.73,98097
29,0.099,BARO2,23.36,98060
