,ts,id,T,P
0,31175,BARO0,2151,97967
1,31175,BARO1,2172,98098
2,31175,BARO2,2336,98063
3,31185,BARO0,2152,97962
4,31185,BARO1,2172,98105
5,31185,BARO2,2336,98068
6,31195,BARO0,2152,97963
7,31195,BARO1,2173,98104
8,31195,BARO2,2336,98056
9,31205,BARO0,2151,97961
10,31205,BARO1,2172,98099
11,31205,BARO2,2336,98059
12,31215,BARO0,2152,97976
13,31215,BARO1,2172,98099
14,31215,BARO2,2336,98063
15,31225,BARO0,2151,97963
16,31225,BARO1,2172,98102
17,31225,BARO2,2336,98061
18,31235,BARO0,2151,97964
19,31235,BARO1,2172,98096
20,31235,BARO2,2336,98065
21,31245,BARO0,2152,97971
22,31245,BARO1,2172,98100
23,31245,BARO2,2336,98070
24,31255,BARO0,2152,97968
25,31255,BARO1,2172,98098
26,31255,BARO2,2336,98071
27,31265,BARO0,2151,97961
28,31265,BARO1,2173,98097
29,31265,BARO2,2336,98060
