,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,31175,IMU0,27,33,-1073,26,12,4
1,31175,IMU1,49,36,-1111,7,11,-2
2,31185,IMU0,35,30,-1067,26,15,2
3,31185,IMU1,58,35,-1104,7,15,-4
4,31195,IMU0,27,31,-1070,27,12,5
5,31195,IMU1,51,38,-1104,7,10,0
6,31205,IMU0,35,33,-1073,24,15,2
7,31205,IMU1,56,40,-1108,3,12,-4
8,31215,IMU0,29,31,-1069,27,11,4
9,31215,IMU1,49,37,-1101,10,9,-2
10,31225,IMU0,36,35,-1067,24,15,3
11,31225,IMU1,59,39,-1108,4,12,-4
12,31235,IMU0,28,31,-1074,25,9,5
13,31235,IMU1,48,38,-1108,7,8,-2
14,31245,IMU0,33,31,-1072,25,14,2
15,31245,IMU1,58,35,-1108,6,15,-5
16,31255,IMU0,31,32,-1072,25,9,3
17,31255,IMU1,53,40,-1105,7,9,-3
18,31265,IMU0,31,31,-1073,24,15,5
19,31265,IMU1,55,36,-1108,5,14,-3
