,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,-0.37,1.837,9.45,2.546,0.914
1,-0.36,1.838,9.45,2.545,0.915
2,-0.35,1.84,9.45,2.543,0.915
3,-0.34,1.841,9.45,2.542,0.915
4,-0.33,1.843,9.45,2.541,0.916
5,-0.32,1.844,9.45,2.54,0.916
6,-0.31,1.845,9.45,2.539,0.917
7,-0.3,1.847,9.45,2.538,0.917
8,-0.29,1.848,9.45,2.537,0.917
9,-0.28,1.849,9.45,2.536,0.918
10,-0.27,1.851,9.449,2.535,0.918
11,-0.26,1.852,9.449,2.533,0.919
12,-0.25,1.853,9.449,2.532,0.919
13,-0.24,1.855,9.449,2.531,0.92
14,-0.23,1.856,9.449,2.53,0.92
15,-0.22,1.858,9.449,2.529,0.921
16,-0.21,1.859,9.449,2.528,0.921
17,-0.2,1.86,9.449,2.527,0.922
18,-0.19,1.862,9.449,2.526,0.922
19,-0.18,1.863,9.449,2.525,0.922
20,-0.17,1.864,9.449,2.524,0.923
21,-0.16,1.866,9.449,2.523,0.923
22,-0.15,1.867,9.449,2.521,0.923
23,-0.14,1.868,9.45,2.52,0.922
24,-0.13,1.865,9.451,2.519,0.921
25,-0.12,1.857,9.453,2.518,0.918
26,-0.11,1.845,9.455,2.518,0.918
27,-0.1,1.831,9.457,2.52,0.921
28,-0.09,1.821,9.457,2.523,0.927
29,-0.08,1.812,9.457,2.529,0.93
30,-0.07,1.81,9.456,2.535,0.929
31,-0.06,1.811,9.455,2.54,0.927
32,-0.05,1.81,9.454,2.543,0.929
33,-0.04,1.805,9.454,2.545,0.933
34,-0.03,1.797,9.454,2.55,0.936
35,-0.02,1.789,9.454,2.556,0.933
36,-0.01,1.783,9.454,2.563,0.929
37,0.0,1.779,9.453,2.569,0.928
38,0.01,1.776,9.452,2.574,0.931
39,0.02,1.772,9.451,2.578,0.933
40,0.03,1.767,9.451,2.583,0.934
41,0.04,1.763,9.451,2.587,0.932
42,0.05,1.76,9.45,2.591,0.929
43,0.06,1.758,9.45,2.594,0.927
44,0.07,1.757,9.45,2.597,0.927
45,0.08,1.757,9.449,2.599,0.929
46,0.09,1.756,9.448,2.601,0.933
47,0.1,1.754,9.448,2.603,0.935
48,0.11,1.752,9.448,2.605,0.934
49,0.12,1.75,9.447,2.607,0.933
50,0.13,1.75,9.447,2.61,0.931
51,0.14,1.749,9.446,2.613,0.93
52,0.15,1.748,9.445,2.617,0.931
53,0.16,1.75,9.444,2.621,0.932
54,0.17,1.751,9.443,2.623,0.932
55,0.18,1.754,9.442,2.624,0.932
56,0.19,1.756,9.442,2.624,0.931
57,0.2,1.758,9.442,2.623,0.93
