,ts,acc_x,acc_y,acc_z
0,31175,-1,0,0
1,31185,0,0,0
2,31195,-1,0,0
3,31205,0,0,0
4,31215,0,0,0
5,31225,-1,0,0
6,31235,-1,0,0
7,31245,-1,0,0
8,31255,0,0,0
9,31265,-1,0,0
10,31275,0,0,0
11,31285,0,0,0
12,31295,0,0,0
13,31305,0,0,0
14,31315,-1,0,0
15,31325,-1,0,0
16,31335,0,0,0
17,31345,-1,-1,0
18,31355,-1,0,0
19,31365,0,0,0
20,31375,0,0,0
21,31385,-1,0,0
22,31395,0,0,0
23,31405,-1,0,0
24,31415,0,0,0
25,31425,-1,0,0
26,31435,0,0,0
27,31445,-1,0,0
28,31455,-1,0,0
29,31465,-1,0,0
30,31475,0,0,0
31,31485,0,0,0
32,31495,0,0,0
33,31505,-1,0,0
34,31515,0,0,0
35,31525,-1,0,0
36,31535,-1,0,0
37,31545,0,0,0
38,31555,0,0,0
39,31565,0,-1,0
40,31575,0,-1,0
41,31585,0,-1,0
42,31595,0,0,0
43,31605,-1,-1,0
44,31615,-1,0,0
45,31625,-1,0,0
46,31635,0,0,0
47,31645,0,0,0
48,31655,0,0,0
49,31665,0,0,0
50,31675,-1,0,0
51,31685,0,0,0
52,31695,-1,0,0
53,31705,-1,0,0
54,31715,-1,0,0
55,31725,0,-1,0
56,31735,-1,0,0
57,31745,0,-1,0
58,31755,-1,0,0
59,31765,0,-1,0
60,31775,0,0,0
61,31785,0,-1,0
62,31795,0,0,0
63,31805,0,0,0
64,31815,-1,0,0
65,31825,0,0,0
66,31835,-1,0,0
67,31845,0,-1,0
68,31855,-1,0,0
69,31865,-1,-1,0
70,31875,-1,0,0
71,31885,0,-1,0
72,31895,0,0,0
73,31905,-1,0,0
74,31915,-1,0,0
75,31925,0,-1,0
76,31935,-1,0,0
77,31945,0,0,0
78,31955,-1,0,0
79,31965,-1,0,0
80,31975,-1,0,0
81,31985,-1,0,0
82,31995,0,0,0
83,32005,-1,0,0
84,32015,-1,0,0
85,32025,0,0,0
86,32035,-1,0,0
87,32045,0,0,0
88,32055,0,0,0
89,32065,-1,0,0
90,32075,-1,0,0
91,32085,-1,0,0
92,32095,0,-1,0
93,32105,0,0,0
94,32115,0,0,0
95,32125,0,-1,0
96,32135,-1,0,0
97,32145,-1,1,0
98,32155,0,0,0
99,32165,-1,0,0
100,32175,-1,0,0
101,32185,-1,0,0
102,32195,-1,-1,0
103,32205,-1,0,0
104,32215,-1,0,0
105,32225,0,-1,0
106,32235,-1,0,0
107,32245,0,0,0
108,32255,0,-1,0
109,32265,-1,0,0
110,32275,0,0,0
111,32285,-1,0,0
112,32295,-1,-1,0
113,32305,-1,0,0
114,32315,-1,0,0
115,32325,-1,-1,0
116,32335,-1,1,0
117,32345,0,-1,0
118,32355,-1,0,0
119,32365,0,0,0
120,32375,0,0,0
121,32385,-1,-1,0
122,32395,-1,1,0
123,32405,-1,-1,0
124,32415,-1,-1,0
125,32425,-1,0,0
126,32435,0,-1,0
127,32445,-1,0,0
128,32455,0,0,0
129,32465,-1,0,0
130,32475,0,-1,0
131,32485,-1,0,0
132,32495,-1,0,0
133,32505,-1,-1,0
134,32515,0,-1,0
135,32525,-1,0,0
136,32535,0,0,0
137,32545,-1,-1,0
138,32555,-1,0,0
139,32565,-1,0,0
140,32575,-1,0,0
141,32585,0,-1,0
142,32595,0,0,0
143,32605,-1,0,0
144,32615,-1,0,0
145,32625,-1,-1,0
146,32635,-1,0,0
147,32645,-1,0,0
148,32655,0,0,0
149,32665,-1,0,0
150,32675,0,-1,0
151,32685,-1,0,0
152,32695,-1,0,0
153,32705,0,0,0
154,32715,-1,-1,0
155,32725,0,-1,0
156,32735,-1,0,0
157,32745,-1,0,0
158,32755,-1,0,0
159,32765,-1,0,0
160,32775,0,0,0
161,32785,-1,-1,0
162,32795,0,0,0
163,32805,0,0,0
164,32815,-1,0,0
165,32825,-1,-1,0
166,32835,-1,-1,0
167,32845,0,0,0
168,32855,-1,0,0
169,32865,0,0,0
170,32875,0,0,0
171,32885,0,-1,0
172,32895,-1,0,0
173,32905,0,0,0
174,32915,-1,1,0
175,32925,-1,0,0
176,32935,0,0,0
177,32945,-1,0,0
178,32955,0,-1,0
179,32965,-1,0,0
180,32975,-1,0,0
181,32985,-1,0,0
182,32995,0,0,0
183,33005,-1,0,0
184,33015,0,-1,0
185,33025,-1,-1,0
186,33035,-1,0,0
187,33045,0,0,0
188,33055,0,0,0
189,33065,-1,1,0
190,33075,0,-1,0
191,33085,0,-1,0
192,33095,-1,-1,0
193,33105,-1,0,0
194,33115,0,-1,0
195,33125,-1,1,0
196,33135,-1,0,0
197,33145,0,0,0
198,33155,0,0,0
199,33165,-1,-1,0
200,33175,0,-1,0
201,33185,-1,0,0
202,33195,-1,0,0
203,33205,0,0,0
204,33215,0,0,0
205,33225,0,0,0
206,33235,0,-1,0
207,33245,0,0,0
208,33255,0,-1,0
209,33265,-1,0,0
210,33275,0,0,0
211,33285,0,0,0
212,33295,0,0,0
213,33305,0,-1,0
214,33315,0,-1,0
215,33325,-1,0,0
216,33335,0,0,0
217,33345,0,0,0
218,33355,-1,0,0
219,33365,0,-1,0
220,33375,-1,0,0
221,33385,0,0,0
222,33395,0,-1,0
223,33405,-1,-1,0
224,33415,-1,0,0
225,33425,0,0,0
226,33435,0,-1,0
227,33445,-1,0,0
228,33455,0,0,0
229,33465,0,-1,0
230,33475,-1,-1,0
231,33485,0,0,0
232,33495,0,0,0
233,33505,-1,-1,0
234,33515,-1,0,0
235,33525,0,0,0
236,33535,-1,-1,0
237,33545,0,-1,0
238,33555,-1,1,0
239,33565,0,-1,0
240,33575,0,0,0
241,33585,0,0,0
242,33595,-1,0,0
243,33605,0,-1,0
244,33615,0,0,0
245,33625,-1,0,0
246,33635,0,-1,0
247,33645,-1,0,0
248,33655,0,0,0
249,33665,0,0,0
250,33675,-1,-1,0
251,33685,0,0,0
252,33695,-1,-1,0
253,33705,-1,0,0
254,33715,0,0,0
255,33725,0,0,0
256,33735,0,-1,0
257,33745,-1,1,0
258,33755,0,0,0
259,33765,0,-1,0
260,33775,-1,0,0
261,33785,0,0,0
262,33795,0,0,0
263,33805,0,-1,0
264,33815,-1,0,0
265,33825,-1,0,0
266,33835,-1,0,0
267,33845,0,-1,0
268,33855,-1,0,0
269,33865,0,0,0
270,33875,0,-1,0
271,33885,-1,-1,0
272,33895,0,0,0
273,33905,-1,0,0
274,33915,0,-1,0
275,33925,0,-1,0
276,33935,-1,0,0
277,33945,0,0,0
278,33955,0,0,0
279,33965,0,-1,0
280,33975,0,-1,0
281,33985,-1,0,0
282,33995,-1,1,0
283,34005,0,-1,0
284,34015,-1,-1,0
285,34025,-1,-1,0
286,34035,0,0,0
287,34045,-1,0,0
288,34055,0,-1,0
289,34065,-1,-1,0
290,34075,-1,0,0
291,34085,0,0,0
292,34095,0,0,0
293,34105,-1,-1,0
294,34115,-1,0,0
295,34125,0,0,0
296,34135,0,-1,0
297,34145,-1,-1,0
298,34155,0,-1,0
299,34165,-1,0,0
300,34175,0,0,0
301,34185,0,-1,0
302,34195,-1,-1,0
303,34205,0,-1,0
304,34215,-1,0,0
305,34225,-1,0,0
306,34235,0,-1,0
307,34245,-1,-1,0
308,34255,0,0,0
309,34265,0,0,0
310,34275,0,0,0
311,34285,0,-1,0
312,34295,-1,-1,0
313,34305,-1,0,0
314,34315,0,-1,0
315,34325,-1,0,0
316,34335,-1,-1,0
317,34345,0,0,0
318,34355,-1,0,0
319,34365,0,0,0
320,34375,-1,-1,0
321,34385,-1,-1,0
322,34395,0,-1,0
323,34405,-1,0,0
324,34415,0,0,0
325,34425,0,-1,0
326,34435,-1,-1,0
327,34445,-1,-1,0
328,34455,0,0,0
329,34465,-1,0,0
330,34475,0,-1,0
331,34485,-1,-1,0
332,34495,-1,-1,0
333,34505,-1,0,0
334,34515,-1,0,0
335,34525,0,1,0
336,34535,-1,-1,0
337,34545,-1,-1,0
338,34555,0,0,0
339,34565,-1,0,0
340,34575,0,-1,0
341,34585,0,-1,0
342,34595,-1,0,0
343,34605,-1,0,0
344,34615,0,0,0
345,34625,-1,0,0
346,34635,-1,-1,0
347,34645,-1,-1,0
348,34655,-1,-1,0
349,34665,-1,0,0
350,34675,0,0,0
351,34685,-1,0,0
352,34695,0,-1,0
353,34705,0,-1,0
354,34715,-1,-1,0
355,34725,-1,0,0
356,34735,0,0,0
357,34745,-1,0,0
358,34755,-1,0,0
359,34765,0,0,0
360,34775,0,-1,0
361,34785,-1,-1,0
362,34795,-1,0,0
363,34805,-1,-1,0
364,34815,-1,0,0
365,34825,-1,0,0
366,34835,0,-1,0
367,34845,-1,-1,0
368,34855,-1,0,0
369,34865,-1,-1,0
370,34875,-1,0,0
371,34885,-1,0,0
372,34895,-1,0,0
373,34905,-1,-1,0
374,34915,-1,0,0
375,34925,0,-1,0
376,34935,-1,-1,0
377,34945,0,0,0
378,34955,-1,0,0
379,34965,-1,0,0
380,34975,0,-1,0
381,34985,0,-1,0
382,34995,-1,0,0
383,35005,-1,0,0
384,35015,0,0,0
385,35025,-1,0,0
386,35035,-1,-1,0
387,35045,0,-1,0
388,35055,0,-1,0
389,35065,-1,0,0
390,35075,-1,0,0
391,35085,0,-1,0
392,35095,-1,0,0
393,35105,-1,0,0
394,35115,0,-1,0
395,35125,0,0,0
396,35135,-1,0,0
397,35145,-1,0,0
398,35155,0,0,0
399,35165,-1,0,0
400,35175,0,-1,0
401,35185,-1,-1,0
402,35195,-1,0,0
403,35205,0,0,0
404,35215,0,0,0
405,35225,-1,0,0
406,35235,-1,0,0
407,35245,0,-1,0
408,35255,-1,-1,0
409,35265,-1,-1,0
410,35275,0,-1,0
411,35285,0,0,0
412,35295,-1,0,0
413,35305,0,-1,0
414,35315,-1,-1,0
415,35325,0,-1,0
416,35335,-1,-1,0
417,35345,0,-1,0
418,35355,-1,-1,0
419,35365,0,0,0
420,35375,0,0,0
421,35385,0,-1,0
422,35395,-1,-1,0
423,35405,0,-1,0
424,35415,-1,0,0
425,35425,-1,0,0
426,35435,-1,0,0
427,35445,0,0,0
428,35455,-1,-1,0
429,35465,-1,0,0
430,35475,0,-1,0
431,35485,0,-1,0
432,35495,-1,0,0
433,35505,0,0,0
434,35515,0,-1,0
435,35525,-1,1,0
436,35535,0,-1,0
437,35545,0,-1,0
438,35555,0,-1,0
439,35565,-1,0,0
440,35575,0,-1,0
441,35585,-1,0,0
442,35595,-1,0,0
443,35605,0,0,0
444,35615,0,-1,0
445,35625,0,0,0
446,35635,0,-1,0
447,35645,0,-1,0
448,35655,0,-1,0
449,35665,-1,0,0
450,35675,-1,0,0
451,35685,0,-1,0
452,35695,-1,0,0
453,35705,-1,0,0
454,35715,0,0,0
455,35725,0,-1,0
456,35735,0,-1,0
457,35745,0,-1,0
458,35755,0,-1,0
459,35765,-1,-1,0
460,35775,0,0,0
461,35785,0,0,0
462,35795,0,-1,0
463,35805,0,-1,0
464,35815,0,-1,0
465,35825,-1,0,0
466,35835,0,0,0
467,35845,-1,-1,0
468,35855,0,0,0
469,35865,0,0,0
470,35875,0,-1,0
471,35885,0,-1,0
472,35895,-1,-1,0
473,35905,-1,-1,0
474,35915,0,-1,0
475,35925,0,-1,0
476,35935,-1,0,0
477,35945,0,0,0
478,35955,0,0,0
479,35965,0,-1,0
480,35975,-1,-1,0
481,35985,0,-1,0
482,35995,-1,-1,0
483,36005,-1,0,0
484,36015,0,0,0
485,36025,0,-1,0
486,36035,-1,0,0
487,36045,0,0,0
488,36055,0,-1,0
489,36065,0,-1,0
490,36075,-1,-1,0
491,36085,-1,-1,0
492,36095,0,-1,0
493,36105,-1,0,0
494,36115,-1,0,0
495,36125,0,0,0
496,36135,0,-1,0
497,36145,-1,0,0
498,36155,0,-1,0
499,36165,-1,-1,0
500,36175,0,-1,0
501,36185,-1,0,0
502,36195,0,0,0
503,36205,0,0,0
504,36215,-1,0,0
505,36225,0,-1,0
506,36235,0,-1,0
507,36245,-1,-1,0
508,36255,0,-1,0
509,36265,-1,-1,0
510,36275,-1,0,0
511,36285,-1,1,0
512,36295,-1,0,0
513,36305,0,0,0
514,36315,0,-1,0
515,36325,-1,0,0
516,36335,0,-1,0
517,36345,0,-1,0
518,36355,-1,-1,0
519,36365,-1,-1,0
520,36375,0,0,0
521,36385,0,0,0
522,36395,0,0,0
523,36405,0,-1,0
524,36415,0,-1,0
525,36425,0,-1,0
526,36435,-1,0,0
527,36445,0,-1,0
528,36455,-1,0,0
529,36465,0,0,0
530,36475,0,0,0
531,36485,-1,-1,0
532,36495,0,0,0
533,36505,-1,0,0
534,36515,0,-1,0
535,36525,0,-1,0
536,36535,-1,-1,0
537,36545,-1,0,0
538,36555,0,-1,0
539,36565,-1,0,0
540,36575,-1,0,0
541,36585,-1,0,0
542,36595,0,-1,0
543,36605,-1,-1,0
544,36615,0,-1,0
545,36625,-1,-1,0
546,36635,-1,0,0
547,36645,0,0,0
548,36655,0,-1,0
549,36665,0,0,0
550,36675,-1,0,0
551,36685,0,-1,0
552,36695,0,-1,0
553,36705,-1,-1,0
554,36715,-1,-1,0
555,36725,0,-1,0
556,36735,0,0,0
557,36745,0,0,0
558,36755,0,-1,0
559,36765,0,-1,0
560,36775,-1,-1,0
561,36785,0,-1,0
562,36795,0,0,0
563,36805,-1,0,0
564,36815,0,-1,0
565,36825,-1,-1,0
566,36835,0,-1,0
567,36845,-1,0,0
568,36855,-1,0,0
569,36865,0,-1,0
570,36875,-1,0,0
571,36885,0,-1,0
572,36895,-1,0,0
573,36905,0,0,0
574,36915,-1,-1,0
575,36925,0,0,0
576,36935,-1,-1,0
577,36945,0,-1,0
578,36955,-1,0,0
579,36965,-1,-1,0
580,36975,0,-1,0
581,36985,-1,0,0
582,36995,0,-1,0
583,37005,0,-1,0
584,37015,0,-1,0
585,37025,0,-1,0
586,37035,-1,-1,0
587,37045,0,-1,0
588,37055,-1,-1,0
589,37065,-1,-1,0
590,37075,0,-1,0
591,37085,0,-1,0
592,37095,0,0,0
593,37105,0,0,0
594,37115,-1,-1,0
595,37125,-1,-1,0
596,37135,-1,-1,0
597,37145,0,-1,0
598,37155,0,-1,0
599,37165,0,-1,0
600,37175,-1,-1,0
601,37185,0,-1,0
602,37195,0,-1,0
603,37205,-1,-1,0
604,37215,-1,-1,0
605,37225,0,-1,0
606,37235,0,-1,0
607,37245,0,-1,0
608,37255,-1,-1,0
609,37265,0,-1,0
610,37275,-1,-1,0
611,37285,-1,-1,0
612,37295,0,-1,0
613,37305,-1,0,0
614,37315,-1,-1,0
615,37325,-1,-1,0
616,37335,0,-1,0
617,37345,0,-1,0
618,37355,0,0,0
619,37365,-1,-1,0
620,37375,0,0,0
621,37385,0,0,0
622,37395,0,0,0
623,37405,0,0,0
624,37415,0,0,0
625,37425,0,0,0
626,37435,0,-1,0
627,37445,-1,-1,0
628,37455,0,0,0
629,37465,-1,-1,0
630,37475,0,-1,0
631,37485,-1,0,0
632,37495,0,-1,0
633,37505,-1,-1,0
634,37515,-1,-1,0
635,37525,0,0,0
636,37535,0,-1,0
637,37545,0,0,0
638,37555,-1,0,0
639,37565,-1,-1,0
640,37575,0,0,0
641,37585,0,0,0
642,37595,0,-1,0
643,37605,-1,-1,0
644,37615,-1,0,0
645,37625,-1,-1,0
646,37635,-1,-1,0
647,37645,0,-1,0
648,37655,-1,-1,0
649,37665,0,-1,0
650,37675,-1,-1,0
651,37685,-1,0,0
652,37695,-1,-1,0
653,37705,-1,-1,0
654,37715,0,-1,0
655,37725,0,0,0
656,37735,-1,-1,0
657,37745,0,0,0
658,37755,0,-1,0
659,37765,0,-1,0
660,37775,0,-1,0
661,37785,-1,0,0
662,37795,-1,-1,0
663,37805,-1,-1,0
664,37815,-1,-1,0
665,37825,-1,-1,0
666,37835,-1,0,0
667,37845,-1,-1,0
668,37855,0,-1,0
669,37865,-1,-1,0
670,37875,0,-1,0
671,37885,0,-1,0
672,37895,-1,0,0
673,37905,-1,-1,0
674,37915,-1,-1,0
675,37925,-1,-1,0
676,37935,0,-1,0
677,37945,-1,-1,0
678,37955,-1,-1,0
679,37965,-1,-1,0
680,37975,-1,0,0
681,37985,-1,-1,0
682,37995,0,-1,0
683,38005,0,-1,0
684,38015,-1,-1,0
685,38025,-1,-1,0
686,38035,-1,-1,0
687,38045,-1,-1,0
688,38055,-1,-1,0
689,38065,-1,-1,0
690,38075,-1,-1,0
691,38085,-1,-1,0
692,38095,-1,-1,0
693,38105,-1,-1,0
694,38115,-1,0,0
695,38125,-1,-1,0
696,38135,-1,-1,0
697,38145,0,-1,0
698,38155,0,-1,0
699,38165,-1,-1,0
700,38175,-1,-1,0
701,38185,0,-1,0
702,38195,0,-1,0
703,38205,0,-1,0
704,38215,0,-1,0
705,38225,-1,0,0
706,38235,-1,-1,0
707,38245,0,0,0
708,38255,0,-1,0
709,38265,0,-1,0
710,38275,-1,-1,0
711,38285,-1,-1,0
712,38295,-1,-1,0
713,38305,-1,-1,0
714,38315,-1,-1,0
715,38325,-1,-1,0
716,38335,0,-1,0
717,38345,0,-1,0
718,38355,0,-1,0
719,38365,0,-1,0
720,38375,-1,0,0
721,38385,-1,-1,0
722,38395,-1,-1,0
723,38405,-1,-1,0
724,38415,-1,-1,0
725,38425,0,-1,0
726,38435,-1,-1,0
727,38445,-1,-1,0
728,38455,0,-1,0
729,38465,-1,-1,0
730,38475,0,-1,0
731,38485,0,-1,0
732,38495,0,-1,0
733,38505,-1,-1,0
734,38515,-1,-1,0
735,38525,0,-1,0
736,38535,-1,-1,0
737,38545,0,-1,0
738,38555,0,-1,0
739,38565,0,-1,0
740,38575,0,-1,0
741,38585,0,-1,0
742,38595,-1,-1,0
743,38605,0,-1,0
744,38615,-1,0,0
745,38625,-1,-1,0
746,38635,-1,0,0
747,38645,0,-1,0
748,38655,-1,-1,0
749,38665,0,0,0
750,38675,-1,-1,0
751,38685,0,-1,0
752,38695,-1,-1,0
753,38705,-1,-1,0
754,38715,0,-1,0
755,38725,0,-1,0
756,38735,0,-1,0
757,38745,0,-1,0
758,38755,0,-1,0
759,38765,-1,-1,0
760,38775,0,-1,0
761,38785,0,-1,0
762,38795,0,-1,0
763,38805,0,-1,0
764,38815,0,-1,0
765,38825,0,-1,0
766,38835,-1,-1,0
767,38845,-1,-1,0
768,38855,0,-1,0
769,38865,0,-1,0
770,38875,-1,-1,0
771,38885,0,-1,0
772,38895,0,-1,0
773,38905,0,-1,0
774,38915,0,-1,0
775,38925,0,-1,0
776,38935,-1,-1,0
777,38945,0,-1,0
778,38955,0,-1,0
779,38965,0,-1,0
780,38975,0,-1,0
781,38985,0,-1,0
782,38995,-1,-1,0
783,39005,0,-1,0
784,39015,0,-1,0
785,39025,0,-1,0
786,39035,0,-1,0
787,39045,0,-1,0
788,39055,-1,-1,0
789,39065,0,-1,0
790,39075,0,-1,0
791,39085,0,-1,0
792,39095,0,-1,0
793,39105,-1,-1,0
794,39115,0,0,0
795,39125,0,-1,0
796,39135,-1,-1,0
797,39145,0,-1,0
798,39155,0,-1,0
799,39165,0,-1,0
800,39175,0,-1,0
801,39185,0,-1,0
802,39195,0,-1,0
803,39205,-1,-1,0
804,39215,0,-1,0
805,39225,0,-1,0
806,39235,0,-1,0
807,39245,-1,-1,0
808,39255,-1,-1,0
809,39265,0,-1,0
810,39275,0,-1,0
811,39285,0,-1,0
812,39295,0,-1,0
813,39305,0,-1,0
814,39315,-1,-1,0
815,39325,0,-1,0
816,39335,0,-1,0
817,39345,0,-1,0
818,39355,0,-1,0
819,39365,0,-1,0
820,39375,0,-1,0
821,39385,-1,-1,0
822,39395,-1,-1,0
823,39405,-1,-1,0
824,39415,0,-1,0
825,39425,-1,-1,0
826,39435,-1,-1,0
827,39445,0,-1,0
828,39455,0,-1,0
829,39465,0,-1,0
830,39475,0,-1,0
831,39485,0,-1,0
832,39495,0,-1,0
833,39505,0,-1,0
834,39515,0,0,0
835,39525,-1,-1,0
836,39535,0,-1,0
837,39545,0,-1,0
838,39555,0,-1,0
839,39565,-1,-1,0
840,39575,0,-1,0
841,39585,0,-1,0
842,39595,0,0,0
843,39605,0,0,0
844,39615,0,-1,0
845,39625,0,0,0
846,39635,0,0,0
847,39645,0,-1,0
848,39655,0,-1,0
849,39665,0,-1,0
850,39675,0,-1,0
851,39685,-1,-1,0
852,39695,-1,-1,0
853,39705,0,0,0
854,39715,-1,0,0
855,39725,0,-1,0
856,39735,0,-1,0
857,39745,0,-1,0
