,ts,id,T,P
0,31175,BARO0,2151,97967
1,31175,BARO1,2172,98098
2,31175,BARO2,2336,98063
3,31185,BARO0,2152,97962
4,31185,BARO1,2172,98105
5,31185,BARO2,2336,98068
6,31195,BARO0,2152,97963
7,31195,BARO1,2173,98104
8,31195,BARO2,2336,98056
9,31205,BARO0,2151,97961
10,31205,BARO1,2172,98099
11,31205,BARO2,2336,98059
12,31215,BARO0,2152,97976
13,31215,BARO1,2172,98099
14,31215,BARO2,2336,98063
15,31225,BARO0,2151,97963
16,31225,BARO1,2172,98102
17,31225,BARO2,2336,98061
18,31235,BARO0,2151,97964
19,31235,BARO1,2172,98096
20,31235,BARO2,2336,98065
21,31245,BARO0,2152,97971
22,31245,BARO1,2172,98100
23,31245,BARO2,2336,98070
24,31255,BARO0,2152,97968
25,31255,BARO1,2172,98098
26,31255,BARO2,2336,98071
27,31265,BARO0,2151,97961
28,31265,BARO1,2173,98097
29,31265,BARO2,2336,98060
30,31275,BARO0,2152,97968
31,31275,BARO1,2173,98098
32,31275,BARO2,2336,98068
33,31285,BARO0,2151,97960
34,31285,BARO1,2173,98098
35,31285,BARO2,2336,98066
36,31295,BARO0,2152,97951
37,31295,BARO1,2173,98100
38,31295,BARO2,2336,98066
39,31305,BARO0,2152,97964
40,31305,BARO1,2173,98098
41,31305,BARO2,2336,98061
42,31315,BARO0,2151,97965
43,31315,BARO1,2173,98102
44,31315,BARO2,2336,98060
45,31325,BARO0,2151,97962
46,31325,BARO1,2172,98093
47,31325,BARO2,2336,98061
48,31335,BARO0,2151,97960
49,31335,BARO1,2173,98102
50,31335,BARO2,2336,98057
51,31345,BARO0,2151,97959
52,31345,BARO1,2172,98099
53,31345,BARO2,2336,98065
54,31355,BARO0,2152,97956
55,31355,BARO1,2173,98104
56,31355,BARO2,2336,98059
57,31365,BARO0,2151,97964
58,31365,BARO1,2173,98097
59,31365,BARO2,2336,98059
60,31375,BARO0,2151,97961
61,31375,BARO1,2173,98090
62,31375,BARO2,2336,98061
63,31385,BARO0,2151,97961
64,31385,BARO1,2173,98097
65,31385,BARO2,2336,98059
66,31395,BARO0,2151,97970
67,31395,BARO1,2172,98101
68,31395,BARO2,2336,98060
69,31405,BARO0,2151,97951
70,31405,BARO1,2172,98091
71,31405,BARO2,2336,98058
72,31415,BARO0,2151,97953
73,31415,BARO1,2172,98089
74,31415,BARO2,2336,98047
75,31425,BARO0,2151,97957
76,31425,BARO1,2173,98084
77,31425,BARO2,2336,98048
78,31435,BARO0,2151,97970
79,31435,BARO1,2173,98080
80,31435,BARO2,2336,98077
81,31445,BARO0,2151,98008
82,31445,BARO1,2173,98102
83,31445,BARO2,2336,98096
84,31455,BARO0,2151,98014
85,31455,BARO1,2173,98101
86,31455,BARO2,2335,98095
87,31465,BARO0,2151,97996
88,31465,BARO1,2173,98098
89,31465,BARO2,2336,98075
90,31475,BARO0,2151,97948
91,31475,BARO1,2173,98095
92,31475,BARO2,2336,98056
93,31485,BARO0,2151,97940
94,31485,BARO1,2172,98086
95,31485,BARO2,2336,98048
96,31495,BARO0,2150,97881
97,31495,BARO1,2172,98071
98,31495,BARO2,2336,98000
99,31505,BARO0,2150,97963
100,31505,BARO1,2173,98060
101,31505,BARO2,2336,98061
102,31515,BARO0,2151,97923
103,31515,BARO1,2172,98069
104,31515,BARO2,2336,98037
105,31525,BARO0,2150,97920
106,31525,BARO1,2173,98050
107,31525,BARO2,2336,98021
108,31535,BARO0,2151,97913
109,31535,BARO1,2173,98067
110,31535,BARO2,2336,98020
111,31545,BARO0,2150,97930
112,31545,BARO1,2173,98069
113,31545,BARO2,2336,98021
114,31555,BARO0,2151,97944
115,31555,BARO1,2173,98059
116,31555,BARO2,2336,98046
117,31565,BARO0,2151,97937
118,31565,BARO1,2172,98067
119,31565,BARO2,2336,98026
120,31575,BARO0,2150,97924
121,31575,BARO1,2172,98064
122,31575,BARO2,2336,98030
123,31585,BARO0,2150,97920
124,31585,BARO1,2173,98058
125,31585,BARO2,2336,98023
126,31595,BARO0,2150,97924
