,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,31176,1837,9450,2546,914
1,31186,1838,9450,2545,915
2,31196,1840,9450,2543,915
3,31206,1841,9450,2542,915
4,31216,1843,9450,2541,916
5,31226,1844,9450,2540,916
6,31236,1845,9450,2539,917
7,31246,1847,9450,2538,917
8,31256,1848,9450,2537,917
9,31266,1849,9450,2536,918
10,31276,1851,9449,2535,918
11,31286,1852,9449,2533,919
12,31296,1853,9449,2532,919
13,31306,1855,9449,2531,920
14,31316,1856,9449,2530,920
15,31326,1858,9449,2529,921
16,31336,1859,9449,2528,921
17,31346,1860,9449,2527,922
18,31356,1862,9449,2526,922
19,31366,1863,9449,2525,922
20,31376,1864,9449,2524,923
21,31386,1866,9449,2523,923
22,31396,1867,9449,2521,923
23,31406,1868,9450,2520,922
24,31416,1865,9451,2519,921
25,31426,1857,9453,2518,918
26,31436,1845,9455,2518,918
27,31446,1831,9457,2520,921
28,31456,1821,9457,2523,927
29,31466,1812,9457,2529,930
30,31476,1810,9456,2535,929
31,31486,1811,9455,2540,927
32,31496,1810,9454,2543,929
33,31506,1805,9454,2545,933
34,31516,1797,9454,2550,936
35,31526,1789,9454,2556,933
36,31536,1783,9454,2563,929
37,31546,1779,9453,2569,928
38,31556,1776,9452,2574,931
39,31566,1772,9451,2578,933
40,31576,1767,9451,2583,934
41,31586,1763,9451,2587,932
42,31596,1760,9450,2591,929
43,31606,1758,9450,2594,927
44,31616,1757,9450,2597,927
45,31626,1757,9449,2599,929
46,31636,1756,9448,2601,933
47,31646,1754,9448,2603,935
48,31656,1752,9448,2605,934
49,31666,1750,9447,2607,933
50,31676,1750,9447,2610,931
51,31686,1749,9446,2613,930
52,31696,1748,9445,2617,931
53,31706,1750,9444,2621,932
54,31716,1751,9443,2623,932
55,31726,1754,9442,2624,932
56,31736,1756,9442,2624,931
57,31746,1758,9442,2623,930
58,31756,1761,9442,2621,932
59,31766,1763,9442,2619,933
60,31776,1765,9442,2616,933
61,31786,1766,9443,2614,933
62,31796,1768,9443,2610,933
63,31806,1771,9444,2607,933
64,31816,1773,9444,2604,933
65,31826,1776,9445,2600,933
66,31836,1779,9445,2597,932
67,31846,1780,9446,2595,928
68,31856,1781,9446,2593,925
69,31866,1783,9447,2591,922
70,31876,1786,9447,2589,920
71,31886,1788,9448,2587,918
72,31896,1789,9448,2584,916
73,31906,1789,9449,2582,915
74,31916,1788,9449,2581,914
75,31926,1788,9450,2581,913
76,31936,1786,9450,2581,912
77,31946,1785,9450,2582,914
78,31956,1784,9449,2583,916
79,31966,1782,9449,2584,917
80,31976,1781,9449,2585,919
81,31986,1782,9449,2585,920
82,31996,1784,9448,2585,921
83,32006,1786,9448,2584,922
84,32016,1787,9448,2584,922
85,32026,1788,9448,2583,922
86,32036,1789,9448,2583,920
87,32046,1791,9448,2582,920
88,32056,1792,9448,2581,923
89,32066,1793,9448,2580,926
90,32076,1795,9447,2579,927
91,32086,1800,9447,2577,927
92,32096,1808,9446,2575,926
93,32106,1818,9445,2572,924
94,32116,1828,9444,2568,923
95,32126,1837,9444,2563,922
96,32136,1847,9444,2557,922
97,32146,1857,9444,2551,922
98,32156,1868,9443,2545,921
99,32166,1881,9443,2537,921
100,32176,1895,9442,2529,921
101,32186,1910,9441,2520,920
102,32196,1925,9441,2510,919
103,32206,1941,9441,2499,918
104,32216,1959,9440,2487,919
105,32226,1978,9440,2475,919
106,32236,1998,9439,2462,916
107,32246,2019,9438,2450,912
108,32256,2044,9436,2436,907
109,32266,2071,9435,2421,904
110,32276,2100,9433,2405,901
111,32286,2127,9432,2387,898
112,32296,2154,9430,2369,897
113,32306,2181,9429,2348,896
114,32316,2209,9428,2328,895
115,32326,2238,9426,2307,895
116,32336,2269,9424,2285,896
117,32346,2301,9422,2262,897
118,32356,2332,9420,2237,898
119,32366,2364,9418,2212,900
120,32376,2396,9416,2187,900
121,32386,2428,9413,2161,901
122,32396,2459,9411,2134,902
123,32406,2487,9410,2109,902
124,32416,2512,9409,2083,902
125,32426,2532,9409,2060,901
126,32436,2549,9409,2037,901
127,32446,2562,9410,2016,899
128,32456,2573,9411,1997,894
129,32466,2583,9413,1981,890
130,32476,2591,9414,1965,886
131,32486,2597,9415,1951,886
132,32496,2601,9417,1937,890
133,32506,2602,9419,1926,893
134,32516,2602,9420,1917,894
135,32526,2602,9422,1909,895
136,32536,2603,9422,1903,896
137,32546,2604,9423,1898,899
138,32556,2605,9424,1893,901
139,32566,2606,9424,1890,904
140,32576,2607,9424,1887,905
141,32586,2606,9425,1884,906
142,32596,2603,9426,1882,907
143,32606,2597,9427,1881,909
144,32616,2589,9429,1882,909
145,32626,2577,9432,1885,910
146,32636,2565,9435,1889,910
147,32646,2553,9437,1894,909
148,32656,2543,9438,1900,909
149,32666,2533,9440,1907,910
150,32676,2522,9441,1914,911
151,32686,2512,9442,1922,913
152,32696,2503,9442,1931,915
153,32706,2496,9442,1939,914
154,32716,2491,9442,1947,914
155,32726,2488,9442,1954,915
156,32736,2486,9441,1959,915
157,32746,2484,9440,1964,915
158,32756,2481,9440,1969,912
159,32766,2479,9440,1973,910
160,32776,2476,9441,1976,909
161,32786,2472,9441,1979,909
162,32796,2467,9441,1983,911
163,32806,2461,9442,1987,911
164,32816,2454,9443,1992,910
165,32826,2448,9443,1998,908
166,32836,2441,9444,2004,906
167,32846,2436,9444,2009,906
168,32856,2430,9445,2014,906
169,32866,2424,9445,2019,906
170,32876,2417,9446,2024,906
171,32886,2410,9447,2030,905
172,32896,2403,9447,2036,905
173,32906,2399,9447,2042,904
174,32916,2396,9447,2046,904
175,32926,2395,9446,2050,905
176,32936,2394,9446,2053,904
177,32946,2394,9445,2056,902
178,32956,2394,9445,2059,901
179,32966,2394,9445,2060,899
180,32976,2394,9444,2062,899
181,32986,2394,9444,2062,900
182,32996,2394,9444,2063,901
183,33006,2393,9444,2065,901
184,33016,2393,9443,2066,900
185,33026,2394,9443,2068,899
186,33036,2394,9443,2069,900
187,33046,2395,9442,2069,901
188,33056,2396,9442,2069,902
189,33066,2395,9442,2069,902
190,33076,2390,9443,2070,902
191,33086,2383,9445,2071,901
192,33096,2374,9447,2073,901
193,33106,2364,9448,2077,901
194,33116,2355,9450,2082,901
195,33126,2345,9451,2087,900
196,33136,2334,9452,2094,898
197,33146,2325,9453,2100,897
198,33156,2319,9453,2107,897
199,33166,2315,9453,2113,897
200,33176,2312,9452,2119,897
