,ts,acc_x,acc_y,acc_z
0,-0.361,0,-1,0
1,-0.351,0,-1,0
2,-0.341,0,-1,0
3,-0.331,0,0,0
4,-0.321,0,-1,0
5,-0.311,0,-1,0
6,-0.301,0,-1,0
7,-0.291,0,-1,0
8,-0.281,0,-1,0
9,-0.271,0,-1,0
10,-0.261,0,-1,0
11,-0.251,0,-1,0
12,-0.241,0,-1,0
13,-0.231,0,0,0
14,-0.221,0,-1,0
15,-0.211,0,-1,0
16,-0.201,0,-1,0
17,-0.191,0,-1,0
18,-0.181,0,-1,0
19,-0.171,0,-1,0
20,-0.161,0,-1,0
21,-0.151,0,-1,0
22,-0.141,-1,-1,0
23,-0.131,0,-1,0
24,-0.121,0,-1,0
25,-0.111,0,-1,0
26,-0.101,-1,-1,0
27,-0.091,-1,-1,0
28,-0.081,-1,-1,0
29,-0.071,-1,-1,0
30,-0.061,-1,-1,0
31,-0.051,0,0,0
32,-0.041,0,0,0
33,-0.031,-1,-1,0
34,-0.021,0,-1,0
35,-0.011,0,-1,0
36,-0.001,0,-1,0
37,0.009,0,-1,0
38,0.019,0,-1,0
39,0.029,0,-1,0
40,0.039,-1,-1,0
41,0.049,-1,0,0
42,0.059,0,0,0
43,0.069,0,-1,0
44,0.079,0,-1,0
45,0.089,0,0,0
46,0.099,-1,0,0
47,0.109,0,0,0
48,0.119,0,-1,0
49,0.129,-1,0,0
50,0.139,-1,0,0
51,0.149,0,-1,0
52,0.159,0,-1,0
53,0.169,0,0,0
54,0.179,-1,0,0
55,0.189,0,-1,0
56,0.199,-1,0,0
57,0.209,-1,0,0
58,0.219,0,-1,0
59,0.229,0,0,0
60,0.239,0,-1,0
61,0.249,0,-1,0
62,0.259,0,0,0
63,0.269,0,-1,0
64,0.279,0,-1,0
65,0.289,-1,-1,0
66,0.299,0,-1,0
67,0.309,-1,0,0
68,0.319,0,-1,0
69,0.329,0,0,0
70,0.339,0,-1,0
71,0.349,0,-1,0
72,0.359,-1,-1,0
73,0.369,0,-1,0
74,0.379,-1,0,0
75,0.389,0,-1,0
76,0.399,0,0,0
77,0.409,0,-2,0
78,0.419,0,0,0
79,0.429,0,-1,0
80,0.439,0,0,0
81,0.449,0,-1,0
82,0.459,0,0,0
83,0.469,0,-1,0
84,0.479,0,-1,0
85,0.489,0,0,0
86,0.499,0,-1,0
87,0.509,0,0,0
88,0.519,0,-1,0
89,0.529,0,0,0
90,0.539,0,-1,0
91,0.549,0,-1,0
92,0.559,0,-1,0
