,ts,id,T,P
0,-0.361,BARO0,19.11,97973
1,-0.361,BARO1,19.94,98102
2,-0.361,BARO2,20.96,98069
3,-0.351,BARO0,19.11,97979
4,-0.351,BARO1,19.93,98097
5,-0.351,BARO2,20.96,98064
6,-0.341,BARO0,19.12,97980
7,-0.341,BARO1,19.94,98098
8,-0.341,BARO2,20.96,98073
9,-0.331,BARO0,19.12,97980
10,-0.331,BARO1,19.94,98107
11,-0.331,BARO2,20.96,98074
12,-0.321,BARO0,19.11,97988
13,-0.321,BARO1,19.93,98104
14,-0.321,BARO2,20.96,98071
15,-0.311,BARO0,19.11,97966
16,-0.311,BARO1,19.94,98103
17,-0.311,BARO2,20.96,98072
18,-0.301,BARO0,19.11,97985
19,-0.301,BARO1,19.94,98106
20,-0.301,BARO2,20.96,98078
21,-0.291,BARO0,19.12,97972
22,-0.291,BARO1,19.94,98097
23,-0.291,BARO2,20.96,98066
24,-0.281,BARO0,19.11,97982
25,-0.281,BARO1,19.94,98096
26,-0.281,BARO2,20.96,98066
27,-0.271,BARO0,19.12,97973
28,-0.271,BARO1,19.94,98091
29,-0.271,BARO2,20.96,98069
30,-0.261,BARO0,19.12,97976
31,-0.261,BARO1,19.94,98097
32,-0.261,BARO2,20.96,98068
33,-0.251,BARO0,19.12,97967
34,-0.251,BARO1,19.94,98108
35,-0.251,BARO2,20.96,98065
36,-0.241,BARO0,19.12,97984
37,-0.241,BARO1,19.94,98106
38,-0.241,BARO2,20.97,98066
39,-0.231,BARO0,19.12,97972
40,-0.231,BARO1,19.94,98102
41,-0.231,BARO2,20.97,98067
42,-0.221,BARO0,19.12,97977
43,-0.221,BARO1,19.94,98101
44,-0.221,BARO2,20.97,98065
45,-0.211,BARO0,19.12,97972
46,-0.211,BARO1,19.94,98105
47,-0.211,BARO2,20.97,98067
48,-0.201,BARO0,19.12,97973
49,-0.201,BARO1,19.94,98104
50,-0.201,BARO2,20.97,98073
51,-0.191,BARO0,19.12,97974
52,-0.191,BARO1,19.94,98100
53,-0.191,BARO2,20.96,98065
54,-0.181,BARO0,19.12,97974
55,-0.181,BARO1,19.94,98105
56,-0.181,BARO2,20.96,98071
57,-0.171,BARO0,19.12,97976
58,-0.171,BARO1,19.94,98095
59,-0.171,BARO2,20.97,98070
60,-0.161,BARO0,19.13,97963
61,-0.161,BARO1,19.94,98099
62,-0.161,BARO2,20.96,98059
63,-0.151,BARO0,19.13,97968
64,-0.151,BARO1,19.94,98090
65,-0.151,BARO2,20.97,98058
66,-0.141,BARO0,19.13,97972
67,-0.141,BARO1,19.94,98090
68,-0.141,BARO2,20.96,98062
69,-0.131,BARO0,19.13,97972
70,-0.131,BARO1,19.94,98081
71,-0.131,BARO2,20.96,98066
72,-0.121,BARO0,19.13,97976
73,-0.121,BARO1,19.94,98090
74,-0.121,BARO2,20.97,98054
75,-0.111,BARO0,19.12,97980
76,-0.111,BARO1,19.94,98089
77,-0.111,BARO2,20.96,98073
78,-0.101,BARO0,19.13,97978
79,-0.101,BARO1,19.94,98072
80,-0.101,BARO2,20.97,98055
81,-0.091,BARO0,19.13,97954
82,-0.091,BARO1,19.94,98062
83,-0.091,BARO2,20.97,98048
84,-0.081,BARO0,19.12,97971
85,-0.081,BARO1,19.94,98078
86,-0.081,BARO2,20.97,98051
87,-0.071,BARO0,19.13,97959
88,-0.071,BARO1,19.94,98082
89,-0.071,BARO2,20.97,98076
90,-0.061,BARO0,19.13,97932
91,-0.061,BARO1,19.94,98062
92,-0.061,BARO2,20.97,98022
93,-0.051,BARO0,19.13,97938
94,-0.051,BARO1,19.94,98064
95,-0.051,BARO2,20.97,98037
96,-0.041,BARO0,19.13,97946
97,-0.041,BARO1,19.94,98069
98,-0.041,BARO2,20.97,98038
99,-0.031,BARO0,19.13,97942
100,-0.031,BARO1,19.94,98070
101,-0.031,BARO2,20.97,98031
102,-0.021,BARO0,19.13,97947
103,-0.021,BARO1,19.94,98070
