,ts,error
0,40855,1040
1,40904,3088
2,40915,3072
3,40945,3088
4,40975,3072
5,41015,3088
6,41094,1040
7,41185,1024
8,41205,1040
9,41225,1024
10,41305,1040
11,41315,1024
12,41535,1040
13,41545,1024
14,41565,1040
15,41615,1024
16,41625,1040
17,41695,1024
18,41704,3072
19,41775,3088
20,41795,3072
21,41805,3088
22,41884,1040
23,41885,1024
24,41965,1040
25,42025,1024
26,42035,1040
27,42085,1024
28,42135,1040
29,42165,1024
30,42215,1040
31,42225,1024
32,42265,1040
33,42335,1024
34,42395,1040
35,42465,1024
36,42495,1040
37,42585,1024
38,42595,1040
39,42605,1024
40,42645,1040
41,42695,1024
42,42745,1040
43,42795,1024
44,42815,1040
45,42845,1024
46,42855,1040
47,42865,1024
48,42875,1040
49,42915,1024
50,42975,1040
51,43025,1024
52,43035,1040
53,43065,1024
54,43115,1040
55,43125,1024
56,43175,1040
57,43195,1024
58,43205,1040
59,43225,1024
60,43235,1040
61,43305,1024
62,43345,1040
63,43365,1024
64,43385,1040
65,43424,3088
66,43444,1040
67,43475,1024
68,43505,1040
69,43534,3088
70,43595,3072
71,43635,3088
72,43655,3072
73,43675,3088
74,43685,3072
75,43724,1024
76,43755,1040
77,43844,3088
78,43855,3072
79,43915,3088
80,43974,1040
81,44045,1024
82,44055,1040
83,44065,1024
84,44155,1040
85,44175,1024
86,44195,1040
87,44265,1024
88,44404,3072
89,44414,1024
90,44435,1040
91,44445,1024
92,44465,1040
93,44485,1024
94,44575,1040
95,44585,1024
96,44675,1040
97,44705,1024
98,44725,1040
99,44745,1024
100,44755,1040
101,44795,1024
102,44845,1040
103,44915,1024
104,45045,1040
105,45105,1024
106,45135,1040
107,45215,1024
108,45425,1040
109,45515,1024
110,45555,1040
111,45595,1024
112,45744,3072
113,45764,1024
114,45775,1040
115,45785,1024
116,45955,1040
117,46055,1024
118,46075,1040
119,46175,1024
120,46355,1040
121,46385,1024
122,46405,1040
123,46475,1024
124,46495,1040
125,46545,1024
126,46705,1040
127,46785,1024
128,46805,1040
129,46855,1024
130,46905,1040
131,46975,1024
132,47025,1040
133,47195,1024
134,47315,1040
135,47445,1024
136,47525,1040
137,47864,3088
138,47865,3072
139,47905,3088
140,47974,1040
141,48035,1024
142,48065,1040
143,48075,1024
144,48095,1040
145,48125,1024
146,48155,1040
147,48195,1024
148,48265,1040
149,48284,3088
150,48285,3072
151,48415,3088
152,48434,1040
153,48524,3088
154,48545,3072
155,48615,3088
156,48644,1040
157,48805,1024
158,48824,3072
159,48835,3088
160,48844,1040
161,49004,3088
162,49034,1040
163,49115,1024
164,49135,1040
165,49184,3088
166,49194,1040
167,49285,1024
168,49404,3072
169,49464,1024
170,49554,3072
171,49584,1024
172,49615,1040
173,49704,3088
174,49714,1040
175,49874,3088
176,49905,3072
177,49925,3088
178,50015,3072
179,50035,3088
180,50065,3072
181,50184,1024
182,50274,3072
183,50415,3088
184,50474,1040
185,50475,1024
186,50564,3072
187,50605,3088
188,50624,1040
189,50714,3088
190,50814,1040
191,50895,1024
192,50974,3072
193,51015,3088
194,51105,3072
195,51215,3088
196,51274,1040
197,51335,1024
198,51404,3072
199,51405,3088
200,51565,3072
201,51624,1024
202,51824,3072
203,52045,3088
204,52194,1040
205,52294,3088
206,52375,3072
207,52384,1024
208,52504,3072
209,52614,1024
210,52764,3072
211,52765,3088
212,52814,1040
213,52905,1024
214,53065,1040
215,53085,1024
216,53094,3072
217,53134,1024
218,53215,1040
219,53225,1024
220,53255,1040
221,53514,3088
222,53524,1040
223,53694,3088
224,53754,1040
225,53815,1024
226,53844,3072
227,53944,1024
228,54034,3072
229,54054,1024
230,54155,1040
231,54345,1024
232,54455,1040
233,54584,3088
234,54614,1040
235,54645,1024
236,54714,3072
237,54844,1024
238,54845,1040
239,54934,3088
240,54954,1040
241,54975,1024
242,55445,1040
243,55474,3088
244,55674,1040
245,55975,1024
246,55994,3072
247,56034,1024
248,56365,1040
249,56374,3088
250,56425,3072
251,56464,1024
252,56554,3072
253,56584,1024
254,56655,1040
255,56694,3088
256,56705,3072
257,56764,1024
258,57295,1040
259,57375,1024
260,57745,1040
261,58015,1024
262,58125,1040
263,58165,1024
264,58535,1040
265,58704,3088
266,58745,3072
267,58794,1024
268,58795,1040
269,58884,3088
270,58914,1040
271,59535,1024
272,60205,1040
273,60384,3088
274,60404,1040
275,60615,1024
276,61005,1040
277,61104,3088
278,61124,1040
279,61275,1024
280,61324,3072
281,61404,1024
282,61445,1040
283,61525,1024
284,61584,3072
285,61694,1024
286,61784,3072
287,61835,3088
288,61854,1040
289,61945,1024
290,62034,3072
291,62064,1024
292,62365,1040
293,62425,1024
