,ts,acc_x,acc_y,acc_z
0,-0.331,-1,0,0
1,-0.321,-1,0,0
2,-0.311,-1,0,0
3,-0.301,-1,0,0
4,-0.291,-1,0,0
5,-0.281,-1,0,0
6,-0.271,-1,0,0
7,-0.261,-1,0,0
8,-0.251,-1,0,0
9,-0.241,-1,0,0
10,-0.231,0,0,0
11,-0.221,0,0,0
12,-0.211,0,0,0
13,-0.201,0,0,0
14,-0.191,0,0,0
15,-0.181,0,-1,0
16,-0.171,-1,0,0
17,-0.161,-1,1,0
18,-0.151,-1,0,0
19,-0.141,-1,0,0
20,-0.131,0,1,0
21,-0.121,-1,0,0
22,-0.111,0,-1,0
23,-0.101,-1,0,0
24,-0.091,0,-1,0
25,-0.081,-1,-1,0
26,-0.071,-1,-1,0
27,-0.061,-2,0,0
28,-0.051,-1,0,0
29,-0.041,0,0,0
30,-0.031,0,0,0
31,-0.021,-1,-1,0
32,-0.011,-1,1,0
33,-0.001,-1,0,0
34,0.009,-1,0,0
35,0.019,0,1,0
36,0.029,-1,0,0
37,0.039,0,-1,0
38,0.049,-1,1,0
39,0.059,-1,0,0
40,0.069,-1,0,0
41,0.079,-1,1,0
42,0.089,-1,1,0
43,0.099,-1,0,0
44,0.109,-1,0,0
45,0.119,0,0,0
46,0.129,-1,0,0
47,0.139,0,0,0
48,0.149,-1,0,0
49,0.159,-1,0,0
50,0.169,-1,0,0
51,0.179,-1,0,0
52,0.189,-2,0,0
53,0.199,-1,0,0
54,0.209,-1,0,0
55,0.219,0,0,0
56,0.229,0,0,0
57,0.239,-1,0,0
58,0.249,-1,0,0
59,0.259,-2,-1,0
60,0.269,-1,0,0
61,0.279,0,0,0
62,0.289,-1,1,0
63,0.299,-1,0,0
64,0.309,-1,0,0
65,0.319,0,0,0
66,0.329,0,0,0
67,0.339,-2,0,0
68,0.349,-1,0,0
69,0.359,0,0,0
70,0.369,-1,0,0
71,0.379,-1,0,0
72,0.389,-1,0,0
73,0.399,-1,0,0
74,0.409,0,0,0
75,0.419,-1,0,0
76,0.429,-1,-1,0
77,0.439,-1,0,0
78,0.449,-1,0,0
79,0.459,-1,0,0
80,0.469,0,0,0
81,0.479,-1,0,0
82,0.489,-2,0,0
83,0.499,0,0,0
84,0.509,0,0,0
85,0.519,-1,-1,0
86,0.529,-2,-1,0
87,0.539,-1,0,0
88,0.549,0,1,0
89,0.559,-2,0,0
90,0.569,-1,0,0
91,0.579,0,0,0
92,0.589,-1,0,0
93,0.599,-1,0,0
94,0.609,-1,0,0
95,0.619,0,0,0
96,0.629,-1,-1,0
97,0.639,-1,-1,0
98,0.649,0,1,0
99,0.659,-1,0,0
100,0.669,-1,0,0
101,0.679,-1,0,0
102,0.689,0,-1,0
103,0.699,0,0,0
104,0.709,-2,-1,0
105,0.719,-1,0,0
106,0.729,-1,0,0
107,0.739,-1,-1,0
108,0.749,0,0,0
109,0.759,-2,0,0
110,0.769,0,0,0
111,0.779,-1,0,0
112,0.789,0,0,0
113,0.799,-1,0,0
114,0.809,0,0,0
115,0.819,-1,0,0
116,0.829,-1,0,0
117,0.839,0,0,0
118,0.849,0,0,0
119,0.859,-1,-1,0
120,0.869,0,1,0
121,0.879,-1,-1,0
122,0.889,0,0,0
123,0.899,-1,0,0
124,0.909,0,0,0
125,0.919,-1,0,0
126,0.929,-1,0,0
127,0.939,0,0,0
128,0.949,-1,0,0
129,0.959,-1,0,0
130,0.969,0,0,0
131,0.979,-2,0,0
132,0.989,0,0,0
133,0.999,0,0,0
134,1.009,-1,0,0
135,1.019,0,0,0
136,1.029,-2,0,0
137,1.039,0,1,0
138,1.049,-1,0,0
139,1.059,0,1,0
140,1.069,-1,0,0
141,1.079,-1,0,0
142,1.089,0,0,0
143,1.099,-1,0,0
144,1.109,-1,0,0
145,1.119,-1,0,0
146,1.129,-1,0,0
147,1.139,0,0,0
148,1.149,0,0,0
149,1.159,-1,0,0
150,1.169,0,0,0
151,1.179,0,0,0
152,1.189,-1,0,0
153,1.199,0,1,0
154,1.209,-1,0,0
155,1.219,0,1,0
156,1.229,-1,0,0
157,1.239,-1,0,0
158,1.249,0,1,0
159,1.259,-1,0,0
160,1.269,0,1,0
161,1.279,-1,0,0
162,1.289,0,1,0
163,1.299,-1,0,0
164,1.309,0,1,0
165,1.319,-1,0,0
166,1.329,0,1,0
167,1.339,-1,0,0
168,1.349,0,1,0
169,1.359,-1,0,0
170,1.369,0,1,0
171,1.379,-1,0,0
172,1.389,0,1,0
173,1.399,-1,1,0
174,1.409,0,1,0
175,1.419,-1,0,0
176,1.429,0,1,0
177,1.439,0,0,0
178,1.449,-1,1,0
179,1.459,0,1,0
180,1.469,0,1,0
181,1.479,0,1,0
182,1.489,-1,0,0
183,1.499,0,1,0
184,1.509,0,1,0
185,1.519,-1,0,0
186,1.529,0,1,0
187,1.539,-1,0,0
188,1.549,0,1,0
189,1.559,-1,1,0
190,1.569,-1,0,0
191,1.579,1,1,0
192,1.589,-1,0,0
193,1.599,0,1,0
194,1.609,0,0,0
195,1.619,-1,1,0
196,1.629,0,1,0
197,1.639,-1,0,0
198,1.649,-1,1,0
199,1.659,0,1,0
200,1.669,-1,1,0
201,1.679,-1,1,0
202,1.689,0,2,0
203,1.699,0,1,0
204,1.709,0,1,0
205,1.719,-1,1,0
206,1.729,-1,1,0
207,1.739,0,1,0
208,1.749,-1,1,0
209,1.759,0,1,0
210,1.769,-1,1,0
211,1.779,0,1,0
212,1.789,0,1,0
213,1.799,-1,1,0
214,1.809,0,1,0
215,1.819,0,1,0
216,1.829,-1,1,0
217,1.839,0,1,0
218,1.849,0,1,0
219,1.859,-2,2,0
220,1.869,-1,1,0
221,1.879,0,1,0
222,1.889,-1,1,0
223,1.899,0,2,0
224,1.909,-1,1,0
225,1.919,0,1,0
226,1.929,-1,1,0
227,1.939,0,1,0
228,1.949,-1,1,0
229,1.959,0,2,0
230,1.969,-1,1,0
231,1.979,0,1,0
232,1.989,0,1,0
233,1.999,-1,1,0
234,2.009,-1,1,0
235,2.019,0,1,0
236,2.029,-1,0,0
237,2.039,0,1,0
238,2.049,0,1,0
239,2.059,-1,1,0
240,2.069,0,1,0
241,2.079,-1,1,0
242,2.089,0,1,0
243,2.099,-1,1,0
244,2.109,0,1,0
245,2.119,0,2,0
246,2.129,-1,1,0
247,2.139,0,1,0
248,2.149,0,1,0
249,2.159,-1,1,0
250,2.169,1,1,0
251,2.179,-1,1,0
252,2.189,0,1,0
253,2.199,-1,1,0
254,2.209,0,1,0
255,2.219,0,1,0
256,2.229,-1,1,0
257,2.239,0,1,0
258,2.249,-1,0,0
259,2.259,0,1,0
260,2.269,-1,1,0
261,2.279,-1,1,0
262,2.289,-1,1,0
263,2.299,0,1,0
264,2.309,-1,1,0
265,2.319,-1,1,0
266,2.329,0,1,0
267,2.339,-1,1,0
268,2.349,-1,1,0
269,2.359,0,1,0
270,2.369,-1,1,0
271,2.379,-1,1,0
272,2.389,0,1,0
273,2.399,-1,1,0
274,2.409,0,1,0
275,2.419,-1,1,0
276,2.429,-1,1,0
277,2.439,0,1,0
278,2.449,0,1,0
279,2.459,-1,1,0
280,2.469,0,1,0
281,2.479,-1,1,0
282,2.489,0,1,0
283,2.499,-1,1,0
284,2.509,-1,1,0
285,2.519,0,1,0
286,2.529,-1,0,0
287,2.539,0,1,0
288,2.549,-1,1,0
289,2.559,-2,1,0
290,2.569,0,1,0
291,2.579,-1,0,0
292,2.589,0,1,0
293,2.599,0,1,0
294,2.609,-1,1,0
295,2.619,0,0,0
296,2.629,0,0,0
297,2.639,0,1,0
298,2.649,0,0,0
299,2.659,0,1,0
300,2.669,0,1,0
301,2.679,-1,1,0
302,2.689,-1,1,0
303,2.699,0,1,0
304,2.709,-1,0,0
305,2.719,0,1,0
306,2.729,0,1,0
307,2.739,-1,1,0
308,2.749,0,1,0
309,2.759,-1,0,0
310,2.769,-1,1,0
311,2.779,0,1,0
312,2.789,0,0,0
313,2.799,-1,1,0
314,2.809,0,1,0
315,2.819,-1,0,0
316,2.829,0,1,0
317,2.839,-1,1,0
318,2.849,-1,0,0
319,2.859,1,1,0
320,2.869,-1,1,0
321,2.879,0,1,0
322,2.889,-1,1,0
323,2.899,-1,0,0
324,2.909,1,1,0
