,ts,id,T,P
0,47699,BARO0,2258,97549
1,47699,BARO1,2307,97450
2,47699,BARO2,2357,97500
3,47709,BARO0,2258,97550
4,47709,BARO1,2308,97454
5,47709,BARO2,2356,97502
6,47719,BARO0,2257,97548
7,47719,BARO1,2308,97449
8,47719,BARO2,2357,97500
9,47729,BARO0,2257,97548
10,47729,BARO1,2308,97452
11,47729,BARO2,2357,97499
12,47739,BARO0,2258,97552
13,47739,BARO1,2308,97456
14,47739,BARO2,2357,97494
15,47749,BARO0,2257,97554
16,47749,BARO1,2307,97450
17,47749,BARO2,2357,97498
18,47759,BARO0,2258,97549
19,47759,BARO1,2307,97450
20,47759,BARO2,2357,97501
21,47769,BARO0,2258,97548
22,47769,BARO1,2308,97445
23,47769,BARO2,2356,97488
24,47779,BARO0,2258,97545
25,47779,BARO1,2307,97451
26,47779,BARO2,2357,97494
27,47789,BARO0,2257,97549
28,47789,BARO1,2308,97453
29,47789,BARO2,2357,97489
30,47799,BARO0,2257,97543
31,47799,BARO1,2307,97447
32,47799,BARO2,2357,97488
33,47809,BARO0,2258,97554
34,47809,BARO1,2307,97458
35,47809,BARO2,2357,97498
36,47819,BARO0,2257,97552
37,47819,BARO1,2308,97451
38,47819,BARO2,2357,97494
39,47829,BARO0,2257,97549
40,47829,BARO1,2307,97455
41,47829,BARO2,2357,97501
42,47839,BARO0,2257,97548
43,47839,BARO1,2307,97451
44,47839,BARO2,2356,97484
45,47849,BARO0,2258,97536
46,47849,BARO1,2308,97437
47,47849,BARO2,2357,97488
48,47859,BARO0,2258,97554
49,47859,BARO1,2308,97463
50,47859,BARO2,2357,97492
51,47869,BARO0,2258,97555
52,47869,BARO1,2307,97452
53,47869,BARO2,2357,97499
54,47879,BARO0,2258,97547
55,47879,BARO1,2308,97450
56,47879,BARO2,2357,97493
57,47889,BARO0,2257,97540
58,47889,BARO1,2307,97443
59,47889,BARO2,2356,97489
60,47899,BARO0,2257,97538
61,47899,BARO1,2308,97447
62,47899,BARO2,2357,97487
63,47909,BARO0,2258,97526
64,47909,BARO1,2307,97433
65,47909,BARO2,2356,97476
66,47919,BARO0,2258,97542
67,47919,BARO1,2308,97432
68,47919,BARO2,2357,97489
69,47929,BARO0,2258,97526
70,47929,BARO1,2308,97437
71,47929,BARO2,2357,97477
72,47939,BARO0,2258,97545
73,47939,BARO1,2307,97440
74,47939,BARO2,2357,97485
75,47949,BARO0,2257,97546
76,47949,BARO1,2307,97439
77,47949,BARO2,2357,97486
78,47959,BARO0,2258,97535
79,47959,BARO1,2307,97443
80,47959,BARO2,2357,97473
81,47969,BARO0,2257,97531
82,47969,BARO1,2307,97448
83,47969,BARO2,2357,97473
84,47979,BARO0,2258,97527
85,47979,BARO1,2307,97433
86,47979,BARO2,2357,97474
87,47989,BARO0,2257,97522
88,47989,BARO1,2307,97431
89,47989,BARO2,2357,97464
90,47999,BARO0,2257,97536
91,47999,BARO1,2307,97437
92,47999,BARO2,2357,97489
93,48009,BARO0,2257,97534
94,48009,BARO1,2308,97424
95,48009,BARO2,2357,97481
96,48019,BARO0,2257,97523
97,48019,BARO1,2307,97436
98,48019,BARO2,2357,97470
99,48029,BARO0,2257,97522
100,48029,BARO1,2308,97426
101,48029,BARO2,2357,97470
102,48039,BARO0,2258,97523
103,48039,BARO1,2308,97432
104,48039,BARO2,2357,97466
105,48049,BARO0,2257,97522
106,48049,BARO1,2307,97416
107,48049,BARO2,2357,97464
108,48059,BARO0,2258,97517
109,48059,BARO1,2307,97422
110,48059,BARO2,2357,97476
111,48069,BARO0,2257,97532
112,48069,BARO1,2307,97435
113,48069,BARO2,2357,97467
114,48079,BARO0,2257,97529
115,48079,BARO1,2307,97428
116,48079,BARO2,2357,97461
117,48089,BARO0,2257,97515
118,48089,BARO1,2307,97425
119,48089,BARO2,2357,97460
120,48099,BARO0,2258,97523
121,48099,BARO1,2307,97423
122,48099,BARO2,2357,97457
123,48109,BARO0,2257,97524
124,48109,BARO1,2307,97431
125,48109,BARO2,2357,97465
126,48119,BARO0,2257,97532
127,48119,BARO1,2307,97422
128,48119,BARO2,2357,97474
129,48129,BARO0,2257,97525
130,48129,BARO1,2307,97419
131,48129,BARO2,2357,97468
132,48139,BARO0,2258,97517
133,48139,BARO1,2307,97430
134,48139,BARO2,2357,97464
135,48149,BARO0,2258,97529
136,48149,BARO1,2307,97414
137,48149,BARO2,2357,97470
138,48159,BARO0,2257,97507
139,48159,BARO1,2307,97419
140,48159,BARO2,2357,97463
141,48169,BARO0,2257,97506
142,48169,BARO1,2307,97409
143,48169,BARO2,2357,97464
144,48179,BARO0,2257,97513
145,48179,BARO1,2307,97412
146,48179,BARO2,2357,97448
147,48189,BARO0,2257,97514
148,48189,BARO1,2307,97417
149,48189,BARO2,2357,97442
150,48199,BARO0,2257,97514
151,48199,BARO1,2307,97410
152,48199,BARO2,2357,97456
153,48209,BARO0,2257,97509
154,48209,BARO1,2307,97415
155,48209,BARO2,2357,97455
156,48219,BARO0,2257,97504
157,48219,BARO1,2307,97408
158,48219,BARO2,2357,97456
159,48229,BARO0,2257,97501
160,48229,BARO1,2307,97405
161,48229,BARO2,2357,97440
162,48239,BARO0,2257,97515
163,48239,BARO1,2307,97414
164,48239,BARO2,2357,97436
165,48249,BARO0,2257,97505
166,48249,BARO1,2307,97408
167,48249,BARO2,2357,97449
168,48259,BARO0,2257,97497
169,48259,BARO1,2307,97392
170,48259,BARO2,2357,97443
171,48269,BARO0,2257,97499
172,48269,BARO1,2307,97406
173,48269,BARO2,2357,97424
174,48279,BARO0,2257,97505
175,48279,BARO1,2307,97404
176,48279,BARO2,2357,97432
177,48289,BARO0,2257,97491
178,48289,BARO1,2307,97409
179,48289,BARO2,2357,97446
180,48299,BARO0,2257,97501
181,48299,BARO1,2307,97402
182,48299,BARO2,2357,97435
183,48309,BARO0,2257,97498
184,48309,BARO1,2307,97404
185,48309,BARO2,2357,97441
186,48319,BARO0,2258,97491
187,48319,BARO1,2307,97393
188,48319,BARO2,2358,97433
189,48329,BARO0,2257,97498
190,48329,BARO1,2307,97396
191,48329,BARO2,2357,97422
192,48339,BARO0,2257,97479
193,48339,BARO1,2307,97381
194,48339,BARO2,2357,97425
195,48349,BARO0,2257,97489
196,48349,BARO1,2307,97387
197,48349,BARO2,2357,97439
