,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,33763,-8319,-1223,-1594,-5171
1,33773,-8320,-1222,-1594,-5170
2,33783,-8321,-1220,-1594,-5169
3,33793,-8322,-1218,-1594,-5168
4,33803,-8322,-1217,-1594,-5167
5,33813,-8323,-1215,-1594,-5167
6,33823,-8324,-1214,-1594,-5166
7,33833,-8324,-1212,-1594,-5165
8,33843,-8325,-1211,-1593,-5164
9,33853,-8326,-1209,-1593,-5163
10,33863,-8327,-1207,-1593,-5162
11,33873,-8328,-1205,-1593,-5161
12,33883,-8328,-1204,-1593,-5161
13,33893,-8329,-1202,-1593,-5160
14,33903,-8330,-1201,-1593,-5159
15,33913,-8331,-1199,-1593,-5158
16,33923,-8332,-1197,-1594,-5157
17,33933,-8332,-1195,-1595,-5156
18,33943,-8333,-1193,-1596,-5155
19,33953,-8334,-1191,-1597,-5154
20,33963,-8334,-1189,-1597,-5153
21,33973,-8335,-1187,-1595,-5153
22,33983,-8336,-1186,-1594,-5152
23,33993,-8338,-1185,-1587,-5151
24,34003,-8341,-1186,-1577,-5150
25,34013,-8344,-1186,-1564,-5148
26,34023,-8348,-1186,-1551,-5147
27,34033,-8354,-1179,-1539,-5142
28,34043,-8362,-1165,-1528,-5135
29,34053,-8371,-1152,-1516,-5126
30,34063,-8380,-1139,-1509,-5117
31,34073,-8388,-1129,-1503,-5108
32,34083,-8395,-1123,-1497,-5100
33,34093,-8401,-1119,-1491,-5092
34,34103,-8408,-1111,-1483,-5085
35,34113,-8415,-1102,-1476,-5078
36,34123,-8422,-1091,-1471,-5070
37,34133,-8428,-1081,-1469,-5063
38,34143,-8434,-1072,-1468,-5055
39,34153,-8439,-1063,-1466,-5048
40,34163,-8445,-1054,-1465,-5040
41,34173,-8452,-1043,-1462,-5032
42,34183,-8458,-1034,-1458,-5025
43,34193,-8464,-1027,-1451,-5018
44,34203,-8469,-1021,-1444,-5013
45,34213,-8474,-1017,-1439,-5008
46,34223,-8478,-1013,-1436,-5002
47,34233,-8482,-1008,-1435,-4996
48,34243,-8487,-1003,-1434,-4990
49,34253,-8491,-998,-1432,-4984
50,34263,-8495,-994,-1429,-4979
51,34273,-8498,-990,-1427,-4974
52,34283,-8502,-988,-1425,-4970
53,34293,-8504,-986,-1424,-4966
54,34303,-8506,-983,-1422,-4963
55,34313,-8508,-981,-1421,-4961
56,34323,-8510,-978,-1421,-4959
57,34333,-8512,-973,-1418,-4957
58,34343,-8515,-969,-1415,-4954
59,34353,-8517,-966,-1413,-4951
60,34363,-8520,-963,-1412,-4948
61,34373,-8522,-962,-1411,-4943
62,34383,-8524,-964,-1410,-4940
63,34393,-8527,-965,-1408,-4936
64,34403,-8530,-965,-1404,-4932
65,34413,-8532,-965,-1402,-4929
66,34423,-8534,-966,-1402,-4925
67,34433,-8535,-968,-1401,-4923
68,34443,-8536,-968,-1397,-4922
69,34453,-8538,-968,-1394,-4920
70,34463,-8540,-967,-1392,-4918
71,34473,-8542,-965,-1390,-4915
