,ts,id,T,P
0,-0.371,BARO0,21.84,97735
1,-0.371,BARO1,21.5,97786
2,-0.371,BARO2,21.18,97879
3,-0.361,BARO0,21.85,97731
4,-0.361,BARO1,21.5,97794
5,-0.361,BARO2,21.17,97877
6,-0.351,BARO0,21.85,97737
7,-0.351,BARO1,21.5,97787
8,-0.351,BARO2,21.18,97873
9,-0.341,BARO0,21.85,97735
10,-0.341,BARO1,21.5,97786
11,-0.341,BARO2,21.18,97874
12,-0.331,BARO0,21.85,97734
13,-0.331,BARO1,21.5,97786
14,-0.331,BARO2,21.18,97883
15,-0.321,BARO0,21.85,97742
16,-0.321,BARO1,21.5,97783
17,-0.321,BARO2,21.18,97880
18,-0.311,BARO0,21.85,97735
19,-0.311,BARO1,21.51,97790
20,-0.311,BARO2,21.18,97869
21,-0.301,BARO0,21.85,97734
22,-0.301,BARO1,21.5,97779
23,-0.301,BARO2,21.18,97872
24,-0.291,BARO0,21.85,97739
25,-0.291,BARO1,21.5,97790
26,-0.291,BARO2,21.18,97883
27,-0.281,BARO0,21.85,97733
28,-0.281,BARO1,21.5,97783
29,-0.281,BARO2,21.18,97879
30,-0.271,BARO0,21.85,97738
31,-0.271,BARO1,21.5,97789
32,-0.271,BARO2,21.18,97875
33,-0.261,BARO0,21.85,97737
34,-0.261,BARO1,21.51,97788
35,-0.261,BARO2,21.18,97876
36,-0.251,BARO0,21.85,97731
37,-0.251,BARO1,21.51,97787
38,-0.251,BARO2,21.18,97874
39,-0.241,BARO0,21.85,97733
40,-0.241,BARO1,21.5,97791
41,-0.241,BARO2,21.18,97880
42,-0.231,BARO0,21.85,97734
43,-0.231,BARO1,21.51,97792
44,-0.231,BARO2,21.18,97884
45,-0.221,BARO0,21.85,97736
46,-0.221,BARO1,21.51,97791
47,-0.221,BARO2,21.19,97875
48,-0.211,BARO0,21.85,97733
49,-0.211,BARO1,21.51,97788
50,-0.211,BARO2,21.19,97882
51,-0.201,BARO0,21.85,97733
52,-0.201,BARO1,21.51,97785
53,-0.201,BARO2,21.18,97880
54,-0.191,BARO0,21.85,97733
55,-0.191,BARO1,21.51,97785
56,-0.191,BARO2,21.18,97881
57,-0.181,BARO0,21.85,97734
58,-0.181,BARO1,21.51,97787
59,-0.181,BARO2,21.18,97876
60,-0.171,BARO0,21.85,97729
61,-0.171,BARO1,21.51,97782
62,-0.171,BARO2,21.18,97876
63,-0.161,BARO0,21.85,97722
64,-0.161,BARO1,21.51,97784
65,-0.161,BARO2,21.18,97865
66,-0.151,BARO0,21.85,97729
67,-0.151,BARO1,21.51,97769
68,-0.151,BARO2,21.18,97859
69,-0.141,BARO0,21.85,97727
70,-0.141,BARO1,21.51,97779
71,-0.141,BARO2,21.18,97867
72,-0.131,BARO0,21.85,97746
73,-0.131,BARO1,21.51,97793
74,-0.131,BARO2,21.18,97876
75,-0.121,BARO0,21.85,97727
76,-0.121,BARO1,21.51,97771
77,-0.121,BARO2,21.18,97866
78,-0.111,BARO0,21.85,97719
79,-0.111,BARO1,21.51,97763
80,-0.111,BARO2,21.19,97852
81,-0.101,BARO0,21.85,97711
82,-0.101,BARO1,21.51,97751
83,-0.101,BARO2,21.18,97856
84,-0.091,BARO0,21.85,97710
85,-0.091,BARO1,21.51,97776
86,-0.091,BARO2,21.18,97847
87,-0.081,BARO0,21.85,97705
88,-0.081,BARO1,21.51,97770
89,-0.081,BARO2,21.19,97843
90,-0.071,BARO0,21.85,97699
91,-0.071,BARO1,21.51,97742
92,-0.071,BARO2,21.19,97836
93,-0.061,BARO0,21.85,97697
94,-0.061,BARO1,21.51,97742
95,-0.061,BARO2,21.18,97835
96,-0.051,BARO0,21.85,97677
97,-0.051,BARO1,21.51,97718
98,-0.051,BARO2,21.18,97823
99,-0.041,BARO0,21.85,97707
100,-0.041,BARO1,21.51,97757
101,-0.041,BARO2,21.19,97824
102,-0.031,BARO0,21.85,97615
103,-0.031,BARO1,21.51,97717
104,-0.031,BARO2,21.18,97757
105,-0.021,BARO0,21.85,97655
106,-0.021,BARO1,21.51,97744
107,-0.021,BARO2,21.18,97801
108,-0.011,BARO0,21.85,97677
109,-0.011,BARO1,21.51,97749
110,-0.011,BARO2,21.19,97803
111,-0.001,BARO0,21.85,97673
112,-0.001,BARO1,21.51,97751
113,-0.001,BARO2,21.18,97813
114,0.009,BARO0,21.84,97676
115,0.009,BARO1,21.52,97746
116,0.009,BARO2,21.18,97811
117,0.019,BARO0,21.85,97661
118,0.019,BARO1,21.52,97751
119,0.019,BARO2,21.19,97805
120,0.029,BARO0,21.85,97684
121,0.029,BARO1,21.51,97750
122,0.029,BARO2,21.19,97815
123,0.039,BARO0,21.85,97694
124,0.039,BARO1,21.52,97759
125,0.039,BARO2,21.19,97829
126,0.049,BARO0,21.84,97687
127,0.049,BARO1,21.52,97764
128,0.049,BARO2,21.19,97820
129,0.059,BARO0,21.85,97688
130,0.059,BARO1,21.52,97757
131,0.059,BARO2,21.19,97822
132,0.069,BARO0,21.85,97686
133,0.069,BARO1,21.52,97750
134,0.069,BARO2,21.19,97824
135,0.079,BARO0,21.85,97679
136,0.079,BARO1,21.52,97752
137,0.079,BARO2,21.19,97816
138,0.089,BARO0,21.85,97684
139,0.089,BARO1,21.52,97749
140,0.089,BARO2,21.19,97816
141,0.099,BARO0,21.85,97664
142,0.099,BARO1,21.52,97746
143,0.099,BARO2,21.18,97814
144,0.109,BARO0,21.85,97670
145,0.109,BARO1,21.52,97750
146,0.109,BARO2,21.19,97808
147,0.119,BARO0,21.85,97679
148,0.119,BARO1,21.52,97738
149,0.119,BARO2,21.19,97796
150,0.129,BARO0,21.84,97668
151,0.129,BARO1,21.52,97741
152,0.129,BARO2,21.19,97801
153,0.139,BARO0,21.85,97668
154,0.139,BARO1,21.52,97738
155,0.139,BARO2,21.19,97795
156,0.149,BARO0,21.85,97658
157,0.149,BARO1,21.52,97731
158,0.149,BARO2,21.19,97795
159,0.159,BARO0,21.85,97665
160,0.159,BARO1,21.52,97742
161,0.159,BARO2,21.18,97807
162,0.169,BARO0,21.85,97659
163,0.169,BARO1,21.52,97735
164,0.169,BARO2,21.19,97800
165,0.179,BARO0,21.84,97662
166,0.179,BARO1,21.52,97731
167,0.179,BARO2,21.19,97801
168,0.189,BARO0,21.85,97662
169,0.189,BARO1,21.52,97737
170,0.189,BARO2,21.19,97802
171,0.199,BARO0,21.84,97669
172,0.199,BARO1,21.52,97745
173,0.199,BARO2,21.19,97805
174,0.209,BARO0,21.84,97664
175,0.209,BARO1,21.52,97736
176,0.209,BARO2,21.19,97803
177,0.219,BARO0,21.84,97665
178,0.219,BARO1,21.52,97734
179,0.219,BARO2,21.19,97803
180,0.229,BARO0,21.84,97657
181,0.229,BARO1,21.52,97732
