,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,-0.34,0.049,-9.884,-0.677,1.352,0.049,-9.884,-0.677,1.352
1,-0.33,0.051,-9.883,-0.67,1.364,0.051,-9.883,-0.67,1.364
2,-0.32,0.055,-9.884,-0.672,1.356,0.055,-9.884,-0.672,1.356
3,-0.31,0.041,-9.883,-0.678,1.362,0.041,-9.883,-0.678,1.362
4,-0.3,0.052,-9.883,-0.68,1.362,0.052,-9.883,-0.68,1.362
5,-0.29,0.018,-9.883,-0.687,1.36,0.018,-9.883,-0.687,1.36
6,-0.28,0.041,-9.882,-0.679,1.367,0.041,-9.882,-0.679,1.367
7,-0.27,0.007,-9.882,-0.693,1.36,0.007,-9.882,-0.693,1.36
8,-0.26,0.024,-9.881,-0.694,1.365,0.024,-9.881,-0.694,1.365
9,-0.25,0.027,-9.882,-0.707,1.357,0.027,-9.882,-0.707,1.357
10,-0.24,0.007,-9.88,-0.742,1.349,0.007,-9.88,-0.742,1.349
11,-0.23,0.009,-9.878,-0.757,1.357,0.009,-9.878,-0.757,1.357
12,-0.22,0.03,-9.879,-0.761,1.345,0.03,-9.879,-0.761,1.345
13,-0.21,0.025,-9.874,-0.773,1.375,0.025,-9.874,-0.773,1.375
14,-0.2,0.01,-9.87,-0.79,1.398,0.01,-9.87,-0.79,1.398
15,-0.19,-0.003,-9.872,-0.798,1.375,-0.003,-9.872,-0.798,1.375
16,-0.18,-0.018,-9.877,-0.81,1.332,-0.018,-9.877,-0.81,1.332
17,-0.17,-0.01,-9.872,-0.853,1.34,-0.01,-9.872,-0.853,1.34
18,-0.16,0.021,-9.863,-0.928,1.356,0.021,-9.863,-0.928,1.356
19,-0.15,0.061,-9.835,-1.199,1.346,0.061,-9.835,-1.199,1.346
20,-0.14,0.115,-9.796,-1.484,1.348,0.115,-9.796,-1.484,1.348
21,-0.13,-0.009,-9.763,-1.664,1.382,-0.009,-9.763,-1.664,1.382
22,-0.12,0.326,-9.731,-1.925,1.218,0.326,-9.731,-1.925,1.218
23,-0.11,0.316,-9.661,-2.25,1.223,0.316,-9.661,-2.25,1.223
24,-0.1,0.307,-9.634,-2.362,1.223,0.307,-9.634,-2.362,1.223
25,-0.09,0.29,-9.628,-2.386,1.23,0.29,-9.628,-2.386,1.23
26,-0.08,0.282,-9.606,-2.474,1.231,0.282,-9.606,-2.474,1.231
27,-0.07,0.283,-9.568,-2.617,1.226,0.283,-9.568,-2.617,1.226
28,-0.06,0.277,-9.552,-2.677,1.224,0.277,-9.552,-2.677,1.224
29,-0.05,0.27,-9.541,-2.717,1.222,0.27,-9.541,-2.717,1.222
30,-0.04,0.282,-9.495,-2.872,1.222,0.282,-9.495,-2.872,1.222
31,-0.03,0.291,-9.453,-3.007,1.223,0.291,-9.453,-3.007,1.223
32,-0.02,0.283,-9.444,-3.033,1.229,0.283,-9.444,-3.033,1.229
33,-0.01,0.27,-9.434,-3.067,1.228,0.27,-9.434,-3.067,1.228
34,0.0,0.252,-9.428,-3.084,1.232,0.252,-9.428,-3.084,1.232
35,0.01,0.236,-9.414,-3.126,1.235,0.236,-9.414,-3.126,1.235
36,0.02,0.226,-9.399,-3.173,1.237,0.226,-9.399,-3.173,1.237
37,0.03,0.221,-9.381,-3.223,1.24,0.221,-9.381,-3.223,1.24
38,0.04,0.212,-9.379,-3.23,1.245,0.212,-9.379,-3.23,1.245
39,0.05,0.207,-9.369,-3.258,1.246,0.207,-9.369,-3.258,1.246
40,0.06,0.198,-9.364,-3.272,1.248,0.198,-9.364,-3.272,1.248
41,0.07,0.192,-9.346,-3.321,1.25,0.192,-9.346,-3.321,1.25
42,0.08,0.185,-9.336,-3.35,1.255,0.185,-9.336,-3.35,1.255
43,0.09,0.177,-9.331,-3.361,1.259,0.177,-9.331,-3.361,1.259
44,0.1,0.172,-9.323,-3.382,1.262,0.172,-9.323,-3.382,1.262
45,0.11,0.166,-9.316,-3.403,1.264,0.166,-9.316,-3.403,1.264
46,0.12,0.167,-9.285,-3.487,1.264,0.167,-9.285,-3.487,1.264
47,0.13,0.161,-9.273,-3.516,1.265,0.161,-9.273,-3.516,1.265
48,0.14,0.154,-9.266,-3.535,1.265,0.154,-9.266,-3.535,1.265
49,0.15,0.15,-9.252,-3.571,1.267,0.15,-9.252,-3.571,1.267
50,0.16,0.144,-9.252,-3.572,1.268,0.144,-9.252,-3.572,1.268
51,0.17,0.145,-9.233,-3.62,1.27,0.145,-9.233,-3.62,1.27
52,0.18,0.142,-9.226,-3.637,1.271,0.142,-9.226,-3.637,1.271
53,0.19,0.138,-9.217,-3.658,1.275,0.138,-9.217,-3.658,1.275
54,0.2,0.134,-9.21,-3.675,1.278,0.134,-9.21,-3.675,1.278
55,0.21,0.127,-9.211,-3.671,1.283,0.127,-9.211,-3.671,1.283
56,0.22,0.126,-9.192,-3.717,1.285,0.126,-9.192,-3.717,1.285
57,0.23,0.12,-9.192,-3.718,1.287,0.12,-9.192,-3.718,1.287
58,0.24,0.115,-9.183,-3.739,1.291,0.115,-9.183,-3.739,1.291
59,0.25,0.106,-9.186,-3.73,1.295,0.106,-9.186,-3.73,1.295
60,0.26,0.097,-9.184,-3.734,1.299,0.097,-9.184,-3.734,1.299
61,0.27,0.086,-9.184,-3.732,1.302,0.086,-9.184,-3.732,1.302
62,0.28,0.079,-9.173,-3.759,1.304,0.079,-9.173,-3.759,1.304
63,0.29,0.068,-9.177,-3.749,1.307,0.068,-9.177,-3.749,1.307
64,0.3,0.062,-9.166,-3.774,1.31,0.062,-9.166,-3.774,1.31
