,ts,acc_x,acc_y,acc_z
0,28751,-1,0,0
1,28761,-1,1,0
2,28771,0,0,0
3,28781,-1,0,0
4,28791,-1,0,0
5,28801,-1,0,0
6,28811,-1,0,0
7,28821,-1,0,0
8,28831,-1,0,0
9,28841,-1,0,0
10,28851,-1,1,0
11,28861,-1,0,0
12,28871,-1,0,0
13,28881,-1,0,0
14,28891,-1,0,0
15,28901,-1,0,0
16,28911,0,0,0
17,28921,-1,0,0
18,28931,-1,0,0
19,28941,-1,0,0
20,28951,0,0,0
21,28961,-1,1,0
22,28971,-1,-1,0
23,28981,-1,2,0
24,28991,0,-1,0
25,29001,-1,0,0
26,29011,-1,0,0
27,29021,-1,-1,0
28,29031,-1,-1,0
29,29041,0,-1,0
30,29051,-1,0,0
31,29061,-1,0,0
32,29071,0,1,0
33,29081,-1,0,0
34,29091,-1,1,0
35,29101,-1,1,0
36,29111,-1,0,0
37,29121,-1,-1,0
38,29131,-1,0,0
39,29141,-1,1,0
40,29151,-1,0,0
41,29161,-2,-1,0
42,29171,-1,1,0
43,29181,-1,1,0
44,29191,-1,0,0
45,29201,-1,0,0
46,29211,-1,1,0
47,29221,-1,1,0
48,29231,-1,0,0
49,29241,-1,-1,0
50,29251,-1,0,0
51,29261,-1,0,0
52,29271,-1,0,0
53,29281,-1,0,0
54,29291,-1,0,0
55,29301,-1,0,0
56,29311,-1,1,0
57,29321,-1,1,0
58,29331,-1,0,0
59,29341,-1,0,0
60,29351,-1,0,0
61,29361,0,0,0
62,29371,0,0,0
63,29381,0,1,0
64,29391,0,1,0
65,29401,-1,0,0
66,29411,-1,0,0
67,29421,-1,0,0
68,29431,-1,0,0
69,29441,-1,0,0
70,29451,-1,0,0
71,29461,-1,0,0
72,29471,-1,0,0
73,29481,-1,0,0
74,29491,-1,0,0
75,29501,-1,0,0
76,29511,-1,0,0
77,29521,-2,0,0
78,29531,-1,0,0
79,29541,-1,-1,0
80,29551,-1,0,0
81,29561,-1,0,0
82,29571,-1,0,0
83,29581,-1,0,0
84,29591,-1,0,0
85,29601,-1,0,0
86,29611,-1,0,0
87,29621,-1,0,0
88,29631,-1,1,0
89,29641,0,0,0
90,29651,-1,0,0
91,29661,0,0,0
92,29671,0,0,0
93,29681,-1,0,0
94,29691,-1,0,0
95,29701,-1,-1,0
96,29711,-1,0,0
97,29721,0,0,0
98,29731,0,0,0
99,29741,0,1,0
100,29751,0,0,0
101,29761,0,0,0
102,29771,-1,0,0
103,29781,-1,0,0
104,29791,-1,0,0
105,29801,0,1,0
106,29811,0,0,0
107,29821,0,0,0
108,29831,0,0,0
109,29841,-1,0,0
110,29851,-2,0,0
111,29861,-1,0,0
112,29871,0,1,0
113,29881,0,0,0
114,29891,-1,0,0
115,29901,-1,0,0
116,29911,-1,0,0
117,29921,-1,0,0
118,29931,0,1,0
119,29941,0,0,0
120,29951,-1,0,0
121,29961,-2,0,0
122,29971,-1,0,0
123,29981,0,0,0
124,29991,0,0,0
125,30001,0,1,0
126,30011,0,0,0
127,30021,-1,0,0
128,30031,-1,0,0
129,30041,-1,0,0
130,30051,0,0,0
131,30061,-1,0,0
132,30071,-1,0,0
133,30081,-2,-1,0
134,30091,-2,0,0
135,30101,-1,0,0
136,30111,-1,0,0
137,30121,0,0,0
138,30131,-1,0,0
139,30141,-1,0,0
140,30151,0,1,0
141,30161,0,0,0
142,30171,-1,0,0
143,30181,-1,0,0
144,30191,-2,-1,0
145,30201,-1,0,0
146,30211,-1,1,0
147,30221,0,0,0
148,30231,-1,0,0
149,30241,-2,-1,0
150,30251,-1,0,0
151,30261,-1,0,0
152,30271,-1,0,0
153,30281,-2,-1,0
154,30291,-1,-1,0
155,30301,-1,0,0
156,30311,0,1,0
157,30321,0,0,0
158,30331,-1,0,0
159,30341,-1,-1,0
160,30351,-2,0,0
161,30361,-1,0,0
162,30371,0,0,0
