,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,28742,49,-9884,-677,1352,49,-9884,-677,1352
1,28752,51,-9883,-670,1364,51,-9883,-670,1364
2,28762,55,-9884,-672,1356,55,-9884,-672,1356
3,28772,41,-9883,-678,1362,41,-9883,-678,1362
4,28782,52,-9883,-680,1362,52,-9883,-680,1362
5,28792,18,-9883,-687,1360,18,-9883,-687,1360
6,28802,41,-9882,-679,1367,41,-9882,-679,1367
7,28812,7,-9882,-693,1360,7,-9882,-693,1360
8,28822,24,-9881,-694,1365,24,-9881,-694,1365
9,28832,27,-9882,-707,1357,27,-9882,-707,1357
10,28842,7,-9880,-742,1349,7,-9880,-742,1349
11,28852,9,-9878,-757,1357,9,-9878,-757,1357
12,28862,30,-9879,-761,1345,30,-9879,-761,1345
13,28872,25,-9874,-773,1375,25,-9874,-773,1375
14,28882,10,-9870,-790,1398,10,-9870,-790,1398
15,28892,-3,-9872,-798,1375,-3,-9872,-798,1375
16,28902,-18,-9877,-810,1332,-18,-9877,-810,1332
17,28912,-10,-9872,-853,1340,-10,-9872,-853,1340
18,28922,21,-9863,-928,1356,21,-9863,-928,1356
19,28932,61,-9835,-1199,1346,61,-9835,-1199,1346
20,28942,115,-9796,-1484,1348,115,-9796,-1484,1348
21,28952,-9,-9763,-1664,1382,-9,-9763,-1664,1382
22,28962,326,-9731,-1925,1218,326,-9731,-1925,1218
23,28972,316,-9661,-2250,1223,316,-9661,-2250,1223
24,28982,307,-9634,-2362,1223,307,-9634,-2362,1223
25,28992,290,-9628,-2386,1230,290,-9628,-2386,1230
26,29002,282,-9606,-2474,1231,282,-9606,-2474,1231
27,29012,283,-9568,-2617,1226,283,-9568,-2617,1226
28,29022,277,-9552,-2677,1224,277,-9552,-2677,1224
29,29032,270,-9541,-2717,1222,270,-9541,-2717,1222
30,29042,282,-9495,-2872,1222,282,-9495,-2872,1222
31,29052,291,-9453,-3007,1223,291,-9453,-3007,1223
32,29062,283,-9444,-3033,1229,283,-9444,-3033,1229
33,29072,270,-9434,-3067,1228,270,-9434,-3067,1228
34,29082,252,-9428,-3084,1232,252,-9428,-3084,1232
35,29092,236,-9414,-3126,1235,236,-9414,-3126,1235
36,29102,226,-9399,-3173,1237,226,-9399,-3173,1237
37,29112,221,-9381,-3223,1240,221,-9381,-3223,1240
38,29122,212,-9379,-3230,1245,212,-9379,-3230,1245
39,29132,207,-9369,-3258,1246,207,-9369,-3258,1246
40,29142,198,-9364,-3272,1248,198,-9364,-3272,1248
41,29152,192,-9346,-3321,1250,192,-9346,-3321,1250
42,29162,185,-9336,-3350,1255,185,-9336,-3350,1255
43,29172,177,-9331,-3361,1259,177,-9331,-3361,1259
44,29182,172,-9323,-3382,1262,172,-9323,-3382,1262
45,29192,166,-9316,-3403,1264,166,-9316,-3403,1264
46,29202,167,-9285,-3487,1264,167,-9285,-3487,1264
47,29212,161,-9273,-3516,1265,161,-9273,-3516,1265
48,29222,154,-9266,-3535,1265,154,-9266,-3535,1265
49,29232,150,-9252,-3571,1267,150,-9252,-3571,1267
50,29242,144,-9252,-3572,1268,144,-9252,-3572,1268
51,29252,145,-9233,-3620,1270,145,-9233,-3620,1270
52,29262,142,-9226,-3637,1271,142,-9226,-3637,1271
53,29272,138,-9217,-3658,1275,138,-9217,-3658,1275
54,29282,134,-9210,-3675,1278,134,-9210,-3675,1278
55,29292,127,-9211,-3671,1283,127,-9211,-3671,1283
56,29302,126,-9192,-3717,1285,126,-9192,-3717,1285
57,29312,120,-9192,-3718,1287,120,-9192,-3718,1287
58,29322,115,-9183,-3739,1291,115,-9183,-3739,1291
59,29332,106,-9186,-3730,1295,106,-9186,-3730,1295
60,29342,97,-9184,-3734,1299,97,-9184,-3734,1299
61,29352,86,-9184,-3732,1302,86,-9184,-3732,1302
62,29362,79,-9173,-3759,1304,79,-9173,-3759,1304
63,29372,68,-9177,-3749,1307,68,-9177,-3749,1307
64,29382,62,-9166,-3774,1310,62,-9166,-3774,1310
65,29392,51,-9168,-3769,1313,51,-9168,-3769,1313
66,29402,41,-9165,-3774,1316,41,-9165,-3774,1316
67,29412,32,-9165,-3774,1321,32,-9165,-3774,1321
68,29422,21,-9165,-3773,1327,21,-9165,-3773,1327
69,29432,15,-9152,-3801,1333,15,-9152,-3801,1333
70,29442,5,-9152,-3798,1340,5,-9152,-3798,1340
71,29452,-3,-9145,-3815,1344,-3,-9145,-3815,1344
72,29462,-15,-9144,-3815,1349,-15,-9144,-3815,1349
73,29472,-26,-9142,-3817,1353,-26,-9142,-3817,1353
74,29482,-35,-9143,-3816,1355,-35,-9143,-3816,1355
75,29492,-45,-9146,-3808,1357,-45,-9146,-3808,1357
76,29502,-47,-9135,-3832,1358,-47,-9135,-3832,1358
77,29512,-49,-9143,-3815,1356,-49,-9143,-3815,1356
78,29522,-41,-9136,-3834,1351,-41,-9136,-3834,1351
79,29532,-34,-9142,-3822,1345,-34,-9142,-3822,1345
80,29542,-24,-9146,-3815,1337,-24,-9146,-3815,1337
81,29552,-10,-9150,-3807,1329,-10,-9150,-3807,1329
82,29562,1,-9163,-3778,1322,1,-9163,-3778,1322
83,29572,20,-9165,-3776,1315,20,-9165,-3776,1315
84,29582,36,-9182,-3737,1305,36,-9182,-3737,1305
85,29592,58,-9196,-3706,1295,58,-9196,-3706,1295
86,29602,83,-9202,-3695,1283,83,-9202,-3695,1283
87,29612,107,-9215,-3667,1271,107,-9215,-3667,1271
88,29622,130,-9233,-3625,1258,130,-9233,-3625,1258
89,29632,158,-9237,-3616,1246,158,-9237,-3616,1246
90,29642,180,-9254,-3575,1235,180,-9254,-3575,1235
91,29652,208,-9255,-3576,1222,208,-9255,-3576,1222
92,29662,230,-9269,-3544,1209,230,-9269,-3544,1209
93,29672,253,-9281,-3515,1196,253,-9281,-3515,1196
94,29682,278,-9288,-3498,1185,278,-9288,-3498,1185
95,29692,300,-9306,-3451,1175,300,-9306,-3451,1175
96,29702,324,-9318,-3422,1164,324,-9318,-3422,1164
97,29712,342,-9332,-3382,1157,342,-9332,-3382,1157
98,29722,359,-9342,-3356,1152,359,-9342,-3356,1152
99,29732,371,-9355,-3320,1147,371,-9355,-3320,1147
100,29742,380,-9368,-3282,1143,380,-9368,-3282,1143
101,29752,387,-9377,-3258,1138,387,-9377,-3258,1138
102,29762,389,-9391,-3218,1134,389,-9391,-3218,1134
103,29772,390,-9397,-3202,1128,390,-9397,-3202,1128
104,29782,389,-9402,-3190,1121,389,-9402,-3190,1121
105,29792,384,-9413,-3159,1118,384,-9413,-3159,1118
106,29802,383,-9414,-3158,1116,383,-9414,-3158,1116
107,29812,374,-9432,-3106,1115,374,-9432,-3106,1115
108,29822,368,-9433,-3104,1114,368,-9433,-3104,1114
109,29832,357,-9450,-3053,1115,357,-9450,-3053,1115
110,29842,347,-9456,-3034,1116,347,-9456,-3034,1116
111,29852,339,-9451,-3052,1113,339,-9451,-3052,1113
112,29862,330,-9445,-3072,1112,330,-9445,-3072,1112
113,29872,318,-9446,-3068,1112,318,-9446,-3068,1112
114,29882,308,-9441,-3084,1115,308,-9441,-3084,1115
115,29892,298,-9438,-3096,1115,298,-9438,-3096,1115
116,29902,291,-9426,-3133,1115,291,-9426,-3133,1115
117,29912,282,-9421,-3147,1116,282,-9421,-3147,1116
118,29922,275,-9410,-3182,1116,275,-9410,-3182,1116
119,29932,263,-9410,-3180,1117,263,-9410,-3180,1117
120,29942,255,-9401,-3207,1120,255,-9401,-3207,1120
121,29952,242,-9406,-3192,1124,242,-9406,-3192,1124
122,29962,232,-9402,-3204,1127,232,-9402,-3204,1127
123,29972,221,-9402,-3203,1132,221,-9402,-3203,1132
124,29982,208,-9409,-3181,1136,208,-9409,-3181,1136
125,29992,200,-9403,-3198,1139,200,-9403,-3198,1139
126,30002,189,-9407,-3187,1142,189,-9407,-3187,1142
127,30012,184,-9397,-3215,1144,184,-9397,-3215,1144
128,30022,178,-9395,-3222,1146,178,-9395,-3222,1146
129,30032,174,-9396,-3220,1147,174,-9396,-3220,1147
130,30042,174,-9392,-3231,1146,174,-9392,-3231,1146
131,30052,173,-9399,-3207,1148,173,-9399,-3207,1148
132,30062,178,-9391,-3231,1149,178,-9391,-3231,1149
133,30072,181,-9391,-3230,1148,181,-9391,-3230,1148
134,30082,182,-9392,-3228,1148,182,-9392,-3228,1148
135,30092,186,-9388,-3241,1145,186,-9388,-3241,1145
136,30102,190,-9382,-3260,1144,190,-9382,-3260,1144
