,ts,error
0,23735,12288
1,23745,4096
2,25575,12288
3,25585,4096
4,25925,12288
5,25945,4096
6,26385,12288
7,26425,4096
8,26715,12288
9,26995,4096
10,27935,12288
11,28055,4096
12,28195,12288
13,28205,4096
14,28395,12288
15,28435,4096
16,28715,12288
17,28905,4096
18,29025,12288
19,29085,4096
20,29775,12288
21,29805,4096
22,30005,12288
23,30055,4096
24,30175,12288
25,30215,4096
26,30475,12288
27,30645,4096
28,30895,12288
29,30925,4096
30,34335,12288
31,34345,4096
32,39945,12288
33,39995,4096
34,40225,12288
35,40255,4096
36,42125,12288
37,42135,4096
38,43095,12288
39,43125,4096
40,43315,12288
41,43325,4096
42,43665,12288
43,43685,4096
44,43885,12288
45,43905,4096
