,ts,error
0,-0.321,12288
1,-0.311,4096
2,2.829,12288
3,2.979,4096
4,3.389,12288
5,3.409,4096
6,5.439,12288
7,5.479,4096
8,5.559,12288
9,5.589,4096
10,5.739,12288
11,5.749,4096
12,5.989,12288
13,6.019,4096
14,6.569,12288
15,6.729,4096
16,7.689,12288
17,7.789,4096
18,9.259,12288
19,9.279,4096
20,11.349,12288
21,11.369,4096
22,12.149,12288
23,12.159,4096
24,13.079,12288
25,13.099,4096
26,13.249,12288
27,13.269,4096
28,14.419,12288
29,14.429,4096
30,15.189,12288
31,15.209,4096
32,16.249,12288
33,16.319,4096
34,16.729,12288
35,16.749,4096
36,16.839,12288
37,16.909,4096
38,17.249,12288
39,17.279,4096
40,17.549,12288
41,17.569,4096
42,18.309,12288
43,18.359,4096
44,18.769,12288
45,18.799,4096
46,18.959,12288
47,19.029,4096
48,19.349,12288
49,19.409,4096
50,19.519,12288
51,19.609,4096
52,20.009,12288
53,20.049,4096
54,21.109,12288
55,21.469,4096
56,21.759,12288
57,21.789,4096
58,22.209,12288
59,22.229,4096
60,26.729,12288
61,26.749,4096
62,27.229,12288
63,27.239,4096
64,27.319,12288
65,27.359,4096
66,27.899,12288
67,27.909,4096
68,28.879,12288
69,28.929,4096
70,30.229,12288
71,30.249,4096
