,ts,Ax,Ay,Az
0,17386,0,-1,0
1,17396,0,-1,0
2,17406,0,-1,0
3,17416,0,-1,0
4,17426,0,-1,0
5,17436,-1,-1,0
6,17446,0,-1,0
7,17456,0,-1,0
8,17466,0,-1,0
9,17476,-1,-1,0
10,17486,-1,-1,0
11,17496,0,-1,0
12,17506,0,-1,0
13,17516,-1,-1,0
14,17526,0,-1,0
15,17536,-1,-1,0
16,17546,0,-1,0
17,17556,0,-1,0
18,17566,0,-1,0
19,17576,-1,-1,0
20,17586,-1,-1,0
21,17596,-1,-1,0
22,17606,0,-1,0
23,17616,0,-1,0
24,17626,-1,-1,0
25,17636,0,-1,0
26,17646,-1,-1,0
27,17656,-1,-1,0
28,17666,-1,-2,0
29,17676,-1,-1,0
30,17686,1,-1,0
31,17696,1,-1,0
32,17706,0,-1,0
33,17716,-1,0,0
34,17726,-1,-1,0
35,17736,-2,-1,0
36,17746,0,-1,0
37,17756,-1,-1,0
38,17766,0,-1,0
39,17776,0,-1,0
40,17786,0,0,0
41,17796,0,-1,0
42,17806,-1,-1,0
43,17816,-1,-1,0
44,17826,-1,-1,0
45,17836,-1,-1,0
46,17846,-1,-1,0
47,17856,0,-1,0
48,17866,-1,-1,0
49,17876,-1,-1,0
50,17886,-1,-1,0
51,17896,-1,-1,0
52,17906,-1,-1,0
53,17916,0,-1,0
54,17926,-1,-1,0
55,17936,-1,-1,0
56,17946,0,-1,0
57,17956,-1,-1,0
58,17966,-1,-1,0
59,17976,0,-1,0
60,17986,0,-1,0
61,17996,0,-1,0
62,18006,-1,-1,0
63,18016,-1,-1,0
64,18026,-1,-1,0
65,18036,0,-1,0
66,18046,-1,-1,0
67,18056,0,-1,0
68,18066,0,-1,0
69,18076,0,-1,0
70,18086,-1,-1,0
71,18096,0,-1,0
72,18106,0,-1,0
73,18116,0,-1,0
74,18126,0,0,0
75,18136,0,-1,0
76,18146,0,-1,0
77,18156,0,-1,0
78,18166,0,-1,0
79,18176,-1,-1,0
80,18186,0,-1,0
81,18196,0,-1,0
82,18206,-1,-1,0
83,18216,-1,-1,0
84,18226,-1,-1,0
85,18236,0,-1,0
86,18246,0,-1,0
87,18256,0,-1,0
88,18266,-1,-1,0
