,ts,id,Ax,Ay,Az,Gx,Gy,Gz
0,17386,IMU0,-20,-36,-1060,33,35,1
1,17386,IMU1,7,-29,-1092,11,32,-5
2,17396,IMU0,-26,-57,-1065,31,33,6
3,17396,IMU1,-1,-51,-1100,7,32,-1
4,17406,IMU0,-27,-37,-1063,30,28,5
5,17406,IMU1,-4,-33,-1098,7,24,1
6,17416,IMU0,-22,-46,-1054,28,21,-3
7,17416,IMU1,6,-39,-1089,8,16,-8
8,17426,IMU0,-18,-42,-1065,25,24,4
9,17426,IMU1,8,-36,-1100,2,17,-1
10,17436,IMU0,-21,-58,-1060,24,7,4
11,17436,IMU1,3,-53,-1095,1,0,0
12,17446,IMU0,-19,-38,-1063,22,-3,2
13,17446,IMU1,6,-34,-1097,-2,-7,-2
14,17456,IMU0,-21,-46,-1065,22,-6,-1
15,17456,IMU1,4,-39,-1097,-5,-9,-5
16,17466,IMU0,-27,-48,-1057,21,-12,5
17,17466,IMU1,-2,-41,-1088,-3,-14,-1
18,17476,IMU0,-30,-40,-1075,19,-15,2
19,17476,IMU1,-6,-34,-1108,-7,-17,-3
20,17486,IMU0,-31,-44,-1059,25,-8,4
21,17486,IMU1,-4,-36,-1091,0,-10,-1
22,17496,IMU0,-56,-38,-1075,18,-2,3
23,17496,IMU1,-30,-32,-1108,-7,-7,-3
24,17506,IMU0,-38,-38,-1067,35,28,5
25,17506,IMU1,-11,-32,-1096,13,25,-1
26,17516,IMU0,-35,-49,-1069,26,30,0
27,17516,IMU1,-6,-42,-1101,0,27,-5
28,17526,IMU0,-27,-46,-1064,36,39,7
29,17526,IMU1,-4,-38,-1093,9,36,2
30,17536,IMU0,-25,-47,-1061,31,34,2
31,17536,IMU1,3,-40,-1095,4,33,-4
32,17546,IMU0,-27,-48,-1060,30,29,4
33,17546,IMU1,-2,-40,-1090,6,26,-2
34,17556,IMU0,-28,-44,-1063,34,31,6
35,17556,IMU1,0,-36,-1096,7,28,1
36,17566,IMU0,-37,-58,-1064,30,35,10
37,17566,IMU1,-9,-49,-1097,6,31,5
38,17576,IMU0,-32,-65,-1069,30,60,26
39,17576,IMU1,-3,-58,-1107,4,55,21
40,17586,IMU0,-54,-48,-1068,24,89,45
41,17586,IMU1,-28,-41,-1106,0,83,38
42,17596,IMU0,-58,-31,-1070,56,101,33
43,17596,IMU1,-35,-23,-1104,34,94,28
44,17606,IMU0,-19,-4,-1107,33,111,30
45,17606,IMU1,4,1,-1144,7,108,23
46,17616,IMU0,53,-13,-1104,84,58,45
47,17616,IMU1,91,-5,-1141,64,58,40
48,17626,IMU0,34,41,-1275,115,1,78
49,17626,IMU1,62,47,-1311,86,-1,73
50,17636,IMU0,24,-58,-1406,92,-32,114
51,17636,IMU1,50,-51,-1443,62,-32,109
52,17646,IMU0,31,-29,-1565,59,-33,201
53,17646,IMU1,56,-24,-1592,31,-33,197
54,17656,IMU0,35,-54,-1699,-25,-22,272
55,17656,IMU1,72,-45,-1725,-53,-22,267
56,17666,IMU0,2,12,-1848,-94,-1,373
57,17666,IMU1,39,21,-1881,-130,5,367
58,17676,IMU0,-15,81,-1945,-126,30,413
59,17676,IMU1,29,92,-1978,-158,30,407
60,17686,IMU0,-15,81,-1945,-126,30,413
61,17686,IMU1,34,98,-2050,-173,31,424
62,17696,IMU0,27,21,-2064,-187,23,407
63,17696,IMU1,56,35,-2090,-205,20,401
64,17706,IMU0,10,-30,-2098,-215,20,380
65,17706,IMU1,44,-19,-2130,-230,16,375
66,17716,IMU0,5,57,-2077,-189,50,306
67,17716,IMU1,45,65,-2115,-214,46,300
68,17726,IMU0,-11,159,-2160,-34,56,226
69,17726,IMU1,26,164,-2205,-67,51,220
70,17736,IMU0,-18,211,-2260,127,89,156
71,17736,IMU1,16,220,-2301,99,86,149
72,17746,IMU0,1,79,-2305,203,142,130
73,17746,IMU1,35,94,-2343,181,144,123
74,17756,IMU0,74,42,-2321,169,147,122
75,17756,IMU1,103,52,-2348,156,145,115
76,17766,IMU0,137,-11,-2293,109,46,108
77,17766,IMU1,163,6,-2321,92,50,102
78,17776,IMU0,97,-12,-2359,49,-39,91
79,17776,IMU1,128,-5,-2388,33,-38,86
80,17786,IMU0,86,39,-2396,57,-43,94
81,17786,IMU1,121,45,-2431,31,-40,90
82,17796,IMU0,50,178,-2349,83,-30,110
83,17796,IMU1,91,181,-2380,48,-28,106
84,17806,IMU0,32,122,-2364,80,-21,138
85,17806,IMU1,70,140,-2395,48,-22,133
86,17816,IMU0,41,66,-2426,57,1,162
87,17816,IMU1,75,81,-2448,32,1,159
88,17826,IMU0,33,94,-2485,48,33,179
89,17826,IMU1,67,97,-2520,24,60,171
90,17836,IMU0,11,101,-2481,26,77,197
91,17836,IMU1,48,115,-2509,1,83,198
92,17846,IMU0,34,120,-2487,42,79,201
93,17846,IMU1,77,132,-2512,9,80,198
94,17856,IMU0,40,137,-2467,14,74,189
95,17856,IMU1,76,139,-2487,-6,82,179
96,17866,IMU0,29,84,-2506,16,66,153
97,17866,IMU1,55,136,-2518,-3,75,137
98,17876,IMU0,27,145,-2499,26,62,85
99,17876,IMU1,59,153,-2529,6,62,79
100,17886,IMU0,56,160,-2453,47,73,47
101,17886,IMU1,72,136,-2499,20,57,41
102,17896,IMU0,27,111,-2501,54,42,31
103,17896,IMU1,72,151,-2514,34,43,18
104,17906,IMU0,14,137,-2499,48,31,8
105,17906,IMU1,63,149,-2509,20,43,8
106,17916,IMU0,29,130,-2454,43,45,-2
107,17916,IMU1,43,118,-2537,10,29,-1
108,17926,IMU0,24,137,-2492,18,31,-8
109,17926,IMU1,65,154,-2513,-7,28,-18
110,17936,IMU0,18,129,-2506,7,46,-11
111,17936,IMU1,39,135,-2524,-9,51,-17
112,17946,IMU0,-2,113,-2546,-5,57,-10
113,17946,IMU1,35,152,-2571,-20,61,-17
114,17956,IMU0,18,151,-2512,10,76,-18
115,17956,IMU1,57,118,-2570,-10,74,-17
116,17966,IMU0,9,129,-2573,15,66,-15
117,17966,IMU1,39,151,-2620,-11,58,-23
118,17976,IMU0,20,151,-2578,35,69,-15
119,17976,IMU1,74,152,-2604,11,65,-28
120,17986,IMU0,17,96,-2677,23,33,-3
121,17986,IMU1,57,150,-2695,2,29,-15
122,17996,IMU0,21,153,-2667,35,24,1
123,17996,IMU1,42,136,-2703,4,18,-1
124,18006,IMU0,-8,112,-2770,33,27,15
125,18006,IMU1,18,148,-2758,14,39,11
126,18016,IMU0,-12,142,-2717,38,42,17
127,18016,IMU1,39,121,-2784,6,65,19
128,18026,IMU0,30,131,-2757,35,49,15
129,18026,IMU1,48,146,-2760,9,53,17
130,18036,IMU0,11,110,-2797,8,25,16
131,18036,IMU1,50,127,-2831,-9,29,14
132,18046,IMU0,15,133,-2794,22,46,18
133,18046,IMU1,30,133,-2842,-1,42,20
134,18056,IMU0,43,150,-2848,30,41,10
135,18056,IMU1,76,159,-2850,4,49,11
136,18066,IMU0,10,128,-2930,26,54,21
137,18066,IMU1,43,155,-2927,-3,50,15
138,18076,IMU0,42,115,-2952,45,53,26
139,18076,IMU1,49,122,-2991,17,55,21
140,18086,IMU0,58,147,-2970,34,22,28
141,18086,IMU1,58,154,-3001,5,24,20
142,18096,IMU0,28,137,-3021,49,10,20
143,18096,IMU1,50,160,-3027,24,11,15
144,18106,IMU0,-2,126,-3070,37,8,22
145,18106,IMU1,34,154,-3080,7,8,20
146,18116,IMU0,-8,109,-3070,24,21,20
147,18116,IMU1,46,123,-3116,0,22,19
148,18126,IMU0,3,123,-3033,14,5,26
149,18126,IMU1,55,125,-3122,-15,5,25
150,18136,IMU0,22,132,-3056,5,-6,30
151,18136,IMU1,55,146,-3079,-21,-8,24
152,18146,IMU0,13,135,-3011,27,33,34
153,18146,IMU1,60,152,-3031,8,27,26
154,18156,IMU0,45,153,-2984,3,43,28
155,18156,IMU1,94,168,-3021,-17,37,19
156,18166,IMU0,26,142,-2989,19,52,34
157,18166,IMU1,68,153,-3034,0,45,27
158,18176,IMU0,37,138,-3013,16,21,36
159,18176,IMU1,61,146,-3057,-13,24,33
160,18186,IMU0,0,132,-3052,32,-14,35
161,18186,IMU1,22,150,-3064,10,-3,32
162,18196,IMU0,-9,132,-3082,37,-29,26
163,18196,IMU1,23,154,-3081,12,-18,22
164,18206,IMU0,-20,128,-3073,25,15,14
165,18206,IMU1,12,145,-3083,3,12,8
166,18216,IMU0,11,123,-3042,31,56,9
167,18216,IMU1,59,136,-3074,9,46,1
168,18226,IMU0,11,142,-2995,25,47,12
169,18226,IMU1,59,155,-3023,0,41,4
170,18236,IMU0,1,138,-2981,35,38,7
171,18236,IMU1,42,152,-2999,18,40,0
172,18246,IMU0,-4,140,-3011,31,30,3
173,18246,IMU1,35,158,-3026,10,38,-1
174,18256,IMU0,14,132,-3038,21,37,0
175,18256,IMU1,49,147,-3070,8,43,-6
176,18266,IMU0,36,141,-3037,41,81,1
177,18266,IMU1,76,147,-3104,10,70,-6
178,18276,IMU0,36,142,-2995,38,85,-3
179,18276,IMU1,79,148,-3055,12,73,-8
180,18286,IMU0,29,121,-3034,38,53,-9
181,18286,IMU1,60,125,-3057,14,58,-10
182,18296,IMU0,38,107,-3069,-30,4,-11
183,18296,IMU1,59,118,-3114,-55,7,-13
184,18306,IMU0,53,87,-3060,-48,-6,-15
185,18306,IMU1,79,97,-3148,-74,-21,-19
186,18316,IMU0,0,64,-2993,-143,1,-5
187,18316,IMU1,29,75,-3049,-158,-14,-11
188,18326,IMU0,-16,71,-3031,-275,3,-2
189,18326,IMU1,-2,92,-3042,-290,4,-7
190,18336,IMU0,7,54,-3032,-411,22,3
191,18336,IMU1,25,75,-3079,-430,14,-3
192,18346,IMU0,-16,77,-2955,-516,33,8
193,18346,IMU1,24,82,-2997,-527,25,-3
194,18356,IMU0,-26,109,-2968,-587,55,11
195,18356,IMU1,9,116,-2983,-607,63,3
196,18366,IMU0,19,119,-2984,-632,38,4
197,18366,IMU1,42,127,-3026,-651,37,-5
198,18376,IMU0,23,116,-2926,-612,40,2
199,18376,IMU1,60,119,-3029,-636,27,-8
200,18386,IMU0,-8,113,-2872,-615,43,6
201,18386,IMU1,25,115,-2936,-632,30,-3
202,18396,IMU0,0,109,-2900,-604,11,1
203,18396,IMU1,16,118,-2938,-626,17,-5
204,18406,IMU0,21,80,-2902,-633,-13,11
205,18406,IMU1,41,96,-2975,-656,-23,2
206,18416,IMU0,-14,77,-2820,-616,-12,24
207,18416,IMU1,16,87,-2903,-646,-25,16
208,18426,IMU0,-38,109,-2828,-618,1,26
209,18426,IMU1,-24,124,-2862,-650,0,21
210,18436,IMU0,-32,100,-2855,-552,17,26
211,18436,IMU1,-23,120,-2895,-586,12,21
212,18446,IMU0,9,93,-2799,-502,32,26
213,18446,IMU1,42,110,-2900,-540,10,20
214,18456,IMU0,-24,93,-2727,-438,32,21
215,18456,IMU1,13,107,-2779,-460,20,13
216,18466,IMU0,-32,88,-2753,-380,-4,2
217,18466,IMU1,4,106,-2770,-404,1,-3
218,18476,IMU0,-9,58,-2764,-383,-15,-7
219,18476,IMU1,25,84,-2792,-400,-18,-14
220,18486,IMU0,-34,75,-2730,-342,15,-2
221,18486,IMU1,27,94,-2765,-359,10,-5
222,18496,IMU0,-40,75,-2726,-298,37,5
223,18496,IMU1,12,86,-2699,-323,6,-2
224,18506,IMU0,-25,66,-2793,-287,28,11
225,18506,IMU1,-2,81,-2743,-309,17,5
226,18516,IMU0,-20,102,-2774,-246,38,9
227,18516,IMU1,28,115,-2809,-257,36,5
228,18526,IMU0,-30,73,-2727,-133,47,8
229,18526,IMU1,1,81,-2785,-149,32,0
230,18536,IMU0,-28,76,-2818,-84,10,-8
231,18536,IMU1,33,83,-2875,-105,3,-16
232,18546,IMU0,-14,46,-2825,-8,34,-21
233,18546,IMU1,10,58,-2798,-20,40,-27
234,18556,IMU0,-13,37,-2752,3,99,-18
235,18556,IMU1,22,43,-2799,-14,97,-27
236,18566,IMU0,33,12,-2816,10,53,-18
237,18566,IMU1,80,17,-2856,-14,55,-23
238,18576,IMU0,33,23,-2782,-6,18,-22
239,18576,IMU1,49,46,-2816,-32,21,-27
240,18586,IMU0,-6,34,-2852,-4,-3,-7
241,18586,IMU1,48,52,-2915,-33,-17,-16
242,18596,IMU0,45,50,-2875,21,-20,-5
243,18596,IMU1,72,61,-2822,-8,-8,-7
244,18606,IMU0,-5,32,-2735,25,28,6
245,18606,IMU1,21,46,-2746,0,31,-2
246,18616,IMU0,-2,35,-2785,34,25,6
247,18616,IMU1,42,52,-2825,5,30,2
248,18626,IMU0,-37,55,-2728,13,56,14
249,18626,IMU1,-18,72,-2748,-21,53,11
250,18636,IMU0,-53,54,-2762,29,54,9
251,18636,IMU1,3,56,-2826,-1,47,6
252,18646,IMU0,-16,47,-2738,0,86,12
253,18646,IMU1,9,54,-2713,-14,96,8
254,18656,IMU0,-40,37,-2653,25,64,18
255,18656,IMU1,4,44,-2709,4,53,11
256,18666,IMU0,-13,46,-2710,-3,3,6
257,18666,IMU1,24,53,-2728,-27,5,4
258,18676,IMU0,-57,33,-2632,17,25,5
259,18676,IMU1,-29,44,-2683,-18,16,0
260,18686,IMU0,-41,37,-2729,11,6,0
261,18686,IMU1,14,49,-2783,-8,-7,-5
262,18696,IMU0,-10,29,-2655,30,17,-3
263,18696,IMU1,12,48,-2611,10,28,-7
264,18706,IMU0,-39,28,-2591,42,18,-8
265,18706,IMU1,7,43,-2628,12,12,-14
266,18716,IMU0,-23,10,-2598,28,24,-7
267,18716,IMU1,-9,26,-2602,4,32,-12
268,18726,IMU0,-80,36,-2581,6,51,-1
269,18726,IMU1,-44,51,-2645,-23,41,-9
270,18736,IMU0,-15,37,-2673,8,31,-5
271,18736,IMU1,24,48,-2672,-17,34,-12
272,18746,IMU0,-58,43,-2512,39,40,-3
273,18746,IMU1,-43,51,-2536,0,53,-8
274,18756,IMU0,-31,41,-2580,51,18,-7
275,18756,IMU1,14,48,-2635,20,7,-11
276,18766,IMU0,-58,24,-2535,51,11,4
277,18766,IMU1,-29,37,-2572,31,2,-3
278,18776,IMU0,-31,25,-2600,46,-42,-2
279,18776,IMU1,22,32,-2634,16,-50,-5
280,18786,IMU0,-54,17,-2501,56,-13,0
281,18786,IMU1,-35,37,-2472,23,5,-3
282,18796,IMU0,-36,38,-2481,28,30,-1
283,18796,IMU1,10,54,-2539,-8,21,-7
284,18806,IMU0,-26,32,-2458,31,16,4
285,18806,IMU1,-2,47,-2453,3,18,2
286,18816,IMU0,-39,61,-2452,-4,0,15
287,18816,IMU1,2,64,-2509,-35,-4,11
288,18826,IMU0,-29,43,-2436,2,17,19
289,18826,IMU1,-10,53,-2433,-16,15,14
290,18836,IMU0,-48,39,-2403,39,24,26
291,18836,IMU1,-3,55,-2484,25,8,18
292,18846,IMU0,4,45,-2478,48,-21,22
293,18846,IMU1,28,61,-2487,29,-24,17
294,18856,IMU0,-31,42,-2366,76,-27,21
295,18856,IMU1,3,55,-2393,50,-31,16
296,18866,IMU0,-19,24,-2365,39,-14,10
297,18866,IMU1,6,35,-2355,16,-2,7
298,18876,IMU0,-68,28,-2280,19,28,15
299,18876,IMU1,-38,42,-2328,-9,18,10
300,18886,IMU0,-18,64,-2390,-17,22,21
301,18886,IMU1,20,74,-2417,-41,12,19
302,18896,IMU0,-35,53,-2242,16,45,27
303,18896,IMU1,-5,58,-2266,-15,44,23
304,18906,IMU0,-8,34,-2331,29,18,18
305,18906,IMU1,32,45,-2376,-7,16,15
306,18916,IMU0,-16,48,-2260,38,1,21
307,18916,IMU1,15,63,-2287,10,3,16
308,18926,IMU0,2,41,-2269,42,-25,6
309,18926,IMU1,40,53,-2276,17,-19,1
310,18936,IMU0,-62,58,-2118,48,15,10
311,18936,IMU1,-40,73,-2141,23,22,6
312,18946,IMU0,-34,50,-2261,34,13,9
313,18946,IMU1,5,57,-2314,7,10,4
314,18956,IMU0,-41,40,-2142,41,41,1
315,18956,IMU1,-18,48,-2163,9,44,-4
316,18966,IMU0,16,26,-2192,31,13,-9
317,18966,IMU1,55,38,-2230,-5,14,-13
318,18976,IMU0,-41,50,-2134,25,-10,-4
319,18976,IMU1,-16,64,-2161,0,-2,-9
320,18986,IMU0,-24,64,-2190,28,-14,-13
321,18986,IMU1,13,74,-2215,2,-7,-17
322,18996,IMU0,-81,66,-2043,35,71,-3
323,18996,IMU1,-62,76,-2058,4,77,-7
324,19006,IMU0,0,50,-2168,41,59,-7
325,19006,IMU1,35,58,-2216,3,55,-10
326,19016,IMU0,-40,59,-2100,36,57,-5
327,19016,IMU1,-15,70,-2125,4,50,-9
328,19026,IMU0,-9,51,-2148,34,39,-12
329,19026,IMU1,27,62,-2175,17,29,-18
330,19036,IMU0,-54,42,-2037,49,70,-2
331,19036,IMU1,-27,56,-2061,27,70,-9
332,19046,IMU0,-11,41,-2099,5,47,3
333,19046,IMU1,24,53,-2123,-7,49,-6
334,19056,IMU0,-59,58,-1944,14,66,10
335,19056,IMU1,-34,67,-1966,2,59,3
336,19066,IMU0,-15,39,-2048,14,39,3
337,19066,IMU1,21,46,-2086,-7,34,-3
338,19076,IMU0,-45,43,-1991,19,29,10
339,19076,IMU1,-18,53,-2025,3,29,4
340,19086,IMU0,-1,32,-2009,28,-11,4
341,19086,IMU1,32,44,-2027,14,-13,0
342,19096,IMU0,-60,40,-1908,51,25,13
343,19096,IMU1,-34,52,-1934,28,22,9
344,19106,IMU0,-26,37,-1987,37,13,8
345,19106,IMU1,3,48,-2014,6,13,4
346,19116,IMU0,-50,34,-1860,54,57,6
347,19116,IMU1,-23,44,-1889,36,53,0
348,19126,IMU0,-31,20,-1952,20,10,5
349,19126,IMU1,-2,31,-1987,5,8,0
350,19136,IMU0,-73,21,-1919,27,28,13
351,19136,IMU1,-41,31,-1950,-8,28,11
352,19146,IMU0,-14,27,-1895,-12,42,19
353,19146,IMU1,14,38,-1913,-47,44,15
354,19156,IMU0,-53,48,-1849,3,51,25
355,19156,IMU1,-23,59,-1882,-35,2,17
356,19166,IMU0,-25,53,-1918,4,-1,19
357,19166,IMU1,3,63,-1952,-9,19,15
358,19176,IMU0,-78,36,-1862,38,10,16
359,19176,IMU1,-47,46,-1897,13,-5,8
360,19186,IMU0,-27,25,-1941,52,30,18
361,19186,IMU1,-26,65,-1857,36,63,16
362,19196,IMU0,-33,37,-1863,58,13,15
363,19196,IMU1,12,43,-1900,31,13,5
364,19206,IMU0,-28,24,-1818,42,1,9
365,19206,IMU1,-27,39,-1885,7,7,6
366,19216,IMU0,-78,44,-1871,19,2,4
367,19216,IMU1,17,30,-1943,-24,-9,-2
368,19226,IMU0,-27,25,-1837,28,19,-2
369,19226,IMU1,-39,42,-1767,3,56,-6
370,19236,IMU0,-36,45,-1781,7,40,-6
371,19236,IMU1,22,63,-1891,-27,20,-12
372,19246,IMU0,-31,21,-1778,24,31,-7
373,19246,IMU1,-27,23,-1732,-6,28,-11
374,19256,IMU0,-24,29,-1758,-54,21,-4
375,19256,IMU1,-1,16,-1802,-82,15,-10
376,19266,IMU0,-83,23,-1729,-65,40,-6
377,19266,IMU1,-38,40,-1835,-105,38,-10
378,19276,IMU0,-24,55,-1828,-59,61,-5
379,19276,IMU1,5,66,-1743,-85,61,-11
380,19286,IMU0,-51,38,-1661,-56,36,2
381,19286,IMU1,-44,57,-1732,-71,42,-4
382,19296,IMU0,-53,49,-1716,-50,8,10
383,19296,IMU1,-25,59,-1756,-73,6,4
384,19306,IMU0,-57,32,-1709,-45,-3,13
385,19306,IMU1,-26,41,-1739,-65,-6,7
386,19316,IMU0,-64,64,-1694,-32,29,9
387,19316,IMU1,-35,71,-1724,-35,27,0
388,19326,IMU0,-64,54,-1705,4,28,3
389,19326,IMU1,-30,64,-1739,-1,25,-5
390,19336,IMU0,-91,39,-1589,17,84,7
391,19336,IMU1,-65,49,-1604,1,89,0
392,19346,IMU0,-32,28,-1723,-19,40,4
393,19346,IMU1,-7,39,-1760,-35,41,-1
394,19356,IMU0,-50,19,-1579,5,34,12
395,19356,IMU1,-25,29,-1612,-15,30,6
396,19366,IMU0,-43,42,-1656,-23,10,13
397,19366,IMU1,-10,49,-1685,-49,10,8
398,19376,IMU0,-84,67,-1584,4,37,20
399,19376,IMU1,-57,78,-1610,-20,40,13
400,19386,IMU0,-43,47,-1618,-4,46,23
401,19386,IMU1,-15,60,-1660,-30,45,17
402,19396,IMU0,-85,37,-1591,18,36,28
403,19396,IMU1,-61,49,-1605,-3,40,23
404,19406,IMU0,-33,43,-1633,3,6,23
405,19406,IMU1,4,52,-1694,-14,-5,17
406,19416,IMU0,-104,50,-1527,37,8,23
407,19416,IMU1,-75,59,-1534,13,7,17
408,19426,IMU0,-68,42,-1625,9,-2,17
409,19426,IMU1,-40,51,-1664,-6,-18,12
410,19436,IMU0,-84,39,-1558,28,20,16
411,19436,IMU1,-64,52,-1582,9,14,11
412,19446,IMU0,-76,35,-1551,36,29,8
413,19446,IMU1,-42,43,-1585,16,24,3
414,19456,IMU0,-67,57,-1569,48,41,6
415,19456,IMU1,-45,66,-1583,32,34,1
416,19466,IMU0,-72,41,-1489,18,34,17
417,19466,IMU1,-44,53,-1529,-3,25,12
418,19476,IMU0,-37,40,-1580,26,-10,12
419,19476,IMU1,-20,51,-1586,12,-6,7
420,19486,IMU0,-67,50,-1512,14,-23,14
421,19486,IMU1,-38,56,-1564,-10,-35,11
422,19496,IMU0,-61,57,-1529,20,-3,10
423,19496,IMU1,-34,67,-1542,-1,-9,6
424,19506,IMU0,-79,58,-1487,46,4,19
425,19506,IMU1,-49,68,-1511,18,9,14
426,19516,IMU0,-46,37,-1549,21,10,26
427,19516,IMU1,-25,51,-1590,-5,9,22
428,19526,IMU0,-59,33,-1455,34,41,28
429,19526,IMU1,-32,40,-1470,22,32,23
430,19536,IMU0,-29,49,-1541,17,5,20
431,19536,IMU1,-1,57,-1592,-11,-4,16
432,19546,IMU0,-85,51,-1409,54,28,26
433,19546,IMU1,-54,61,-1417,37,27,22
434,19556,IMU0,-46,43,-1556,37,-5,27
435,19556,IMU1,-22,53,-1595,7,-12,24
436,19566,IMU0,-61,29,-1479,39,26,27
437,19566,IMU1,-41,37,-1496,18,23,24
438,19576,IMU0,-57,36,-1493,46,28,16
439,19576,IMU1,-16,41,-1538,12,17,12
440,19586,IMU0,-57,36,-1493,46,28,16
441,19586,IMU1,-48,55,-1497,1,26,3
442,19596,IMU0,-46,30,-1468,27,6,-1
443,19596,IMU1,-10,42,-1527,10,-7,-4
444,19606,IMU0,-46,14,-1499,13,-6,-11
445,19606,IMU1,-32,21,-1501,-3,-9,-15
446,19616,IMU0,-58,13,-1420,2,20,-13
447,19616,IMU1,-18,21,-1489,-22,2,-18
448,19626,IMU0,-55,24,-1439,-46,16,-25
449,19626,IMU1,-34,34,-1431,-70,29,-29
450,19636,IMU0,-49,32,-1423,-73,19,-24
451,19636,IMU1,-23,41,-1459,-96,13,-31
452,19646,IMU0,-29,38,-1466,-79,0,-24
453,19646,IMU1,-6,48,-1512,-91,-15,-30
454,19656,IMU0,-87,38,-1375,-22,31,-14
455,19656,IMU1,-50,44,-1394,-44,16,-20
456,19666,IMU0,-41,30,-1460,-34,29,-11
457,19666,IMU1,-21,42,-1504,-66,26,-17
458,19676,IMU0,-92,16,-1350,-31,43,-6
459,19676,IMU1,-62,29,-1350,-55,46,-10
460,19686,IMU0,-48,20,-1463,-40,37,-4
461,19686,IMU1,-19,26,-1514,-83,34,-10
462,19696,IMU0,-86,40,-1348,-54,46,-3
463,19696,IMU1,-52,47,-1359,-82,50,-7
464,19706,IMU0,-81,38,-1386,-45,30,7
465,19706,IMU1,-35,49,-1430,-70,30,1
466,19716,IMU0,-79,22,-1421,-63,30,10
467,19716,IMU1,-74,36,-1426,-77,33,5
468,19726,IMU0,-79,15,-1330,-46,71,13
469,19726,IMU1,-41,21,-1389,-67,53,4
470,19736,IMU0,-43,55,-1410,-90,58,11
471,19736,IMU1,-20,60,-1426,-105,55,4
472,19746,IMU0,-94,67,-1294,-36,50,15
473,19746,IMU1,-58,78,-1332,-75,33,10
474,19756,IMU0,-49,49,-1456,9,6,9
475,19756,IMU1,-44,65,-1464,-25,4,5
476,19766,IMU0,-86,32,-1324,39,31,10
477,19766,IMU1,-58,38,-1383,6,15,4
478,19776,IMU0,-55,46,-1386,27,44,11
479,19776,IMU1,-27,50,-1421,-5,37,6
480,19786,IMU0,-91,56,-1344,32,60,20
481,19786,IMU1,-67,65,-1346,11,64,16
482,19796,IMU0,-50,29,-1355,11,44,18
483,19796,IMU1,-6,44,-1426,-18,25,12
484,19806,IMU0,-90,44,-1374,12,29,14
485,19806,IMU1,-76,46,-1356,-15,36,12
486,19816,IMU0,-88,52,-1293,7,36,23
487,19816,IMU1,-26,55,-1399,-15,49,20
488,19826,IMU0,-111,48,-1349,20,54,28
489,19826,IMU1,-104,63,-1301,-1,35,22
490,19836,IMU0,-100,49,-1320,13,62,27
491,19836,IMU1,-65,56,-1388,3,68,21
492,19846,IMU0,-82,45,-1339,34,68,33
493,19846,IMU1,-68,58,-1364,23,73,27
494,19856,IMU0,-94,54,-1278,31,75,34
495,19856,IMU1,-57,61,-1359,3,46,27
