,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,0.008,IMU0,4.451219512195122,-27.682926829268297,-4.573170731707317,-0.08984375,11.265625,-0.13671875
1,0.008,IMU1,7.01219512195122,-29.39024390243903,-4.695121951219512,-0.255859375,11.2705078125,-0.142578125
2,0.008,IMU2,5.3048780487804885,-27.378048780487806,-5.182926829268293,-0.1162109375,11.275390625,-0.0986328125
3,0.018,IMU0,4.878048780487806,-34.51219512195122,-5.975609756097562,-0.076171875,11.2099609375,-0.0234375
4,0.018,IMU1,7.378048780487806,-36.15853658536586,-6.097560975609756,-0.2314453125,11.2099609375,-0.0390625
5,0.018,IMU2,5.731707317073171,-34.51219512195122,-6.585365853658537,-0.0947265625,11.2109375,-0.00390625
6,0.028,IMU0,4.2682926829268295,-42.743902439024396,-7.073170731707318,-0.189453125,11.0341796875,0.0693359375
7,0.028,IMU1,6.829268292682928,-44.268292682926834,-7.134146341463415,-0.353515625,11.0361328125,0.06640625
8,0.028,IMU2,4.878048780487806,-42.43902439024391,-7.682926829268293,-0.2158203125,11.0380859375,0.091796875
9,0.038,IMU0,3.780487804878049,-48.963414634146346,-6.463414634146342,-0.025390625,11.0029296875,0.00390625
10,0.038,IMU1,6.2804878048780495,-50.73170731707317,-6.52439024390244,-0.181640625,11.0078125,-0.015625
11,0.038,IMU2,4.390243902439025,-49.146341463414636,-7.073170731707318,-0.0341796875,11.01171875,0.01171875
