,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,630661,IMU0,73,-454,-75,-92,11536,-140
1,630661,IMU1,115,-482,-77,-262,11541,-146
2,630661,IMU2,87,-449,-85,-119,11546,-101
3,630671,IMU0,80,-566,-98,-78,11479,-24
4,630671,IMU1,121,-593,-100,-237,11479,-40
5,630671,IMU2,94,-566,-108,-97,11480,-4
6,630681,IMU0,70,-701,-116,-194,11299,71
7,630681,IMU1,112,-726,-117,-362,11301,68
8,630681,IMU2,80,-696,-126,-221,11303,94
9,630691,IMU0,62,-803,-106,-26,11267,4
10,630691,IMU1,103,-832,-107,-186,11272,-16
11,630691,IMU2,72,-806,-116,-35,11276,12
