,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,42389,0,0,0,0,0,0
1,42399,0,0,0,0,0,0
2,42409,0,0,0,0,0,0
3,42419,0,0,0,0,0,0
4,42429,0,0,0,0,0,0
5,42439,0,0,0,0,0,0
6,42449,0,0,0,0,0,0
7,42459,0,0,0,0,0,0
8,42469,0,0,0,0,0,0
9,42479,0,0,0,0,0,0
10,42489,0,0,0,0,0,0
11,42499,0,0,0,0,0,0
12,42509,0,0,0,0,0,0
13,42519,0,0,0,0,0,0
14,42529,0,0,0,0,0,0
15,42539,0,0,0,0,0,0
16,42549,0,0,0,0,0,0
17,42559,0,0,0,0,0,0
18,42569,0,0,0,0,0,0
19,42579,0,0,0,0,0,0
20,42589,0,0,0,0,0,0
21,42599,0,0,0,0,0,0
22,42609,0,0,0,0,0,0
23,42619,0,0,0,0,0,0
24,42629,0,0,0,0,0,0
25,42639,0,0,0,0,0,0
26,42649,0,0,0,0,0,0
27,42659,0,0,0,0,0,0
28,42669,0,0,0,0,0,0
29,42679,0,0,0,0,0,0
30,42689,0,0,0,0,0,0
31,42699,0,0,0,0,0,0
32,42709,0,0,0,0,0,0
33,42719,0,0,0,0,0,0
34,42729,0,0,0,0,0,0
35,42739,0,0,0,0,0,0
36,42749,0,0,0,0,0,0
37,42759,0,0,0,0,0,0
38,42769,0,0,0,0,0,0
39,42779,0,0,0,0,0,0
40,42789,0,0,0,0,0,0
41,42799,0,0,0,0,0,0
42,42809,0,0,0,0,0,0
43,42819,0,0,0,0,0,0
44,42829,0,0,0,0,0,0
45,42839,0,0,0,0,0,0
46,42849,0,0,0,0,0,0
47,42859,0,0,0,0,0,0
48,42869,0,0,0,0,0,0
49,42879,0,0,0,0,0,0
50,42889,0,0,0,0,0,0
51,42899,0,0,0,0,0,0
52,42909,0,0,0,0,0,0
53,42919,0,0,0,0,0,0
54,42929,0,0,0,0,0,0
55,42939,0,0,0,0,0,0
56,42949,0,0,0,0,0,0
57,42959,0,0,0,0,0,0
58,42969,0,0,0,0,0,0
59,42979,0,0,0,0,0,0
60,42989,0,0,0,0,0,0
61,42999,0,0,0,0,0,0
62,43009,0,0,0,0,0,0
63,43019,0,0,0,0,0,0
64,43029,0,0,0,0,0,0
65,43039,0,0,0,0,0,0
66,43049,0,0,0,0,0,0
67,43059,0,0,0,0,0,0
68,43069,0,0,0,0,0,0
69,43079,0,0,0,0,0,0
70,43089,0,0,0,0,0,0
71,43099,0,0,0,0,0,0
72,43109,0,0,0,0,0,0
73,43119,0,0,0,0,0,0
74,43129,0,0,0,0,0,0
75,43139,0,0,0,0,0,0
76,43149,0,0,0,0,0,0
77,43159,0,0,0,0,0,0
78,43169,0,0,0,0,0,0
79,43179,0,0,0,0,0,0
80,43189,0,0,0,0,0,0
81,43199,0,0,0,0,0,0
82,43209,0,0,0,0,0,0
83,43219,0,0,0,0,0,0
84,43229,0,0,0,0,0,0
85,43239,0,0,0,0,0,0
86,43249,0,0,0,0,0,0
87,43259,0,0,0,0,0,0
88,43269,0,0,0,0,0,0
89,43279,0,0,0,0,0,0
90,43289,0,0,0,0,0,0
91,43299,0,0,0,0,0,0
92,43309,0,0,0,0,0,0
93,43319,0,0,0,0,0,0
94,43329,0,0,0,0,0,0
95,43339,0,0,0,0,0,0
96,43349,0,0,0,0,0,0
97,43359,0,0,0,0,0,0
98,43369,0,0,0,0,0,0
99,43379,0,0,0,0,0,0
100,43389,0,0,0,0,0,0
101,43399,0,0,0,0,0,0
102,43409,0,0,0,0,0,0
103,43419,0,0,0,0,0,0
104,43429,0,0,0,0,0,0
105,43439,0,0,0,0,0,0
106,43449,0,0,0,0,0,0
107,43459,0,0,0,0,0,0
108,43469,0,0,0,0,0,0
109,43479,0,0,0,0,0,0
110,43489,0,0,0,0,0,0
111,43499,0,0,0,0,0,0
112,43509,0,0,0,0,0,0
113,43519,0,0,0,0,0,0
114,43529,0,0,0,0,0,0
115,43539,0,0,0,0,0,0
116,43549,0,0,0,0,0,0
117,43559,0,0,0,0,0,0
118,43569,0,0,0,0,0,0
119,43579,0,0,0,0,0,0
120,43589,0,0,0,0,0,0
121,43599,0,0,0,0,0,0
122,43609,0,0,0,0,0,0
123,43619,0,0,0,0,0,0
124,43629,0,0,0,0,0,0
125,43639,0,0,0,0,0,0
126,43649,0,0,0,0,0,0
127,43659,0,0,0,0,0,0
128,43669,0,0,0,0,0,0
129,43679,0,0,0,0,0,0
130,43689,0,0,0,0,0,0
131,43699,0,0,0,0,0,0
132,43709,0,0,0,0,0,0
133,43719,0,0,0,0,0,0
134,43729,0,0,0,0,0,0
135,43739,0,0,0,0,0,0
136,43749,0,0,0,0,0,0
137,43759,0,0,0,0,0,0
138,43769,0,0,0,0,0,0
139,43779,0,0,0,0,0,0
140,43789,0,0,0,0,0,0
141,43799,0,0,0,0,0,0
142,43809,0,0,0,0,0,0
143,43819,0,0,0,0,0,0
144,43829,0,0,0,0,0,0
145,43839,0,0,0,0,0,0
146,43849,0,0,0,0,0,0
147,43859,0,0,0,0,0,0
148,43869,0,0,0,0,0,0
149,43879,0,0,0,0,0,0
150,43889,0,0,0,0,0,0
151,43899,0,0,0,0,0,0
152,43909,0,0,0,0,0,0
153,43919,0,0,0,0,0,0
154,43929,0,0,0,0,0,0
155,43939,0,0,0,0,0,0
156,43949,0,0,0,0,0,0
157,43959,0,0,0,0,0,0
158,43969,0,0,0,0,0,0
159,43979,0,0,0,0,0,0
160,43989,0,0,0,0,0,0
161,43999,0,0,0,0,0,0
162,44009,0,0,0,0,0,0
163,44019,0,0,0,0,0,0
164,44029,0,0,0,0,0,0
165,44039,0,0,0,0,0,0
166,44049,0,0,0,0,0,0
167,44059,0,0,0,0,0,0
168,44069,0,0,0,0,0,0
169,44079,0,0,0,0,0,0
170,44089,0,0,0,0,0,0
171,44099,0,0,0,0,0,0
172,44109,0,0,0,0,0,0
173,44119,0,0,0,0,0,0
174,44129,0,0,0,0,0,0
175,44139,0,0,0,0,0,0
176,44149,0,0,0,0,0,0
177,44159,0,0,0,0,0,0
178,44169,0,0,0,0,0,0
179,44179,0,0,0,0,0,0
180,44189,0,0,0,0,0,0
181,44199,0,0,0,0,0,0
182,44209,0,0,0,0,0,0
183,44219,0,0,0,0,0,0
184,44229,0,0,0,0,0,0
185,44239,0,0,0,0,0,0
186,44249,0,0,0,0,0,0
187,44259,0,0,0,0,0,0
188,44269,0,0,0,0,0,0
189,44279,0,0,0,0,0,0
190,44289,0,0,0,0,0,0
191,44299,0,0,0,0,0,0
192,44309,0,0,0,0,0,0
193,44319,0,0,0,0,0,0
194,44329,0,0,0,0,0,0
195,44339,0,0,0,0,0,0
196,44349,0,0,0,0,0,0
197,44359,0,0,0,0,0,0
198,44369,0,0,0,0,0,0
199,44379,0,0,0,0,0,0
200,44389,0,0,0,0,0,0
201,44399,0,0,0,0,0,0
202,44409,0,0,0,0,0,0
203,44419,0,0,0,0,0,0
204,44429,0,0,0,0,0,0
205,44439,0,0,0,0,0,0
206,44449,0,0,0,0,0,0
207,44459,0,0,0,0,0,0
208,44469,0,0,0,0,0,0
209,44479,0,0,0,0,0,0
210,44489,0,0,0,0,0,0
211,44499,0,0,0,0,0,0
212,44509,0,0,0,0,0,0
213,44519,0,0,0,0,0,0
214,44529,0,0,0,0,0,0
215,44539,0,0,0,0,0,0
216,44549,0,0,0,0,0,0
217,44559,0,0,0,0,0,0
218,44569,0,0,0,0,0,0
219,44579,0,0,0,0,0,0
220,44589,0,0,0,0,0,0
221,44599,0,0,0,0,0,0
222,44609,0,0,0,0,0,0
223,44619,0,0,0,0,0,0
224,44629,0,0,0,0,0,0
225,44639,0,0,0,0,0,0
226,44649,0,0,0,0,0,0
227,44659,0,0,0,0,0,0
228,44669,0,0,0,0,0,0
229,44679,0,0,0,0,0,0
230,44689,0,0,0,0,0,0
231,44699,0,0,0,0,0,0
232,44709,0,0,0,0,0,0
233,44719,0,0,0,0,0,0
234,44729,0,0,0,0,0,0
235,44739,0,0,0,0,0,0
236,44749,0,0,0,0,0,0
237,44759,0,0,0,0,0,0
238,44769,0,0,0,0,0,0
239,44779,0,0,0,0,0,0
240,44789,0,0,0,0,0,0
241,44799,0,0,0,0,0,0
242,44809,0,0,0,0,0,0
243,44819,0,0,0,0,0,0
244,44829,0,0,0,0,0,0
245,44839,0,0,0,0,0,0
246,44849,0,0,0,0,0,0
247,44859,0,0,0,0,0,0
248,44869,0,0,0,0,0,0
249,44879,0,0,0,0,0,0
250,44889,0,0,0,0,0,0
251,44899,0,0,0,0,0,0
252,44909,0,0,0,0,0,0
253,44919,0,0,0,0,0,0
254,44929,0,0,0,0,0,0
255,44939,0,0,0,0,0,0
256,44949,0,0,0,0,0,0
257,44959,0,0,0,0,0,0
258,44969,0,0,0,0,0,0
259,44979,0,0,0,0,0,0
