,ts,id,T,P
0,-0.024,BARO0,20.84,95124
1,-0.024,BARO1,20.76,95149
2,-0.024,BARO2,20.63,95132
3,-0.014,BARO0,20.84,95062
4,-0.014,BARO1,20.74,95085
5,-0.014,BARO2,20.64,95156
6,-0.004,BARO0,20.84,95083
7,-0.004,BARO1,20.76,95109
8,-0.004,BARO2,20.64,95156
9,0.006,BARO0,20.84,95062
10,0.006,BARO1,20.76,95089
11,0.006,BARO2,20.63,95153
12,0.016,BARO0,20.84,95001
13,0.016,BARO1,20.76,95089
14,0.016,BARO2,20.64,95156
15,0.026,BARO0,20.84,95104
16,0.026,BARO1,20.76,95069
17,0.026,BARO2,20.64,95073
18,0.036,BARO0,20.84,95145
19,0.036,BARO1,20.76,95129
20,0.036,BARO2,20.64,95094
21,0.046,BARO0,20.84,95062
22,0.046,BARO1,20.76,95089
23,0.046,BARO2,20.64,95136
24,0.056,BARO0,20.84,95145
25,0.056,BARO1,20.76,95089
26,0.056,BARO2,20.64,95094
27,0.066,BARO0,20.83,95100
28,0.066,BARO1,20.76,95190
29,0.066,BARO2,20.64,95115
30,0.076,BARO0,20.84,95021
31,0.076,BARO1,20.76,95109
32,0.076,BARO2,20.64,95177
33,0.086,BARO0,20.84,95021
34,0.086,BARO1,20.76,95109
35,0.086,BARO2,20.64,95177
36,0.096,BARO0,20.84,95083
37,0.096,BARO1,20.76,95149
38,0.096,BARO2,20.64,95115
39,0.106,BARO0,20.84,95021
40,0.106,BARO1,20.76,95089
41,0.106,BARO2,20.63,95173
42,0.116,BARO0,20.84,94939
43,0.116,BARO1,20.74,95025
44,0.116,BARO2,20.64,95218
45,0.126,BARO0,20.83,94997
46,0.126,BARO1,20.76,95008
47,0.126,BARO2,20.64,95115
48,0.136,BARO0,20.84,95042
49,0.136,BARO1,20.76,95069
50,0.136,BARO2,20.63,95091
51,0.146,BARO0,20.83,94997
52,0.146,BARO1,20.76,94988
53,0.146,BARO2,20.63,95111
54,0.156,BARO0,20.84,95001
55,0.156,BARO1,20.76,94968
56,0.156,BARO2,20.63,95132
57,0.166,BARO0,20.83,94997
58,0.166,BARO1,20.76,94968
59,0.166,BARO2,20.63,95091
60,0.176,BARO0,20.84,95062
61,0.176,BARO1,20.76,94988
62,0.176,BARO2,20.64,95032
63,0.186,BARO0,20.84,94980
