,ts,id,T,P
0,37771,BARO1,2017,95083
1,37771,BARO2,2005,95217
2,37781,BARO0,2034,95058
3,37781,BARO1,2017,95083
4,37781,BARO2,2005,95156
5,37791,BARO0,2034,95099
6,37791,BARO1,2018,95147
7,37791,BARO2,2005,95135
8,37801,BARO0,2034,95120
9,37801,BARO1,2017,95184
10,37801,BARO2,2005,95156
11,37811,BARO0,2034,95099
12,37811,BARO1,2017,95063
13,37811,BARO2,2005,95114
14,37821,BARO0,2034,95099
15,37821,BARO1,2017,95103
16,37821,BARO2,2005,95135
17,37831,BARO0,2032,95075
18,37831,BARO1,2017,95123
19,37831,BARO2,2005,95156
20,37841,BARO0,2032,95034
21,37841,BARO1,2018,95127
22,37841,BARO2,2004,95152
23,37851,BARO0,2034,95099
24,37851,BARO1,2020,95070
25,37851,BARO2,2004,95152
26,37861,BARO0,2032,95034
27,37861,BARO1,2018,95086
28,37861,BARO2,2004,95131
29,37871,BARO0,2032,95054
30,37871,BARO1,2018,95086
31,37871,BARO2,2004,95173
32,37881,BARO0,2034,95058
33,37881,BARO1,2017,95083
34,37881,BARO2,2005,95094
35,37891,BARO0,2032,95054
36,37891,BARO1,2018,95187
37,37891,BARO2,2005,95156
38,37901,BARO0,2034,94996
39,37901,BARO1,2017,94982
40,37901,BARO2,2005,95197
41,37911,BARO0,2032,95116
42,37911,BARO1,2018,95066
43,37911,BARO2,2005,95052
44,37921,BARO0,2034,95017
45,37921,BARO1,2017,95103
46,37921,BARO2,2005,95094
47,37931,BARO0,2034,95037
48,37931,BARO1,2017,95083
49,37931,BARO2,2004,95111
50,37941,BARO0,2034,95079
51,37941,BARO1,2018,95086
52,37941,BARO2,2004,95069
53,37951,BARO0,2034,95099
54,37951,BARO1,2018,95127
55,37951,BARO2,2007,95076
56,37961,BARO0,2032,94993
57,37961,BARO1,2017,95163
58,37961,BARO2,2005,95135
59,37971,BARO0,2032,94931
60,37971,BARO1,2018,95086
61,37971,BARO2,2005,95197
62,37981,BARO0,2034,94976
63,37981,BARO1,2017,94962
64,37981,BARO2,2004,95173
65,37991,BARO0,2034,95079
66,37991,BARO1,2018,94966
67,37991,BARO2,2005,95073
68,38001,BARO0,2034,95099
69,38001,BARO1,2018,95026
70,38001,BARO2,2005,95052
71,38011,BARO0,2034,95017
72,38011,BARO1,2018,95046
73,38011,BARO2,2005,95052
74,38021,BARO0,2032,94931
75,38021,BARO1,2018,95026
76,38021,BARO2,2004,95090
77,38031,BARO0,2032,94972
78,38031,BARO1,2018,94986
79,38031,BARO2,2005,95073
80,38041,BARO0,2034,95058
81,38041,BARO1,2017,94982
82,38041,BARO2,2005,95032
83,38051,BARO0,2032,95034
84,38051,BARO1,2018,94986
