,ts,id,T,P
0,-0.301,BARO0,37.84,97362
1,-0.301,BARO1,37.77,97430
2,-0.301,BARO2,37.84,97522
3,-0.291,BARO0,37.82,97337
4,-0.291,BARO1,37.76,97426
5,-0.291,BARO2,37.84,97543
6,-0.281,BARO0,37.82,97337
7,-0.281,BARO1,37.76,97426
8,-0.281,BARO2,37.83,97519
9,-0.271,BARO0,37.82,97315
10,-0.271,BARO1,37.76,97426
11,-0.271,BARO2,37.83,97540
12,-0.261,BARO0,37.82,97358
13,-0.261,BARO1,37.76,97426
14,-0.261,BARO2,37.83,97519
15,-0.251,BARO0,37.82,97358
16,-0.251,BARO1,37.76,97447
17,-0.251,BARO2,37.84,97543
18,-0.241,BARO0,37.84,97340
19,-0.241,BARO1,37.76,97426
20,-0.241,BARO2,37.84,97522
21,-0.231,BARO0,37.84,97362
22,-0.231,BARO1,37.77,97409
23,-0.231,BARO2,37.84,97543
24,-0.221,BARO0,37.84,97362
25,-0.221,BARO1,37.76,97405
26,-0.221,BARO2,37.83,97519
27,-0.211,BARO0,37.82,97315
28,-0.211,BARO1,37.77,97430
29,-0.211,BARO2,37.84,97565
30,-0.201,BARO0,37.84,97340
31,-0.201,BARO1,37.77,97409
32,-0.201,BARO2,37.84,97543
33,-0.191,BARO0,37.82,97315
34,-0.191,BARO1,37.76,97405
35,-0.191,BARO2,37.83,97519
36,-0.181,BARO0,37.82,97337
37,-0.181,BARO1,37.76,97426
38,-0.181,BARO2,37.84,97522
39,-0.171,BARO0,37.84,97340
40,-0.171,BARO1,37.76,97405
41,-0.171,BARO2,37.83,97519
42,-0.161,BARO0,37.84,97340
43,-0.161,BARO1,37.76,97426
44,-0.161,BARO2,37.83,97540
45,-0.151,BARO0,37.82,97337
46,-0.151,BARO1,37.77,97430
47,-0.151,BARO2,37.86,97526
48,-0.141,BARO0,37.84,97340
49,-0.141,BARO1,37.76,97426
50,-0.141,BARO2,37.83,97519
51,-0.131,BARO0,37.82,97337
52,-0.131,BARO1,37.76,97426
53,-0.131,BARO2,37.83,97561
54,-0.121,BARO0,37.84,97426
55,-0.121,BARO1,37.76,97489
56,-0.121,BARO2,37.84,97608
57,-0.111,BARO0,37.82,97486
58,-0.111,BARO1,37.76,97573
59,-0.111,BARO2,37.84,97694
60,-0.101,BARO0,37.82,97593
61,-0.101,BARO1,37.76,97656
62,-0.101,BARO2,37.84,97801
63,-0.091,BARO0,37.82,97700
64,-0.091,BARO1,37.76,97782
65,-0.091,BARO2,37.84,97865
66,-0.081,BARO0,37.82,97785
67,-0.081,BARO1,37.76,97866
68,-0.081,BARO2,37.84,97994
69,-0.071,BARO0,37.82,97636
70,-0.071,BARO1,37.76,97698
71,-0.071,BARO2,37.83,97798
72,-0.061,BARO0,37.82,97294
73,-0.061,BARO1,37.76,97363
74,-0.061,BARO2,37.84,97479
75,-0.051,BARO0,37.84,97212
76,-0.051,BARO1,37.76,97280
77,-0.051,BARO2,37.83,97390
78,-0.041,BARO0,37.8,97248
79,-0.041,BARO1,37.77,97367
80,-0.041,BARO2,37.86,97483
81,-0.031,BARO0,37.82,97315
