,ts,id,T,P
0,501320,BARO0,3784,97362
1,501320,BARO1,3777,97430
2,501320,BARO2,3784,97522
3,501330,BARO0,3782,97337
4,501330,BARO1,3776,97426
5,501330,BARO2,3784,97543
6,501340,BARO0,3782,97337
7,501340,BARO1,3776,97426
8,501340,BARO2,3783,97519
9,501350,BARO0,3782,97315
10,501350,BARO1,3776,97426
11,501350,BARO2,3783,97540
12,501360,BARO0,3782,97358
13,501360,BARO1,3776,97426
14,501360,BARO2,3783,97519
15,501370,BARO0,3782,97358
16,501370,BARO1,3776,97447
17,501370,BARO2,3784,97543
18,501380,BARO0,3784,97340
19,501380,BARO1,3776,97426
20,501380,BARO2,3784,97522
21,501390,BARO0,3784,97362
22,501390,BARO1,3777,97409
23,501390,BARO2,3784,97543
24,501400,BARO0,3784,97362
25,501400,BARO1,3776,97405
26,501400,BARO2,3783,97519
27,501410,BARO0,3782,97315
28,501410,BARO1,3777,97430
29,501410,BARO2,3784,97565
30,501420,BARO0,3784,97340
31,501420,BARO1,3777,97409
32,501420,BARO2,3784,97543
33,501430,BARO0,3782,97315
34,501430,BARO1,3776,97405
35,501430,BARO2,3783,97519
36,501440,BARO0,3782,97337
37,501440,BARO1,3776,97426
38,501440,BARO2,3784,97522
39,501450,BARO0,3784,97340
40,501450,BARO1,3776,97405
41,501450,BARO2,3783,97519
42,501460,BARO0,3784,97340
43,501460,BARO1,3776,97426
44,501460,BARO2,3783,97540
45,501470,BARO0,3782,97337
46,501470,BARO1,3777,97430
47,501470,BARO2,3786,97526
48,501480,BARO0,3784,97340
49,501480,BARO1,3776,97426
50,501480,BARO2,3783,97519
51,501490,BARO0,3782,97337
52,501490,BARO1,3776,97426
53,501490,BARO2,3783,97561
54,501500,BARO0,3784,97426
55,501500,BARO1,3776,97489
56,501500,BARO2,3784,97608
57,501510,BARO0,3782,97486
58,501510,BARO1,3776,97573
59,501510,BARO2,3784,97694
60,501520,BARO0,3782,97593
61,501520,BARO1,3776,97656
62,501520,BARO2,3784,97801
63,501530,BARO0,3782,97700
64,501530,BARO1,3776,97782
65,501530,BARO2,3784,97865
66,501540,BARO0,3782,97785
67,501540,BARO1,3776,97866
68,501540,BARO2,3784,97994
69,501550,BARO0,3782,97636
70,501550,BARO1,3776,97698
71,501550,BARO2,3783,97798
72,501560,BARO0,3782,97294
73,501560,BARO1,3776,97363
74,501560,BARO2,3784,97479
75,501570,BARO0,3784,97212
76,501570,BARO1,3776,97280
77,501570,BARO2,3783,97390
78,501580,BARO0,3780,97248
79,501580,BARO1,3777,97367
80,501580,BARO2,3786,97483
81,501590,BARO0,3782,97315
82,501590,BARO1,3776,97405
83,501590,BARO2,3784,97543
84,501600,BARO0,3782,97294
85,501600,BARO1,3776,97363
86,501600,BARO2,3783,97497
87,501610,BARO0,3782,97273
88,501610,BARO1,3776,97405
89,501610,BARO2,3783,97519
90,501620,BARO0,3782,97251
91,501620,BARO1,3774,97402
92,501620,BARO2,3784,97501
93,501630,BARO0,3782,97294
94,501630,BARO1,3776,97426
95,501630,BARO2,3784,97543
96,501640,BARO0,3782,97337
97,501640,BARO1,3776,97426
98,501640,BARO2,3784,97543
99,501650,BARO0,3782,97315
100,501650,BARO1,3776,97405
101,501650,BARO2,3784,97522
102,501660,BARO0,3782,97315
103,501660,BARO1,3776,97405
104,501660,BARO2,3784,97522
105,501670,BARO0,3782,97315
106,501670,BARO1,3776,97426
107,501670,BARO2,3784,97543
108,501680,BARO0,3782,97294
109,501680,BARO1,3776,97405
110,501680,BARO2,3784,97479
111,501690,BARO0,3782,97294
112,501690,BARO1,3777,97388
113,501690,BARO2,3784,97522
114,501700,BARO0,3782,97294
115,501700,BARO1,3776,97405
116,501700,BARO2,3784,97522
117,501710,BARO0,3784,97319
118,501710,BARO1,3776,97405
119,501710,BARO2,3786,97526
120,501720,BARO0,3782,97294
121,501720,BARO1,3776,97384
122,501720,BARO2,3784,97522
123,501730,BARO0,3782,97294
124,501730,BARO1,3776,97384
125,501730,BARO2,3784,97522
126,501740,BARO0,3782,97315
127,501740,BARO1,3776,97405
128,501740,BARO2,3784,97522
129,501750,BARO0,3782,97294
130,501750,BARO1,3776,97384
131,501750,BARO2,3786,97504
132,501760,BARO0,3782,97294
133,501760,BARO1,3776,97384
134,501760,BARO2,3783,97497
135,501770,BARO0,3782,97294
136,501770,BARO1,3776,97384
137,501770,BARO2,3783,97497
138,501780,BARO0,3782,97273
139,501780,BARO1,3776,97384
140,501780,BARO2,3784,97479
141,501790,BARO0,3782,97273
142,501790,BARO1,3777,97367
143,501790,BARO2,3784,97501
144,501800,BARO0,3782,97273
145,501800,BARO1,3776,97384
146,501800,BARO2,3784,97501
147,501810,BARO0,3782,97273
148,501810,BARO1,3776,97384
149,501810,BARO2,3784,97501
150,501820,BARO0,3782,97251
151,501820,BARO1,3777,97367
152,501820,BARO2,3784,97458
153,501830,BARO0,3782,97273
154,501830,BARO1,3776,97363
155,501830,BARO2,3784,97479
156,501840,BARO0,3782,97273
157,501840,BARO1,3776,97363
158,501840,BARO2,3783,97476
159,501850,BARO0,3782,97273
