,ts,id,T,P
0,-0.361,BARO0,42.18,85921
1,-0.361,BARO1,42.92,86111
2,-0.361,BARO2,43.34,86032
3,-0.351,BARO0,42.18,85924
4,-0.351,BARO1,42.92,86105
5,-0.351,BARO2,43.34,86045
6,-0.341,BARO0,42.18,85921
7,-0.341,BARO1,42.92,86109
8,-0.341,BARO2,43.34,86036
9,-0.331,BARO0,42.17,85916
10,-0.331,BARO1,42.92,86096
11,-0.331,BARO2,43.34,86034
12,-0.321,BARO0,42.18,85921
13,-0.321,BARO1,42.92,86107
14,-0.321,BARO2,43.34,86035
15,-0.311,BARO0,42.18,85929
16,-0.311,BARO1,42.92,86115
17,-0.311,BARO2,43.34,86046
18,-0.301,BARO0,42.17,85925
19,-0.301,BARO1,42.92,86108
20,-0.301,BARO2,43.34,86038
21,-0.291,BARO0,42.17,85912
22,-0.291,BARO1,42.92,86101
23,-0.291,BARO2,43.34,86027
24,-0.281,BARO0,42.18,85910
25,-0.281,BARO1,42.91,86104
26,-0.281,BARO2,43.34,86034
27,-0.271,BARO0,42.17,85921
28,-0.271,BARO1,42.92,86103
29,-0.271,BARO2,43.34,86038
30,-0.261,BARO0,42.18,85916
31,-0.261,BARO1,42.92,86113
32,-0.261,BARO2,43.34,86035
33,-0.251,BARO0,42.17,85909
34,-0.251,BARO1,42.92,86097
35,-0.251,BARO2,43.34,86024
36,-0.241,BARO0,42.17,85910
37,-0.241,BARO1,42.92,86102
38,-0.241,BARO2,43.34,86034
39,-0.231,BARO0,42.18,85921
40,-0.231,BARO1,42.92,86102
41,-0.231,BARO2,43.34,86036
42,-0.221,BARO0,42.18,85907
43,-0.221,BARO1,42.92,86095
44,-0.221,BARO2,43.34,86019
45,-0.211,BARO0,42.17,85907
46,-0.211,BARO1,42.92,86099
47,-0.211,BARO2,43.34,86024
48,-0.201,BARO0,42.18,85923
49,-0.201,BARO1,42.92,86104
50,-0.201,BARO2,43.34,86029
51,-0.191,BARO0,42.18,85924
52,-0.191,BARO1,42.92,86107
53,-0.191,BARO2,43.34,86035
54,-0.181,BARO0,42.17,85926
55,-0.181,BARO1,42.92,86115
56,-0.181,BARO2,43.34,86038
57,-0.171,BARO0,42.18,85921
58,-0.171,BARO1,42.92,86117
59,-0.171,BARO2,43.34,86030
60,-0.161,BARO0,42.18,85922
61,-0.161,BARO1,42.92,86113
62,-0.161,BARO2,43.34,86040
63,-0.151,BARO0,42.18,85918
64,-0.151,BARO1,42.92,86106
65,-0.151,BARO2,43.34,86028
66,-0.141,BARO0,42.18,85918
67,-0.141,BARO1,42.92,86108
68,-0.141,BARO2,43.34,86033
69,-0.131,BARO0,42.18,85909
70,-0.131,BARO1,42.92,86094
71,-0.131,BARO2,43.34,86029
72,-0.121,BARO0,42.18,85917
73,-0.121,BARO1,42.92,86107
74,-0.121,BARO2,43.34,86037
75,-0.111,BARO0,42.18,85910
76,-0.111,BARO1,42.92,86099
77,-0.111,BARO2,43.34,86025
78,-0.101,BARO0,42.18,85911
79,-0.101,BARO1,42.92,86101
80,-0.101,BARO2,43.34,86023
81,-0.091,BARO0,42.18,85924
82,-0.091,BARO1,42.92,86112
83,-0.091,BARO2,43.34,86035
84,-0.081,BARO0,42.18,85894
85,-0.081,BARO1,42.92,86085
86,-0.081,BARO2,43.33,86007
87,-0.071,BARO0,42.17,85912
88,-0.071,BARO1,42.92,86107
89,-0.071,BARO2,43.34,86032
90,-0.061,BARO0,42.18,85916
91,-0.061,BARO1,42.92,86112
92,-0.061,BARO2,43.34,86035
93,-0.051,BARO0,42.18,85905
94,-0.051,BARO1,42.91,86095
95,-0.051,BARO2,43.34,86020
96,-0.041,BARO0,42.18,85919
97,-0.041,BARO1,42.92,86108
98,-0.041,BARO2,43.34,86029
99,-0.031,BARO0,42.18,85921
100,-0.031,BARO1,42.92,86117
101,-0.031,BARO2,43.34,86040
102,-0.021,BARO0,42.18,85921
103,-0.021,BARO1,42.92,86109
104,-0.021,BARO2,43.34,86029
105,-0.011,BARO0,42.18,85906
106,-0.011,BARO1,42.92,86101
107,-0.011,BARO2,43.34,86022
108,-0.001,BARO0,42.18,85900
109,-0.001,BARO1,42.92,86088
110,-0.001,BARO2,43.34,86017
111,0.009,BARO0,42.18,85887
112,0.009,BARO1,42.92,86077
113,0.009,BARO2,43.34,86002
114,0.019,BARO0,42.18,85908
115,0.019,BARO1,42.92,86103
116,0.019,BARO2,43.34,86022
117,0.029,BARO0,42.18,85899
118,0.029,BARO1,42.92,86088
119,0.029,BARO2,43.34,86016
120,0.039,BARO0,42.17,85901
121,0.039,BARO1,42.92,86086
122,0.039,BARO2,43.34,86010
123,0.049,BARO0,42.17,85896
124,0.049,BARO1,42.92,86088
125,0.049,BARO2,43.34,86015
126,0.059,BARO0,42.18,85871
127,0.059,BARO1,42.92,86067
128,0.059,BARO2,43.34,85991
129,0.069,BARO0,42.17,85906
130,0.069,BARO1,42.92,86122
131,0.069,BARO2,43.33,86039
132,0.079,BARO0,42.18,85868
133,0.079,BARO1,42.92,86055
134,0.079,BARO2,43.34,85979
135,0.089,BARO0,42.18,85965
136,0.089,BARO1,42.91,86164
137,0.089,BARO2,43.34,86081
138,0.099,BARO0,42.17,85917
139,0.099,BARO1,42.92,86107
140,0.099,BARO2,43.34,86037
141,0.109,BARO0,42.18,85908
142,0.109,BARO1,42.92,86091
143,0.109,BARO2,43.34,86025
144,0.119,BARO0,42.18,85886
145,0.119,BARO1,42.92,86081
146,0.119,BARO2,43.34,86013
147,0.129,BARO0,42.18,85911
148,0.129,BARO1,42.92,86104
149,0.129,BARO2,43.34,86015
150,0.139,BARO0,42.18,85887
151,0.139,BARO1,42.92,86079
152,0.139,BARO2,43.34,86001
153,0.149,BARO0,42.18,85892
154,0.149,BARO1,42.92,86079
155,0.149,BARO2,43.34,86006
156,0.159,BARO0,42.18,85872
157,0.159,BARO1,42.92,86061
158,0.159,BARO2,43.34,85989
159,0.169,BARO0,42.18,85909
160,0.169,BARO1,42.92,86095
161,0.169,BARO2,43.34,86026
162,0.179,BARO0,42.17,85894
163,0.239,BARO0,42.18,85890
164,0.239,BARO1,42.92,86077
165,0.239,BARO2,43.34,86004
166,0.249,BARO0,42.18,85853
167,0.249,BARO1,42.91,86037
168,0.249,BARO2,43.34,85972
169,0.259,BARO0,42.18,85843
170,0.259,BARO1,42.92,86031
171,0.259,BARO2,43.34,85956
172,0.269,BARO0,42.18,85837
173,0.269,BARO1,42.92,86033
174,0.269,BARO2,43.34,85951
175,0.279,BARO0,42.18,85836
176,0.279,BARO1,42.92,86027
177,0.279,BARO2,43.34,85959
178,0.289,BARO0,42.18,85851
179,0.289,BARO1,42.92,86034
180,0.289,BARO2,43.34,85954
181,0.299,BARO0,42.18,85851
182,0.299,BARO1,42.92,86048
183,0.299,BARO2,43.34,85972
184,0.309,BARO0,42.17,85864
185,0.309,BARO1,42.92,86050
186,0.309,BARO2,43.34,85977
187,0.319,BARO0,42.18,85848
188,0.319,BARO1,42.91,86043
189,0.319,BARO2,43.34,85972
190,0.329,BARO0,42.17,85833
191,0.329,BARO1,42.91,86029
192,0.329,BARO2,43.34,85951
193,0.339,BARO0,42.18,85839
194,0.339,BARO1,42.92,86029
195,0.339,BARO2,43.34,85957
196,0.349,BARO0,42.18,85847
197,0.349,BARO1,42.92,86044
198,0.349,BARO2,43.34,85963
199,0.359,BARO0,42.18,85840
200,0.359,BARO1,42.91,86028
201,0.359,BARO2,43.34,85960
202,0.369,BARO0,42.18,85831
203,0.369,BARO1,42.92,86023
204,0.369,BARO2,43.33,85960
205,0.379,BARO0,42.18,85831
206,0.379,BARO1,42.92,86015
207,0.379,BARO2,43.34,85951
208,0.389,BARO0,42.18,85841
209,0.389,BARO1,42.91,86032
210,0.389,BARO2,43.34,85965
211,0.399,BARO0,42.18,85820
212,0.399,BARO1,42.92,86007
213,0.399,BARO2,43.34,85932
214,0.409,BARO0,42.18,85820
215,0.409,BARO1,42.92,86013
216,0.409,BARO2,43.33,85948
217,0.419,BARO0,42.18,85826
218,0.419,BARO1,42.92,86009
219,0.419,BARO2,43.34,85947
220,0.429,BARO0,42.18,85813
221,0.429,BARO1,42.92,86012
222,0.429,BARO2,43.33,85942
223,0.439,BARO0,42.18,85827
224,0.439,BARO1,42.92,86024
225,0.439,BARO2,43.34,85946
226,0.449,BARO0,42.18,85806
227,0.449,BARO1,42.92,86012
228,0.449,BARO2,43.34,85941
229,0.459,BARO0,42.18,85805
230,0.459,BARO1,42.92,86003
231,0.459,BARO2,43.34,85923
232,0.469,BARO0,42.18,85809
233,0.469,BARO1,42.92,86000
234,0.469,BARO2,43.34,85925
235,0.479,BARO0,42.18,85800
236,0.479,BARO1,42.92,85999
237,0.479,BARO2,43.34,85927
238,0.489,BARO0,42.18,85798
239,0.489,BARO1,42.92,86005
240,0.489,BARO2,43.34,85929
241,0.499,BARO0,42.18,85804
242,0.499,BARO1,42.92,86004
243,0.499,BARO2,43.34,85922
244,0.509,BARO0,42.18,85808
245,0.509,BARO1,42.92,85999
246,0.509,BARO2,43.34,85922
247,0.519,BARO0,42.18,85789
248,0.519,BARO1,42.92,85988
249,0.519,BARO2,43.34,85918
250,0.529,BARO0,42.18,85798
251,0.529,BARO1,42.92,85983
252,0.529,BARO2,43.34,85921
253,0.539,BARO0,42.18,85788
254,0.539,BARO1,42.92,85980
255,0.539,BARO2,43.34,85906
256,0.549,BARO0,42.18,85781
257,0.549,BARO1,42.92,85979
258,0.549,BARO2,43.34,85899
259,0.559,BARO0,42.18,85775
260,0.559,BARO1,42.91,85968
261,0.559,BARO2,43.34,85896
262,0.569,BARO0,42.18,85770
263,0.569,BARO1,42.92,85973
264,0.569,BARO2,43.34,85894
265,0.579,BARO0,42.18,85778
266,0.579,BARO1,42.92,85965
267,0.579,BARO2,43.33,85891
268,0.589,BARO0,42.18,85771
269,0.589,BARO1,42.92,85960
270,0.589,BARO2,43.34,85883
271,0.599,BARO0,42.18,85774
272,0.599,BARO1,42.92,85957
273,0.599,BARO2,43.34,85890
274,0.609,BARO0,42.18,85767
275,0.609,BARO1,42.92,85966
276,0.609,BARO2,43.34,85892
277,0.619,BARO0,42.18,85764
278,0.619,BARO1,42.92,85951
279,0.619,BARO2,43.34,85888
280,0.629,BARO0,42.19,85751
281,0.629,BARO1,42.92,85939
282,0.629,BARO2,43.34,85870
283,0.639,BARO0,42.18,85755
284,0.639,BARO1,42.92,85953
285,0.639,BARO2,43.34,85875
286,0.649,BARO0,42.18,85742
287,0.649,BARO1,42.91,85933
288,0.649,BARO2,43.34,85863
289,0.659,BARO0,42.18,85737
290,0.659,BARO1,42.92,85942
291,0.659,BARO2,43.34,85861
