,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,-0.37,6.328,-5.502,-0.995,5.355
1,-0.36,6.328,-5.502,-0.994,5.355
2,-0.35,6.329,-5.501,-0.994,5.356
3,-0.34,6.328,-5.501,-0.993,5.357
4,-0.33,6.328,-5.5,-0.994,5.357
5,-0.32,6.328,-5.5,-0.994,5.356
6,-0.31,6.329,-5.5,-0.995,5.355
7,-0.3,6.329,-5.501,-0.994,5.356
8,-0.29,6.328,-5.502,-0.994,5.356
9,-0.28,6.327,-5.503,-0.994,5.355
10,-0.27,6.327,-5.504,-0.996,5.354
11,-0.26,6.327,-5.505,-0.996,5.353
12,-0.25,6.326,-5.506,-0.996,5.353
13,-0.24,6.327,-5.506,-0.998,5.351
14,-0.23,6.327,-5.507,-0.998,5.351
15,-0.22,6.327,-5.507,-0.998,5.351
16,-0.21,6.326,-5.507,-0.997,5.352
17,-0.2,6.325,-5.508,-0.997,5.352
18,-0.19,6.324,-5.509,-0.998,5.352
19,-0.18,6.325,-5.509,-0.999,5.351
20,-0.17,6.323,-5.51,-0.998,5.352
21,-0.16,6.322,-5.511,-0.998,5.352
22,-0.15,6.322,-5.511,-0.999,5.352
23,-0.14,6.32,-5.512,-0.998,5.353
24,-0.13,6.319,-5.514,-0.999,5.352
25,-0.12,6.319,-5.515,-1.001,5.352
26,-0.11,6.318,-5.516,-1.001,5.351
27,-0.1,6.314,-5.518,-0.999,5.354
28,-0.09,6.31,-5.521,-0.997,5.356
29,-0.08,6.305,-5.524,-0.992,5.361
30,-0.07,6.299,-5.526,-0.988,5.366
31,-0.06,6.294,-5.528,-0.984,5.371
32,-0.05,6.298,-5.528,-0.988,5.365
33,-0.04,6.313,-5.526,-1.006,5.346
34,-0.03,6.332,-5.523,-1.026,5.323
35,-0.02,6.342,-5.522,-1.038,5.31
36,-0.01,6.344,-5.523,-1.041,5.306
37,0.0,6.341,-5.525,-1.04,5.307
38,0.01,6.34,-5.526,-1.039,5.308
39,0.02,6.339,-5.527,-1.04,5.308
40,0.03,6.341,-5.527,-1.042,5.306
41,0.04,6.34,-5.525,-1.039,5.308
42,0.05,6.342,-5.523,-1.036,5.309
43,0.06,6.344,-5.521,-1.032,5.31
44,0.07,6.344,-5.515,-1.025,5.317
45,0.08,6.347,-5.508,-1.02,5.321
46,0.09,6.349,-5.505,-1.013,5.324
47,0.1,6.352,-5.499,-1.011,5.326
48,0.11,6.362,-5.49,-1.008,5.324
49,0.12,6.375,-5.481,-1.012,5.318
50,0.13,6.354,-5.479,-0.982,5.35
51,0.14,6.35,-5.474,-0.971,5.361
52,0.15,6.348,-5.471,-0.962,5.369
53,0.16,6.343,-5.469,-0.954,5.379
54,0.17,6.341,-5.468,-0.948,5.384
55,0.24,6.35,-5.455,-0.946,5.386
56,0.25,6.347,-5.457,-0.948,5.386
57,0.26,6.348,-5.458,-0.947,5.386
58,0.27,6.348,-5.46,-0.952,5.382
59,0.28,6.349,-5.464,-0.958,5.376
60,0.29,6.344,-5.469,-0.96,5.376
61,0.3,6.339,-5.474,-0.963,5.376
62,0.31,6.342,-5.48,-0.978,5.364
63,0.32,6.347,-5.488,-0.993,5.347
64,0.33,6.348,-5.495,-1.008,5.336
65,0.34,6.354,-5.498,-1.011,5.326
66,0.35,6.354,-5.499,-1.012,5.325
67,0.36,6.359,-5.5,-1.013,5.317
68,0.37,6.356,-5.498,-1.006,5.323
69,0.38,6.353,-5.497,-0.992,5.332
70,0.39,6.342,-5.498,-0.98,5.345
71,0.4,6.334,-5.502,-0.969,5.353
72,0.41,6.339,-5.502,-0.972,5.346
73,0.42,6.345,-5.507,-0.984,5.332
74,0.43,6.35,-5.516,-0.999,5.313
75,0.44,6.354,-5.527,-1.021,5.293
76,0.45,6.347,-5.536,-1.022,5.291
77,0.46,6.338,-5.544,-1.025,5.294
78,0.47,6.338,-5.547,-1.029,5.29
79,0.48,6.333,-5.55,-1.022,5.295
80,0.49,6.328,-5.552,-1.015,5.299
81,0.5,6.331,-5.554,-1.013,5.295
82,0.51,6.328,-5.554,-1.008,5.299
83,0.52,6.328,-5.554,-1.004,5.299
84,0.53,6.331,-5.553,-1.009,5.296
85,0.54,6.329,-5.554,-1.011,5.296
86,0.55,6.325,-5.557,-1.014,5.298
87,0.56,6.321,-5.563,-1.015,5.296
88,0.57,6.318,-5.571,-1.022,5.29
89,0.58,6.319,-5.579,-1.032,5.279
90,0.59,6.319,-5.587,-1.045,5.267
91,0.6,6.321,-5.595,-1.062,5.253
92,0.61,6.32,-5.603,-1.08,5.241
93,0.62,6.317,-5.613,-1.099,5.23
94,0.63,6.317,-5.626,-1.122,5.213
95,0.64,6.316,-5.64,-1.147,5.193
96,0.65,6.327,-5.653,-1.185,5.157
97,0.66,6.341,-5.666,-1.228,5.116
98,0.67,6.353,-5.678,-1.272,5.076
99,0.68,6.361,-5.691,-1.316,5.04
100,0.69,6.364,-5.706,-1.356,5.009
101,0.7,6.381,-5.77,-1.343,4.915
102,0.71,6.447,-5.994,-1.09,4.602
103,0.72,6.536,-6.304,-0.619,4.111
104,0.73,6.567,-6.538,-0.128,3.755
105,0.74,6.487,-6.692,0.414,3.598
106,0.75,5.532,-6.477,2.251,4.729
107,0.76,4.333,-5.759,3.966,5.684
108,0.77,3.181,-4.81,5.238,6.268
109,0.78,2.184,-3.852,6.05,6.616
110,0.79,1.338,-3.006,6.541,6.81
111,0.8,0.604,-2.3,6.831,6.904
112,0.81,0.001,-1.702,7.014,6.921
113,0.82,-0.479,-1.214,7.123,6.895
114,0.83,-0.879,-0.804,7.189,6.847
115,0.84,-1.2,-0.472,7.227,6.789
116,0.85,-1.463,-0.198,7.249,6.728
117,0.86,-1.682,0.032,7.262,6.665
118,0.87,-1.861,0.225,7.27,6.605
