,ts,id,T,P
0,3513221,BARO0,4218,85921
1,3513221,BARO1,4292,86111
2,3513221,BARO2,4334,86032
3,3513231,BARO0,4218,85924
4,3513231,BARO1,4292,86105
5,3513231,BARO2,4334,86045
6,3513241,BARO0,4218,85921
7,3513241,BARO1,4292,86109
8,3513241,BARO2,4334,86036
9,3513251,BARO0,4217,85916
10,3513251,BARO1,4292,86096
11,3513251,BARO2,4334,86034
12,3513261,BARO0,4218,85921
13,3513261,BARO1,4292,86107
14,3513261,BARO2,4334,86035
15,3513271,BARO0,4218,85929
16,3513271,BARO1,4292,86115
17,3513271,BARO2,4334,86046
18,3513281,BARO0,4217,85925
19,3513281,BARO1,4292,86108
20,3513281,BARO2,4334,86038
21,3513291,BARO0,4217,85912
22,3513291,BARO1,4292,86101
23,3513291,BARO2,4334,86027
24,3513301,BARO0,4218,85910
25,3513301,BARO1,4291,86104
26,3513301,BARO2,4334,86034
27,3513311,BARO0,4217,85921
28,3513311,BARO1,4292,86103
29,3513311,BARO2,4334,86038
30,3513321,BARO0,4218,85916
31,3513321,BARO1,4292,86113
32,3513321,BARO2,4334,86035
33,3513331,BARO0,4217,85909
34,3513331,BARO1,4292,86097
35,3513331,BARO2,4334,86024
36,3513341,BARO0,4217,85910
37,3513341,BARO1,4292,86102
38,3513341,BARO2,4334,86034
39,3513351,BARO0,4218,85921
40,3513351,BARO1,4292,86102
41,3513351,BARO2,4334,86036
42,3513361,BARO0,4218,85907
43,3513361,BARO1,4292,86095
44,3513361,BARO2,4334,86019
45,3513371,BARO0,4217,85907
46,3513371,BARO1,4292,86099
47,3513371,BARO2,4334,86024
48,3513381,BARO0,4218,85923
49,3513381,BARO1,4292,86104
50,3513381,BARO2,4334,86029
51,3513391,BARO0,4218,85924
52,3513391,BARO1,4292,86107
53,3513391,BARO2,4334,86035
54,3513401,BARO0,4217,85926
55,3513401,BARO1,4292,86115
56,3513401,BARO2,4334,86038
57,3513411,BARO0,4218,85921
58,3513411,BARO1,4292,86117
59,3513411,BARO2,4334,86030
60,3513421,BARO0,4218,85922
61,3513421,BARO1,4292,86113
62,3513421,BARO2,4334,86040
63,3513431,BARO0,4218,85918
64,3513431,BARO1,4292,86106
65,3513431,BARO2,4334,86028
66,3513441,BARO0,4218,85918
67,3513441,BARO1,4292,86108
68,3513441,BARO2,4334,86033
69,3513451,BARO0,4218,85909
70,3513451,BARO1,4292,86094
71,3513451,BARO2,4334,86029
72,3513461,BARO0,4218,85917
73,3513461,BARO1,4292,86107
74,3513461,BARO2,4334,86037
75,3513471,BARO0,4218,85910
76,3513471,BARO1,4292,86099
77,3513471,BARO2,4334,86025
78,3513481,BARO0,4218,85911
79,3513481,BARO1,4292,86101
80,3513481,BARO2,4334,86023
81,3513491,BARO0,4218,85924
