,ts,error
0,3513231,12304
1,3513251,4112
2,3513421,12304
3,3513441,4112
4,3513521,12304
5,3513531,4112
6,3513701,12304
7,3513751,4112
8,3517601,12304
9,3517671,4112
10,3517801,12304
11,3517971,4112
12,3518061,12304
13,3518071,4112
14,3519131,12304
15,3519311,4112
16,3519541,12304
17,3519581,4112
18,3520871,12304
19,3520901,4112
20,3521891,12304
21,3521941,4112
22,3522321,12304
23,3522351,4112
24,3522491,12304
25,3522611,4112
26,3522701,12304
27,3522781,4112
28,3522871,12304
29,3523081,4112
30,3523171,12304
31,3523581,4112
32,3523671,12304
33,3523821,4112
34,3523911,12304
35,3524031,4112
36,3524121,12304
37,3524141,4112
38,3524231,12304
39,3524431,4112
40,3524541,12304
41,3524551,4112
42,3524641,12304
43,3524731,4112
44,3525391,12304
45,3525401,4112
46,3526381,12304
47,3526421,4112
48,3529031,12304
49,3529091,4112
50,3529541,12304
51,3529581,4112
52,3529721,12304
53,3529731,4112
54,3530001,12304
55,3530021,4112
56,3530161,12304
57,3530171,4112
58,3530331,12304
59,3530411,4112
60,3530561,12304
61,3530971,4112
62,3531991,12304
63,3532001,4112
64,3532331,12304
65,3532351,4112
66,3532481,12304
67,3532881,4112
68,3533141,12304
69,3533241,4112
70,3533331,12304
71,3534701,4112
72,3534861,12304
73,3534961,4112
74,3535051,12304
75,3535301,4112
76,3535451,12304
77,3535581,4112
78,3535741,12304
79,3535761,4112
80,3535851,12304
81,3535891,4112
82,3536161,12304
83,3536181,4112
84,3537161,12304
85,3537171,4112
86,3537521,12304
87,3537531,4112
88,3537701,12304
89,3537721,4112
90,3538071,12304
91,3538181,4112
92,3538361,12304
93,3538541,4112
94,3538631,12304
95,3538741,4112
96,3538831,12304
97,3538951,4112
98,3539051,12304
99,3539401,4112
100,3539491,12304
101,3551911,4112
102,3552001,12304
103,3552591,4112
104,3552681,12304
105,3553291,4112
106,3553381,12304
107,3555471,4112
108,3555561,12304
109,3556001,4112
110,3556091,12304
111,3556551,4112
112,3556641,12304
113,3557701,4112
114,3557791,12304
115,3558171,4112
116,3558261,12304
117,3558491,4112
118,3558581,12304
119,3558701,4112
120,3558791,12304
121,3559021,4112
122,3559111,12304
123,3559151,4112
124,3559241,12304
125,3559411,4112
126,3559501,12304
127,3559531,4112
128,3559621,12304
129,3559811,4112
130,3559901,12304
131,3559931,4112
132,3560021,12304
133,3561041,4112
134,3561131,12304
135,3562411,4112
136,3562501,12304
137,3563091,4112
138,3563181,12304
139,3563211,4112
140,3563301,12304
141,3563431,4112
142,3563521,12304
143,3564421,4112
144,3564721,12304
145,3565241,4112
146,3565331,12304
147,3565621,4112
148,3565711,12304
149,3565941,4112
150,3566031,12304
151,3566431,4112
152,3566741,12304
153,3566761,4112
154,3567791,12304
155,3567851,4112
156,3568051,12304
157,3568111,4112
158,3568201,12304
159,3568371,4112
160,3568691,12304
161,3568701,4112
162,3568991,12304
163,3569041,4112
164,3569131,12304
165,3569591,4112
166,3569911,12304
167,3570161,4112
168,3570641,12304
169,3571131,4112
170,3571241,12304
171,3571631,4112
172,3571801,12304
173,3571891,4112
174,3572061,12304
175,3572081,4112
176,3572521,12304
177,3572611,4112
178,3572801,12304
179,3572821,4112
180,3573191,12304
181,3573351,4112
182,3573481,12304
183,3573501,4112
184,3573681,12304
185,3573691,4112
186,3573781,12304
187,3573831,4112
188,3574091,12304
189,3574371,4112
190,3574471,12304
191,3574671,4112
192,3575051,12304
193,3575091,4112
194,3575181,12304
195,3578331,4112
196,3578421,12304
197,3578591,4112
198,3578701,12304
199,3579701,4112
200,3579791,12304
201,3582291,4112
202,3582451,12304
203,3584471,4112
204,3584561,12304
205,3586141,4112
206,3586241,12304
207,3586991,4112
208,3587141,12304
209,3587151,4112
210,3587241,12304
211,3587401,4112
212,3587491,12304
213,3589341,4112
214,3589691,12304
215,3589761,4112
216,3589851,12304
217,3590541,4112
218,3590631,12304
219,3592131,4112
220,3592391,12304
221,3593691,4112
222,3593781,12304
223,3596651,4112
224,3596871,12304
225,3596971,4112
226,3597401,12304
227,3597621,4112
228,3598011,12304
229,3598741,4112
230,3599231,12304
231,3599561,4112
232,3599921,12304
233,3600571,4112
234,3600661,12304
235,3601271,4112
236,3601361,12304
237,3602151,4112
238,3602241,12304
239,3602311,4112
240,3602761,12304
241,3605131,4112
242,3605301,12304
243,3606751,4112
244,3606841,12304
245,3607781,4112
246,3607951,12304
247,3608711,4112
248,3608871,12304
249,3611691,4112
250,3611781,12304
251,3612181,4112
252,3612381,12304
253,3612461,4112
254,3612671,12304
255,3612721,4112
256,3613171,12304
