,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,3513212,6328,-5502,-995,5355
1,3513222,6328,-5502,-994,5355
2,3513232,6329,-5501,-994,5356
3,3513242,6328,-5501,-993,5357
4,3513252,6328,-5500,-994,5357
5,3513262,6328,-5500,-994,5356
6,3513272,6329,-5500,-995,5355
7,3513282,6329,-5501,-994,5356
8,3513292,6328,-5502,-994,5356
9,3513302,6327,-5503,-994,5355
10,3513312,6327,-5504,-996,5354
11,3513322,6327,-5505,-996,5353
12,3513332,6326,-5506,-996,5353
13,3513342,6327,-5506,-998,5351
14,3513352,6327,-5507,-998,5351
15,3513362,6327,-5507,-998,5351
16,3513372,6326,-5507,-997,5352
17,3513382,6325,-5508,-997,5352
18,3513392,6324,-5509,-998,5352
19,3513402,6325,-5509,-999,5351
20,3513412,6323,-5510,-998,5352
21,3513422,6322,-5511,-998,5352
22,3513432,6322,-5511,-999,5352
23,3513442,6320,-5512,-998,5353
24,3513452,6319,-5514,-999,5352
25,3513462,6319,-5515,-1001,5352
26,3513472,6318,-5516,-1001,5351
27,3513482,6314,-5518,-999,5354
28,3513492,6310,-5521,-997,5356
29,3513502,6305,-5524,-992,5361
30,3513512,6299,-5526,-988,5366
31,3513522,6294,-5528,-984,5371
32,3513532,6298,-5528,-988,5365
33,3513542,6313,-5526,-1006,5346
34,3513552,6332,-5523,-1026,5323
35,3513562,6342,-5522,-1038,5310
36,3513572,6344,-5523,-1041,5306
37,3513582,6341,-5525,-1040,5307
38,3513592,6340,-5526,-1039,5308
39,3513602,6339,-5527,-1040,5308
40,3513612,6341,-5527,-1042,5306
41,3513622,6340,-5525,-1039,5308
42,3513632,6342,-5523,-1036,5309
43,3513642,6344,-5521,-1032,5310
44,3513652,6344,-5515,-1025,5317
45,3513662,6347,-5508,-1020,5321
46,3513672,6349,-5505,-1013,5324
47,3513682,6352,-5499,-1011,5326
48,3513692,6362,-5490,-1008,5324
49,3513702,6375,-5481,-1012,5318
50,3513712,6354,-5479,-982,5350
51,3513722,6350,-5474,-971,5361
52,3513732,6348,-5471,-962,5369
53,3513742,6343,-5469,-954,5379
54,3513752,6341,-5468,-948,5384
55,3513822,6350,-5455,-946,5386
56,3513832,6347,-5457,-948,5386
57,3513842,6348,-5458,-947,5386
58,3513852,6348,-5460,-952,5382
59,3513862,6349,-5464,-958,5376
60,3513872,6344,-5469,-960,5376
61,3513882,6339,-5474,-963,5376
62,3513892,6342,-5480,-978,5364
63,3513902,6347,-5488,-993,5347
64,3513912,6348,-5495,-1008,5336
65,3513922,6354,-5498,-1011,5326
66,3513932,6354,-5499,-1012,5325
67,3513942,6359,-5500,-1013,5317
68,3513952,6356,-5498,-1006,5323
69,3513962,6353,-5497,-992,5332
70,3513972,6342,-5498,-980,5345
71,3513982,6334,-5502,-969,5353
72,3513992,6339,-5502,-972,5346
73,3514002,6345,-5507,-984,5332
74,3514012,6350,-5516,-999,5313
75,3514022,6354,-5527,-1021,5293
76,3514032,6347,-5536,-1022,5291
77,3514042,6338,-5544,-1025,5294
78,3514052,6338,-5547,-1029,5290
79,3514062,6333,-5550,-1022,5295
80,3514072,6328,-5552,-1015,5299
81,3514082,6331,-5554,-1013,5295
82,3514092,6328,-5554,-1008,5299
83,3514102,6328,-5554,-1004,5299
84,3514112,6331,-5553,-1009,5296
85,3514122,6329,-5554,-1011,5296
86,3514132,6325,-5557,-1014,5298
87,3514142,6321,-5563,-1015,5296
88,3514152,6318,-5571,-1022,5290
89,3514162,6319,-5579,-1032,5279
90,3514172,6319,-5587,-1045,5267
91,3514182,6321,-5595,-1062,5253
92,3514192,6320,-5603,-1080,5241
93,3514202,6317,-5613,-1099,5230
94,3514212,6317,-5626,-1122,5213
95,3514222,6316,-5640,-1147,5193
96,3514232,6327,-5653,-1185,5157
97,3514242,6341,-5666,-1228,5116
98,3514252,6353,-5678,-1272,5076
99,3514262,6361,-5691,-1316,5040
100,3514272,6364,-5706,-1356,5009
101,3514282,6381,-5770,-1343,4915
102,3514292,6447,-5994,-1090,4602
103,3514302,6536,-6304,-619,4111
104,3514312,6567,-6538,-128,3755
105,3514322,6487,-6692,414,3598
106,3514332,5532,-6477,2251,4729
107,3514342,4333,-5759,3966,5684
108,3514352,3181,-4810,5238,6268
109,3514362,2184,-3852,6050,6616
110,3514372,1338,-3006,6541,6810
111,3514382,604,-2300,6831,6904
112,3514392,1,-1702,7014,6921
113,3514402,-479,-1214,7123,6895
114,3514412,-879,-804,7189,6847
115,3514422,-1200,-472,7227,6789
116,3514432,-1463,-198,7249,6728
117,3514442,-1682,32,7262,6665
118,3514452,-1861,225,7270,6605
119,3514462,-2008,390,7275,6548
120,3514472,-2157,559,7276,6487
121,3514482,-2288,708,7274,6429
122,3514492,-2398,834,7272,6376
123,3514502,-2486,934,7272,6329
124,3514512,-2539,993,7276,6293
125,3514522,-2587,1052,7282,6257
126,3514532,-2639,1121,7287,6218
127,3514542,-2678,1175,7293,6184
128,3514552,-2714,1229,7299,6151
129,3514562,-2752,1284,7304,6117
130,3514572,-2783,1329,7310,6085
131,3514582,-2812,1370,7318,6053
132,3514592,-2841,1414,7326,6020
133,3514602,-2867,1459,7334,5987
134,3514612,-2891,1506,7342,5954
135,3514622,-2913,1552,7350,5922
136,3514632,-2935,1600,7357,5889
137,3514642,-2955,1645,7364,5857
138,3514652,-2977,1690,7372,5824
139,3514662,-2999,1736,7380,5789
140,3514672,-3017,1783,7388,5755
141,3514682,-3034,1832,7396,5720
142,3514692,-3049,1879,7403,5687
143,3514702,-3060,1926,7410,5656
144,3514712,-3078,1983,7415,5621
145,3514722,-3096,2037,7420,5586
146,3514732,-3112,2088,7425,5550
147,3514742,-3124,2140,7431,5516
148,3514752,-3132,2188,7438,5484
149,3514762,-3139,2240,7443,5452
150,3514772,-3142,2291,7447,5422
151,3514782,-3142,2339,7453,5395
152,3514792,-3135,2375,7461,5371
153,3514802,-3129,2415,7468,5346
154,3514812,-3122,2455,7476,5321
155,3514822,-3115,2496,7483,5296
156,3514832,-3107,2541,7489,5272
157,3514842,-3096,2587,7493,5250
158,3514852,-3086,2635,7495,5228
159,3514862,-3075,2683,7497,5208
160,3514872,-3063,2729,7500,5188
161,3514882,-3056,2783,7499,5164
162,3514892,-3048,2837,7497,5141
163,3514902,-3039,2892,7495,5120
164,3514912,-3027,2947,7491,5101
165,3514922,-3015,3003,7485,5084
166,3514932,-3001,3057,7479,5070
167,3514942,-2987,3111,7471,5056
168,3514952,-2978,3170,7461,5039
169,3514962,-2966,3228,7451,5024
170,3514972,-2953,3285,7441,5010
171,3514982,-2937,3343,7429,4999
172,3514992,-2919,3394,7418,4992
173,3515002,-2900,3446,7404,4987
174,3515012,-2882,3499,7389,4984
175,3515022,-2863,3551,7373,4981
176,3515032,-2846,3603,7356,4979
177,3515042,-2829,3656,7338,4977
178,3515052,-2811,3709,7318,4977
179,3515062,-2794,3761,7296,4980
180,3515072,-2778,3815,7271,4984
181,3515082,-2763,3867,7245,4991
182,3515092,-2748,3919,7217,4998
183,3515102,-2735,3971,7189,5006
184,3515112,-2722,4022,7159,5014
185,3515122,-2716,4082,7123,5020
186,3515132,-2710,4140,7086,5029
187,3515142,-2704,4196,7046,5041
188,3515152,-2700,4249,7006,5055
189,3515162,-2696,4301,6965,5071
190,3515172,-2692,4350,6923,5087
191,3515182,-2690,4398,6882,5104
192,3515192,-2691,4448,6837,5120
193,3515202,-2692,4498,6791,5137
194,3515212,-2695,4544,6743,5157
195,3515222,-2699,4588,6695,5179
196,3515232,-2705,4629,6647,5202
197,3515242,-2711,4668,6598,5226
198,3515252,-2718,4705,6549,5250
199,3515262,-2727,4741,6500,5274
200,3515272,-2733,4771,6454,5301
201,3515282,-2741,4801,6405,5328
202,3515292,-2752,4829,6356,5356
203,3515302,-2765,4855,6306,5385
204,3515312,-2780,4879,6256,5415
205,3515322,-2795,4901,6206,5444
206,3515332,-2812,4921,6157,5473
207,3515342,-2830,4941,6106,5502
208,3515352,-2856,4967,6049,5528
209,3515362,-2883,4989,5993,5555
210,3515372,-2911,5007,5938,5583
211,3515382,-2939,5020,5885,5612
212,3515392,-2969,5032,5833,5641
213,3515402,-3000,5043,5781,5668
214,3515412,-3032,5052,5729,5695
215,3515422,-3066,5059,5678,5722
216,3515432,-3103,5067,5625,5747
217,3515442,-3143,5073,5572,5772
218,3515452,-3184,5076,5520,5797
219,3515462,-3228,5077,5470,5819
220,3515472,-3270,5074,5423,5842
221,3515482,-3312,5071,5377,5864
222,3515492,-3356,5067,5330,5884
223,3515502,-3403,5063,5284,5903
224,3515512,-3453,5057,5237,5921
225,3515522,-3504,5050,5192,5936
226,3515532,-3559,5043,5147,5949
227,3515542,-3616,5035,5102,5960
228,3515552,-3675,5029,5057,5967
229,3515562,-3737,5024,5012,5972
230,3515572,-3801,5019,4966,5973
231,3515582,-3868,5015,4919,5972
232,3515592,-3944,5015,4868,5965
233,3515602,-4023,5016,4817,5953
234,3515612,-4103,5017,4767,5938
235,3515622,-4185,5018,4717,5919
236,3515632,-4270,5023,4665,5896
237,3515642,-4356,5028,4613,5869
238,3515652,-4445,5035,4560,5838
239,3515662,-4538,5044,4505,5801
240,3515672,-4634,5053,4449,5759
241,3515682,-4733,5065,4392,5712
242,3515692,-4836,5080,4333,5657
243,3515702,-4941,5098,4271,5597
244,3515712,-5050,5120,4206,5530
245,3515722,-5160,5144,4137,5457
246,3515732,-5273,5171,4066,5376
247,3515742,-5396,5204,3986,5281
248,3515752,-5520,5240,3903,5178
249,3515762,-5648,5279,3816,5065
250,3515772,-5777,5321,3724,4943
251,3515782,-5908,5366,3625,4811
252,3515792,-6040,5414,3520,4669
253,3515802,-6173,5464,3410,4516
254,3515812,-6306,5516,3293,4352
255,3515822,-6450,5578,3157,4160
256,3515832,-6587,5638,3019,3961
257,3515842,-6721,5696,2877,3752
258,3515852,-6851,5755,2729,3534
259,3515862,-6975,5812,2574,3306
260,3515872,-7088,5863,2425,3080
261,3515882,-7199,5916,2262,2835
262,3515892,-7300,5963,2102,2591
263,3515902,-7383,6000,1965,2370
264,3515912,-7456,6032,1835,2155
265,3515922,-7523,6062,1702,1935
266,3515932,-7585,6092,1561,1706
267,3515942,-7649,6127,1381,1427
268,3515952,-7701,6157,1205,1153
269,3515962,-7740,6179,1044,895
270,3515972,-7771,6199,880,633
271,3515982,-7791,6214,724,380
272,3515992,-7802,6225,581,144
273,3516002,-7807,6232,440,-89
274,3516012,-7804,6236,302,-317
275,3516022,-7795,6237,170,-537
276,3516032,-7781,6236,44,-748
277,3516042,-7761,6233,-75,-951
278,3516052,-7736,6228,-190,-1146
279,3516062,-7701,6221,-325,-1366
280,3516072,-7663,6212,-448,-1569
281,3516082,-7622,6201,-565,-1764
282,3516092,-7578,6189,-675,-1949
283,3516102,-7531,6175,-780,-2126
284,3516112,-7484,6162,-874,-2289
285,3516122,-7432,6147,-971,-2453
286,3516132,-7377,6133,-1063,-2610
287,3516142,-7333,6124,-1124,-2728
288,3516152,-7290,6115,-1178,-2837
289,3516162,-7244,6106,-1235,-2950
290,3516172,-7196,6096,-1292,-3061
291,3516182,-7142,6085,-1358,-3180
292,3516192,-7088,6075,-1417,-3289
293,3516202,-7034,6066,-1475,-3396
294,3516212,-6976,6057,-1536,-3504
295,3516222,-6902,6041,-1619,-3638
296,3516232,-6831,6026,-1694,-3759
297,3516242,-6760,6012,-1767,-3876
298,3516252,-6689,5999,-1834,-3986
299,3516262,-6618,5987,-1899,-4090
300,3516272,-6547,5976,-1963,-4190
301,3516282,-6475,5965,-2025,-4286
302,3516292,-6386,5947,-2109,-4403
303,3516302,-6296,5928,-2191,-4516
304,3516312,-6210,5912,-2265,-4619
305,3516322,-6123,5895,-2340,-4718
306,3516332,-6038,5880,-2411,-4810
307,3516342,-5950,5865,-2483,-4900
308,3516352,-5864,5852,-2552,-4984
309,3516362,-5777,5838,-2622,-5065
310,3516372,-5687,5824,-2692,-5145
311,3516382,-5601,5812,-2758,-5217
312,3516392,-5513,5800,-2825,-5288
313,3516402,-5421,5786,-2896,-5360
314,3516412,-5319,5767,-2978,-5436
315,3516422,-5205,5742,-3072,-5520
316,3516432,-5087,5715,-3170,-5602
317,3516442,-4964,5685,-3272,-5684
318,3516452,-4830,5646,-3386,-5772
319,3516462,-4688,5602,-3505,-5860
320,3516472,-4535,5550,-3634,-5951
321,3516482,-4365,5485,-3778,-6047
322,3516492,-4180,5410,-3933,-6146
323,3516502,-3975,5317,-4104,-6250
324,3516512,-3747,5204,-4292,-6359
325,3516522,-3494,5068,-4496,-6471
326,3516532,-3164,4872,-4749,-6609
327,3516542,-2816,4651,-5006,-6735
328,3516552,-2454,4409,-5259,-6846
329,3516562,-2075,4143,-5510,-6940
330,3516572,-1681,3850,-5755,-7015
331,3516582,-1283,3538,-5988,-7068
332,3516592,-879,3207,-6207,-7099
333,3516602,-499,2882,-6397,-7106
334,3516612,-128,2550,-6570,-7093
335,3516622,254,2191,-6730,-7058
336,3516632,616,1837,-6867,-7005
337,3516642,944,1501,-6980,-6937
338,3516652,1235,1188,-7071,-6860
339,3516662,1468,925,-7140,-6782
340,3516672,1688,665,-7199,-6698
341,3516682,1890,417,-7247,-6612
342,3516692,2068,188,-7285,-6527
343,3516702,2215,-14,-7316,-6447
344,3516712,2328,-186,-7341,-6375
345,3516722,2440,-361,-7362,-6301
346,3516732,2540,-529,-7379,-6229
347,3516742,2627,-684,-7392,-6163
348,3516752,2698,-823,-7403,-6102
349,3516762,2748,-939,-7414,-6048
350,3516772,2796,-1055,-7423,-5996
351,3516782,2835,-1163,-7431,-5948
352,3516792,2870,-1268,-7437,-5902
353,3516802,2900,-1370,-7442,-5858
354,3516812,2923,-1465,-7446,-5819
355,3516822,2941,-1553,-7449,-5782
356,3516832,2959,-1642,-7451,-5746
357,3516842,2971,-1725,-7452,-5714
358,3516852,2980,-1804,-7453,-5683
359,3516862,2992,-1888,-7451,-5653
360,3516872,3003,-1974,-7446,-5623
361,3516882,3010,-2054,-7442,-5597
362,3516892,3014,-2130,-7436,-5573
363,3516902,3008,-2192,-7434,-5555
364,3516912,3002,-2253,-7431,-5538
365,3516922,2995,-2314,-7428,-5522
366,3516932,2988,-2374,-7422,-5507
367,3516942,2980,-2434,-7416,-5494
368,3516952,2972,-2493,-7408,-5482
