,ts,acc_x,acc_y,acc_z
0,-0.371,1,-1,0
1,-0.361,1,0,0
2,-0.351,1,0,0
3,-0.341,1,-1,0
4,-0.331,1,0,0
5,-0.321,1,0,0
6,-0.311,1,0,0
7,-0.301,1,0,0
8,-0.291,1,-1,0
9,-0.281,1,-1,0
10,-0.271,1,-1,0
11,-0.261,1,0,0
12,-0.251,1,0,0
13,-0.241,1,0,0
14,-0.231,1,0,0
15,-0.221,1,0,0
16,-0.211,1,0,0
17,-0.201,1,-1,0
18,-0.191,1,0,0
19,-0.181,1,-1,0
20,-0.171,1,0,0
21,-0.161,1,0,0
22,-0.151,1,0,0
23,-0.141,1,0,0
24,-0.131,1,0,0
25,-0.121,1,0,0
26,-0.111,1,0,0
27,-0.101,5,0,0
28,-0.091,10,0,0
29,-0.081,9,0,0
30,-0.071,8,0,0
31,-0.061,8,-1,0
32,-0.051,8,0,0
33,-0.041,8,0,0
34,-0.031,8,0,0
35,-0.021,8,-1,0
36,-0.011,8,-1,0
37,-0.001,9,0,0
38,0.009,8,0,0
39,0.019,8,0,0
40,0.029,8,-1,0
41,0.039,8,-1,0
42,0.049,8,0,0
43,0.059,8,0,0
44,0.069,8,0,0
45,0.079,8,-1,0
46,0.089,8,-1,0
47,0.099,8,0,0
48,0.109,8,0,0
49,0.119,8,0,0
50,0.129,8,0,0
51,0.139,8,0,0
52,0.149,8,0,0
53,0.159,8,0,0
54,0.169,9,-1,0
55,0.179,8,-1,0
56,0.189,8,1,0
57,0.199,8,-1,0
58,0.209,8,0,0
59,0.219,8,0,0
60,0.229,8,-2,0
61,0.239,8,1,0
62,0.249,8,0,0
63,0.259,8,-1,0
64,0.269,8,-1,0
65,0.279,9,-1,0
66,0.289,8,1,0
67,0.299,9,0,0
68,0.309,8,-1,0
69,0.319,8,-1,0
70,0.329,8,-1,0
71,0.339,8,0,0
72,0.349,8,0,0
73,0.359,9,-1,0
74,0.369,8,-1,0
75,0.379,8,-1,0
76,0.389,8,0,0
77,0.399,8,0,0
78,0.409,8,0,0
