,ts,id,T,P
0,-0.371,BARO0,22.79,93723
1,-0.371,BARO1,23.49,93679
2,-0.371,BARO2,23.81,93694
3,-0.361,BARO0,22.79,93718
4,-0.361,BARO1,23.49,93680
5,-0.361,BARO2,23.81,93687
6,-0.351,BARO0,22.79,93722
7,-0.351,BARO1,23.49,93678
8,-0.351,BARO2,23.81,93688
9,-0.341,BARO0,22.79,93715
10,-0.341,BARO1,23.49,93686
11,-0.341,BARO2,23.81,93686
12,-0.331,BARO0,22.79,93719
13,-0.331,BARO1,23.49,93685
14,-0.331,BARO2,23.81,93688
15,-0.321,BARO0,22.79,93719
16,-0.321,BARO1,23.49,93694
17,-0.321,BARO2,23.81,93697
18,-0.311,BARO0,22.79,93718
19,-0.311,BARO1,23.49,93689
20,-0.311,BARO2,23.81,93682
21,-0.301,BARO0,22.79,93720
22,-0.301,BARO1,23.49,93690
23,-0.301,BARO2,23.81,93690
24,-0.291,BARO0,22.79,93722
25,-0.291,BARO1,23.49,93692
26,-0.291,BARO2,23.81,93690
27,-0.281,BARO0,22.79,93722
28,-0.281,BARO1,23.49,93681
29,-0.281,BARO2,23.81,93689
30,-0.271,BARO0,22.79,93724
31,-0.271,BARO1,23.49,93687
32,-0.271,BARO2,23.81,93687
33,-0.261,BARO0,22.8,93717
34,-0.261,BARO1,23.49,93694
35,-0.261,BARO2,23.81,93692
36,-0.251,BARO0,22.79,93723
37,-0.251,BARO1,23.49,93690
38,-0.251,BARO2,23.81,93687
39,-0.241,BARO0,22.79,93725
40,-0.241,BARO1,23.49,93690
41,-0.241,BARO2,23.81,93689
42,-0.231,BARO0,22.79,93722
43,-0.231,BARO1,23.49,93689
44,-0.231,BARO2,23.81,93693
45,-0.221,BARO0,22.79,93720
46,-0.221,BARO1,23.49,93689
47,-0.221,BARO2,23.81,93697
48,-0.211,BARO0,22.8,93720
49,-0.211,BARO1,23.49,93691
50,-0.211,BARO2,23.81,93697
51,-0.201,BARO0,22.79,93724
52,-0.201,BARO1,23.49,93686
53,-0.201,BARO2,23.81,93691
54,-0.191,BARO0,22.79,93717
55,-0.191,BARO1,23.49,93688
56,-0.191,BARO2,23.81,93693
57,-0.181,BARO0,22.79,93719
58,-0.181,BARO1,23.49,93687
59,-0.181,BARO2,23.81,93696
60,-0.171,BARO0,22.79,93729
61,-0.171,BARO1,23.5,93691
62,-0.171,BARO2,23.81,93693
63,-0.161,BARO0,22.79,93722
64,-0.161,BARO1,23.49,93688
65,-0.161,BARO2,23.82,93692
66,-0.151,BARO0,22.79,93723
67,-0.151,BARO1,23.49,93690
68,-0.151,BARO2,23.81,93692
69,-0.141,BARO0,22.79,93718
70,-0.141,BARO1,23.49,93690
71,-0.141,BARO2,23.81,93694
72,-0.131,BARO0,22.79,93715
73,-0.131,BARO1,23.49,93684
74,-0.131,BARO2,23.81,93698
75,-0.121,BARO0,22.79,93723
76,-0.121,BARO1,23.49,93695
77,-0.121,BARO2,23.82,93691
78,-0.111,BARO0,22.8,93789
79,-0.111,BARO1,23.49,93761
80,-0.111,BARO2,23.81,93760
81,-0.101,BARO0,22.79,93827
82,-0.101,BARO1,23.49,93796
83,-0.101,BARO2,23.81,93803
84,-0.091,BARO0,22.79,93858
85,-0.091,BARO1,23.49,93825
86,-0.091,BARO2,23.81,93831
87,-0.081,BARO0,22.79,93856
88,-0.081,BARO1,23.49,93824
89,-0.081,BARO2,23.81,93824
90,-0.071,BARO0,22.79,93867
91,-0.071,BARO1,23.49,93838
92,-0.071,BARO2,23.81,93846
93,-0.061,BARO0,22.79,93869
94,-0.061,BARO1,23.49,93827
95,-0.061,BARO2,23.81,93836
96,-0.051,BARO0,22.8,93853
97,-0.051,BARO1,23.49,93815
98,-0.051,BARO2,23.81,93825
99,-0.041,BARO0,22.8,93845
100,-0.041,BARO1,23.49,93801
101,-0.041,BARO2,23.81,93818
102,-0.031,BARO0,22.79,93846
103,-0.031,BARO1,23.49,93808
104,-0.031,BARO2,23.81,93808
105,-0.021,BARO0,22.79,93829
