,ts,error
0,-0.091,4096
1,0.099,12288
2,0.179,4096
3,0.269,12288
4,0.289,4096
5,0.459,12288
6,0.999,4096
7,1.199,12288
8,1.449,4096
9,3.539,12288
10,3.549,4096
11,3.659,12288
12,3.679,4096
13,3.829,12288
14,3.869,4096
15,4.529,12288
16,4.649,4096
17,5.059,12288
18,5.159,4096
19,5.249,12288
20,5.269,4096
21,5.449,12288
22,5.609,4096
23,5.729,12288
24,5.739,4096
25,6.159,12288
26,6.339,4096
27,6.429,12288
28,6.729,4096
29,6.849,12288
30,6.869,4096
31,7.029,12288
32,7.059,4096
33,7.239,12288
34,7.269,4096
35,7.359,12288
36,7.529,4096
37,7.619,12288
38,8.249,4096
39,8.399,12288
40,9.039,4096
41,9.129,12288
42,9.239,4096
43,9.329,12288
44,9.789,4096
45,9.929,12288
46,9.939,4096
47,10.039,12288
48,10.089,4096
49,10.319,12288
50,10.409,4096
51,10.509,12288
52,10.529,4096
53,11.009,12288
54,11.049,4096
55,11.659,12288
56,11.669,4096
57,12.009,12288
58,12.019,4096
59,12.309,12288
60,12.479,4096
61,12.569,12288
62,12.609,4096
63,12.689,12288
64,12.699,4096
65,13.069,12288
66,13.239,4096
67,13.359,12288
68,13.389,4096
69,13.469,12288
70,13.529,4096
71,13.639,12288
72,13.669,4096
73,14.009,12288
74,14.669,4096
75,15.269,12288
76,15.299,4096
77,15.389,12288
78,16.539,4096
79,16.55,4112
80,16.679,12304
81,16.729,4112
82,16.819,12304
83,16.829,4112
84,17.0,4096
85,17.009,12288
86,17.839,4096
87,18.309,12288
88,18.439,4096
89,19.379,12288
90,19.419,4096
91,19.939,4160
92,19.939,4288
93,19.969,4224
94,19.969,4096
95,19.989,4160
96,19.989,4288
97,20.039,4224
98,20.039,4096
99,20.159,12288
100,20.169,12352
101,20.169,12480
102,20.169,28864
103,20.199,20672
104,20.199,4288
105,20.229,4224
106,20.229,4096
107,20.909,12288
108,20.919,4096
109,21.179,12288
110,21.219,4096
111,21.569,12288
112,21.689,4096
113,21.809,12288
