,ts,acc_x,acc_y,acc_z
0,251094,1,-1,0
1,251104,1,0,0
2,251114,1,0,0
3,251124,1,-1,0
4,251134,1,0,0
5,251144,1,0,0
6,251154,1,0,0
7,251164,1,0,0
8,251174,1,-1,0
9,251184,1,-1,0
10,251194,1,-1,0
11,251204,1,0,0
12,251214,1,0,0
13,251224,1,0,0
14,251234,1,0,0
15,251244,1,0,0
16,251254,1,0,0
17,251264,1,-1,0
18,251274,1,0,0
19,251284,1,-1,0
20,251294,1,0,0
21,251304,1,0,0
22,251314,1,0,0
23,251324,1,0,0
24,251334,1,0,0
25,251344,1,0,0
26,251354,1,0,0
27,251364,5,0,0
28,251374,10,0,0
29,251384,9,0,0
30,251394,8,0,0
31,251404,8,-1,0
32,251414,8,0,0
33,251424,8,0,0
34,251434,8,0,0
35,251444,8,-1,0
36,251454,8,-1,0
37,251464,9,0,0
38,251474,8,0,0
39,251484,8,0,0
40,251494,8,-1,0
41,251504,8,-1,0
42,251514,8,0,0
43,251524,8,0,0
44,251534,8,0,0
45,251544,8,-1,0
46,251554,8,-1,0
47,251564,8,0,0
48,251574,8,0,0
49,251584,8,0,0
50,251594,8,0,0
51,251604,8,0,0
52,251614,8,0,0
53,251624,8,0,0
54,251634,9,-1,0
55,251644,8,-1,0
56,251654,8,1,0
57,251664,8,-1,0
58,251674,8,0,0
59,251684,8,0,0
60,251694,8,-2,0
61,251704,8,1,0
62,251714,8,0,0
63,251724,8,-1,0
64,251734,8,-1,0
65,251744,9,-1,0
66,251754,8,1,0
67,251764,9,0,0
68,251774,8,-1,0
69,251784,8,-1,0
70,251794,8,-1,0
71,251804,8,0,0
72,251814,8,0,0
73,251824,9,-1,0
74,251834,8,-1,0
75,251844,8,-1,0
76,251854,8,0,0
77,251864,8,0,0
78,251874,8,0,0
79,251884,8,-1,0
80,251894,8,-1,0
81,251904,8,0,0
82,251914,8,0,0
83,251924,8,0,0
84,251934,8,-1,0
85,251944,8,-1,0
86,251954,8,-1,0
87,251964,8,0,0
88,251974,8,0,0
89,251984,8,-1,0
90,251994,8,-1,0
91,252004,8,-1,0
92,252014,8,0,0
