,ts,id,T,P
0,251094,BARO0,2279,93723
1,251094,BARO1,2349,93679
2,251094,BARO2,2381,93694
3,251104,BARO0,2279,93718
4,251104,BARO1,2349,93680
5,251104,BARO2,2381,93687
6,251114,BARO0,2279,93722
7,251114,BARO1,2349,93678
8,251114,BARO2,2381,93688
9,251124,BARO0,2279,93715
10,251124,BARO1,2349,93686
11,251124,BARO2,2381,93686
12,251134,BARO0,2279,93719
13,251134,BARO1,2349,93685
14,251134,BARO2,2381,93688
15,251144,BARO0,2279,93719
16,251144,BARO1,2349,93694
17,251144,BARO2,2381,93697
18,251154,BARO0,2279,93718
19,251154,BARO1,2349,93689
20,251154,BARO2,2381,93682
21,251164,BARO0,2279,93720
22,251164,BARO1,2349,93690
23,251164,BARO2,2381,93690
24,251174,BARO0,2279,93722
25,251174,BARO1,2349,93692
26,251174,BARO2,2381,93690
27,251184,BARO0,2279,93722
28,251184,BARO1,2349,93681
29,251184,BARO2,2381,93689
30,251194,BARO0,2279,93724
31,251194,BARO1,2349,93687
32,251194,BARO2,2381,93687
33,251204,BARO0,2280,93717
34,251204,BARO1,2349,93694
35,251204,BARO2,2381,93692
36,251214,BARO0,2279,93723
37,251214,BARO1,2349,93690
38,251214,BARO2,2381,93687
39,251224,BARO0,2279,93725
40,251224,BARO1,2349,93690
41,251224,BARO2,2381,93689
42,251234,BARO0,2279,93722
43,251234,BARO1,2349,93689
44,251234,BARO2,2381,93693
45,251244,BARO0,2279,93720
46,251244,BARO1,2349,93689
47,251244,BARO2,2381,93697
48,251254,BARO0,2280,93720
49,251254,BARO1,2349,93691
50,251254,BARO2,2381,93697
51,251264,BARO0,2279,93724
52,251264,BARO1,2349,93686
53,251264,BARO2,2381,93691
54,251274,BARO0,2279,93717
55,251274,BARO1,2349,93688
56,251274,BARO2,2381,93693
57,251284,BARO0,2279,93719
58,251284,BARO1,2349,93687
59,251284,BARO2,2381,93696
60,251294,BARO0,2279,93729
61,251294,BARO1,2350,93691
62,251294,BARO2,2381,93693
63,251304,BARO0,2279,93722
64,251304,BARO1,2349,93688
65,251304,BARO2,2382,93692
66,251314,BARO0,2279,93723
67,251314,BARO1,2349,93690
68,251314,BARO2,2381,93692
69,251324,BARO0,2279,93718
70,251324,BARO1,2349,93690
71,251324,BARO2,2381,93694
72,251334,BARO0,2279,93715
73,251334,BARO1,2349,93684
74,251334,BARO2,2381,93698
75,251344,BARO0,2279,93723
76,251344,BARO1,2349,93695
77,251344,BARO2,2382,93691
78,251354,BARO0,2280,93789
79,251354,BARO1,2349,93761
80,251354,BARO2,2381,93760
81,251364,BARO0,2279,93827
82,251364,BARO1,2349,93796
83,251364,BARO2,2381,93803
84,251374,BARO0,2279,93858
85,251374,BARO1,2349,93825
86,251374,BARO2,2381,93831
87,251384,BARO0,2279,93856
88,251384,BARO1,2349,93824
89,251384,BARO2,2381,93824
90,251394,BARO0,2279,93867
91,251394,BARO1,2349,93838
92,251394,BARO2,2381,93846
93,251404,BARO0,2279,93869
94,251404,BARO1,2349,93827
95,251404,BARO2,2381,93836
96,251414,BARO0,2280,93853
97,251414,BARO1,2349,93815
98,251414,BARO2,2381,93825
99,251424,BARO0,2280,93845
100,251424,BARO1,2349,93801
101,251424,BARO2,2381,93818
102,251434,BARO0,2279,93846
103,251434,BARO1,2349,93808
104,251434,BARO2,2381,93808
105,251444,BARO0,2279,93829
106,251444,BARO1,2349,93794
107,251444,BARO2,2381,93796
108,251454,BARO0,2279,93826
109,251454,BARO1,2349,93790
110,251454,BARO2,2381,93793
111,251464,BARO0,2279,93816
112,251464,BARO1,2350,93787
113,251464,BARO2,2381,93787
114,251474,BARO0,2279,93807
115,251474,BARO1,2349,93773
116,251474,BARO2,2382,93783
117,251484,BARO0,2279,93794
118,251484,BARO1,2349,93764
119,251484,BARO2,2381,93776
120,251494,BARO0,2279,93799
121,251494,BARO1,2349,93761
122,251494,BARO2,2381,93773
123,251504,BARO0,2279,93795
124,251504,BARO1,2349,93758
125,251504,BARO2,2381,93768
126,251514,BARO0,2280,93792
127,251514,BARO1,2349,93747
128,251514,BARO2,2381,93753
129,251524,BARO0,2279,93776
130,251524,BARO1,2349,93750
131,251524,BARO2,2382,93753
132,251534,BARO0,2279,93779
133,251534,BARO1,2349,93746
134,251534,BARO2,2381,93745
135,251544,BARO0,2279,93785
136,251544,BARO1,2349,93740
137,251544,BARO2,2381,93751
138,251554,BARO0,2279,93762
139,251554,BARO1,2349,93739
140,251554,BARO2,2381,93736
141,251564,BARO0,2279,93764
142,251564,BARO1,2349,93741
143,251564,BARO2,2381,93731
144,251574,BARO0,2280,93763
145,251574,BARO1,2349,93725
146,251574,BARO2,2381,93732
147,251584,BARO0,2279,93752
148,251584,BARO1,2350,93722
149,251584,BARO2,2381,93726
150,251594,BARO0,2279,93754
151,251594,BARO1,2349,93719
152,251594,BARO2,2381,93726
153,251604,BARO0,2280,93754
154,251604,BARO1,2349,93714
155,251604,BARO2,2381,93723
156,251614,BARO0,2279,93745
157,251614,BARO1,2350,93712
158,251614,BARO2,2381,93721
159,251624,BARO0,2279,93746
160,251624,BARO1,2349,93714
161,251624,BARO2,2381,93715
162,251634,BARO0,2280,93739
163,251634,BARO1,2349,93707
164,251634,BARO2,2381,93717
165,251644,BARO0,2279,93743
166,251644,BARO1,2349,93702
167,251644,BARO2,2382,93718
168,251654,BARO0,2280,93734
169,251654,BARO1,2349,93700
170,251654,BARO2,2381,93702
171,251664,BARO0,2279,93736
172,251664,BARO1,2349,93697
173,251664,BARO2,2381,93700
174,251674,BARO0,2280,93727
175,251674,BARO1,2350,93698
176,251674,BARO2,2381,93702
177,251684,BARO0,2279,93731
178,251684,BARO1,2349,93694
179,251684,BARO2,2382,93698
180,251694,BARO0,2279,93727
181,251694,BARO1,2349,93694
182,251694,BARO2,2381,93691
183,251704,BARO0,2279,93734
184,251704,BARO1,2349,93694
185,251704,BARO2,2381,93696
186,251714,BARO0,2280,93722
187,251714,BARO1,2349,93687
188,251714,BARO2,2381,93691
189,251724,BARO0,2280,93723
190,251724,BARO1,2349,93685
191,251724,BARO2,2381,93683
192,251734,BARO0,2280,93717
193,251734,BARO1,2349,93683
194,251734,BARO2,2382,93695
195,251744,BARO0,2279,93709
196,251744,BARO1,2349,93677
197,251744,BARO2,2382,93685
198,251754,BARO0,2280,93715
199,251754,BARO1,2349,93667
200,251754,BARO2,2382,93673
201,251764,BARO0,2280,93711
202,251764,BARO1,2349,93670
203,251764,BARO2,2381,93679
204,251774,BARO0,2279,93706
205,251774,BARO1,2349,93668
206,251774,BARO2,2381,93673
207,251784,BARO0,2279,93696
208,251784,BARO1,2349,93670
209,251784,BARO2,2382,93668
210,251794,BARO0,2279,93702
211,251794,BARO1,2349,93654
212,251794,BARO2,2381,93670
213,251804,BARO0,2279,93695
214,251804,BARO1,2349,93659
215,251804,BARO2,2381,93663
216,251814,BARO0,2279,93690
217,251814,BARO1,2349,93660
218,251814,BARO2,2382,93670
219,251824,BARO0,2279,93696
220,251824,BARO1,2349,93660
221,251824,BARO2,2382,93660
222,251834,BARO0,2279,93684
223,251834,BARO1,2349,93660
224,251834,BARO2,2381,93659
225,251844,BARO0,2280,93685
226,251844,BARO1,2349,93653
227,251844,BARO2,2382,93664
228,251854,BARO0,2279,93682
229,251854,BARO1,2349,93646
230,251854,BARO2,2381,93658
231,251864,BARO0,2279,93680
232,251864,BARO1,2349,93649
233,251864,BARO2,2381,93652
234,251874,BARO0,2280,93673
235,251874,BARO1,2350,93650
236,251874,BARO2,2382,93652
237,251884,BARO0,2280,93677
238,251884,BARO1,2349,93636
239,251884,BARO2,2381,93644
240,251894,BARO0,2279,93671
241,251894,BARO1,2349,93640
242,251894,BARO2,2382,93642
243,251904,BARO0,2279,93671
244,251904,BARO1,2349,93631
245,251904,BARO2,2381,93638
246,251914,BARO0,2280,93670
247,251914,BARO1,2349,93635
248,251914,BARO2,2382,93635
249,251924,BARO0,2279,93663
250,251924,BARO1,2349,93630
251,251924,BARO2,2381,93632
252,251934,BARO0,2279,93669
253,251934,BARO1,2349,93630
254,251934,BARO2,2382,93638
255,251944,BARO0,2280,93665
256,251944,BARO1,2349,93627
257,251944,BARO2,2382,93632
258,251954,BARO0,2279,93662
259,251954,BARO1,2349,93630
260,251954,BARO2,2382,93635
261,251964,BARO0,2279,93653
262,251964,BARO1,2349,93622
263,251964,BARO2,2382,93627
264,251974,BARO0,2280,93654
265,251974,BARO1,2349,93617
266,251974,BARO2,2381,93627
267,251984,BARO0,2280,93652
268,251984,BARO1,2349,93614
269,251984,BARO2,2382,93622
270,251994,BARO0,2280,93649
271,251994,BARO1,2349,93612
272,251994,BARO2,2382,93611
273,252004,BARO0,2280,93643
274,252004,BARO1,2349,93613
275,252004,BARO2,2381,93614
276,252014,BARO0,2280,93650
277,252014,BARO1,2349,93603
278,252014,BARO2,2381,93614
279,252024,BARO0,2280,93638
280,252024,BARO1,2349,93604
281,252024,BARO2,2382,93613
282,252034,BARO0,2280,93635
283,252034,BARO1,2349,93593
284,252034,BARO2,2381,93601
285,252044,BARO0,2280,93631
286,252044,BARO1,2349,93599
287,252044,BARO2,2382,93615
288,252054,BARO0,2280,93623
289,252054,BARO1,2349,93597
290,252054,BARO2,2382,93598
291,252064,BARO0,2280,93626
292,252064,BARO1,2349,93590
293,252064,BARO2,2381,93611
294,252074,BARO0,2279,93631
295,252074,BARO1,2349,93589
296,252074,BARO2,2381,93595
297,252084,BARO0,2279,93618
298,252084,BARO1,2349,93583
299,252084,BARO2,2381,93599
300,252094,BARO0,2280,93623
301,252094,BARO1,2349,93582
302,252094,BARO2,2381,93590
303,252104,BARO0,2280,93618
304,252104,BARO1,2349,93577
305,252104,BARO2,2381,93580
306,252114,BARO0,2280,93607
307,252114,BARO1,2349,93580
308,252114,BARO2,2382,93586
309,252124,BARO0,2280,93610
310,252124,BARO1,2349,93578
311,252124,BARO2,2382,93583
312,252134,BARO0,2280,93601
313,252134,BARO1,2349,93575
314,252134,BARO2,2382,93578
315,252144,BARO0,2280,93600
316,252144,BARO1,2349,93563
317,252144,BARO2,2382,93575
318,252154,BARO0,2280,93605
319,252154,BARO1,2349,93567
320,252154,BARO2,2381,93568
321,252164,BARO0,2279,93599
322,252164,BARO1,2349,93566
323,252164,BARO2,2381,93570
324,252174,BARO0,2280,93594
325,252174,BARO1,2349,93561
326,252174,BARO2,2382,93565
327,252184,BARO0,2280,93598
328,252184,BARO1,2349,93561
329,252184,BARO2,2382,93554
330,252194,BARO0,2280,93574
331,252194,BARO1,2349,93557
332,252194,BARO2,2382,93552
333,252204,BARO0,2280,93583
334,252204,BARO1,2349,93551
335,252204,BARO2,2382,93551
336,252214,BARO0,2280,93579
337,252214,BARO1,2349,93546
338,252214,BARO2,2381,93548
339,252224,BARO0,2280,93578
340,252224,BARO1,2349,93537
341,252224,BARO2,2382,93550
342,252234,BARO0,2280,93574
343,252234,BARO1,2348,93536
344,252234,BARO2,2381,93545
345,252244,BARO0,2280,93571
346,252244,BARO1,2349,93529
347,252244,BARO2,2382,93535
348,252254,BARO0,2280,93571
349,252254,BARO1,2349,93531
350,252254,BARO2,2382,93537
351,252264,BARO0,2280,93564
352,252264,BARO1,2349,93523
353,252264,BARO2,2382,93528
354,252274,BARO0,2280,93563
355,252274,BARO1,2349,93522
356,252274,BARO2,2381,93531
357,252284,BARO0,2280,93552
358,252284,BARO1,2348,93521
359,252284,BARO2,2382,93530
360,252294,BARO0,2279,93547
361,252294,BARO1,2349,93515
362,252294,BARO2,2381,93521
363,252304,BARO0,2280,93541
364,252304,BARO1,2349,93510
365,252304,BARO2,2381,93512
366,252314,BARO0,2280,93533
367,252314,BARO1,2348,93507
368,252314,BARO2,2382,93508
369,252324,BARO0,2280,93541
370,252324,BARO1,2349,93500
371,252324,BARO2,2382,93508
372,252334,BARO0,2280,93535
373,252334,BARO1,2349,93501
374,252334,BARO2,2382,93508
375,252344,BARO0,2280,93530
376,252344,BARO1,2349,93494
377,252344,BARO2,2382,93496
378,252354,BARO0,2280,93523
379,252354,BARO1,2349,93491
380,252354,BARO2,2382,93494
381,252364,BARO0,2280,93524
382,252364,BARO1,2349,93489
383,252364,BARO2,2382,93493
384,252374,BARO0,2280,93519
385,252374,BARO1,2348,93485
386,252374,BARO2,2382,93484
387,252384,BARO0,2280,93513
388,252384,BARO1,2349,93474
389,252384,BARO2,2382,93480
390,252394,BARO0,2280,93501
391,252394,BARO1,2349,93470
392,252394,BARO2,2382,93483
393,252404,BARO0,2280,93504
394,252404,BARO1,2349,93463
395,252404,BARO2,2382,93471
396,252414,BARO0,2280,93502
397,252414,BARO1,2349,93473
398,252414,BARO2,2382,93472
399,252424,BARO0,2280,93490
400,252424,BARO1,2349,93470
401,252424,BARO2,2382,93462
402,252434,BARO0,2280,93496
403,252434,BARO1,2349,93452
404,252434,BARO2,2381,93455
405,252444,BARO0,2280,93487
406,252444,BARO1,2349,93459
407,252444,BARO2,2382,93449
408,252454,BARO0,2280,93480
409,252454,BARO1,2348,93451
410,252454,BARO2,2381,93452
411,252464,BARO0,2280,93475
412,252464,BARO1,2349,93444
413,252464,BARO2,2381,93444
414,252474,BARO0,2281,93469
415,252474,BARO1,2349,93426
416,252474,BARO2,2381,93442
417,252484,BARO0,2281,93475
418,252484,BARO1,2349,93431
419,252484,BARO2,2381,93446
420,252494,BARO0,2281,93467
421,252494,BARO1,2348,93433
422,252494,BARO2,2382,93437
423,252504,BARO0,2280,93453
424,252504,BARO1,2349,93433
425,252504,BARO2,2382,93429
426,252514,BARO0,2280,93455
427,252514,BARO1,2349,93423
428,252514,BARO2,2382,93429
429,252524,BARO0,2281,93449
430,252524,BARO1,2349,93420
431,252524,BARO2,2382,93419
432,252534,BARO0,2280,93445
433,252534,BARO1,2349,93417
434,252534,BARO2,2382,93417
435,252544,BARO0,2280,93446
436,252544,BARO1,2349,93408
437,252544,BARO2,2382,93412
438,252554,BARO0,2281,93434
439,252554,BARO1,2349,93403
440,252554,BARO2,2381,93407
441,252564,BARO0,2281,93431
442,252564,BARO1,2348,93402
443,252564,BARO2,2381,93402
444,252574,BARO0,2280,93430
445,252574,BARO1,2349,93390
446,252574,BARO2,2382,93400
447,252584,BARO0,2281,93424
448,252584,BARO1,2349,93388
449,252584,BARO2,2382,93393
450,252594,BARO0,2280,93418
451,252594,BARO1,2349,93379
452,252594,BARO2,2382,93384
453,252604,BARO0,2281,93410
454,252604,BARO1,2349,93374
455,252604,BARO2,2382,93375
456,252614,BARO0,2280,93405
457,252614,BARO1,2349,93369
458,252614,BARO2,2381,93378
459,252624,BARO0,2280,93406
460,252624,BARO1,2349,93362
461,252624,BARO2,2382,93374
462,252634,BARO0,2281,93396
463,252634,BARO1,2348,93362
464,252634,BARO2,2382,93368
465,252644,BARO0,2281,93382
466,252644,BARO1,2349,93358
467,252644,BARO2,2381,93358
468,252654,BARO0,2280,93388
469,252654,BARO1,2348,93349
470,252654,BARO2,2381,93351
