,ts,error
0,251374,4096
1,251564,12288
2,251644,4096
3,251734,12288
4,251754,4096
5,251924,12288
6,252464,4096
7,252664,12288
8,252914,4096
9,255004,12288
10,255014,4096
11,255124,12288
12,255144,4096
13,255294,12288
14,255334,4096
15,255994,12288
16,256114,4096
17,256524,12288
18,256624,4096
19,256714,12288
20,256734,4096
21,256914,12288
22,257074,4096
23,257194,12288
24,257204,4096
25,257624,12288
26,257804,4096
27,257894,12288
28,258194,4096
29,258314,12288
30,258334,4096
31,258494,12288
32,258524,4096
33,258704,12288
34,258734,4096
35,258824,12288
36,258994,4096
37,259084,12288
38,259714,4096
39,259864,12288
40,260504,4096
41,260594,12288
42,260704,4096
43,260794,12288
44,261254,4096
45,261394,12288
46,261404,4096
47,261504,12288
48,261554,4096
49,261784,12288
50,261874,4096
51,261974,12288
52,261994,4096
53,262474,12288
54,262514,4096
55,263124,12288
56,263134,4096
57,263474,12288
58,263484,4096
59,263774,12288
60,263944,4096
61,264034,12288
62,264074,4096
63,264154,12288
64,264164,4096
65,264534,12288
66,264704,4096
67,264824,12288
68,264854,4096
69,264934,12288
70,264994,4096
71,265104,12288
72,265134,4096
73,265474,12288
74,266134,4096
75,266734,12288
76,266764,4096
77,266854,12288
78,268004,4096
79,268015,4112
80,268144,12304
81,268194,4112
82,268284,12304
83,268294,4112
84,268465,4096
85,268474,12288
86,269304,4096
87,269774,12288
88,269904,4096
89,270844,12288
90,270884,4096
91,271404,4160
92,271404,4288
93,271434,4224
94,271434,4096
95,271454,4160
96,271454,4288
97,271504,4224
98,271504,4096
99,271624,12288
100,271634,12352
101,271634,12480
102,271634,28864
103,271664,20672
104,271664,4288
105,271694,4224
106,271694,4096
107,272374,12288
108,272384,4096
109,272644,12288
110,272684,4096
111,273034,12288
112,273154,4096
113,273274,12288
