,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,251095,-2013,5795,5895,-5253
1,251105,-2013,5795,5894,-5254
2,251115,-2013,5796,5893,-5255
3,251125,-2012,5796,5893,-5255
4,251135,-2013,5795,5892,-5256
5,251145,-2012,5795,5892,-5257
6,251155,-2012,5796,5891,-5258
7,251165,-2012,5795,5891,-5258
8,251175,-2012,5796,5890,-5259
9,251185,-2012,5795,5890,-5259
10,251195,-2011,5796,5888,-5260
11,251205,-2011,5796,5888,-5261
12,251215,-2011,5795,5888,-5262
13,251225,-2010,5795,5887,-5263
14,251235,-2010,5795,5886,-5264
15,251245,-2010,5795,5886,-5265
16,251255,-2009,5795,5885,-5266
17,251265,-2010,5794,5885,-5266
18,251275,-2009,5794,5884,-5268
19,251285,-2009,5794,5884,-5268
20,251295,-2009,5793,5883,-5269
21,251305,-2010,5792,5884,-5270
22,251315,-2011,5791,5884,-5271
23,251325,-2010,5791,5884,-5272
24,251335,-2010,5790,5884,-5272
25,251345,-2011,5789,5884,-5273
26,251355,-2003,5796,5885,-5268
27,251365,-1999,5797,5886,-5266
28,251375,-2000,5795,5890,-5263
29,251385,-2000,5794,5891,-5263
30,251395,-2001,5794,5889,-5266
31,251405,-2001,5796,5884,-5268
32,251415,-2000,5797,5881,-5272
33,251425,-1998,5796,5881,-5274
34,251435,-1992,5795,5885,-5272
35,251445,-1985,5796,5892,-5266
36,251455,-1977,5799,5903,-5254
37,251465,-1967,5804,5918,-5235
38,251475,-1956,5809,5939,-5209
39,251485,-1946,5811,5967,-5179
40,251495,-1943,5805,6000,-5148
41,251505,-1942,5801,6032,-5116
42,251515,-1945,5793,6063,-5087
43,251525,-1951,5783,6090,-5064
44,251535,-1955,5774,6115,-5042
45,251545,-1961,5763,6139,-5024
46,251555,-1964,5756,6164,-5000
47,251565,-1962,5753,6190,-4972
48,251575,-3999,5855,4297,-5555
49,251585,-5085,6140,2605,-5487
50,251595,-5335,6680,1242,-5072
51,251605,-5307,6903,-39,-4908
52,251615,-4957,6910,-491,-5237
53,251625,-4656,6892,-854,-5484
54,251635,-4404,6863,-1147,-5672
55,251645,-4196,6824,-1391,-5820
56,251655,-4027,6791,-1582,-5928
57,251665,-3879,6757,-1744,-6019
58,251675,-3754,6723,-1879,-6096
59,251685,-3651,6688,-1992,-6161
60,251695,-3574,6659,-2084,-6207
61,251705,-3509,6625,-2163,-6253
62,251715,-3456,6597,-2223,-6291
63,251725,-3412,6567,-2272,-6329
64,251735,-3378,6535,-2316,-6365
65,251745,-3357,6505,-2353,-6393
66,251755,-3347,6475,-2381,-6418
67,251765,-3339,6448,-2402,-6442
68,251775,-3335,6424,-2414,-6463
69,251785,-3335,6400,-2426,-6482
70,251795,-3341,6376,-2439,-6498
71,251805,-3353,6353,-2449,-6510
72,251815,-3366,6331,-2455,-6523
73,251825,-3384,6312,-2450,-6533
74,251835,-3405,6294,-2446,-6542
75,251845,-3423,6272,-2449,-6552
76,251855,-3442,6250,-2456,-6560
77,251865,-3461,6228,-2461,-6570
78,251875,-3478,6205,-2464,-6581
79,251885,-3494,6181,-2467,-6594
80,251895,-3513,6156,-2473,-6605
81,251905,-3534,6131,-2480,-6614
82,251915,-3557,6106,-2487,-6623
83,251925,-3578,6080,-2494,-6633
84,251935,-3600,6055,-2498,-6643
85,251945,-3620,6027,-2505,-6654
86,251955,-3643,5999,-2514,-6663
87,251965,-3667,5971,-2524,-6671
88,251975,-3690,5944,-2532,-6680
89,251985,-3711,5916,-2541,-6690
90,251995,-3734,5888,-2549,-6699
91,252005,-3756,5858,-2559,-6709
92,252015,-3779,5827,-2570,-6718
93,252025,-3801,5797,-2580,-6728
