,ts,Ax,Ay,Az
0,0.009,0.78125,0.0,0.0
1,0.019,1.5625,0.0,0.0
2,0.029,1.5625,-0.78125,0.0
3,0.039,1.5625,-0.78125,0.0
4,0.049,1.5625,-0.78125,0.0
5,0.059,1.5625,0.78125,0.0
6,0.069,1.5625,0.0,0.0
7,0.079,1.5625,0.0,0.0
8,0.089,1.5625,-0.78125,0.0
9,0.099,1.5625,0.0,0.0
10,0.109,1.5625,0.0,0.0
11,0.119,1.5625,0.0,0.0
12,0.129,1.5625,0.78125,0.0
13,0.139,1.5625,0.0,0.0
14,0.149,1.5625,0.0,0.0
15,0.159,1.5625,0.0,0.0
16,0.169,1.5625,0.0,0.0
17,0.179,1.5625,0.0,0.0
18,0.189,1.5625,-0.78125,0.0
19,0.199,1.5625,0.0,0.0
20,0.209,1.5625,0.0,0.0
21,0.219,1.5625,0.0,0.0
22,0.229,1.5625,0.0,0.0
23,0.239,1.5625,0.0,0.0
24,0.249,1.5625,0.0,0.0
25,0.259,1.5625,0.0,0.0
26,0.269,1.5625,0.0,0.0
27,0.279,1.5625,0.0,0.0
28,0.289,1.5625,0.0,0.0
29,0.299,1.5625,-0.78125,0.0
30,0.309,1.5625,0.0,0.0
31,0.319,1.5625,-0.78125,0.0
32,0.329,1.5625,0.0,0.0
33,0.339,1.5625,0.0,0.0
34,0.349,1.5625,0.0,0.0
35,0.359,1.5625,0.0,0.0
36,0.369,1.5625,0.0,0.0
37,0.379,1.5625,0.0,0.0
38,0.389,1.5625,0.0,0.0
39,0.399,1.5625,0.0,0.0
40,0.409,1.5625,0.0,0.0
41,0.419,1.5625,0.0,0.0
42,0.429,1.5625,0.0,0.0
43,0.439,1.5625,-0.78125,0.0
44,0.449,1.5625,-0.78125,0.0
45,0.459,1.5625,-0.78125,0.0
46,0.469,1.5625,0.0,0.0
47,0.479,1.5625,0.0,0.0
48,0.489,1.5625,0.0,0.0
49,0.499,1.5625,0.0,0.0
50,0.509,1.5625,0.0,0.0
51,0.519,1.5625,-0.78125,0.0
52,0.529,1.5625,0.0,0.0
53,0.539,1.5625,0.0,0.0
54,0.549,1.5625,0.0,0.0
55,0.559,1.5625,0.0,0.0
56,0.569,1.5625,0.0,0.0
57,0.579,1.5625,-0.78125,0.0
58,0.589,1.5625,0.0,0.0
59,0.599,1.5625,-0.78125,0.0
60,0.609,0.78125,0.0,0.0
61,0.619,1.5625,0.0,0.0
62,0.629,1.5625,0.0,0.0
63,0.639,1.5625,0.0,0.0
64,0.649,1.5625,-0.78125,0.0
65,0.659,1.5625,0.0,0.0
66,0.669,1.5625,0.0,0.0
67,0.679,1.5625,0.0,0.0
68,0.689,0.78125,0.0,0.0
69,0.699,1.5625,0.0,0.0
70,0.709,1.5625,0.0,0.0
71,0.719,1.5625,0.0,0.0
72,0.729,1.5625,0.0,0.0
73,0.739,1.5625,-0.78125,0.0
74,0.749,1.5625,-0.78125,0.0
75,0.759,1.5625,0.0,0.0
76,0.769,1.5625,0.0,0.0
77,0.779,1.5625,0.0,0.0
78,0.789,1.5625,0.0,0.0
79,0.799,1.5625,0.0,0.0
80,0.809,1.5625,0.0,0.0
