,ts,filtered_altitude_AGL,filtered_acceleration
0,0.01,825.33642578125,0.0
1,0.02,825.33642578125,0.0
2,0.03,825.33642578125,0.0
3,0.04,825.33642578125,0.0
4,0.05,825.33642578125,0.0
5,0.06,825.5822143554688,0.0
6,0.07,825.5822143554688,0.0
7,0.08,826.14501953125,0.0
8,0.09,827.1279296875,0.0
9,0.1,827.1279296875,0.0
10,0.11,828.427978515625,0.0
11,0.12,827.1279296875,0.0
12,0.13,827.1279296875,0.0
13,0.14,827.1279296875,0.0
14,0.15,826.14501953125,0.0
15,0.16,826.039306640625,0.0
16,0.17,826.039306640625,0.0
17,0.18,826.039306640625,0.0
18,0.19,826.039306640625,0.0
19,0.2,825.8279418945312,0.0
20,0.21,825.8279418945312,0.0
21,0.22,825.8279418945312,0.0
22,0.23,826.9879150390625,0.0
23,0.24,827.830810546875,0.0
24,0.25,828.1822509765625,0.0
25,0.26,827.830810546875,0.0
26,0.27,826.9879150390625,0.0
27,0.28,826.14501953125,0.0
28,0.29,827.830810546875,0.0
29,0.3,828.1822509765625,0.0
30,0.31,828.4993286132812,0.0
31,0.32,829.622314453125,0.0
32,0.33,828.4993286132812,0.0
33,0.34,828.2166137695312,0.0
34,0.35,829.622314453125,0.0
35,0.36,829.622314453125,0.0
36,0.37,830.0794067382812,0.0
37,0.38,830.0794067382812,0.0
38,0.39,829.622314453125,0.0
39,0.4,829.3422241210938,0.0
40,0.41,828.2166137695312,0.0
41,0.42,828.2166137695312,0.0
42,0.43,829.3422241210938,0.0
43,0.44,829.3422241210938,0.0
44,0.45,830.0794067382812,0.0
45,0.46,831.202392578125,0.0
46,0.47,830.4652099609375,0.0
47,0.48,830.4652099609375,0.0
48,0.49,831.202392578125,0.0
49,0.5,831.8366088867188,0.0
50,0.51,831.8366088867188,0.0
51,0.52,831.8366088867188,0.0
52,0.53,831.8366088867188,0.0
53,0.54,831.3450927734375,0.0
54,0.55,830.7822875976562,0.0
55,0.56,830.7822875976562,0.0
56,0.57,831.3450927734375,0.0
57,0.58,831.3450927734375,0.0
58,0.59,831.3450927734375,0.0
59,0.6,831.3794555664062,0.0
60,0.61,831.3794555664062,0.0
61,0.62,831.3794555664062,0.0
62,0.63,831.413818359375,0.0
63,0.64,832.7138671875,0.0
64,0.65,832.7138671875,0.0
65,0.66,833.1022338867188,0.0
66,0.67,832.7138671875,0.0
67,0.68,831.413818359375,0.0
68,0.69,830.8510131835938,0.0
69,0.7,830.6422729492188,0.0
70,0.71,830.8510131835938,0.0
71,0.72,830.8510131835938,0.0
72,0.73,830.8510131835938,0.0
73,0.74,835.4908447265625,0.0
74,0.75,833.9794921875,0.0
75,0.76,833.9794921875,0.0
76,0.77,833.9794921875,0.0
77,0.78,835.4908447265625,0.0
78,0.79,835.4908447265625,0.0
79,0.8,835.4908447265625,0.0
80,0.81,835.4908447265625,0.0
81,0.82,834.9994506835938,0.0
82,0.83,833.9794921875,0.0
83,0.84,834.9994506835938,0.0
84,0.85,834.9994506835938,0.0
85,0.86,835.5965576171875,0.0
