,ts,Ax,Ay,Az
0,217904,1,0,0
1,217914,2,0,0
2,217924,2,-1,0
3,217934,2,-1,0
4,217944,2,-1,0
5,217954,2,1,0
6,217964,2,0,0
7,217974,2,0,0
8,217984,2,-1,0
9,217994,2,0,0
10,218004,2,0,0
11,218014,2,0,0
12,218024,2,1,0
13,218034,2,0,0
14,218044,2,0,0
15,218054,2,0,0
16,218064,2,0,0
17,218074,2,0,0
18,218084,2,-1,0
19,218094,2,0,0
20,218104,2,0,0
21,218114,2,0,0
22,218124,2,0,0
23,218134,2,0,0
24,218144,2,0,0
25,218154,2,0,0
26,218164,2,0,0
27,218174,2,0,0
28,218184,2,0,0
29,218194,2,-1,0
30,218204,2,0,0
31,218214,2,-1,0
32,218224,2,0,0
33,218234,2,0,0
34,218244,2,0,0
35,218254,2,0,0
36,218264,2,0,0
37,218274,2,0,0
38,218284,2,0,0
39,218294,2,0,0
40,218304,2,0,0
41,218314,2,0,0
42,218324,2,0,0
43,218334,2,-1,0
44,218344,2,-1,0
45,218354,2,-1,0
46,218364,2,0,0
47,218374,2,0,0
48,218384,2,0,0
49,218394,2,0,0
50,218404,2,0,0
51,218414,2,-1,0
52,218424,2,0,0
53,218434,2,0,0
54,218444,2,0,0
55,218454,2,0,0
56,218464,2,0,0
57,218474,2,-1,0
58,218484,2,0,0
59,218494,2,-1,0
60,218504,1,0,0
61,218514,2,0,0
62,218524,2,0,0
63,218534,2,0,0
64,218544,2,-1,0
65,218554,2,0,0
66,218564,2,0,0
67,218574,2,0,0
68,218584,1,0,0
69,218594,2,0,0
70,218604,2,0,0
71,218614,2,0,0
72,218624,2,0,0
73,218634,2,-1,0
74,218644,2,-1,0
75,218654,2,0,0
76,218664,2,0,0
77,218674,2,0,0
78,218684,2,0,0
79,218694,2,0,0
80,218704,2,0,0
81,218714,2,0,0
82,218724,2,-1,0
83,218734,2,0,0
84,218744,1,0,0
85,218754,2,0,0
86,218764,2,0,0
87,218774,2,-1,0
88,218784,2,-1,0
