,ts,id,T,P
0,-0.331,BARO0,28.26,96660
1,-0.331,BARO1,28.2,96548
2,-0.331,BARO2,27.78,96675
3,-0.321,BARO0,28.24,96656
4,-0.321,BARO1,28.22,96571
5,-0.321,BARO2,27.79,96639
6,-0.311,BARO0,28.24,96676
7,-0.311,BARO1,28.22,96551
8,-0.311,BARO2,27.78,96655
9,-0.301,BARO0,28.26,96660
10,-0.301,BARO1,28.22,96571
11,-0.301,BARO2,27.79,96678
12,-0.291,BARO0,28.26,96680
13,-0.291,BARO1,28.22,96571
14,-0.291,BARO2,27.81,96662
15,-0.281,BARO0,28.26,96660
16,-0.281,BARO1,28.22,96551
17,-0.281,BARO2,27.79,96658
18,-0.271,BARO0,28.26,96680
19,-0.271,BARO1,28.22,96551
20,-0.271,BARO2,27.78,96635
21,-0.261,BARO0,28.26,96660
22,-0.261,BARO1,28.2,96567
23,-0.261,BARO2,27.79,96658
24,-0.251,BARO0,28.28,96664
25,-0.251,BARO1,28.22,96551
26,-0.251,BARO2,27.79,96658
27,-0.241,BARO0,28.26,96640
28,-0.241,BARO1,28.22,96571
29,-0.241,BARO2,27.79,96658
30,-0.231,BARO0,28.26,96660
31,-0.231,BARO1,28.2,96548
32,-0.231,BARO2,27.78,96635
33,-0.221,BARO0,28.26,96699
34,-0.221,BARO1,28.22,96571
35,-0.221,BARO2,27.79,96639
36,-0.211,BARO0,28.26,96680
37,-0.211,BARO1,28.2,96548
38,-0.211,BARO2,27.79,96639
39,-0.201,BARO0,28.26,96660
40,-0.201,BARO1,28.22,96532
41,-0.201,BARO2,27.81,96662
42,-0.191,BARO0,28.28,96664
43,-0.191,BARO1,28.2,96548
44,-0.191,BARO2,27.79,96639
45,-0.181,BARO0,28.26,96640
46,-0.181,BARO1,28.22,96551
47,-0.181,BARO2,27.78,96635
48,-0.171,BARO0,28.26,96660
49,-0.171,BARO1,28.22,96571
50,-0.171,BARO2,27.78,96635
51,-0.161,BARO0,28.28,96683
52,-0.161,BARO1,28.22,96571
53,-0.161,BARO2,27.79,96658
54,-0.151,BARO0,28.26,96640
55,-0.151,BARO1,28.22,96551
56,-0.151,BARO2,27.79,96639
57,-0.141,BARO0,28.26,96660
58,-0.141,BARO1,28.22,96551
59,-0.141,BARO2,27.78,96635
60,-0.131,BARO0,28.26,96660
61,-0.131,BARO1,28.24,96555
62,-0.131,BARO2,27.79,96639
63,-0.121,BARO0,28.26,96660
64,-0.121,BARO1,28.22,96551
65,-0.121,BARO2,27.79,96639
66,-0.111,BARO0,28.28,96683
67,-0.111,BARO1,28.24,96594
68,-0.111,BARO2,27.78,96635
69,-0.101,BARO0,28.28,96664
70,-0.101,BARO1,28.22,96551
71,-0.101,BARO2,27.79,96678
72,-0.091,BARO0,28.26,96640
73,-0.091,BARO1,28.24,96555
74,-0.091,BARO2,27.79,96639
75,-0.081,BARO0,28.28,96664
76,-0.081,BARO1,28.22,96532
77,-0.081,BARO2,27.79,96658
78,-0.071,BARO0,28.26,96660
79,-0.071,BARO1,28.24,96535
80,-0.071,BARO2,27.79,96639
81,-0.061,BARO0,28.24,96656
82,-0.061,BARO1,28.22,96532
83,-0.061,BARO2,27.78,96655
84,-0.051,BARO0,28.26,96660
85,-0.051,BARO1,28.24,96535
86,-0.051,BARO2,27.78,96655
87,-0.041,BARO0,28.28,96644
88,-0.041,BARO1,28.24,96535
89,-0.041,BARO2,27.78,96655
90,-0.031,BARO0,28.28,96664
91,-0.031,BARO1,28.24,96555
92,-0.031,BARO2,27.78,96635
93,-0.021,BARO0,28.26,96660
94,-0.021,BARO1,28.24,96555
95,-0.021,BARO2,27.81,96642
96,-0.011,BARO0,28.26,96640
97,-0.011,BARO1,28.24,96535
98,-0.011,BARO2,27.79,96658
99,-0.001,BARO0,28.26,96640
100,-0.001,BARO1,28.24,96535
101,-0.001,BARO2,27.79,96639
102,0.009,BARO0,28.3,96668
103,0.009,BARO1,28.24,96555
104,0.009,BARO2,27.79,96639
105,0.019,BARO0,28.26,96660
106,0.019,BARO1,28.24,96555
107,0.019,BARO2,27.79,96619
108,0.029,BARO0,28.26,96640
109,0.029,BARO1,28.24,96535
110,0.029,BARO2,27.78,96615
111,0.039,BARO0,28.26,96660
112,0.039,BARO1,28.24,96535
113,0.039,BARO2,27.79,96639
114,0.049,BARO0,28.28,96664
115,0.049,BARO1,28.24,96535
116,0.049,BARO2,27.79,96619
117,0.059,BARO0,28.26,96640
118,0.059,BARO1,28.24,96535
119,0.059,BARO2,27.79,96599
120,0.069,BARO0,28.28,96644
121,0.069,BARO1,28.24,96516
122,0.069,BARO2,27.79,96639
123,0.079,BARO0,28.28,96644
124,0.079,BARO1,28.24,96516
125,0.079,BARO2,27.79,96639
126,0.089,BARO0,28.28,96664
127,0.089,BARO1,28.26,96539
128,0.089,BARO2,27.78,96635
129,0.099,BARO0,28.26,96660
130,0.099,BARO1,28.27,96542
131,0.099,BARO2,27.78,96615
132,0.109,BARO0,28.28,96664
133,0.109,BARO1,28.26,96558
134,0.109,BARO2,27.79,96658
135,0.119,BARO0,28.28,96664
136,0.119,BARO1,28.26,96558
137,0.119,BARO2,27.79,96658
138,0.129,BARO0,28.28,96664
139,0.129,BARO1,28.24,96516
140,0.129,BARO2,27.79,96619
141,0.139,BARO0,28.26,96640
142,0.139,BARO1,28.26,96539
143,0.139,BARO2,27.79,96658
144,0.149,BARO0,28.26,96640
145,0.149,BARO1,28.26,96539
146,0.149,BARO2,27.79,96639
147,0.159,BARO0,28.26,96640
148,0.159,BARO1,28.26,96539
149,0.159,BARO2,27.79,96639
150,0.169,BARO0,28.26,96640
151,0.169,BARO1,28.27,96562
152,0.169,BARO2,27.79,96639
153,0.179,BARO0,28.28,96644
154,0.179,BARO1,28.27,96542
155,0.179,BARO2,27.81,96623
156,0.189,BARO0,28.26,96621
157,0.189,BARO1,28.27,96542
158,0.189,BARO2,27.79,96619
159,0.199,BARO0,28.26,96621
160,0.199,BARO1,28.27,96542
161,0.199,BARO2,27.79,96619
162,0.209,BARO0,28.26,96640
163,0.209,BARO1,28.27,96542
164,0.209,BARO2,27.79,96619
165,0.219,BARO0,28.28,96624
166,0.219,BARO1,28.29,96526
167,0.219,BARO2,27.81,96623
168,0.229,BARO0,28.26,96640
169,0.229,BARO1,28.29,96526
170,0.229,BARO2,27.81,96642
171,0.239,BARO0,28.26,96660
172,0.239,BARO1,28.29,96526
173,0.239,BARO2,27.81,96623
174,0.249,BARO0,28.26,96621
175,0.249,BARO1,28.29,96526
176,0.249,BARO2,27.79,96619
177,0.259,BARO0,28.28,96644
178,0.259,BARO1,28.29,96546
179,0.259,BARO2,27.81,96623
180,0.269,BARO0,28.28,96644
181,0.269,BARO1,28.29,96507
182,0.269,BARO2,27.79,96619
183,0.279,BARO0,28.26,96660
184,0.279,BARO1,28.29,96546
185,0.279,BARO2,27.81,96642
186,0.289,BARO0,28.26,96640
187,0.289,BARO1,28.29,96526
188,0.289,BARO2,27.81,96642
189,0.299,BARO0,28.28,96624
190,0.299,BARO1,28.31,96530
191,0.299,BARO2,27.81,96623
192,0.309,BARO0,28.26,96640
193,0.309,BARO1,28.29,96546
194,0.309,BARO2,27.81,96623
195,0.319,BARO0,28.26,96640
196,0.319,BARO1,28.33,96553
197,0.319,BARO2,27.81,96642
198,0.329,BARO0,28.26,96660
199,0.329,BARO1,28.29,96546
200,0.329,BARO2,27.81,96642
201,0.339,BARO0,28.28,96644
202,0.339,BARO1,28.31,96530
203,0.339,BARO2,27.83,96646
204,0.349,BARO0,28.28,96644
205,0.349,BARO1,28.31,96549
206,0.349,BARO2,27.81,96623
207,0.359,BARO0,28.26,96640
208,0.359,BARO1,28.31,96549
209,0.359,BARO2,27.79,96619
210,0.369,BARO0,28.26,96621
211,0.369,BARO1,28.33,96533
212,0.369,BARO2,27.81,96623
213,0.379,BARO0,28.26,96640
214,0.379,BARO1,28.33,96553
215,0.379,BARO2,27.81,96623
216,0.389,BARO0,28.28,96624
217,0.389,BARO1,28.31,96549
218,0.389,BARO2,27.79,96639
219,0.399,BARO0,28.24,96637
220,0.399,BARO1,28.31,96530
221,0.399,BARO2,27.81,96623
222,0.409,BARO0,28.26,96621
