,ts,id,T,P
0,33947,BARO0,2826,96660
1,33947,BARO1,2820,96548
2,33947,BARO2,2778,96675
3,33957,BARO0,2824,96656
4,33957,BARO1,2822,96571
5,33957,BARO2,2779,96639
6,33967,BARO0,2824,96676
7,33967,BARO1,2822,96551
8,33967,BARO2,2778,96655
9,33977,BARO0,2826,96660
10,33977,BARO1,2822,96571
11,33977,BARO2,2779,96678
12,33987,BARO0,2826,96680
13,33987,BARO1,2822,96571
14,33987,BARO2,2781,96662
15,33997,BARO0,2826,96660
16,33997,BARO1,2822,96551
17,33997,BARO2,2779,96658
18,34007,BARO0,2826,96680
19,34007,BARO1,2822,96551
20,34007,BARO2,2778,96635
21,34017,BARO0,2826,96660
22,34017,BARO1,2820,96567
23,34017,BARO2,2779,96658
24,34027,BARO0,2828,96664
25,34027,BARO1,2822,96551
26,34027,BARO2,2779,96658
27,34037,BARO0,2826,96640
28,34037,BARO1,2822,96571
29,34037,BARO2,2779,96658
30,34047,BARO0,2826,96660
31,34047,BARO1,2820,96548
32,34047,BARO2,2778,96635
33,34057,BARO0,2826,96699
34,34057,BARO1,2822,96571
35,34057,BARO2,2779,96639
36,34067,BARO0,2826,96680
37,34067,BARO1,2820,96548
38,34067,BARO2,2779,96639
39,34077,BARO0,2826,96660
40,34077,BARO1,2822,96532
41,34077,BARO2,2781,96662
42,34087,BARO0,2828,96664
43,34087,BARO1,2820,96548
44,34087,BARO2,2779,96639
45,34097,BARO0,2826,96640
46,34097,BARO1,2822,96551
47,34097,BARO2,2778,96635
48,34107,BARO0,2826,96660
49,34107,BARO1,2822,96571
50,34107,BARO2,2778,96635
51,34117,BARO0,2828,96683
52,34117,BARO1,2822,96571
53,34117,BARO2,2779,96658
54,34127,BARO0,2826,96640
55,34127,BARO1,2822,96551
56,34127,BARO2,2779,96639
57,34137,BARO0,2826,96660
58,34137,BARO1,2822,96551
59,34137,BARO2,2778,96635
60,34147,BARO0,2826,96660
61,34147,BARO1,2824,96555
62,34147,BARO2,2779,96639
63,34157,BARO0,2826,96660
64,34157,BARO1,2822,96551
65,34157,BARO2,2779,96639
66,34167,BARO0,2828,96683
67,34167,BARO1,2824,96594
68,34167,BARO2,2778,96635
69,34177,BARO0,2828,96664
70,34177,BARO1,2822,96551
71,34177,BARO2,2779,96678
72,34187,BARO0,2826,96640
73,34187,BARO1,2824,96555
74,34187,BARO2,2779,96639
75,34197,BARO0,2828,96664
76,34197,BARO1,2822,96532
77,34197,BARO2,2779,96658
78,34207,BARO0,2826,96660
79,34207,BARO1,2824,96535
80,34207,BARO2,2779,96639
81,34217,BARO0,2824,96656
82,34217,BARO1,2822,96532
83,34217,BARO2,2778,96655
