,ts,id,T,P
0,-0.745,BARO0,31.46,100230
1,-0.735,BARO0,31.46,100215
2,-0.725,BARO0,31.45,100210
3,-0.715,BARO0,31.47,100230
4,-0.705,BARO0,31.47,100228
5,-0.695,BARO0,31.47,100230
6,-0.685,BARO0,31.46,100210
7,-0.675,BARO0,31.48,100200
8,-0.665,BARO0,31.48,100238
9,-0.655,BARO0,31.48,100231
10,-0.645,BARO0,31.47,100204
11,-0.635,BARO0,31.48,100227
12,-0.625,BARO0,31.48,100222
13,-0.615,BARO0,31.47,100216
14,-0.605,BARO0,31.47,100199
15,-0.595,BARO0,31.46,100215
16,-0.585,BARO0,31.48,100234
17,-0.575,BARO0,31.46,100218
18,-0.565,BARO0,31.48,100213
19,-0.555,BARO0,31.46,100207
20,-0.545,BARO0,31.46,100225
21,-0.535,BARO0,31.48,100214
22,-0.525,BARO0,31.48,100211
23,-0.515,BARO0,31.47,100221
24,-0.505,BARO0,31.46,100229
25,-0.495,BARO0,31.47,100217
26,-0.485,BARO0,31.47,100208
27,-0.475,BARO0,31.48,100218
28,-0.465,BARO0,31.5,100239
29,-0.455,BARO0,31.46,100213
30,-0.445,BARO0,31.49,100213
31,-0.435,BARO0,31.47,100211
32,-0.425,BARO0,31.47,100222
33,-0.415,BARO0,31.47,100220
34,-0.405,BARO0,31.46,100210
35,-0.395,BARO0,31.47,100231
36,-0.385,BARO0,31.47,100202
37,-0.375,BARO0,31.47,100217
38,-0.365,BARO0,31.47,100204
39,-0.355,BARO0,31.47,100227
40,-0.345,BARO0,31.47,100219
41,-0.335,BARO0,31.47,100185
42,-0.325,BARO0,31.48,100215
43,-0.315,BARO0,31.47,100228
44,-0.305,BARO0,31.47,100225
45,-0.295,BARO0,31.47,100215
46,-0.285,BARO0,31.46,100195
47,-0.275,BARO0,31.48,100233
48,-0.265,BARO0,31.46,100205
49,-0.255,BARO0,31.46,100261
50,-0.245,BARO0,31.47,100217
51,-0.235,BARO0,31.47,100237
52,-0.225,BARO0,31.46,100226
53,-0.215,BARO0,31.47,100215
54,-0.205,BARO0,31.47,100224
55,-0.195,BARO0,31.47,100241
56,-0.185,BARO0,31.47,100234
57,-0.175,BARO0,31.48,100201
58,-0.165,BARO0,31.46,100229
59,-0.155,BARO0,31.46,100227
