,ts,voltage
0,0.15,8.05
1,1.15,8.091
2,2.15,8.116
3,3.15,8.099
4,4.15,8.083
5,5.15,8.083
6,6.15,8.066
7,7.15,8.091
8,8.15,8.099
9,9.15,8.099
10,10.15,8.075
11,11.15,8.108
12,12.15,8.099
13,13.15,8.058
14,14.15,8.058
15,15.15,8.041
16,16.15,8.025
17,17.15,8.033
18,18.15,8.0
19,19.15,8.017
20,20.15,8.008
21,21.15,8.008
22,22.15,8.0
23,23.15,7.992
24,24.15,7.992
25,25.15,8.0
26,26.15,7.992
27,27.15,7.992
28,28.15,7.992
29,29.15,7.967
30,30.15,7.992
31,31.15,7.975
32,32.15,7.992
33,33.15,7.992
34,34.15,8.041
35,35.15,8.041
36,36.15,8.041
37,37.15,8.041
38,38.15,8.058
39,39.15,8.058
40,40.15,8.066
41,41.15,8.05
42,42.15,8.058
43,43.15,8.05
44,44.15,8.05
45,45.15,8.058
46,46.15,8.083
47,47.15,8.091
48,48.15,8.083
49,49.15,8.066
50,50.15,8.083
51,51.15,8.083
52,52.15,8.041
53,53.15,8.066
54,54.15,8.075
55,55.15,8.099
56,56.15,8.091
57,57.15,8.091
58,58.15,8.05
59,59.15,8.066
60,60.15,8.083
61,61.15,8.075
62,62.15,8.083
63,63.15,8.091
64,64.15,8.091
65,65.15,8.075
66,66.15,8.066
67,67.15,8.116
68,68.15,8.083
69,69.15,8.083
70,70.15,8.116
71,71.15,8.066
72,72.15,8.058
73,73.15,8.091
74,74.15,8.083
75,75.15,8.149
76,76.15,8.091
77,77.15,8.132
78,78.15,8.091
79,79.15,8.075
80,80.15,8.05
81,81.15,8.083
82,82.15,8.05
83,83.15,8.05
84,84.15,8.033
85,85.15,8.033
86,86.15,8.017
87,87.15,7.992
88,88.15,8.0
89,89.15,8.0
90,90.15,7.992
91,91.15,8.008
92,92.15,7.975
93,93.15,8.0
94,94.15,7.975
95,95.15,8.0
96,96.15,7.992
97,97.15,7.984
98,98.15,7.984
99,99.15,7.984
100,100.15,8.0
101,101.15,7.975
102,102.15,7.967
103,103.15,7.942
104,104.15,7.951
105,105.15,8.017
106,106.15,7.992
107,107.15,8.017
108,108.15,8.033
109,109.15,8.025
110,110.15,8.066
111,111.15,8.041
112,112.15,8.025
113,113.15,8.041
114,114.15,8.066
115,115.15,8.041
116,116.15,8.066
117,117.15,8.066
118,118.15,8.05
119,119.15,8.05
120,120.15,8.066
121,121.15,8.058
122,122.15,8.066
123,123.15,8.041
124,124.15,8.033
125,125.15,8.091
126,126.15,8.041
127,127.15,8.041
128,128.15,8.083
129,129.15,8.066
130,130.15,8.083
131,131.15,8.075
132,132.15,8.066
133,133.15,8.075
134,134.15,8.066
135,135.15,8.091
136,136.15,8.075
137,137.15,8.05
138,138.15,8.066
139,139.15,8.091
140,140.15,8.066
141,141.15,8.083
142,142.15,8.058
143,143.15,8.033
144,144.15,8.124
145,145.15,8.108
146,146.15,8.091
147,147.15,8.075
148,148.15,8.091
149,149.15,8.091
150,150.15,8.099
151,151.15,8.091
152,152.15,8.05
153,153.15,8.083
154,154.15,8.091
155,155.15,8.099
156,156.15,8.356
157,157.15,8.058
158,158.15,8.066
159,159.15,8.033
160,160.15,8.017
161,161.15,8.025
162,162.15,8.008
163,163.15,7.992
164,164.15,7.992
165,165.15,7.975
166,166.15,7.984
167,167.15,7.967
168,168.15,7.975
169,169.15,7.959
170,170.15,7.984
171,171.15,7.984
172,172.15,7.984
173,173.15,7.951
174,174.15,7.992
175,175.15,7.959
176,176.15,7.984
177,177.15,7.628
178,178.15,7.951
179,179.15,7.992
180,180.15,8.025
181,181.15,7.992
182,182.15,8.033
183,183.15,8.033
184,184.15,8.025
185,185.15,8.05
186,186.15,8.058
187,187.15,8.033
188,188.15,8.066
189,189.15,8.058
190,190.15,8.058
191,191.15,8.066
192,192.15,8.05
193,193.15,8.041
194,194.15,8.075
195,195.15,8.05
196,196.15,8.033
197,197.15,8.124
198,198.15,8.041
199,199.15,8.041
200,200.15,8.05
201,201.15,8.066
202,202.15,8.05
203,203.15,8.075
204,204.15,8.058
205,205.15,8.041
206,206.15,8.05
207,207.15,8.058
208,208.15,8.075
209,209.15,8.066
210,210.15,8.058
211,211.15,8.066
212,212.15,8.091
213,213.15,8.05
214,214.15,8.058
215,215.15,8.075
216,216.15,8.066
217,217.15,8.05
218,218.15,8.041
219,219.15,8.066
220,220.15,8.066
221,221.15,8.083
222,222.15,8.083
223,223.15,8.041
224,224.15,8.041
225,225.15,8.008
226,226.15,8.008
227,227.15,8.008
228,228.15,7.992
229,229.15,8.0
230,230.15,7.967
231,231.15,7.975
232,232.15,7.975
233,233.15,7.975
234,234.15,7.967
235,235.15,7.967
236,236.15,7.967
237,237.15,7.975
238,238.15,7.967
239,239.15,7.959
240,240.15,7.967
241,241.15,7.967
242,242.15,7.975
243,243.15,8.0
244,244.15,7.967
245,245.15,8.017
246,246.15,8.041
247,247.15,8.066
248,248.15,8.041
249,249.15,8.066
250,250.15,8.033
251,251.15,8.041
252,252.15,8.033
253,253.15,8.033
254,254.15,8.058
255,255.15,8.033
256,256.15,8.041
257,257.15,8.058
258,258.15,8.041
259,259.15,8.091
260,260.15,8.066
261,261.15,8.075
262,262.15,8.041
263,263.15,8.066
264,264.15,8.066
265,265.15,8.05
266,266.15,8.025
267,267.15,8.075
268,268.15,8.083
269,269.15,8.041
270,270.15,8.075
271,271.15,8.041
272,272.15,8.041
273,273.15,8.033
